[2022-09-22 20:05:03,948][PROCESS_MONITOR][INFO]python3(395231), Memory: 1937 MiB, GPU Memory: 347 MiB
[2022-09-22 20:05:04,964][PROCESS_MONITOR][INFO]python3(395231), Memory: 1937 MiB, GPU Memory: 347 MiB
[2022-09-22 20:05:05,979][PROCESS_MONITOR][INFO]python3(395231), Memory: 1937 MiB, GPU Memory: 347 MiB
[2022-09-22 20:05:06,993][PROCESS_MONITOR][INFO]python3(395231), Memory: 1937 MiB, GPU Memory: 347 MiB
[2022-09-22 20:05:08,009][PROCESS_MONITOR][INFO]python3(395231), Memory: 1937 MiB, GPU Memory: 347 MiB
[2022-09-22 20:05:09,025][PROCESS_MONITOR][INFO]python3(395231), Memory: 1937 MiB, GPU Memory: 347 MiB
[2022-09-22 20:05:10,042][PROCESS_MONITOR][INFO]python3(395231), Memory: 1937 MiB, GPU Memory: 347 MiB
[2022-09-22 20:05:11,058][PROCESS_MONITOR][INFO]python3(395231), Memory: 1937 MiB, GPU Memory: 347 MiB
[2022-09-22 20:05:12,075][PROCESS_MONITOR][INFO]python3(395231), Memory: 1937 MiB, GPU Memory: 347 MiB
[2022-09-22 20:05:13,091][PROCESS_MONITOR][INFO]python3(395231), Memory: 1937 MiB, GPU Memory: 347 MiB
[2022-09-22 20:05:14,103][PROCESS_MONITOR][INFO]python3(395231), Memory: 1937 MiB, GPU Memory: 347 MiB
[2022-09-22 20:05:15,118][PROCESS_MONITOR][INFO]python3(395231), Memory: 2355 MiB, GPU Memory: 413 MiB
[2022-09-22 20:05:16,132][PROCESS_MONITOR][INFO]python3(395231), Memory: 2361 MiB, GPU Memory: 381 MiB
[2022-09-22 20:05:17,146][PROCESS_MONITOR][INFO]python3(395231), Memory: 2361 MiB, GPU Memory: 381 MiB
[2022-09-22 20:05:18,161][PROCESS_MONITOR][INFO]python3(395231), Memory: 2361 MiB, GPU Memory: 381 MiB
[2022-09-22 20:05:19,176][PROCESS_MONITOR][INFO]python3(395231), Memory: 2361 MiB, GPU Memory: 381 MiB
[2022-09-22 20:05:20,191][PROCESS_MONITOR][INFO]python3(395231), Memory: 2361 MiB, GPU Memory: 381 MiB
[2022-09-22 20:05:21,204][PROCESS_MONITOR][INFO]python3(395231), Memory: 2361 MiB, GPU Memory: 381 MiB
[2022-09-22 20:05:22,219][PROCESS_MONITOR][INFO]python3(395231), Memory: 2361 MiB, GPU Memory: 381 MiB
[2022-09-22 20:05:23,237][PROCESS_MONITOR][INFO]python3(395231), Memory: 2361 MiB, GPU Memory: 381 MiB
[2022-09-22 20:05:24,251][PROCESS_MONITOR][INFO]python3(395231), Memory: 2361 MiB, GPU Memory: 381 MiB
[2022-09-22 20:05:25,266][PROCESS_MONITOR][INFO]python3(395231), Memory: 2361 MiB, GPU Memory: 381 MiB
[2022-09-22 20:05:26,281][PROCESS_MONITOR][INFO]python3(395231), Memory: 2361 MiB, GPU Memory: 381 MiB
[2022-09-22 20:05:27,297][PROCESS_MONITOR][INFO]python3(395231), Memory: 2361 MiB, GPU Memory: 381 MiB
[2022-09-22 20:05:28,312][PROCESS_MONITOR][INFO]python3(395231), Memory: 2361 MiB, GPU Memory: 381 MiB
[2022-09-22 20:05:29,326][PROCESS_MONITOR][INFO]python3(395231), Memory: 2361 MiB, GPU Memory: 381 MiB
[2022-09-22 20:05:30,341][PROCESS_MONITOR][INFO]python3(395231), Memory: 2361 MiB, GPU Memory: 381 MiB
[2022-09-22 20:05:31,356][PROCESS_MONITOR][INFO]python3(395231), Memory: 2361 MiB, GPU Memory: 381 MiB
[2022-09-22 20:05:32,370][PROCESS_MONITOR][INFO]python3(395231), Memory: 2361 MiB, GPU Memory: 381 MiB
[2022-09-22 20:05:33,385][PROCESS_MONITOR][INFO]python3(395231), Memory: 2361 MiB, GPU Memory: 381 MiB
[2022-09-22 20:05:34,400][PROCESS_MONITOR][INFO]python3(395231), Memory: 2361 MiB, GPU Memory: 381 MiB
[2022-09-22 20:05:35,415][PROCESS_MONITOR][INFO]python3(395231), Memory: 2361 MiB, GPU Memory: 381 MiB
[2022-09-22 20:05:36,430][PROCESS_MONITOR][INFO]python3(395231), Memory: 2361 MiB, GPU Memory: 381 MiB
[2022-09-22 20:05:37,445][PROCESS_MONITOR][INFO]python3(395231), Memory: 2361 MiB, GPU Memory: 381 MiB
[2022-09-22 20:05:38,460][PROCESS_MONITOR][INFO]python3(395231), Memory: 2361 MiB, GPU Memory: 381 MiB
[2022-09-22 20:05:39,476][PROCESS_MONITOR][INFO]python3(395231), Memory: 2361 MiB, GPU Memory: 381 MiB
[2022-09-22 20:05:40,491][PROCESS_MONITOR][INFO]python3(395231), Memory: 2361 MiB, GPU Memory: 381 MiB
[2022-09-22 20:05:41,506][PROCESS_MONITOR][INFO]python3(395231), Memory: 2361 MiB, GPU Memory: 381 MiB
[2022-09-22 20:05:42,521][PROCESS_MONITOR][INFO]python3(395231), Memory: 2361 MiB, GPU Memory: 381 MiB
[2022-09-22 20:05:43,537][PROCESS_MONITOR][INFO]python3(395231), Memory: 2361 MiB, GPU Memory: 381 MiB
[2022-09-22 20:05:44,552][PROCESS_MONITOR][INFO]python3(395231), Memory: 2361 MiB, GPU Memory: 381 MiB
[2022-09-22 20:05:45,568][PROCESS_MONITOR][INFO]python3(395231), Memory: 2361 MiB, GPU Memory: 381 MiB
[2022-09-22 20:05:46,583][PROCESS_MONITOR][INFO]python3(395231), Memory: 2361 MiB, GPU Memory: 381 MiB
[2022-09-22 20:05:47,598][PROCESS_MONITOR][INFO]python3(395231), Memory: 2361 MiB, GPU Memory: 381 MiB
[2022-09-22 20:05:48,613][PROCESS_MONITOR][INFO]python3(395231), Memory: 2361 MiB, GPU Memory: 381 MiB
[2022-09-22 20:05:49,629][PROCESS_MONITOR][INFO]python3(395231), Memory: 2361 MiB, GPU Memory: 381 MiB
[2022-09-22 20:05:50,644][PROCESS_MONITOR][INFO]python3(395231), Memory: 2361 MiB, GPU Memory: 381 MiB
[2022-09-22 20:05:51,659][PROCESS_MONITOR][INFO]python3(395231), Memory: 2361 MiB, GPU Memory: 381 MiB
[2022-09-22 20:05:52,673][PROCESS_MONITOR][INFO]python3(395231), Memory: 2361 MiB, GPU Memory: 381 MiB
[2022-09-22 20:05:53,689][PROCESS_MONITOR][INFO]python3(395231), Memory: 2361 MiB, GPU Memory: 381 MiB
[2022-09-22 20:05:54,704][PROCESS_MONITOR][INFO]python3(395231), Memory: 2361 MiB, GPU Memory: 381 MiB
[2022-09-22 20:05:55,719][PROCESS_MONITOR][INFO]python3(395231), Memory: 2361 MiB, GPU Memory: 381 MiB
[2022-09-22 20:05:56,734][PROCESS_MONITOR][INFO]python3(395231), Memory: 2361 MiB, GPU Memory: 381 MiB
[2022-09-22 20:05:57,749][PROCESS_MONITOR][INFO]python3(395231), Memory: 2361 MiB, GPU Memory: 381 MiB
[2022-09-22 20:05:58,764][PROCESS_MONITOR][INFO]python3(395231), Memory: 2361 MiB, GPU Memory: 381 MiB
[2022-09-22 20:05:59,779][PROCESS_MONITOR][INFO]python3(395231), Memory: 2361 MiB, GPU Memory: 381 MiB
[2022-09-22 20:06:00,793][PROCESS_MONITOR][INFO]python3(395231), Memory: 2361 MiB, GPU Memory: 381 MiB
[2022-09-22 20:06:01,808][PROCESS_MONITOR][INFO]python3(395231), Memory: 2361 MiB, GPU Memory: 381 MiB
[2022-09-22 20:06:02,822][PROCESS_MONITOR][INFO]python3(395231), Memory: 2361 MiB, GPU Memory: 381 MiB
[2022-09-22 20:06:03,837][PROCESS_MONITOR][INFO]python3(395231), Memory: 2361 MiB, GPU Memory: 381 MiB
[2022-09-22 20:06:04,852][PROCESS_MONITOR][INFO]python3(395231), Memory: 2361 MiB, GPU Memory: 381 MiB
[2022-09-22 20:06:05,866][PROCESS_MONITOR][INFO]python3(395231), Memory: 2361 MiB, GPU Memory: 381 MiB
