[2022-11-03 20:51:45,031][PROCESS_MONITOR][INFO]python3(316534), Memory: 1655 MiB, GPU Memory: 599 MiB
[2022-11-03 20:51:46,046][PROCESS_MONITOR][INFO]python3(316534), Memory: 1655 MiB, GPU Memory: 599 MiB
[2022-11-03 20:51:47,059][PROCESS_MONITOR][INFO]python3(316534), Memory: 1655 MiB, GPU Memory: 599 MiB
[2022-11-03 20:51:48,073][PROCESS_MONITOR][INFO]python3(316534), Memory: 1655 MiB, GPU Memory: 599 MiB
[2022-11-03 20:51:49,088][PROCESS_MONITOR][INFO]python3(316534), Memory: 1655 MiB, GPU Memory: 599 MiB
[2022-11-03 20:51:50,101][PROCESS_MONITOR][INFO]python3(316534), Memory: 1655 MiB, GPU Memory: 599 MiB
[2022-11-03 20:51:51,116][PROCESS_MONITOR][INFO]python3(316534), Memory: 1655 MiB, GPU Memory: 599 MiB
[2022-11-03 20:51:52,131][PROCESS_MONITOR][INFO]python3(316534), Memory: 1655 MiB, GPU Memory: 599 MiB
[2022-11-03 20:51:53,146][PROCESS_MONITOR][INFO]python3(316534), Memory: 1655 MiB, GPU Memory: 599 MiB
[2022-11-03 20:51:54,162][PROCESS_MONITOR][INFO]python3(316534), Memory: 1655 MiB, GPU Memory: 599 MiB
[2022-11-03 20:51:55,176][PROCESS_MONITOR][INFO]python3(316534), Memory: 1655 MiB, GPU Memory: 599 MiB
[2022-11-03 20:51:56,192][PROCESS_MONITOR][INFO]python3(316534), Memory: 1655 MiB, GPU Memory: 599 MiB
[2022-11-03 20:51:57,208][PROCESS_MONITOR][INFO]python3(316534), Memory: 1655 MiB, GPU Memory: 599 MiB
[2022-11-03 20:51:58,224][PROCESS_MONITOR][INFO]python3(316534), Memory: 1655 MiB, GPU Memory: 599 MiB
[2022-11-03 20:51:59,240][PROCESS_MONITOR][INFO]python3(316534), Memory: 1655 MiB, GPU Memory: 599 MiB
[2022-11-03 20:52:00,256][PROCESS_MONITOR][INFO]python3(316534), Memory: 1655 MiB, GPU Memory: 599 MiB
[2022-11-03 20:52:01,272][PROCESS_MONITOR][INFO]python3(316534), Memory: 1655 MiB, GPU Memory: 599 MiB
[2022-11-03 20:52:02,287][PROCESS_MONITOR][INFO]python3(316534), Memory: 1655 MiB, GPU Memory: 599 MiB
[2022-11-03 20:52:03,302][PROCESS_MONITOR][INFO]python3(316534), Memory: 1655 MiB, GPU Memory: 599 MiB
[2022-11-03 20:52:04,318][PROCESS_MONITOR][INFO]python3(316534), Memory: 1655 MiB, GPU Memory: 599 MiB
[2022-11-03 20:52:05,334][PROCESS_MONITOR][INFO]python3(316534), Memory: 1655 MiB, GPU Memory: 599 MiB
[2022-11-03 20:52:06,348][PROCESS_MONITOR][INFO]python3(316534), Memory: 1655 MiB, GPU Memory: 599 MiB
[2022-11-03 20:52:07,361][PROCESS_MONITOR][INFO]python3(316534), Memory: 1655 MiB, GPU Memory: 599 MiB
[2022-11-03 20:52:08,374][PROCESS_MONITOR][INFO]python3(316534), Memory: 2076 MiB, GPU Memory: 603 MiB
[2022-11-03 20:52:09,388][PROCESS_MONITOR][INFO]python3(316534), Memory: 2076 MiB, GPU Memory: 603 MiB
[2022-11-03 20:52:10,402][PROCESS_MONITOR][INFO]python3(316534), Memory: 2076 MiB, GPU Memory: 603 MiB
[2022-11-03 20:52:11,418][PROCESS_MONITOR][INFO]python3(316534), Memory: 2076 MiB, GPU Memory: 603 MiB
[2022-11-03 20:52:12,432][PROCESS_MONITOR][INFO]python3(316534), Memory: 2076 MiB, GPU Memory: 603 MiB
[2022-11-03 20:52:13,447][PROCESS_MONITOR][INFO]python3(316534), Memory: 2076 MiB, GPU Memory: 603 MiB
[2022-11-03 20:52:14,462][PROCESS_MONITOR][INFO]python3(316534), Memory: 2076 MiB, GPU Memory: 603 MiB
[2022-11-03 20:52:15,476][PROCESS_MONITOR][INFO]python3(316534), Memory: 2076 MiB, GPU Memory: 603 MiB
[2022-11-03 20:52:16,488][PROCESS_MONITOR][INFO]python3(316534), Memory: 2076 MiB, GPU Memory: 603 MiB
[2022-11-03 20:52:17,502][PROCESS_MONITOR][INFO]python3(316534), Memory: 2076 MiB, GPU Memory: 603 MiB
[2022-11-03 20:52:18,516][PROCESS_MONITOR][INFO]python3(316534), Memory: 2076 MiB, GPU Memory: 603 MiB
[2022-11-03 20:52:19,531][PROCESS_MONITOR][INFO]python3(316534), Memory: 2076 MiB, GPU Memory: 603 MiB
[2022-11-03 20:52:20,544][PROCESS_MONITOR][INFO]python3(316534), Memory: 2076 MiB, GPU Memory: 603 MiB
[2022-11-03 20:52:21,559][PROCESS_MONITOR][INFO]python3(316534), Memory: 2076 MiB, GPU Memory: 603 MiB
[2022-11-03 20:52:22,574][PROCESS_MONITOR][INFO]python3(316534), Memory: 2076 MiB, GPU Memory: 603 MiB
[2022-11-03 20:52:23,590][PROCESS_MONITOR][INFO]python3(316534), Memory: 2076 MiB, GPU Memory: 603 MiB
[2022-11-03 20:52:24,604][PROCESS_MONITOR][INFO]python3(316534), Memory: 2076 MiB, GPU Memory: 603 MiB
[2022-11-03 20:52:25,622][PROCESS_MONITOR][INFO]python3(316534), Memory: 2076 MiB, GPU Memory: 603 MiB
[2022-11-03 20:52:26,636][PROCESS_MONITOR][INFO]python3(316534), Memory: 2076 MiB, GPU Memory: 603 MiB
[2022-11-03 20:52:27,651][PROCESS_MONITOR][INFO]python3(316534), Memory: 2076 MiB, GPU Memory: 603 MiB
[2022-11-03 20:52:28,666][PROCESS_MONITOR][INFO]python3(316534), Memory: 2076 MiB, GPU Memory: 603 MiB
[2022-11-03 20:52:29,680][PROCESS_MONITOR][INFO]python3(316534), Memory: 2076 MiB, GPU Memory: 603 MiB
[2022-11-03 20:52:30,693][PROCESS_MONITOR][INFO]python3(316534), Memory: 2076 MiB, GPU Memory: 603 MiB
[2022-11-03 20:52:31,707][PROCESS_MONITOR][INFO]python3(316534), Memory: 2076 MiB, GPU Memory: 603 MiB
[2022-11-03 20:52:32,722][PROCESS_MONITOR][INFO]python3(316534), Memory: 2076 MiB, GPU Memory: 603 MiB
[2022-11-03 20:52:33,736][PROCESS_MONITOR][INFO]python3(316534), Memory: 2076 MiB, GPU Memory: 603 MiB
[2022-11-03 20:52:34,751][PROCESS_MONITOR][INFO]python3(316534), Memory: 2076 MiB, GPU Memory: 603 MiB
[2022-11-03 20:52:35,766][PROCESS_MONITOR][INFO]python3(316534), Memory: 2076 MiB, GPU Memory: 603 MiB
[2022-11-03 20:52:36,780][PROCESS_MONITOR][INFO]python3(316534), Memory: 2076 MiB, GPU Memory: 603 MiB
[2022-11-03 20:52:37,795][PROCESS_MONITOR][INFO]python3(316534), Memory: 2076 MiB, GPU Memory: 603 MiB
[2022-11-03 20:52:38,810][PROCESS_MONITOR][INFO]python3(316534), Memory: 2076 MiB, GPU Memory: 603 MiB
[2022-11-03 20:52:39,824][PROCESS_MONITOR][INFO]python3(316534), Memory: 2076 MiB, GPU Memory: 603 MiB
[2022-11-03 20:52:40,838][PROCESS_MONITOR][INFO]python3(316534), Memory: 2076 MiB, GPU Memory: 603 MiB
[2022-11-03 20:52:41,853][PROCESS_MONITOR][INFO]python3(316534), Memory: 2076 MiB, GPU Memory: 603 MiB
[2022-11-03 20:52:42,868][PROCESS_MONITOR][INFO]python3(316534), Memory: 2076 MiB, GPU Memory: 603 MiB
[2022-11-03 20:52:43,883][PROCESS_MONITOR][INFO]python3(316534), Memory: 2076 MiB, GPU Memory: 603 MiB
[2022-11-03 20:52:44,898][PROCESS_MONITOR][INFO]python3(316534), Memory: 2076 MiB, GPU Memory: 603 MiB
[2022-11-03 20:52:45,912][PROCESS_MONITOR][INFO]python3(316534), Memory: 2076 MiB, GPU Memory: 603 MiB
[2022-11-03 20:52:46,927][PROCESS_MONITOR][INFO]python3(316534), Memory: 2076 MiB, GPU Memory: 603 MiB
[2022-11-03 20:52:47,942][PROCESS_MONITOR][INFO]python3(316534), Memory: 2076 MiB, GPU Memory: 603 MiB
[2022-11-03 20:52:48,955][PROCESS_MONITOR][INFO]python3(316534), Memory: 2076 MiB, GPU Memory: 603 MiB
[2022-11-03 20:52:49,968][PROCESS_MONITOR][INFO]python3(316534), Memory: 2076 MiB, GPU Memory: 603 MiB
