[2022-09-19 22:03:00,583][PROCESS_MONITOR][INFO]python3(209934), Memory: 922 MiB, GPU Memory: 329 MiB
[2022-09-19 22:03:01,599][PROCESS_MONITOR][INFO]python3(209934), Memory: 922 MiB, GPU Memory: 329 MiB
[2022-09-19 22:03:02,615][PROCESS_MONITOR][INFO]python3(209934), Memory: 922 MiB, GPU Memory: 329 MiB
[2022-09-19 22:03:03,631][PROCESS_MONITOR][INFO]python3(209934), Memory: 922 MiB, GPU Memory: 329 MiB
[2022-09-19 22:03:04,646][PROCESS_MONITOR][INFO]python3(209934), Memory: 922 MiB, GPU Memory: 329 MiB
[2022-09-19 22:03:05,663][PROCESS_MONITOR][INFO]python3(209934), Memory: 922 MiB, GPU Memory: 329 MiB
[2022-09-19 22:03:06,679][PROCESS_MONITOR][INFO]python3(209934), Memory: 922 MiB, GPU Memory: 329 MiB
[2022-09-19 22:03:07,695][PROCESS_MONITOR][INFO]python3(209934), Memory: 922 MiB, GPU Memory: 329 MiB
[2022-09-19 22:03:08,711][PROCESS_MONITOR][INFO]python3(209934), Memory: 922 MiB, GPU Memory: 329 MiB
[2022-09-19 22:03:09,727][PROCESS_MONITOR][INFO]python3(209934), Memory: 922 MiB, GPU Memory: 329 MiB
[2022-09-19 22:03:10,743][PROCESS_MONITOR][INFO]python3(209934), Memory: 922 MiB, GPU Memory: 329 MiB
[2022-09-19 22:03:11,759][PROCESS_MONITOR][INFO]python3(209934), Memory: 922 MiB, GPU Memory: 329 MiB
[2022-09-19 22:03:12,775][PROCESS_MONITOR][INFO]python3(209934), Memory: 922 MiB, GPU Memory: 329 MiB
[2022-09-19 22:03:13,791][PROCESS_MONITOR][INFO]python3(209934), Memory: 922 MiB, GPU Memory: 329 MiB
[2022-09-19 22:03:14,807][PROCESS_MONITOR][INFO]python3(209934), Memory: 922 MiB, GPU Memory: 329 MiB
[2022-09-19 22:03:15,823][PROCESS_MONITOR][INFO]python3(209934), Memory: 922 MiB, GPU Memory: 329 MiB
[2022-09-19 22:03:16,839][PROCESS_MONITOR][INFO]python3(209934), Memory: 922 MiB, GPU Memory: 329 MiB
[2022-09-19 22:03:17,853][PROCESS_MONITOR][INFO]python3(209934), Memory: 922 MiB, GPU Memory: 329 MiB
[2022-09-19 22:03:18,867][PROCESS_MONITOR][INFO]python3(209934), Memory: 922 MiB, GPU Memory: 329 MiB
[2022-09-19 22:03:19,880][PROCESS_MONITOR][INFO]python3(209934), Memory: 2196 MiB, GPU Memory: 799 MiB
[2022-09-19 22:03:20,892][PROCESS_MONITOR][INFO]python3(209934), Memory: 2274 MiB, GPU Memory: 799 MiB
[2022-09-19 22:03:21,907][PROCESS_MONITOR][INFO]python3(209934), Memory: 2279 MiB, GPU Memory: 799 MiB
[2022-09-19 22:03:22,921][PROCESS_MONITOR][INFO]python3(209934), Memory: 2279 MiB, GPU Memory: 799 MiB
[2022-09-19 22:03:23,935][PROCESS_MONITOR][INFO]python3(209934), Memory: 2279 MiB, GPU Memory: 799 MiB
[2022-09-19 22:03:24,951][PROCESS_MONITOR][INFO]python3(209934), Memory: 2279 MiB, GPU Memory: 799 MiB
[2022-09-19 22:03:25,966][PROCESS_MONITOR][INFO]python3(209934), Memory: 2279 MiB, GPU Memory: 799 MiB
[2022-09-19 22:03:26,980][PROCESS_MONITOR][INFO]python3(209934), Memory: 2279 MiB, GPU Memory: 799 MiB
[2022-09-19 22:03:27,995][PROCESS_MONITOR][INFO]python3(209934), Memory: 2279 MiB, GPU Memory: 799 MiB
[2022-09-19 22:03:29,010][PROCESS_MONITOR][INFO]python3(209934), Memory: 2279 MiB, GPU Memory: 799 MiB
[2022-09-19 22:03:30,024][PROCESS_MONITOR][INFO]python3(209934), Memory: 2279 MiB, GPU Memory: 799 MiB
