[2022-11-02 16:08:06,067][PROCESS_MONITOR][INFO]python3(27464), Memory: 1654 MiB, GPU Memory: 599 MiB
[2022-11-02 16:08:07,082][PROCESS_MONITOR][INFO]python3(27464), Memory: 1654 MiB, GPU Memory: 599 MiB
[2022-11-02 16:08:08,096][PROCESS_MONITOR][INFO]python3(27464), Memory: 1654 MiB, GPU Memory: 599 MiB
[2022-11-02 16:08:09,110][PROCESS_MONITOR][INFO]python3(27464), Memory: 1654 MiB, GPU Memory: 599 MiB
[2022-11-02 16:08:10,124][PROCESS_MONITOR][INFO]python3(27464), Memory: 1654 MiB, GPU Memory: 599 MiB
[2022-11-02 16:08:11,142][PROCESS_MONITOR][INFO]python3(27464), Memory: 1654 MiB, GPU Memory: 599 MiB
[2022-11-02 16:08:12,158][PROCESS_MONITOR][INFO]python3(27464), Memory: 1654 MiB, GPU Memory: 599 MiB
[2022-11-02 16:08:13,173][PROCESS_MONITOR][INFO]python3(27464), Memory: 1654 MiB, GPU Memory: 599 MiB
[2022-11-02 16:08:14,188][PROCESS_MONITOR][INFO]python3(27464), Memory: 1654 MiB, GPU Memory: 599 MiB
[2022-11-02 16:08:15,203][PROCESS_MONITOR][INFO]python3(27464), Memory: 1654 MiB, GPU Memory: 599 MiB
[2022-11-02 16:08:16,218][PROCESS_MONITOR][INFO]python3(27464), Memory: 1654 MiB, GPU Memory: 599 MiB
[2022-11-02 16:08:17,232][PROCESS_MONITOR][INFO]python3(27464), Memory: 1654 MiB, GPU Memory: 599 MiB
[2022-11-02 16:08:18,247][PROCESS_MONITOR][INFO]python3(27464), Memory: 1654 MiB, GPU Memory: 599 MiB
[2022-11-02 16:08:19,264][PROCESS_MONITOR][INFO]python3(27464), Memory: 1654 MiB, GPU Memory: 599 MiB
[2022-11-02 16:08:20,279][PROCESS_MONITOR][INFO]python3(27464), Memory: 1654 MiB, GPU Memory: 599 MiB
[2022-11-02 16:08:21,295][PROCESS_MONITOR][INFO]python3(27464), Memory: 1654 MiB, GPU Memory: 599 MiB
[2022-11-02 16:08:22,310][PROCESS_MONITOR][INFO]python3(27464), Memory: 1654 MiB, GPU Memory: 599 MiB
[2022-11-02 16:08:23,323][PROCESS_MONITOR][INFO]python3(27464), Memory: 2065 MiB, GPU Memory: 603 MiB
[2022-11-02 16:08:24,336][PROCESS_MONITOR][INFO]python3(27464), Memory: 2067 MiB, GPU Memory: 603 MiB
[2022-11-02 16:08:25,351][PROCESS_MONITOR][INFO]python3(27464), Memory: 2067 MiB, GPU Memory: 603 MiB
[2022-11-02 16:08:26,366][PROCESS_MONITOR][INFO]python3(27464), Memory: 2067 MiB, GPU Memory: 603 MiB
[2022-11-02 16:08:27,379][PROCESS_MONITOR][INFO]python3(27464), Memory: 2067 MiB, GPU Memory: 603 MiB
[2022-11-02 16:08:28,393][PROCESS_MONITOR][INFO]python3(27464), Memory: 2067 MiB, GPU Memory: 603 MiB
[2022-11-02 16:08:29,408][PROCESS_MONITOR][INFO]python3(27464), Memory: 2067 MiB, GPU Memory: 603 MiB
[2022-11-02 16:08:30,423][PROCESS_MONITOR][INFO]python3(27464), Memory: 2067 MiB, GPU Memory: 603 MiB
[2022-11-02 16:08:31,438][PROCESS_MONITOR][INFO]python3(27464), Memory: 2067 MiB, GPU Memory: 603 MiB
[2022-11-02 16:08:32,454][PROCESS_MONITOR][INFO]python3(27464), Memory: 2067 MiB, GPU Memory: 603 MiB
[2022-11-02 16:08:33,467][PROCESS_MONITOR][INFO]python3(27464), Memory: 2067 MiB, GPU Memory: 603 MiB
[2022-11-02 16:08:34,483][PROCESS_MONITOR][INFO]python3(27464), Memory: 2067 MiB, GPU Memory: 603 MiB
[2022-11-02 16:08:35,498][PROCESS_MONITOR][INFO]python3(27464), Memory: 2067 MiB, GPU Memory: 603 MiB
[2022-11-02 16:08:36,513][PROCESS_MONITOR][INFO]python3(27464), Memory: 2067 MiB, GPU Memory: 603 MiB
[2022-11-02 16:08:37,528][PROCESS_MONITOR][INFO]python3(27464), Memory: 2067 MiB, GPU Memory: 603 MiB
[2022-11-02 16:08:38,543][PROCESS_MONITOR][INFO]python3(27464), Memory: 2067 MiB, GPU Memory: 603 MiB
[2022-11-02 16:08:39,559][PROCESS_MONITOR][INFO]python3(27464), Memory: 2067 MiB, GPU Memory: 603 MiB
[2022-11-02 16:08:40,574][PROCESS_MONITOR][INFO]python3(27464), Memory: 2067 MiB, GPU Memory: 603 MiB
[2022-11-02 16:08:41,588][PROCESS_MONITOR][INFO]python3(27464), Memory: 2067 MiB, GPU Memory: 603 MiB
[2022-11-02 16:08:42,601][PROCESS_MONITOR][INFO]python3(27464), Memory: 2067 MiB, GPU Memory: 603 MiB
[2022-11-02 16:08:43,616][PROCESS_MONITOR][INFO]python3(27464), Memory: 2067 MiB, GPU Memory: 603 MiB
[2022-11-02 16:08:44,631][PROCESS_MONITOR][INFO]python3(27464), Memory: 2067 MiB, GPU Memory: 603 MiB
[2022-11-02 16:08:45,646][PROCESS_MONITOR][INFO]python3(27464), Memory: 2067 MiB, GPU Memory: 603 MiB
[2022-11-02 16:08:46,662][PROCESS_MONITOR][INFO]python3(27464), Memory: 2067 MiB, GPU Memory: 603 MiB
[2022-11-02 16:08:47,678][PROCESS_MONITOR][INFO]python3(27464), Memory: 2067 MiB, GPU Memory: 603 MiB
[2022-11-02 16:08:48,691][PROCESS_MONITOR][INFO]python3(27464), Memory: 2067 MiB, GPU Memory: 603 MiB
[2022-11-02 16:08:49,707][PROCESS_MONITOR][INFO]python3(27464), Memory: 2067 MiB, GPU Memory: 603 MiB
[2022-11-02 16:08:50,725][PROCESS_MONITOR][INFO]python3(27464), Memory: 2067 MiB, GPU Memory: 603 MiB
[2022-11-02 16:08:51,740][PROCESS_MONITOR][INFO]python3(27464), Memory: 2067 MiB, GPU Memory: 603 MiB
[2022-11-02 16:08:52,755][PROCESS_MONITOR][INFO]python3(27464), Memory: 2067 MiB, GPU Memory: 603 MiB
[2022-11-02 16:08:53,771][PROCESS_MONITOR][INFO]python3(27464), Memory: 2067 MiB, GPU Memory: 603 MiB
[2022-11-02 16:08:54,786][PROCESS_MONITOR][INFO]python3(27464), Memory: 2067 MiB, GPU Memory: 603 MiB
[2022-11-02 16:08:55,802][PROCESS_MONITOR][INFO]python3(27464), Memory: 2067 MiB, GPU Memory: 603 MiB
[2022-11-02 16:08:56,818][PROCESS_MONITOR][INFO]python3(27464), Memory: 2067 MiB, GPU Memory: 603 MiB
[2022-11-02 16:08:57,833][PROCESS_MONITOR][INFO]python3(27464), Memory: 2067 MiB, GPU Memory: 603 MiB
[2022-11-02 16:08:58,847][PROCESS_MONITOR][INFO]python3(27464), Memory: 2067 MiB, GPU Memory: 603 MiB
[2022-11-02 16:08:59,862][PROCESS_MONITOR][INFO]python3(27464), Memory: 2067 MiB, GPU Memory: 603 MiB
[2022-11-02 16:09:00,875][PROCESS_MONITOR][INFO]python3(27464), Memory: 2067 MiB, GPU Memory: 603 MiB
[2022-11-02 16:09:01,889][PROCESS_MONITOR][INFO]python3(27464), Memory: 2067 MiB, GPU Memory: 603 MiB
[2022-11-02 16:09:02,903][PROCESS_MONITOR][INFO]python3(27464), Memory: 2067 MiB, GPU Memory: 603 MiB
[2022-11-02 16:09:03,918][PROCESS_MONITOR][INFO]python3(27464), Memory: 2067 MiB, GPU Memory: 603 MiB
[2022-11-02 16:09:04,932][PROCESS_MONITOR][INFO]python3(27464), Memory: 2067 MiB, GPU Memory: 603 MiB
[2022-11-02 16:09:05,947][PROCESS_MONITOR][INFO]python3(27464), Memory: 2067 MiB, GPU Memory: 603 MiB
[2022-11-02 16:09:06,961][PROCESS_MONITOR][INFO]python3(27464), Memory: 2067 MiB, GPU Memory: 603 MiB
[2022-11-02 16:09:07,976][PROCESS_MONITOR][INFO]python3(27464), Memory: 2067 MiB, GPU Memory: 603 MiB
[2022-11-02 16:09:08,989][PROCESS_MONITOR][INFO]python3(27464), Memory: 2067 MiB, GPU Memory: 603 MiB
[2022-11-02 16:09:10,003][PROCESS_MONITOR][INFO]python3(27464), Memory: 2067 MiB, GPU Memory: 603 MiB
[2022-11-02 16:09:11,018][PROCESS_MONITOR][INFO]python3(27464), Memory: 2067 MiB, GPU Memory: 603 MiB
[2022-11-02 16:09:12,033][PROCESS_MONITOR][INFO]python3(27464), Memory: 2067 MiB, GPU Memory: 603 MiB
[2022-11-02 16:09:13,046][PROCESS_MONITOR][INFO]python3(27464), Memory: 2067 MiB, GPU Memory: 603 MiB
[2022-11-02 16:09:14,062][PROCESS_MONITOR][INFO]python3(27464), Memory: 2067 MiB, GPU Memory: 603 MiB
[2022-11-02 16:09:15,077][PROCESS_MONITOR][INFO]python3(27464), Memory: 2067 MiB, GPU Memory: 603 MiB
[2022-11-02 16:09:16,092][PROCESS_MONITOR][INFO]python3(27464), Memory: 2067 MiB, GPU Memory: 603 MiB
[2022-11-02 16:09:17,105][PROCESS_MONITOR][INFO]python3(27464), Memory: 2067 MiB, GPU Memory: 603 MiB
[2022-11-02 16:09:18,120][PROCESS_MONITOR][INFO]python3(27464), Memory: 2067 MiB, GPU Memory: 603 MiB
[2022-11-02 16:09:19,135][PROCESS_MONITOR][INFO]python3(27464), Memory: 2067 MiB, GPU Memory: 603 MiB
[2022-11-02 16:09:20,150][PROCESS_MONITOR][INFO]python3(27464), Memory: 2067 MiB, GPU Memory: 603 MiB
[2022-11-02 16:09:21,164][PROCESS_MONITOR][INFO]python3(27464), Memory: 2067 MiB, GPU Memory: 603 MiB
[2022-11-02 16:09:22,177][PROCESS_MONITOR][INFO]python3(27464), Memory: 2067 MiB, GPU Memory: 603 MiB
[2022-11-02 16:09:23,191][PROCESS_MONITOR][INFO]python3(27464), Memory: 2067 MiB, GPU Memory: 603 MiB
[2022-11-02 16:09:24,205][PROCESS_MONITOR][INFO]python3(27464), Memory: 2067 MiB, GPU Memory: 603 MiB
[2022-11-02 16:09:25,220][PROCESS_MONITOR][INFO]python3(27464), Memory: 2067 MiB, GPU Memory: 603 MiB
[2022-11-02 16:09:26,232][PROCESS_MONITOR][INFO]python3(27464), Memory: 2067 MiB, GPU Memory: 603 MiB
[2022-11-02 16:09:27,248][PROCESS_MONITOR][INFO]python3(27464), Memory: 2067 MiB, GPU Memory: 603 MiB
[2022-11-02 16:09:28,261][PROCESS_MONITOR][INFO]python3(27464), Memory: 2067 MiB, GPU Memory: 603 MiB
[2022-11-02 16:09:29,275][PROCESS_MONITOR][INFO]python3(27464), Memory: 2067 MiB, GPU Memory: 603 MiB
[2022-11-02 16:09:30,290][PROCESS_MONITOR][INFO]python3(27464), Memory: 2067 MiB, GPU Memory: 603 MiB
[2022-11-02 16:09:31,305][PROCESS_MONITOR][INFO]python3(27464), Memory: 2067 MiB, GPU Memory: 603 MiB
[2022-11-02 16:09:32,320][PROCESS_MONITOR][INFO]python3(27464), Memory: 2067 MiB, GPU Memory: 603 MiB
[2022-11-02 16:09:33,333][PROCESS_MONITOR][INFO]python3(27464), Memory: 2067 MiB, GPU Memory: 603 MiB
[2022-11-02 16:09:34,346][PROCESS_MONITOR][INFO]python3(27464), Memory: 2067 MiB, GPU Memory: 603 MiB
[2022-11-02 16:09:35,361][PROCESS_MONITOR][INFO]python3(27464), Memory: 2067 MiB, GPU Memory: 603 MiB
[2022-11-02 16:09:36,376][PROCESS_MONITOR][INFO]python3(27464), Memory: 2067 MiB, GPU Memory: 603 MiB
[2022-11-02 16:09:37,391][PROCESS_MONITOR][INFO]python3(27464), Memory: 2067 MiB, GPU Memory: 603 MiB
[2022-11-02 16:09:38,406][PROCESS_MONITOR][INFO]python3(27464), Memory: 2067 MiB, GPU Memory: 603 MiB
[2022-11-02 16:09:39,422][PROCESS_MONITOR][INFO]python3(27464), Memory: 2067 MiB, GPU Memory: 603 MiB
[2022-11-02 16:09:40,438][PROCESS_MONITOR][INFO]python3(27464), Memory: 2067 MiB, GPU Memory: 603 MiB
[2022-11-02 16:09:41,453][PROCESS_MONITOR][INFO]python3(27464), Memory: 2067 MiB, GPU Memory: 603 MiB
[2022-11-02 16:09:42,468][PROCESS_MONITOR][INFO]python3(27464), Memory: 2067 MiB, GPU Memory: 603 MiB
[2022-11-02 16:09:43,484][PROCESS_MONITOR][INFO]python3(27464), Memory: 2067 MiB, GPU Memory: 603 MiB
[2022-11-02 16:09:44,498][PROCESS_MONITOR][INFO]python3(27464), Memory: 2067 MiB, GPU Memory: 603 MiB
[2022-11-02 16:09:45,514][PROCESS_MONITOR][INFO]python3(27464), Memory: 2067 MiB, GPU Memory: 603 MiB
[2022-11-02 16:09:46,528][PROCESS_MONITOR][INFO]python3(27464), Memory: 2067 MiB, GPU Memory: 603 MiB
[2022-11-02 16:09:47,543][PROCESS_MONITOR][INFO]python3(27464), Memory: 2067 MiB, GPU Memory: 603 MiB
[2022-11-02 16:09:48,558][PROCESS_MONITOR][INFO]python3(27464), Memory: 2067 MiB, GPU Memory: 603 MiB
[2022-11-02 16:09:49,571][PROCESS_MONITOR][INFO]python3(27464), Memory: 2067 MiB, GPU Memory: 603 MiB
[2022-11-02 16:09:50,586][PROCESS_MONITOR][INFO]python3(27464), Memory: 2067 MiB, GPU Memory: 603 MiB
[2022-11-02 16:09:51,601][PROCESS_MONITOR][INFO]python3(27464), Memory: 2067 MiB, GPU Memory: 603 MiB
[2022-11-02 16:09:52,614][PROCESS_MONITOR][INFO]python3(27464), Memory: 2067 MiB, GPU Memory: 603 MiB
[2022-11-02 16:09:53,627][PROCESS_MONITOR][INFO]python3(27464), Memory: 2067 MiB, GPU Memory: 603 MiB
[2022-11-02 16:09:54,640][PROCESS_MONITOR][INFO]python3(27464), Memory: 2067 MiB, GPU Memory: 603 MiB
[2022-11-02 16:09:55,654][PROCESS_MONITOR][INFO]python3(27464), Memory: 2067 MiB, GPU Memory: 603 MiB
[2022-11-02 16:09:56,669][PROCESS_MONITOR][INFO]python3(27464), Memory: 2067 MiB, GPU Memory: 603 MiB
[2022-11-02 16:09:57,682][PROCESS_MONITOR][INFO]python3(27464), Memory: 2067 MiB, GPU Memory: 603 MiB
[2022-11-02 16:09:58,697][PROCESS_MONITOR][INFO]python3(27464), Memory: 2067 MiB, GPU Memory: 603 MiB
[2022-11-02 16:09:59,712][PROCESS_MONITOR][INFO]python3(27464), Memory: 2067 MiB, GPU Memory: 603 MiB
[2022-11-02 16:10:00,727][PROCESS_MONITOR][INFO]python3(27464), Memory: 2067 MiB, GPU Memory: 603 MiB
[2022-11-02 16:10:01,742][PROCESS_MONITOR][INFO]python3(27464), Memory: 2067 MiB, GPU Memory: 603 MiB
[2022-11-02 16:10:02,755][PROCESS_MONITOR][INFO]python3(27464), Memory: 2067 MiB, GPU Memory: 603 MiB
[2022-11-02 16:10:03,771][PROCESS_MONITOR][INFO]python3(27464), Memory: 2067 MiB, GPU Memory: 603 MiB
[2022-11-02 16:10:04,784][PROCESS_MONITOR][INFO]python3(27464), Memory: 2067 MiB, GPU Memory: 603 MiB
[2022-11-02 16:10:05,797][PROCESS_MONITOR][INFO]python3(27464), Memory: 2067 MiB, GPU Memory: 603 MiB
[2022-11-02 16:10:06,812][PROCESS_MONITOR][INFO]python3(27464), Memory: 2067 MiB, GPU Memory: 603 MiB
[2022-11-02 16:10:07,827][PROCESS_MONITOR][INFO]python3(27464), Memory: 2067 MiB, GPU Memory: 603 MiB
[2022-11-02 16:10:08,842][PROCESS_MONITOR][INFO]python3(27464), Memory: 2067 MiB, GPU Memory: 603 MiB
[2022-11-02 16:10:09,858][PROCESS_MONITOR][INFO]python3(27464), Memory: 2067 MiB, GPU Memory: 603 MiB
[2022-11-02 16:10:10,871][PROCESS_MONITOR][INFO]python3(27464), Memory: 2067 MiB, GPU Memory: 603 MiB
[2022-11-02 16:10:11,886][PROCESS_MONITOR][INFO]python3(27464), Memory: 2067 MiB, GPU Memory: 603 MiB
[2022-11-02 16:10:12,901][PROCESS_MONITOR][INFO]python3(27464), Memory: 2067 MiB, GPU Memory: 603 MiB
[2022-11-02 16:10:13,915][PROCESS_MONITOR][INFO]python3(27464), Memory: 2067 MiB, GPU Memory: 603 MiB
[2022-11-02 16:10:14,931][PROCESS_MONITOR][INFO]python3(27464), Memory: 2067 MiB, GPU Memory: 603 MiB
[2022-11-02 16:10:15,947][PROCESS_MONITOR][INFO]python3(27464), Memory: 2067 MiB, GPU Memory: 603 MiB
[2022-11-02 16:10:16,962][PROCESS_MONITOR][INFO]python3(27464), Memory: 2067 MiB, GPU Memory: 603 MiB
[2022-11-02 16:10:17,975][PROCESS_MONITOR][INFO]python3(27464), Memory: 2067 MiB, GPU Memory: 603 MiB
[2022-11-02 16:10:18,989][PROCESS_MONITOR][INFO]python3(27464), Memory: 2067 MiB, GPU Memory: 603 MiB
[2022-11-02 16:10:20,003][PROCESS_MONITOR][INFO]python3(27464), Memory: 2067 MiB, GPU Memory: 603 MiB
[2022-11-02 16:10:21,018][PROCESS_MONITOR][INFO]python3(27464), Memory: 2067 MiB, GPU Memory: 603 MiB
[2022-11-02 16:10:22,032][PROCESS_MONITOR][INFO]python3(27464), Memory: 2067 MiB, GPU Memory: 603 MiB
[2022-11-02 16:10:23,047][PROCESS_MONITOR][INFO]python3(27464), Memory: 2067 MiB, GPU Memory: 603 MiB
[2022-11-02 16:10:24,062][PROCESS_MONITOR][INFO]python3(27464), Memory: 2067 MiB, GPU Memory: 603 MiB
[2022-11-02 16:10:25,076][PROCESS_MONITOR][INFO]python3(27464), Memory: 2067 MiB, GPU Memory: 603 MiB
[2022-11-02 16:10:26,089][PROCESS_MONITOR][INFO]python3(27464), Memory: 2067 MiB, GPU Memory: 603 MiB
[2022-11-02 16:10:27,103][PROCESS_MONITOR][INFO]python3(27464), Memory: 2067 MiB, GPU Memory: 603 MiB
[2022-11-02 16:10:28,118][PROCESS_MONITOR][INFO]python3(27464), Memory: 2067 MiB, GPU Memory: 603 MiB
[2022-11-02 16:10:29,132][PROCESS_MONITOR][INFO]python3(27464), Memory: 2067 MiB, GPU Memory: 603 MiB
[2022-11-02 16:10:30,145][PROCESS_MONITOR][INFO]python3(27464), Memory: 2067 MiB, GPU Memory: 603 MiB
[2022-11-02 16:10:31,159][PROCESS_MONITOR][INFO]python3(27464), Memory: 2067 MiB, GPU Memory: 603 MiB
[2022-11-02 16:10:32,172][PROCESS_MONITOR][INFO]python3(27464), Memory: 2067 MiB, GPU Memory: 603 MiB
[2022-11-02 16:10:33,187][PROCESS_MONITOR][INFO]python3(27464), Memory: 2067 MiB, GPU Memory: 603 MiB
[2022-11-02 16:10:34,202][PROCESS_MONITOR][INFO]python3(27464), Memory: 2067 MiB, GPU Memory: 603 MiB
[2022-11-02 16:10:35,215][PROCESS_MONITOR][INFO]python3(27464), Memory: 2067 MiB, GPU Memory: 603 MiB
[2022-11-02 16:10:36,230][PROCESS_MONITOR][INFO]python3(27464), Memory: 2067 MiB, GPU Memory: 603 MiB
[2022-11-02 16:10:37,243][PROCESS_MONITOR][INFO]python3(27464), Memory: 2067 MiB, GPU Memory: 603 MiB
[2022-11-02 16:10:38,257][PROCESS_MONITOR][INFO]python3(27464), Memory: 2067 MiB, GPU Memory: 603 MiB
[2022-11-02 16:10:39,270][PROCESS_MONITOR][INFO]python3(27464), Memory: 2067 MiB, GPU Memory: 603 MiB
