[2022-09-20 14:18:57,757][PROCESS_MONITOR][INFO]python3(251815), Memory: 802 MiB, GPU Memory: 443 MiB
[2022-09-20 14:18:58,773][PROCESS_MONITOR][INFO]python3(251815), Memory: 802 MiB, GPU Memory: 443 MiB
[2022-09-20 14:18:59,790][PROCESS_MONITOR][INFO]python3(251815), Memory: 802 MiB, GPU Memory: 443 MiB
[2022-09-20 14:19:00,805][PROCESS_MONITOR][INFO]python3(251815), Memory: 802 MiB, GPU Memory: 443 MiB
[2022-09-20 14:19:01,821][PROCESS_MONITOR][INFO]python3(251815), Memory: 802 MiB, GPU Memory: 443 MiB
[2022-09-20 14:19:02,835][PROCESS_MONITOR][INFO]python3(251815), Memory: 802 MiB, GPU Memory: 443 MiB
[2022-09-20 14:19:03,851][PROCESS_MONITOR][INFO]python3(251815), Memory: 802 MiB, GPU Memory: 443 MiB
[2022-09-20 14:19:04,867][PROCESS_MONITOR][INFO]python3(251815), Memory: 802 MiB, GPU Memory: 443 MiB
[2022-09-20 14:19:05,883][PROCESS_MONITOR][INFO]python3(251815), Memory: 802 MiB, GPU Memory: 443 MiB
[2022-09-20 14:19:06,899][PROCESS_MONITOR][INFO]python3(251815), Memory: 802 MiB, GPU Memory: 443 MiB
[2022-09-20 14:19:07,914][PROCESS_MONITOR][INFO]python3(251815), Memory: 802 MiB, GPU Memory: 443 MiB
[2022-09-20 14:19:08,928][PROCESS_MONITOR][INFO]python3(251815), Memory: 811 MiB, GPU Memory: 443 MiB
[2022-09-20 14:19:09,941][PROCESS_MONITOR][INFO]python3(251815), Memory: 811 MiB, GPU Memory: 443 MiB
[2022-09-20 14:19:10,956][PROCESS_MONITOR][INFO]python3(251815), Memory: 811 MiB, GPU Memory: 443 MiB
[2022-09-20 14:19:11,970][PROCESS_MONITOR][INFO]python3(251815), Memory: 811 MiB, GPU Memory: 443 MiB
[2022-09-20 14:19:12,986][PROCESS_MONITOR][INFO]python3(251815), Memory: 811 MiB, GPU Memory: 443 MiB
[2022-09-20 14:19:14,001][PROCESS_MONITOR][INFO]python3(251815), Memory: 811 MiB, GPU Memory: 443 MiB
[2022-09-20 14:19:15,016][PROCESS_MONITOR][INFO]python3(251815), Memory: 811 MiB, GPU Memory: 443 MiB
[2022-09-20 14:19:16,035][PROCESS_MONITOR][INFO]python3(251815), Memory: 811 MiB, GPU Memory: 443 MiB
[2022-09-20 14:19:17,050][PROCESS_MONITOR][INFO]python3(251815), Memory: 811 MiB, GPU Memory: 443 MiB
[2022-09-20 14:19:18,064][PROCESS_MONITOR][INFO]python3(251815), Memory: 811 MiB, GPU Memory: 443 MiB
[2022-09-20 14:19:19,077][PROCESS_MONITOR][INFO]python3(251815), Memory: 811 MiB, GPU Memory: 443 MiB
[2022-09-20 14:19:20,093][PROCESS_MONITOR][INFO]python3(251815), Memory: 811 MiB, GPU Memory: 443 MiB
[2022-09-20 14:19:21,108][PROCESS_MONITOR][INFO]python3(251815), Memory: 811 MiB, GPU Memory: 443 MiB
[2022-09-20 14:19:22,122][PROCESS_MONITOR][INFO]python3(251815), Memory: 811 MiB, GPU Memory: 443 MiB
[2022-09-20 14:19:23,137][PROCESS_MONITOR][INFO]python3(251815), Memory: 811 MiB, GPU Memory: 443 MiB
[2022-09-20 14:19:24,152][PROCESS_MONITOR][INFO]python3(251815), Memory: 811 MiB, GPU Memory: 443 MiB
[2022-09-20 14:19:25,166][PROCESS_MONITOR][INFO]python3(251815), Memory: 811 MiB, GPU Memory: 443 MiB
[2022-09-20 14:19:26,180][PROCESS_MONITOR][INFO]python3(251815), Memory: 811 MiB, GPU Memory: 443 MiB
[2022-09-20 14:19:27,194][PROCESS_MONITOR][INFO]python3(251815), Memory: 811 MiB, GPU Memory: 443 MiB
[2022-09-20 14:19:28,210][PROCESS_MONITOR][INFO]python3(251815), Memory: 811 MiB, GPU Memory: 443 MiB
