[2022-09-20 14:09:48,261][PROCESS_MONITOR][INFO]python3(247997), Memory: 810 MiB, GPU Memory: 451 MiB
[2022-09-20 14:09:49,278][PROCESS_MONITOR][INFO]python3(247997), Memory: 810 MiB, GPU Memory: 451 MiB
[2022-09-20 14:09:50,292][PROCESS_MONITOR][INFO]python3(247997), Memory: 810 MiB, GPU Memory: 451 MiB
[2022-09-20 14:09:51,308][PROCESS_MONITOR][INFO]python3(247997), Memory: 810 MiB, GPU Memory: 451 MiB
[2022-09-20 14:09:52,325][PROCESS_MONITOR][INFO]python3(247997), Memory: 810 MiB, GPU Memory: 451 MiB
[2022-09-20 14:09:53,341][PROCESS_MONITOR][INFO]python3(247997), Memory: 810 MiB, GPU Memory: 451 MiB
[2022-09-20 14:09:54,357][PROCESS_MONITOR][INFO]python3(247997), Memory: 810 MiB, GPU Memory: 451 MiB
[2022-09-20 14:09:55,373][PROCESS_MONITOR][INFO]python3(247997), Memory: 810 MiB, GPU Memory: 451 MiB
[2022-09-20 14:09:56,389][PROCESS_MONITOR][INFO]python3(247997), Memory: 810 MiB, GPU Memory: 451 MiB
[2022-09-20 14:09:57,403][PROCESS_MONITOR][INFO]python3(247997), Memory: 810 MiB, GPU Memory: 451 MiB
[2022-09-20 14:09:58,417][PROCESS_MONITOR][INFO]python3(247997), Memory: 819 MiB, GPU Memory: 451 MiB
[2022-09-20 14:09:59,430][PROCESS_MONITOR][INFO]python3(247997), Memory: 819 MiB, GPU Memory: 451 MiB
[2022-09-20 14:10:00,443][PROCESS_MONITOR][INFO]python3(247997), Memory: 819 MiB, GPU Memory: 451 MiB
[2022-09-20 14:10:01,457][PROCESS_MONITOR][INFO]python3(247997), Memory: 819 MiB, GPU Memory: 451 MiB
[2022-09-20 14:10:02,472][PROCESS_MONITOR][INFO]python3(247997), Memory: 819 MiB, GPU Memory: 451 MiB
[2022-09-20 14:10:03,486][PROCESS_MONITOR][INFO]python3(247997), Memory: 819 MiB, GPU Memory: 451 MiB
[2022-09-20 14:10:04,500][PROCESS_MONITOR][INFO]python3(247997), Memory: 819 MiB, GPU Memory: 451 MiB
[2022-09-20 14:10:05,515][PROCESS_MONITOR][INFO]python3(247997), Memory: 819 MiB, GPU Memory: 451 MiB
[2022-09-20 14:10:06,530][PROCESS_MONITOR][INFO]python3(247997), Memory: 819 MiB, GPU Memory: 451 MiB
[2022-09-20 14:10:07,552][PROCESS_MONITOR][INFO]python3(247997), Memory: 819 MiB, GPU Memory: 451 MiB
[2022-09-20 14:10:08,568][PROCESS_MONITOR][INFO]python3(247997), Memory: 819 MiB, GPU Memory: 451 MiB
[2022-09-20 14:10:09,582][PROCESS_MONITOR][INFO]python3(247997), Memory: 819 MiB, GPU Memory: 451 MiB
[2022-09-20 14:10:10,597][PROCESS_MONITOR][INFO]python3(247997), Memory: 819 MiB, GPU Memory: 451 MiB
[2022-09-20 14:10:11,612][PROCESS_MONITOR][INFO]python3(247997), Memory: 819 MiB, GPU Memory: 451 MiB
[2022-09-20 14:10:12,626][PROCESS_MONITOR][INFO]python3(247997), Memory: 819 MiB, GPU Memory: 451 MiB
[2022-09-20 14:10:13,641][PROCESS_MONITOR][INFO]python3(247997), Memory: 819 MiB, GPU Memory: 451 MiB
[2022-09-20 14:10:14,656][PROCESS_MONITOR][INFO]python3(247997), Memory: 819 MiB, GPU Memory: 451 MiB
[2022-09-20 14:10:15,672][PROCESS_MONITOR][INFO]python3(247997), Memory: 819 MiB, GPU Memory: 451 MiB
[2022-09-20 14:10:16,686][PROCESS_MONITOR][INFO]python3(247997), Memory: 819 MiB, GPU Memory: 451 MiB
[2022-09-20 14:10:17,701][PROCESS_MONITOR][INFO]python3(247997), Memory: 819 MiB, GPU Memory: 451 MiB
[2022-09-20 14:10:18,715][PROCESS_MONITOR][INFO]python3(247997), Memory: 819 MiB, GPU Memory: 451 MiB
[2022-09-20 14:10:19,730][PROCESS_MONITOR][INFO]python3(247997), Memory: 819 MiB, GPU Memory: 451 MiB
[2022-09-20 14:10:20,745][PROCESS_MONITOR][INFO]python3(247997), Memory: 819 MiB, GPU Memory: 451 MiB
[2022-09-20 14:10:21,760][PROCESS_MONITOR][INFO]python3(247997), Memory: 819 MiB, GPU Memory: 451 MiB
[2022-09-20 14:10:22,775][PROCESS_MONITOR][INFO]python3(247997), Memory: 819 MiB, GPU Memory: 451 MiB
[2022-09-20 14:10:23,788][PROCESS_MONITOR][INFO]python3(247997), Memory: 819 MiB, GPU Memory: 451 MiB
[2022-09-20 14:10:24,804][PROCESS_MONITOR][INFO]python3(247997), Memory: 819 MiB, GPU Memory: 451 MiB
[2022-09-20 14:10:25,819][PROCESS_MONITOR][INFO]python3(247997), Memory: 819 MiB, GPU Memory: 451 MiB
[2022-09-20 14:10:26,832][PROCESS_MONITOR][INFO]python3(247997), Memory: 819 MiB, GPU Memory: 451 MiB
[2022-09-20 14:10:27,847][PROCESS_MONITOR][INFO]python3(247997), Memory: 819 MiB, GPU Memory: 451 MiB
[2022-09-20 14:10:28,861][PROCESS_MONITOR][INFO]python3(247997), Memory: 819 MiB, GPU Memory: 451 MiB
[2022-09-20 14:10:29,875][PROCESS_MONITOR][INFO]python3(247997), Memory: 819 MiB, GPU Memory: 451 MiB
[2022-09-20 14:10:30,890][PROCESS_MONITOR][INFO]python3(247997), Memory: 819 MiB, GPU Memory: 451 MiB
