[2022-09-20 13:52:46,587][PROCESS_MONITOR][INFO]python3(245414), Memory: 801 MiB, GPU Memory: 441 MiB
[2022-09-20 13:52:47,603][PROCESS_MONITOR][INFO]python3(245414), Memory: 801 MiB, GPU Memory: 441 MiB
[2022-09-20 13:52:48,619][PROCESS_MONITOR][INFO]python3(245414), Memory: 801 MiB, GPU Memory: 441 MiB
[2022-09-20 13:52:49,635][PROCESS_MONITOR][INFO]python3(245414), Memory: 801 MiB, GPU Memory: 441 MiB
[2022-09-20 13:52:50,650][PROCESS_MONITOR][INFO]python3(245414), Memory: 801 MiB, GPU Memory: 441 MiB
[2022-09-20 13:52:51,665][PROCESS_MONITOR][INFO]python3(245414), Memory: 801 MiB, GPU Memory: 441 MiB
[2022-09-20 13:52:52,681][PROCESS_MONITOR][INFO]python3(245414), Memory: 801 MiB, GPU Memory: 441 MiB
[2022-09-20 13:52:53,694][PROCESS_MONITOR][INFO]python3(245414), Memory: 801 MiB, GPU Memory: 441 MiB
[2022-09-20 13:52:54,707][PROCESS_MONITOR][INFO]python3(245414), Memory: 802 MiB, GPU Memory: 441 MiB
[2022-09-20 13:52:55,721][PROCESS_MONITOR][INFO]python3(245414), Memory: 811 MiB, GPU Memory: 441 MiB
[2022-09-20 13:52:56,735][PROCESS_MONITOR][INFO]python3(245414), Memory: 811 MiB, GPU Memory: 441 MiB
[2022-09-20 13:52:57,749][PROCESS_MONITOR][INFO]python3(245414), Memory: 811 MiB, GPU Memory: 441 MiB
[2022-09-20 13:52:58,763][PROCESS_MONITOR][INFO]python3(245414), Memory: 811 MiB, GPU Memory: 441 MiB
[2022-09-20 13:52:59,778][PROCESS_MONITOR][INFO]python3(245414), Memory: 811 MiB, GPU Memory: 441 MiB
[2022-09-20 13:53:00,791][PROCESS_MONITOR][INFO]python3(245414), Memory: 811 MiB, GPU Memory: 441 MiB
[2022-09-20 13:53:01,806][PROCESS_MONITOR][INFO]python3(245414), Memory: 811 MiB, GPU Memory: 441 MiB
