[2022-09-22 20:21:55,693][PROCESS_MONITOR][INFO]python3(400867), Memory: 1929 MiB, GPU Memory: 349 MiB
[2022-09-22 20:21:56,709][PROCESS_MONITOR][INFO]python3(400867), Memory: 1929 MiB, GPU Memory: 349 MiB
[2022-09-22 20:21:57,725][PROCESS_MONITOR][INFO]python3(400867), Memory: 1929 MiB, GPU Memory: 349 MiB
[2022-09-22 20:21:58,743][PROCESS_MONITOR][INFO]python3(400867), Memory: 1929 MiB, GPU Memory: 349 MiB
[2022-09-22 20:21:59,758][PROCESS_MONITOR][INFO]python3(400867), Memory: 1929 MiB, GPU Memory: 349 MiB
[2022-09-22 20:22:00,773][PROCESS_MONITOR][INFO]python3(400867), Memory: 1929 MiB, GPU Memory: 349 MiB
[2022-09-22 20:22:01,789][PROCESS_MONITOR][INFO]python3(400867), Memory: 1929 MiB, GPU Memory: 349 MiB
[2022-09-22 20:22:02,804][PROCESS_MONITOR][INFO]python3(400867), Memory: 1929 MiB, GPU Memory: 349 MiB
[2022-09-22 20:22:03,820][PROCESS_MONITOR][INFO]python3(400867), Memory: 1929 MiB, GPU Memory: 349 MiB
[2022-09-22 20:22:04,837][PROCESS_MONITOR][INFO]python3(400867), Memory: 1929 MiB, GPU Memory: 349 MiB
[2022-09-22 20:22:05,853][PROCESS_MONITOR][INFO]python3(400867), Memory: 1929 MiB, GPU Memory: 349 MiB
[2022-09-22 20:22:06,869][PROCESS_MONITOR][INFO]python3(400867), Memory: 1929 MiB, GPU Memory: 349 MiB
[2022-09-22 20:22:07,885][PROCESS_MONITOR][INFO]python3(400867), Memory: 1929 MiB, GPU Memory: 349 MiB
[2022-09-22 20:22:08,901][PROCESS_MONITOR][INFO]python3(400867), Memory: 1929 MiB, GPU Memory: 349 MiB
[2022-09-22 20:22:09,917][PROCESS_MONITOR][INFO]python3(400867), Memory: 1929 MiB, GPU Memory: 349 MiB
[2022-09-22 20:22:10,933][PROCESS_MONITOR][INFO]python3(400867), Memory: 1929 MiB, GPU Memory: 349 MiB
[2022-09-22 20:22:11,950][PROCESS_MONITOR][INFO]python3(400867), Memory: 1929 MiB, GPU Memory: 349 MiB
[2022-09-22 20:22:12,966][PROCESS_MONITOR][INFO]python3(400867), Memory: 1929 MiB, GPU Memory: 349 MiB
[2022-09-22 20:22:13,981][PROCESS_MONITOR][INFO]python3(400867), Memory: 1929 MiB, GPU Memory: 349 MiB
[2022-09-22 20:22:14,996][PROCESS_MONITOR][INFO]python3(400867), Memory: 1929 MiB, GPU Memory: 349 MiB
[2022-09-22 20:22:16,008][PROCESS_MONITOR][INFO]python3(400867), Memory: 2350 MiB, GPU Memory: 383 MiB
[2022-09-22 20:22:17,020][PROCESS_MONITOR][INFO]python3(400867), Memory: 2355 MiB, GPU Memory: 383 MiB
[2022-09-22 20:22:18,034][PROCESS_MONITOR][INFO]python3(400867), Memory: 2355 MiB, GPU Memory: 383 MiB
[2022-09-22 20:22:19,048][PROCESS_MONITOR][INFO]python3(400867), Memory: 2355 MiB, GPU Memory: 383 MiB
[2022-09-22 20:22:20,062][PROCESS_MONITOR][INFO]python3(400867), Memory: 2355 MiB, GPU Memory: 383 MiB
[2022-09-22 20:22:21,077][PROCESS_MONITOR][INFO]python3(400867), Memory: 2355 MiB, GPU Memory: 383 MiB
