[2022-11-03 18:23:47,503][PROCESS_MONITOR][INFO]python3(253687), Memory: 1636 MiB, GPU Memory: 589 MiB
[2022-11-03 18:23:48,518][PROCESS_MONITOR][INFO]python3(253687), Memory: 1636 MiB, GPU Memory: 589 MiB
[2022-11-03 18:23:49,533][PROCESS_MONITOR][INFO]python3(253687), Memory: 1636 MiB, GPU Memory: 589 MiB
[2022-11-03 18:23:50,547][PROCESS_MONITOR][INFO]python3(253687), Memory: 1636 MiB, GPU Memory: 589 MiB
[2022-11-03 18:23:51,560][PROCESS_MONITOR][INFO]python3(253687), Memory: 1636 MiB, GPU Memory: 589 MiB
[2022-11-03 18:23:52,575][PROCESS_MONITOR][INFO]python3(253687), Memory: 1636 MiB, GPU Memory: 589 MiB
[2022-11-03 18:23:53,589][PROCESS_MONITOR][INFO]python3(253687), Memory: 1636 MiB, GPU Memory: 589 MiB
[2022-11-03 18:23:54,601][PROCESS_MONITOR][INFO]python3(253687), Memory: 2047 MiB, GPU Memory: 589 MiB
[2022-11-03 18:23:55,613][PROCESS_MONITOR][INFO]python3(253687), Memory: 2047 MiB, GPU Memory: 589 MiB
[2022-11-03 18:23:56,627][PROCESS_MONITOR][INFO]python3(253687), Memory: 2047 MiB, GPU Memory: 589 MiB
[2022-11-03 18:23:57,640][PROCESS_MONITOR][INFO]python3(253687), Memory: 2047 MiB, GPU Memory: 589 MiB
[2022-11-03 18:23:58,657][PROCESS_MONITOR][INFO]python3(253687), Memory: 2047 MiB, GPU Memory: 589 MiB
[2022-11-03 18:23:59,671][PROCESS_MONITOR][INFO]python3(253687), Memory: 2047 MiB, GPU Memory: 589 MiB
[2022-11-03 18:24:00,687][PROCESS_MONITOR][INFO]python3(253687), Memory: 2047 MiB, GPU Memory: 589 MiB
[2022-11-03 18:24:01,700][PROCESS_MONITOR][INFO]python3(253687), Memory: 2047 MiB, GPU Memory: 589 MiB
[2022-11-03 18:24:02,715][PROCESS_MONITOR][INFO]python3(253687), Memory: 2047 MiB, GPU Memory: 589 MiB
[2022-11-03 18:24:03,730][PROCESS_MONITOR][INFO]python3(253687), Memory: 2047 MiB, GPU Memory: 589 MiB
[2022-11-03 18:24:04,744][PROCESS_MONITOR][INFO]python3(253687), Memory: 2047 MiB, GPU Memory: 589 MiB
[2022-11-03 18:24:05,758][PROCESS_MONITOR][INFO]python3(253687), Memory: 2047 MiB, GPU Memory: 589 MiB
[2022-11-03 18:24:06,772][PROCESS_MONITOR][INFO]python3(253687), Memory: 2047 MiB, GPU Memory: 589 MiB
[2022-11-03 18:24:07,787][PROCESS_MONITOR][INFO]python3(253687), Memory: 2047 MiB, GPU Memory: 589 MiB
[2022-11-03 18:24:08,800][PROCESS_MONITOR][INFO]python3(253687), Memory: 2047 MiB, GPU Memory: 589 MiB
[2022-11-03 18:24:09,814][PROCESS_MONITOR][INFO]python3(253687), Memory: 2047 MiB, GPU Memory: 589 MiB
[2022-11-03 18:24:10,828][PROCESS_MONITOR][INFO]python3(253687), Memory: 2047 MiB, GPU Memory: 589 MiB
[2022-11-03 18:24:11,843][PROCESS_MONITOR][INFO]python3(253687), Memory: 2047 MiB, GPU Memory: 589 MiB
[2022-11-03 18:24:12,857][PROCESS_MONITOR][INFO]python3(253687), Memory: 2047 MiB, GPU Memory: 589 MiB
[2022-11-03 18:24:13,872][PROCESS_MONITOR][INFO]python3(253687), Memory: 2047 MiB, GPU Memory: 589 MiB
[2022-11-03 18:24:14,886][PROCESS_MONITOR][INFO]python3(253687), Memory: 2047 MiB, GPU Memory: 589 MiB
[2022-11-03 18:24:15,899][PROCESS_MONITOR][INFO]python3(253687), Memory: 2047 MiB, GPU Memory: 589 MiB
[2022-11-03 18:24:16,914][PROCESS_MONITOR][INFO]python3(253687), Memory: 2047 MiB, GPU Memory: 589 MiB
[2022-11-03 18:24:17,928][PROCESS_MONITOR][INFO]python3(253687), Memory: 2047 MiB, GPU Memory: 589 MiB
[2022-11-03 18:24:18,942][PROCESS_MONITOR][INFO]python3(253687), Memory: 2047 MiB, GPU Memory: 589 MiB
[2022-11-03 18:24:19,956][PROCESS_MONITOR][INFO]python3(253687), Memory: 2047 MiB, GPU Memory: 589 MiB
[2022-11-03 18:24:20,969][PROCESS_MONITOR][INFO]python3(253687), Memory: 2047 MiB, GPU Memory: 589 MiB
[2022-11-03 18:24:21,983][PROCESS_MONITOR][INFO]python3(253687), Memory: 2047 MiB, GPU Memory: 589 MiB
[2022-11-03 18:24:22,998][PROCESS_MONITOR][INFO]python3(253687), Memory: 2047 MiB, GPU Memory: 589 MiB
[2022-11-03 18:24:24,011][PROCESS_MONITOR][INFO]python3(253687), Memory: 2047 MiB, GPU Memory: 589 MiB
[2022-11-03 18:24:25,026][PROCESS_MONITOR][INFO]python3(253687), Memory: 2047 MiB, GPU Memory: 589 MiB
[2022-11-03 18:24:26,040][PROCESS_MONITOR][INFO]python3(253687), Memory: 2047 MiB, GPU Memory: 589 MiB
[2022-11-03 18:24:27,054][PROCESS_MONITOR][INFO]python3(253687), Memory: 2047 MiB, GPU Memory: 589 MiB
[2022-11-03 18:24:28,069][PROCESS_MONITOR][INFO]python3(253687), Memory: 2047 MiB, GPU Memory: 589 MiB
[2022-11-03 18:24:29,084][PROCESS_MONITOR][INFO]python3(253687), Memory: 2047 MiB, GPU Memory: 589 MiB
[2022-11-03 18:24:30,099][PROCESS_MONITOR][INFO]python3(253687), Memory: 2047 MiB, GPU Memory: 589 MiB
[2022-11-03 18:24:31,114][PROCESS_MONITOR][INFO]python3(253687), Memory: 2047 MiB, GPU Memory: 589 MiB
[2022-11-03 18:24:32,129][PROCESS_MONITOR][INFO]python3(253687), Memory: 2047 MiB, GPU Memory: 589 MiB
[2022-11-03 18:24:33,143][PROCESS_MONITOR][INFO]python3(253687), Memory: 2047 MiB, GPU Memory: 589 MiB
[2022-11-03 18:24:34,157][PROCESS_MONITOR][INFO]python3(253687), Memory: 2047 MiB, GPU Memory: 589 MiB
[2022-11-03 18:24:35,171][PROCESS_MONITOR][INFO]python3(253687), Memory: 2047 MiB, GPU Memory: 589 MiB
[2022-11-03 18:24:36,186][PROCESS_MONITOR][INFO]python3(253687), Memory: 2047 MiB, GPU Memory: 589 MiB
[2022-11-03 18:24:37,200][PROCESS_MONITOR][INFO]python3(253687), Memory: 2047 MiB, GPU Memory: 589 MiB
[2022-11-03 18:24:38,215][PROCESS_MONITOR][INFO]python3(253687), Memory: 2047 MiB, GPU Memory: 589 MiB
[2022-11-03 18:24:39,230][PROCESS_MONITOR][INFO]python3(253687), Memory: 2047 MiB, GPU Memory: 589 MiB
