[2022-09-15 18:34:57,446][PROCESS_MONITOR][INFO]python3(515764), Memory: 3719 MiB, GPU Memory: 1725 MiB
[2022-09-15 18:34:58,462][PROCESS_MONITOR][INFO]python3(515764), Memory: 3719 MiB, GPU Memory: 1725 MiB
[2022-09-15 18:34:59,478][PROCESS_MONITOR][INFO]python3(515764), Memory: 3719 MiB, GPU Memory: 1725 MiB
[2022-09-15 18:35:00,495][PROCESS_MONITOR][INFO]python3(515764), Memory: 3719 MiB, GPU Memory: 1725 MiB
[2022-09-15 18:35:01,510][PROCESS_MONITOR][INFO]python3(515764), Memory: 3719 MiB, GPU Memory: 1725 MiB
[2022-09-15 18:35:02,525][PROCESS_MONITOR][INFO]python3(515764), Memory: 3719 MiB, GPU Memory: 1725 MiB
[2022-09-15 18:35:03,541][PROCESS_MONITOR][INFO]python3(515764), Memory: 3719 MiB, GPU Memory: 1725 MiB
[2022-09-15 18:35:04,557][PROCESS_MONITOR][INFO]python3(515764), Memory: 3719 MiB, GPU Memory: 1725 MiB
[2022-09-15 18:35:05,572][PROCESS_MONITOR][INFO]python3(515764), Memory: 3719 MiB, GPU Memory: 1725 MiB
[2022-09-15 18:35:06,589][PROCESS_MONITOR][INFO]python3(515764), Memory: 3719 MiB, GPU Memory: 1725 MiB
[2022-09-15 18:35:07,605][PROCESS_MONITOR][INFO]python3(515764), Memory: 3719 MiB, GPU Memory: 1725 MiB
[2022-09-15 18:35:08,620][PROCESS_MONITOR][INFO]python3(515764), Memory: 3719 MiB, GPU Memory: 1725 MiB
[2022-09-15 18:35:09,637][PROCESS_MONITOR][INFO]python3(515764), Memory: 3719 MiB, GPU Memory: 1725 MiB
[2022-09-15 18:35:10,653][PROCESS_MONITOR][INFO]python3(515764), Memory: 3719 MiB, GPU Memory: 1725 MiB
[2022-09-15 18:35:11,669][PROCESS_MONITOR][INFO]python3(515764), Memory: 3719 MiB, GPU Memory: 1725 MiB
[2022-09-15 18:35:12,686][PROCESS_MONITOR][INFO]python3(515764), Memory: 3719 MiB, GPU Memory: 1725 MiB
[2022-09-15 18:35:13,701][PROCESS_MONITOR][INFO]python3(515764), Memory: 3719 MiB, GPU Memory: 1725 MiB
[2022-09-15 18:35:14,717][PROCESS_MONITOR][INFO]python3(515764), Memory: 3719 MiB, GPU Memory: 1725 MiB
[2022-09-15 18:35:15,733][PROCESS_MONITOR][INFO]python3(515764), Memory: 3719 MiB, GPU Memory: 1725 MiB
[2022-09-15 18:35:16,749][PROCESS_MONITOR][INFO]python3(515764), Memory: 3719 MiB, GPU Memory: 1725 MiB
[2022-09-15 18:35:17,762][PROCESS_MONITOR][INFO]python3(515764), Memory: 3719 MiB, GPU Memory: 1725 MiB
[2022-09-15 18:35:18,776][PROCESS_MONITOR][INFO]python3(515764), Memory: 4311 MiB, GPU Memory: 1927 MiB
[2022-09-15 18:35:19,790][PROCESS_MONITOR][INFO]python3(515764), Memory: 4670 MiB, GPU Memory: 2125 MiB
[2022-09-15 18:35:20,805][PROCESS_MONITOR][INFO]python3(515764), Memory: 4670 MiB, GPU Memory: 2125 MiB
[2022-09-15 18:35:21,821][PROCESS_MONITOR][INFO]python3(515764), Memory: 4670 MiB, GPU Memory: 2125 MiB
[2022-09-15 18:35:22,837][PROCESS_MONITOR][INFO]python3(515764), Memory: 4670 MiB, GPU Memory: 2125 MiB
[2022-09-15 18:35:23,853][PROCESS_MONITOR][INFO]python3(515764), Memory: 4670 MiB, GPU Memory: 2125 MiB
[2022-09-15 18:35:24,869][PROCESS_MONITOR][INFO]python3(515764), Memory: 4670 MiB, GPU Memory: 2125 MiB
[2022-09-15 18:35:25,886][PROCESS_MONITOR][INFO]python3(515764), Memory: 4670 MiB, GPU Memory: 2125 MiB
[2022-09-15 18:35:26,901][PROCESS_MONITOR][INFO]python3(515764), Memory: 4670 MiB, GPU Memory: 2125 MiB
[2022-09-15 18:35:27,917][PROCESS_MONITOR][INFO]python3(515764), Memory: 4670 MiB, GPU Memory: 2125 MiB
[2022-09-15 18:35:28,933][PROCESS_MONITOR][INFO]python3(515764), Memory: 4670 MiB, GPU Memory: 2125 MiB
[2022-09-15 18:35:29,947][PROCESS_MONITOR][INFO]python3(515764), Memory: 4670 MiB, GPU Memory: 2125 MiB
[2022-09-15 18:35:30,963][PROCESS_MONITOR][INFO]python3(515764), Memory: 4670 MiB, GPU Memory: 2125 MiB
[2022-09-15 18:35:31,982][PROCESS_MONITOR][INFO]python3(515764), Memory: 4670 MiB, GPU Memory: 2125 MiB
[2022-09-15 18:35:32,996][PROCESS_MONITOR][INFO]python3(515764), Memory: 4670 MiB, GPU Memory: 2125 MiB
[2022-09-15 18:35:34,011][PROCESS_MONITOR][INFO]python3(515764), Memory: 4670 MiB, GPU Memory: 2125 MiB
[2022-09-15 18:35:35,026][PROCESS_MONITOR][INFO]python3(515764), Memory: 4670 MiB, GPU Memory: 2125 MiB
[2022-09-15 18:35:36,042][PROCESS_MONITOR][INFO]python3(515764), Memory: 4670 MiB, GPU Memory: 2125 MiB
[2022-09-15 18:35:37,058][PROCESS_MONITOR][INFO]python3(515764), Memory: 4670 MiB, GPU Memory: 2125 MiB
[2022-09-15 18:35:38,073][PROCESS_MONITOR][INFO]python3(515764), Memory: 4670 MiB, GPU Memory: 2125 MiB
[2022-09-15 18:35:39,089][PROCESS_MONITOR][INFO]python3(515764), Memory: 4670 MiB, GPU Memory: 2125 MiB
[2022-09-15 18:35:40,105][PROCESS_MONITOR][INFO]python3(515764), Memory: 4670 MiB, GPU Memory: 2125 MiB
[2022-09-15 18:35:41,120][PROCESS_MONITOR][INFO]python3(515764), Memory: 4670 MiB, GPU Memory: 2125 MiB
[2022-09-15 18:35:42,137][PROCESS_MONITOR][INFO]python3(515764), Memory: 4670 MiB, GPU Memory: 2125 MiB
[2022-09-15 18:35:43,152][PROCESS_MONITOR][INFO]python3(515764), Memory: 4670 MiB, GPU Memory: 2125 MiB
[2022-09-15 18:35:44,167][PROCESS_MONITOR][INFO]python3(515764), Memory: 4670 MiB, GPU Memory: 2125 MiB
[2022-09-15 18:35:45,182][PROCESS_MONITOR][INFO]python3(515764), Memory: 4670 MiB, GPU Memory: 2125 MiB
[2022-09-15 18:35:46,198][PROCESS_MONITOR][INFO]python3(515764), Memory: 4670 MiB, GPU Memory: 2125 MiB
[2022-09-15 18:35:47,213][PROCESS_MONITOR][INFO]python3(515764), Memory: 4670 MiB, GPU Memory: 2125 MiB
[2022-09-15 18:35:48,229][PROCESS_MONITOR][INFO]python3(515764), Memory: 4670 MiB, GPU Memory: 2125 MiB
[2022-09-15 18:35:49,244][PROCESS_MONITOR][INFO]python3(515764), Memory: 4670 MiB, GPU Memory: 2125 MiB
[2022-09-15 18:35:50,261][PROCESS_MONITOR][INFO]python3(515764), Memory: 4670 MiB, GPU Memory: 2125 MiB
[2022-09-15 18:35:51,277][PROCESS_MONITOR][INFO]python3(515764), Memory: 4670 MiB, GPU Memory: 2125 MiB
[2022-09-15 18:35:52,291][PROCESS_MONITOR][INFO]python3(515764), Memory: 4670 MiB, GPU Memory: 2125 MiB
[2022-09-15 18:35:53,307][PROCESS_MONITOR][INFO]python3(515764), Memory: 4670 MiB, GPU Memory: 2125 MiB
[2022-09-15 18:35:54,323][PROCESS_MONITOR][INFO]python3(515764), Memory: 4670 MiB, GPU Memory: 2125 MiB
[2022-09-15 18:35:55,338][PROCESS_MONITOR][INFO]python3(515764), Memory: 4670 MiB, GPU Memory: 2125 MiB
[2022-09-15 18:35:56,354][PROCESS_MONITOR][INFO]python3(515764), Memory: 4670 MiB, GPU Memory: 2125 MiB
[2022-09-15 18:35:57,370][PROCESS_MONITOR][INFO]python3(515764), Memory: 4670 MiB, GPU Memory: 2125 MiB
[2022-09-15 18:35:58,386][PROCESS_MONITOR][INFO]python3(515764), Memory: 4670 MiB, GPU Memory: 2125 MiB
[2022-09-15 18:35:59,402][PROCESS_MONITOR][INFO]python3(515764), Memory: 4670 MiB, GPU Memory: 2125 MiB
[2022-09-15 18:36:00,417][PROCESS_MONITOR][INFO]python3(515764), Memory: 4670 MiB, GPU Memory: 2125 MiB
[2022-09-15 18:36:01,433][PROCESS_MONITOR][INFO]python3(515764), Memory: 4670 MiB, GPU Memory: 2125 MiB
[2022-09-15 18:36:02,448][PROCESS_MONITOR][INFO]python3(515764), Memory: 4670 MiB, GPU Memory: 2125 MiB
[2022-09-15 18:36:03,463][PROCESS_MONITOR][INFO]python3(515764), Memory: 4670 MiB, GPU Memory: 2125 MiB
[2022-09-15 18:36:04,478][PROCESS_MONITOR][INFO]python3(515764), Memory: 4670 MiB, GPU Memory: 2125 MiB
[2022-09-15 18:36:05,494][PROCESS_MONITOR][INFO]python3(515764), Memory: 4670 MiB, GPU Memory: 2125 MiB
[2022-09-15 18:36:06,509][PROCESS_MONITOR][INFO]python3(515764), Memory: 4670 MiB, GPU Memory: 2125 MiB
