[2022-11-02 16:17:10,092][PROCESS_MONITOR][INFO]python3(30885), Memory: 1635 MiB, GPU Memory: 589 MiB
[2022-11-02 16:17:11,106][PROCESS_MONITOR][INFO]python3(30885), Memory: 1635 MiB, GPU Memory: 589 MiB
[2022-11-02 16:17:12,121][PROCESS_MONITOR][INFO]python3(30885), Memory: 1635 MiB, GPU Memory: 589 MiB
[2022-11-02 16:17:13,136][PROCESS_MONITOR][INFO]python3(30885), Memory: 1635 MiB, GPU Memory: 589 MiB
[2022-11-02 16:17:14,156][PROCESS_MONITOR][INFO]python3(30885), Memory: 1635 MiB, GPU Memory: 589 MiB
[2022-11-02 16:17:15,173][PROCESS_MONITOR][INFO]python3(30885), Memory: 1635 MiB, GPU Memory: 589 MiB
[2022-11-02 16:17:16,187][PROCESS_MONITOR][INFO]python3(30885), Memory: 1635 MiB, GPU Memory: 589 MiB
[2022-11-02 16:17:17,202][PROCESS_MONITOR][INFO]python3(30885), Memory: 1635 MiB, GPU Memory: 589 MiB
[2022-11-02 16:17:18,217][PROCESS_MONITOR][INFO]python3(30885), Memory: 1635 MiB, GPU Memory: 589 MiB
[2022-11-02 16:17:19,232][PROCESS_MONITOR][INFO]python3(30885), Memory: 1635 MiB, GPU Memory: 589 MiB
[2022-11-02 16:17:20,247][PROCESS_MONITOR][INFO]python3(30885), Memory: 1635 MiB, GPU Memory: 589 MiB
[2022-11-02 16:17:21,261][PROCESS_MONITOR][INFO]python3(30885), Memory: 1635 MiB, GPU Memory: 589 MiB
[2022-11-02 16:17:22,277][PROCESS_MONITOR][INFO]python3(30885), Memory: 1635 MiB, GPU Memory: 589 MiB
[2022-11-02 16:17:23,293][PROCESS_MONITOR][INFO]python3(30885), Memory: 1635 MiB, GPU Memory: 589 MiB
[2022-11-02 16:17:24,308][PROCESS_MONITOR][INFO]python3(30885), Memory: 1635 MiB, GPU Memory: 589 MiB
[2022-11-02 16:17:25,323][PROCESS_MONITOR][INFO]python3(30885), Memory: 1635 MiB, GPU Memory: 589 MiB
[2022-11-02 16:17:26,336][PROCESS_MONITOR][INFO]python3(30885), Memory: 1635 MiB, GPU Memory: 589 MiB
[2022-11-02 16:17:27,347][PROCESS_MONITOR][INFO]python3(30885), Memory: 1856 MiB, GPU Memory: 589 MiB
[2022-11-02 16:17:28,361][PROCESS_MONITOR][INFO]python3(30885), Memory: 2047 MiB, GPU Memory: 589 MiB
[2022-11-02 16:17:29,373][PROCESS_MONITOR][INFO]python3(30885), Memory: 2047 MiB, GPU Memory: 589 MiB
[2022-11-02 16:17:30,389][PROCESS_MONITOR][INFO]python3(30885), Memory: 2047 MiB, GPU Memory: 589 MiB
[2022-11-02 16:17:31,402][PROCESS_MONITOR][INFO]python3(30885), Memory: 2047 MiB, GPU Memory: 589 MiB
[2022-11-02 16:17:32,417][PROCESS_MONITOR][INFO]python3(30885), Memory: 2047 MiB, GPU Memory: 589 MiB
[2022-11-02 16:17:33,429][PROCESS_MONITOR][INFO]python3(30885), Memory: 2047 MiB, GPU Memory: 589 MiB
[2022-11-02 16:17:34,442][PROCESS_MONITOR][INFO]python3(30885), Memory: 2047 MiB, GPU Memory: 589 MiB
[2022-11-02 16:17:35,456][PROCESS_MONITOR][INFO]python3(30885), Memory: 2047 MiB, GPU Memory: 589 MiB
[2022-11-02 16:17:36,468][PROCESS_MONITOR][INFO]python3(30885), Memory: 2047 MiB, GPU Memory: 589 MiB
[2022-11-02 16:17:37,483][PROCESS_MONITOR][INFO]python3(30885), Memory: 2047 MiB, GPU Memory: 589 MiB
[2022-11-02 16:17:38,497][PROCESS_MONITOR][INFO]python3(30885), Memory: 2047 MiB, GPU Memory: 589 MiB
[2022-11-02 16:17:39,723][PROCESS_MONITOR][INFO]python3(30885), Memory: 2047 MiB, GPU Memory: 589 MiB
[2022-11-02 16:17:40,738][PROCESS_MONITOR][INFO]python3(30885), Memory: 2047 MiB, GPU Memory: 589 MiB
[2022-11-02 16:17:41,752][PROCESS_MONITOR][INFO]python3(30885), Memory: 2047 MiB, GPU Memory: 589 MiB
[2022-11-02 16:17:42,766][PROCESS_MONITOR][INFO]python3(30885), Memory: 2047 MiB, GPU Memory: 589 MiB
[2022-11-02 16:17:43,780][PROCESS_MONITOR][INFO]python3(30885), Memory: 2047 MiB, GPU Memory: 589 MiB
[2022-11-02 16:17:44,795][PROCESS_MONITOR][INFO]python3(30885), Memory: 2047 MiB, GPU Memory: 589 MiB
[2022-11-02 16:17:45,810][PROCESS_MONITOR][INFO]python3(30885), Memory: 2047 MiB, GPU Memory: 589 MiB
[2022-11-02 16:17:46,823][PROCESS_MONITOR][INFO]python3(30885), Memory: 2047 MiB, GPU Memory: 589 MiB
[2022-11-02 16:17:47,838][PROCESS_MONITOR][INFO]python3(30885), Memory: 2047 MiB, GPU Memory: 589 MiB
[2022-11-02 16:17:48,852][PROCESS_MONITOR][INFO]python3(30885), Memory: 2047 MiB, GPU Memory: 589 MiB
[2022-11-02 16:17:49,867][PROCESS_MONITOR][INFO]python3(30885), Memory: 2047 MiB, GPU Memory: 589 MiB
[2022-11-02 16:17:50,881][PROCESS_MONITOR][INFO]python3(30885), Memory: 2047 MiB, GPU Memory: 589 MiB
[2022-11-02 16:17:51,894][PROCESS_MONITOR][INFO]python3(30885), Memory: 2047 MiB, GPU Memory: 589 MiB
[2022-11-02 16:17:52,909][PROCESS_MONITOR][INFO]python3(30885), Memory: 2047 MiB, GPU Memory: 589 MiB
[2022-11-02 16:17:53,922][PROCESS_MONITOR][INFO]python3(30885), Memory: 2047 MiB, GPU Memory: 589 MiB
[2022-11-02 16:17:54,936][PROCESS_MONITOR][INFO]python3(30885), Memory: 2047 MiB, GPU Memory: 589 MiB
[2022-11-02 16:17:55,950][PROCESS_MONITOR][INFO]python3(30885), Memory: 2047 MiB, GPU Memory: 589 MiB
[2022-11-02 16:17:56,963][PROCESS_MONITOR][INFO]python3(30885), Memory: 2047 MiB, GPU Memory: 589 MiB
[2022-11-02 16:17:57,977][PROCESS_MONITOR][INFO]python3(30885), Memory: 2047 MiB, GPU Memory: 589 MiB
[2022-11-02 16:17:58,990][PROCESS_MONITOR][INFO]python3(30885), Memory: 2047 MiB, GPU Memory: 589 MiB
[2022-11-02 16:18:00,005][PROCESS_MONITOR][INFO]python3(30885), Memory: 2047 MiB, GPU Memory: 589 MiB
[2022-11-02 16:18:01,019][PROCESS_MONITOR][INFO]python3(30885), Memory: 2047 MiB, GPU Memory: 589 MiB
[2022-11-02 16:18:02,032][PROCESS_MONITOR][INFO]python3(30885), Memory: 2047 MiB, GPU Memory: 589 MiB
[2022-11-02 16:18:03,045][PROCESS_MONITOR][INFO]python3(30885), Memory: 2047 MiB, GPU Memory: 589 MiB
[2022-11-02 16:18:04,060][PROCESS_MONITOR][INFO]python3(30885), Memory: 2047 MiB, GPU Memory: 589 MiB
[2022-11-02 16:18:05,074][PROCESS_MONITOR][INFO]python3(30885), Memory: 2047 MiB, GPU Memory: 589 MiB
[2022-11-02 16:18:06,089][PROCESS_MONITOR][INFO]python3(30885), Memory: 2047 MiB, GPU Memory: 589 MiB
[2022-11-02 16:18:07,103][PROCESS_MONITOR][INFO]python3(30885), Memory: 2047 MiB, GPU Memory: 589 MiB
[2022-11-02 16:18:08,116][PROCESS_MONITOR][INFO]python3(30885), Memory: 2047 MiB, GPU Memory: 589 MiB
[2022-11-02 16:18:09,130][PROCESS_MONITOR][INFO]python3(30885), Memory: 2047 MiB, GPU Memory: 589 MiB
[2022-11-02 16:18:10,144][PROCESS_MONITOR][INFO]python3(30885), Memory: 2047 MiB, GPU Memory: 589 MiB
[2022-11-02 16:18:11,158][PROCESS_MONITOR][INFO]python3(30885), Memory: 2047 MiB, GPU Memory: 589 MiB
[2022-11-02 16:18:12,172][PROCESS_MONITOR][INFO]python3(30885), Memory: 2047 MiB, GPU Memory: 589 MiB
[2022-11-02 16:18:13,186][PROCESS_MONITOR][INFO]python3(30885), Memory: 2047 MiB, GPU Memory: 589 MiB
[2022-11-02 16:18:14,199][PROCESS_MONITOR][INFO]python3(30885), Memory: 2047 MiB, GPU Memory: 589 MiB
[2022-11-02 16:18:15,214][PROCESS_MONITOR][INFO]python3(30885), Memory: 2047 MiB, GPU Memory: 589 MiB
[2022-11-02 16:18:16,227][PROCESS_MONITOR][INFO]python3(30885), Memory: 2047 MiB, GPU Memory: 589 MiB
[2022-11-02 16:18:17,241][PROCESS_MONITOR][INFO]python3(30885), Memory: 2047 MiB, GPU Memory: 589 MiB
[2022-11-02 16:18:18,254][PROCESS_MONITOR][INFO]python3(30885), Memory: 2047 MiB, GPU Memory: 589 MiB
[2022-11-02 16:18:19,269][PROCESS_MONITOR][INFO]python3(30885), Memory: 2047 MiB, GPU Memory: 589 MiB
[2022-11-02 16:18:20,284][PROCESS_MONITOR][INFO]python3(30885), Memory: 2047 MiB, GPU Memory: 589 MiB
[2022-11-02 16:18:21,298][PROCESS_MONITOR][INFO]python3(30885), Memory: 2047 MiB, GPU Memory: 589 MiB
[2022-11-02 16:18:22,312][PROCESS_MONITOR][INFO]python3(30885), Memory: 2047 MiB, GPU Memory: 589 MiB
