[2022-09-19 23:02:25,283][PROCESS_MONITOR][INFO]python3(219583), Memory: 795 MiB, GPU Memory: 439 MiB
[2022-09-19 23:02:26,299][PROCESS_MONITOR][INFO]python3(219583), Memory: 795 MiB, GPU Memory: 439 MiB
[2022-09-19 23:02:27,315][PROCESS_MONITOR][INFO]python3(219583), Memory: 795 MiB, GPU Memory: 439 MiB
[2022-09-19 23:02:28,331][PROCESS_MONITOR][INFO]python3(219583), Memory: 795 MiB, GPU Memory: 439 MiB
[2022-09-19 23:02:29,343][PROCESS_MONITOR][INFO]python3(219583), Memory: 795 MiB, GPU Memory: 439 MiB
[2022-09-19 23:02:30,371][PROCESS_MONITOR][INFO]python3(219583), Memory: 800 MiB, GPU Memory: 439 MiB
[2022-09-19 23:02:31,385][PROCESS_MONITOR][INFO]python3(219583), Memory: 803 MiB, GPU Memory: 439 MiB
[2022-09-19 23:02:32,400][PROCESS_MONITOR][INFO]python3(219583), Memory: 804 MiB, GPU Memory: 439 MiB
[2022-09-19 23:02:33,413][PROCESS_MONITOR][INFO]python3(219583), Memory: 804 MiB, GPU Memory: 439 MiB
[2022-09-19 23:02:34,428][PROCESS_MONITOR][INFO]python3(219583), Memory: 804 MiB, GPU Memory: 439 MiB
[2022-09-19 23:02:35,443][PROCESS_MONITOR][INFO]python3(219583), Memory: 804 MiB, GPU Memory: 439 MiB
[2022-09-19 23:02:36,458][PROCESS_MONITOR][INFO]python3(219583), Memory: 804 MiB, GPU Memory: 439 MiB
[2022-09-19 23:02:37,473][PROCESS_MONITOR][INFO]python3(219583), Memory: 804 MiB, GPU Memory: 439 MiB
[2022-09-19 23:02:38,489][PROCESS_MONITOR][INFO]python3(219583), Memory: 804 MiB, GPU Memory: 439 MiB
[2022-09-19 23:02:39,504][PROCESS_MONITOR][INFO]python3(219583), Memory: 804 MiB, GPU Memory: 439 MiB
[2022-09-19 23:02:40,517][PROCESS_MONITOR][INFO]python3(219583), Memory: 804 MiB, GPU Memory: 439 MiB
[2022-09-19 23:02:41,532][PROCESS_MONITOR][INFO]python3(219583), Memory: 804 MiB, GPU Memory: 439 MiB
[2022-09-19 23:02:42,547][PROCESS_MONITOR][INFO]python3(219583), Memory: 804 MiB, GPU Memory: 439 MiB
[2022-09-19 23:02:43,562][PROCESS_MONITOR][INFO]python3(219583), Memory: 804 MiB, GPU Memory: 439 MiB
[2022-09-19 23:02:44,577][PROCESS_MONITOR][INFO]python3(219583), Memory: 804 MiB, GPU Memory: 439 MiB
[2022-09-19 23:02:45,592][PROCESS_MONITOR][INFO]python3(219583), Memory: 804 MiB, GPU Memory: 439 MiB
[2022-09-19 23:02:46,606][PROCESS_MONITOR][INFO]python3(219583), Memory: 804 MiB, GPU Memory: 439 MiB
[2022-09-19 23:02:47,620][PROCESS_MONITOR][INFO]python3(219583), Memory: 804 MiB, GPU Memory: 439 MiB
[2022-09-19 23:02:48,634][PROCESS_MONITOR][INFO]python3(219583), Memory: 804 MiB, GPU Memory: 439 MiB
[2022-09-19 23:02:49,648][PROCESS_MONITOR][INFO]python3(219583), Memory: 804 MiB, GPU Memory: 439 MiB
[2022-09-19 23:02:50,664][PROCESS_MONITOR][INFO]python3(219583), Memory: 804 MiB, GPU Memory: 439 MiB
[2022-09-19 23:02:51,679][PROCESS_MONITOR][INFO]python3(219583), Memory: 804 MiB, GPU Memory: 439 MiB
[2022-09-19 23:02:52,694][PROCESS_MONITOR][INFO]python3(219583), Memory: 804 MiB, GPU Memory: 439 MiB
[2022-09-19 23:02:53,708][PROCESS_MONITOR][INFO]python3(219583), Memory: 804 MiB, GPU Memory: 439 MiB
[2022-09-19 23:02:54,724][PROCESS_MONITOR][INFO]python3(219583), Memory: 804 MiB, GPU Memory: 439 MiB
[2022-09-19 23:02:55,738][PROCESS_MONITOR][INFO]python3(219583), Memory: 804 MiB, GPU Memory: 439 MiB
[2022-09-19 23:02:56,753][PROCESS_MONITOR][INFO]python3(219583), Memory: 804 MiB, GPU Memory: 439 MiB
[2022-09-19 23:02:57,769][PROCESS_MONITOR][INFO]python3(219583), Memory: 804 MiB, GPU Memory: 439 MiB
[2022-09-19 23:02:58,783][PROCESS_MONITOR][INFO]python3(219583), Memory: 804 MiB, GPU Memory: 439 MiB
[2022-09-19 23:02:59,798][PROCESS_MONITOR][INFO]python3(219583), Memory: 804 MiB, GPU Memory: 439 MiB
[2022-09-19 23:03:00,813][PROCESS_MONITOR][INFO]python3(219583), Memory: 804 MiB, GPU Memory: 439 MiB
[2022-09-19 23:03:01,827][PROCESS_MONITOR][INFO]python3(219583), Memory: 804 MiB, GPU Memory: 439 MiB
[2022-09-19 23:03:02,842][PROCESS_MONITOR][INFO]python3(219583), Memory: 804 MiB, GPU Memory: 439 MiB
