[2022-09-19 23:11:51,528][PROCESS_MONITOR][INFO]python3(221332), Memory: 799 MiB, GPU Memory: 447 MiB
[2022-09-19 23:11:52,544][PROCESS_MONITOR][INFO]python3(221332), Memory: 799 MiB, GPU Memory: 447 MiB
[2022-09-19 23:11:53,560][PROCESS_MONITOR][INFO]python3(221332), Memory: 799 MiB, GPU Memory: 447 MiB
[2022-09-19 23:11:54,576][PROCESS_MONITOR][INFO]python3(221332), Memory: 799 MiB, GPU Memory: 447 MiB
[2022-09-19 23:11:55,588][PROCESS_MONITOR][INFO]python3(221332), Memory: 799 MiB, GPU Memory: 447 MiB
[2022-09-19 23:11:56,617][PROCESS_MONITOR][INFO]python3(221332), Memory: 801 MiB, GPU Memory: 447 MiB
[2022-09-19 23:11:57,631][PROCESS_MONITOR][INFO]python3(221332), Memory: 809 MiB, GPU Memory: 447 MiB
[2022-09-19 23:11:58,645][PROCESS_MONITOR][INFO]python3(221332), Memory: 809 MiB, GPU Memory: 447 MiB
[2022-09-19 23:11:59,659][PROCESS_MONITOR][INFO]python3(221332), Memory: 809 MiB, GPU Memory: 447 MiB
[2022-09-19 23:12:00,672][PROCESS_MONITOR][INFO]python3(221332), Memory: 809 MiB, GPU Memory: 447 MiB
[2022-09-19 23:12:01,687][PROCESS_MONITOR][INFO]python3(221332), Memory: 809 MiB, GPU Memory: 447 MiB
[2022-09-19 23:12:02,702][PROCESS_MONITOR][INFO]python3(221332), Memory: 809 MiB, GPU Memory: 447 MiB
[2022-09-19 23:12:03,717][PROCESS_MONITOR][INFO]python3(221332), Memory: 809 MiB, GPU Memory: 447 MiB
[2022-09-19 23:12:04,732][PROCESS_MONITOR][INFO]python3(221332), Memory: 809 MiB, GPU Memory: 447 MiB
[2022-09-19 23:12:05,748][PROCESS_MONITOR][INFO]python3(221332), Memory: 809 MiB, GPU Memory: 447 MiB
[2022-09-19 23:12:06,762][PROCESS_MONITOR][INFO]python3(221332), Memory: 809 MiB, GPU Memory: 447 MiB
[2022-09-19 23:12:07,776][PROCESS_MONITOR][INFO]python3(221332), Memory: 809 MiB, GPU Memory: 447 MiB
[2022-09-19 23:12:08,791][PROCESS_MONITOR][INFO]python3(221332), Memory: 809 MiB, GPU Memory: 447 MiB
[2022-09-19 23:12:09,805][PROCESS_MONITOR][INFO]python3(221332), Memory: 809 MiB, GPU Memory: 447 MiB
[2022-09-19 23:12:10,820][PROCESS_MONITOR][INFO]python3(221332), Memory: 809 MiB, GPU Memory: 447 MiB
[2022-09-19 23:12:11,834][PROCESS_MONITOR][INFO]python3(221332), Memory: 809 MiB, GPU Memory: 447 MiB
[2022-09-19 23:12:12,849][PROCESS_MONITOR][INFO]python3(221332), Memory: 809 MiB, GPU Memory: 447 MiB
[2022-09-19 23:12:13,864][PROCESS_MONITOR][INFO]python3(221332), Memory: 809 MiB, GPU Memory: 447 MiB
[2022-09-19 23:12:14,878][PROCESS_MONITOR][INFO]python3(221332), Memory: 809 MiB, GPU Memory: 447 MiB
[2022-09-19 23:12:15,892][PROCESS_MONITOR][INFO]python3(221332), Memory: 809 MiB, GPU Memory: 447 MiB
[2022-09-19 23:12:16,908][PROCESS_MONITOR][INFO]python3(221332), Memory: 809 MiB, GPU Memory: 447 MiB
[2022-09-19 23:12:17,922][PROCESS_MONITOR][INFO]python3(221332), Memory: 809 MiB, GPU Memory: 447 MiB
[2022-09-19 23:12:18,937][PROCESS_MONITOR][INFO]python3(221332), Memory: 809 MiB, GPU Memory: 447 MiB
[2022-09-19 23:12:19,952][PROCESS_MONITOR][INFO]python3(221332), Memory: 809 MiB, GPU Memory: 447 MiB
[2022-09-19 23:12:20,968][PROCESS_MONITOR][INFO]python3(221332), Memory: 809 MiB, GPU Memory: 447 MiB
[2022-09-19 23:12:21,982][PROCESS_MONITOR][INFO]python3(221332), Memory: 809 MiB, GPU Memory: 447 MiB
[2022-09-19 23:12:22,998][PROCESS_MONITOR][INFO]python3(221332), Memory: 809 MiB, GPU Memory: 447 MiB
[2022-09-19 23:12:24,013][PROCESS_MONITOR][INFO]python3(221332), Memory: 809 MiB, GPU Memory: 447 MiB
[2022-09-19 23:12:25,028][PROCESS_MONITOR][INFO]python3(221332), Memory: 809 MiB, GPU Memory: 447 MiB
[2022-09-19 23:12:26,042][PROCESS_MONITOR][INFO]python3(221332), Memory: 809 MiB, GPU Memory: 447 MiB
[2022-09-19 23:12:27,057][PROCESS_MONITOR][INFO]python3(221332), Memory: 809 MiB, GPU Memory: 447 MiB
[2022-09-19 23:12:28,072][PROCESS_MONITOR][INFO]python3(221332), Memory: 809 MiB, GPU Memory: 447 MiB
[2022-09-19 23:12:29,088][PROCESS_MONITOR][INFO]python3(221332), Memory: 809 MiB, GPU Memory: 447 MiB
[2022-09-19 23:12:30,102][PROCESS_MONITOR][INFO]python3(221332), Memory: 809 MiB, GPU Memory: 447 MiB
[2022-09-19 23:12:31,117][PROCESS_MONITOR][INFO]python3(221332), Memory: 809 MiB, GPU Memory: 447 MiB
[2022-09-19 23:12:32,130][PROCESS_MONITOR][INFO]python3(221332), Memory: 809 MiB, GPU Memory: 447 MiB
[2022-09-19 23:12:33,146][PROCESS_MONITOR][INFO]python3(221332), Memory: 809 MiB, GPU Memory: 447 MiB
[2022-09-19 23:12:34,161][PROCESS_MONITOR][INFO]python3(221332), Memory: 809 MiB, GPU Memory: 447 MiB
[2022-09-19 23:12:35,176][PROCESS_MONITOR][INFO]python3(221332), Memory: 809 MiB, GPU Memory: 447 MiB
[2022-09-19 23:12:36,190][PROCESS_MONITOR][INFO]python3(221332), Memory: 809 MiB, GPU Memory: 447 MiB
[2022-09-19 23:12:37,204][PROCESS_MONITOR][INFO]python3(221332), Memory: 809 MiB, GPU Memory: 447 MiB
[2022-09-19 23:12:38,219][PROCESS_MONITOR][INFO]python3(221332), Memory: 809 MiB, GPU Memory: 447 MiB
[2022-09-19 23:12:39,234][PROCESS_MONITOR][INFO]python3(221332), Memory: 809 MiB, GPU Memory: 447 MiB
[2022-09-19 23:12:40,249][PROCESS_MONITOR][INFO]python3(221332), Memory: 809 MiB, GPU Memory: 447 MiB
[2022-09-19 23:12:41,263][PROCESS_MONITOR][INFO]python3(221332), Memory: 809 MiB, GPU Memory: 447 MiB
[2022-09-19 23:12:42,278][PROCESS_MONITOR][INFO]python3(221332), Memory: 809 MiB, GPU Memory: 447 MiB
[2022-09-19 23:12:43,292][PROCESS_MONITOR][INFO]python3(221332), Memory: 809 MiB, GPU Memory: 447 MiB
[2022-09-19 23:12:44,306][PROCESS_MONITOR][INFO]python3(221332), Memory: 809 MiB, GPU Memory: 447 MiB
[2022-09-19 23:12:45,321][PROCESS_MONITOR][INFO]python3(221332), Memory: 809 MiB, GPU Memory: 447 MiB
[2022-09-19 23:12:46,336][PROCESS_MONITOR][INFO]python3(221332), Memory: 809 MiB, GPU Memory: 447 MiB
[2022-09-19 23:12:47,351][PROCESS_MONITOR][INFO]python3(221332), Memory: 809 MiB, GPU Memory: 447 MiB
[2022-09-19 23:12:48,366][PROCESS_MONITOR][INFO]python3(221332), Memory: 809 MiB, GPU Memory: 447 MiB
[2022-09-19 23:12:49,379][PROCESS_MONITOR][INFO]python3(221332), Memory: 809 MiB, GPU Memory: 447 MiB
[2022-09-19 23:12:50,394][PROCESS_MONITOR][INFO]python3(221332), Memory: 809 MiB, GPU Memory: 447 MiB
[2022-09-19 23:12:51,408][PROCESS_MONITOR][INFO]python3(221332), Memory: 809 MiB, GPU Memory: 447 MiB
[2022-09-19 23:12:52,424][PROCESS_MONITOR][INFO]python3(221332), Memory: 809 MiB, GPU Memory: 447 MiB
[2022-09-19 23:12:53,438][PROCESS_MONITOR][INFO]python3(221332), Memory: 809 MiB, GPU Memory: 447 MiB
[2022-09-19 23:12:54,453][PROCESS_MONITOR][INFO]python3(221332), Memory: 809 MiB, GPU Memory: 447 MiB
[2022-09-19 23:12:55,466][PROCESS_MONITOR][INFO]python3(221332), Memory: 809 MiB, GPU Memory: 447 MiB
[2022-09-19 23:12:56,481][PROCESS_MONITOR][INFO]python3(221332), Memory: 809 MiB, GPU Memory: 447 MiB
[2022-09-19 23:12:57,496][PROCESS_MONITOR][INFO]python3(221332), Memory: 809 MiB, GPU Memory: 447 MiB
[2022-09-19 23:12:58,511][PROCESS_MONITOR][INFO]python3(221332), Memory: 809 MiB, GPU Memory: 447 MiB
[2022-09-19 23:12:59,525][PROCESS_MONITOR][INFO]python3(221332), Memory: 809 MiB, GPU Memory: 447 MiB
[2022-09-19 23:13:00,541][PROCESS_MONITOR][INFO]python3(221332), Memory: 809 MiB, GPU Memory: 447 MiB
[2022-09-19 23:13:01,556][PROCESS_MONITOR][INFO]python3(221332), Memory: 809 MiB, GPU Memory: 447 MiB
[2022-09-19 23:13:02,572][PROCESS_MONITOR][INFO]python3(221332), Memory: 809 MiB, GPU Memory: 447 MiB
[2022-09-19 23:13:03,586][PROCESS_MONITOR][INFO]python3(221332), Memory: 809 MiB, GPU Memory: 447 MiB
[2022-09-19 23:13:04,601][PROCESS_MONITOR][INFO]python3(221332), Memory: 809 MiB, GPU Memory: 447 MiB
