[2022-09-19 23:19:33,148][PROCESS_MONITOR][INFO]python3(223072), Memory: 795 MiB, GPU Memory: 439 MiB
[2022-09-19 23:19:34,163][PROCESS_MONITOR][INFO]python3(223072), Memory: 795 MiB, GPU Memory: 439 MiB
[2022-09-19 23:19:35,179][PROCESS_MONITOR][INFO]python3(223072), Memory: 795 MiB, GPU Memory: 439 MiB
[2022-09-19 23:19:36,194][PROCESS_MONITOR][INFO]python3(223072), Memory: 795 MiB, GPU Memory: 439 MiB
[2022-09-19 23:19:37,209][PROCESS_MONITOR][INFO]python3(223072), Memory: 795 MiB, GPU Memory: 439 MiB
[2022-09-19 23:19:38,225][PROCESS_MONITOR][INFO]python3(223072), Memory: 795 MiB, GPU Memory: 439 MiB
[2022-09-19 23:19:39,241][PROCESS_MONITOR][INFO]python3(223072), Memory: 795 MiB, GPU Memory: 439 MiB
[2022-09-19 23:19:40,257][PROCESS_MONITOR][INFO]python3(223072), Memory: 795 MiB, GPU Memory: 439 MiB
[2022-09-19 23:19:41,273][PROCESS_MONITOR][INFO]python3(223072), Memory: 795 MiB, GPU Memory: 439 MiB
[2022-09-19 23:19:42,289][PROCESS_MONITOR][INFO]python3(223072), Memory: 795 MiB, GPU Memory: 439 MiB
[2022-09-19 23:19:43,305][PROCESS_MONITOR][INFO]python3(223072), Memory: 795 MiB, GPU Memory: 439 MiB
[2022-09-19 23:19:44,321][PROCESS_MONITOR][INFO]python3(223072), Memory: 795 MiB, GPU Memory: 439 MiB
[2022-09-19 23:19:45,336][PROCESS_MONITOR][INFO]python3(223072), Memory: 795 MiB, GPU Memory: 439 MiB
[2022-09-19 23:19:46,347][PROCESS_MONITOR][INFO]python3(223072), Memory: 803 MiB, GPU Memory: 439 MiB
[2022-09-19 23:19:47,361][PROCESS_MONITOR][INFO]python3(223072), Memory: 804 MiB, GPU Memory: 439 MiB
[2022-09-19 23:19:48,376][PROCESS_MONITOR][INFO]python3(223072), Memory: 804 MiB, GPU Memory: 439 MiB
[2022-09-19 23:19:49,390][PROCESS_MONITOR][INFO]python3(223072), Memory: 804 MiB, GPU Memory: 439 MiB
[2022-09-19 23:19:50,403][PROCESS_MONITOR][INFO]python3(223072), Memory: 804 MiB, GPU Memory: 439 MiB
[2022-09-19 23:19:51,417][PROCESS_MONITOR][INFO]python3(223072), Memory: 804 MiB, GPU Memory: 439 MiB
[2022-09-19 23:19:52,431][PROCESS_MONITOR][INFO]python3(223072), Memory: 804 MiB, GPU Memory: 439 MiB
[2022-09-19 23:19:53,445][PROCESS_MONITOR][INFO]python3(223072), Memory: 804 MiB, GPU Memory: 439 MiB
[2022-09-19 23:19:54,459][PROCESS_MONITOR][INFO]python3(223072), Memory: 804 MiB, GPU Memory: 439 MiB
[2022-09-19 23:19:55,472][PROCESS_MONITOR][INFO]python3(223072), Memory: 804 MiB, GPU Memory: 439 MiB
[2022-09-19 23:19:56,486][PROCESS_MONITOR][INFO]python3(223072), Memory: 804 MiB, GPU Memory: 439 MiB
[2022-09-19 23:19:57,502][PROCESS_MONITOR][INFO]python3(223072), Memory: 804 MiB, GPU Memory: 439 MiB
[2022-09-19 23:19:58,517][PROCESS_MONITOR][INFO]python3(223072), Memory: 804 MiB, GPU Memory: 439 MiB
[2022-09-19 23:19:59,530][PROCESS_MONITOR][INFO]python3(223072), Memory: 804 MiB, GPU Memory: 439 MiB
[2022-09-19 23:20:00,544][PROCESS_MONITOR][INFO]python3(223072), Memory: 804 MiB, GPU Memory: 439 MiB
[2022-09-19 23:20:01,560][PROCESS_MONITOR][INFO]python3(223072), Memory: 804 MiB, GPU Memory: 439 MiB
[2022-09-19 23:20:02,574][PROCESS_MONITOR][INFO]python3(223072), Memory: 804 MiB, GPU Memory: 439 MiB
[2022-09-19 23:20:03,589][PROCESS_MONITOR][INFO]python3(223072), Memory: 804 MiB, GPU Memory: 439 MiB
[2022-09-19 23:20:04,604][PROCESS_MONITOR][INFO]python3(223072), Memory: 804 MiB, GPU Memory: 439 MiB
[2022-09-19 23:20:05,618][PROCESS_MONITOR][INFO]python3(223072), Memory: 804 MiB, GPU Memory: 439 MiB
[2022-09-19 23:20:06,633][PROCESS_MONITOR][INFO]python3(223072), Memory: 805 MiB, GPU Memory: 439 MiB
[2022-09-19 23:20:07,648][PROCESS_MONITOR][INFO]python3(223072), Memory: 805 MiB, GPU Memory: 439 MiB
[2022-09-19 23:20:08,664][PROCESS_MONITOR][INFO]python3(223072), Memory: 805 MiB, GPU Memory: 439 MiB
[2022-09-19 23:20:09,678][PROCESS_MONITOR][INFO]python3(223072), Memory: 805 MiB, GPU Memory: 439 MiB
[2022-09-19 23:20:10,693][PROCESS_MONITOR][INFO]python3(223072), Memory: 805 MiB, GPU Memory: 439 MiB
[2022-09-19 23:20:11,708][PROCESS_MONITOR][INFO]python3(223072), Memory: 805 MiB, GPU Memory: 439 MiB
[2022-09-19 23:20:12,723][PROCESS_MONITOR][INFO]python3(223072), Memory: 805 MiB, GPU Memory: 439 MiB
[2022-09-19 23:20:13,736][PROCESS_MONITOR][INFO]python3(223072), Memory: 805 MiB, GPU Memory: 439 MiB
[2022-09-19 23:20:14,750][PROCESS_MONITOR][INFO]python3(223072), Memory: 805 MiB, GPU Memory: 439 MiB
[2022-09-19 23:20:15,764][PROCESS_MONITOR][INFO]python3(223072), Memory: 805 MiB, GPU Memory: 439 MiB
[2022-09-19 23:20:16,778][PROCESS_MONITOR][INFO]python3(223072), Memory: 805 MiB, GPU Memory: 439 MiB
[2022-09-19 23:20:17,793][PROCESS_MONITOR][INFO]python3(223072), Memory: 805 MiB, GPU Memory: 439 MiB
[2022-09-19 23:20:18,809][PROCESS_MONITOR][INFO]python3(223072), Memory: 805 MiB, GPU Memory: 439 MiB
[2022-09-19 23:20:19,822][PROCESS_MONITOR][INFO]python3(223072), Memory: 805 MiB, GPU Memory: 439 MiB
[2022-09-19 23:20:20,838][PROCESS_MONITOR][INFO]python3(223072), Memory: 805 MiB, GPU Memory: 439 MiB
[2022-09-19 23:20:21,853][PROCESS_MONITOR][INFO]python3(223072), Memory: 805 MiB, GPU Memory: 439 MiB
[2022-09-19 23:20:22,868][PROCESS_MONITOR][INFO]python3(223072), Memory: 805 MiB, GPU Memory: 439 MiB
[2022-09-19 23:20:23,884][PROCESS_MONITOR][INFO]python3(223072), Memory: 805 MiB, GPU Memory: 439 MiB
[2022-09-19 23:20:24,898][PROCESS_MONITOR][INFO]python3(223072), Memory: 805 MiB, GPU Memory: 439 MiB
[2022-09-19 23:20:25,913][PROCESS_MONITOR][INFO]python3(223072), Memory: 805 MiB, GPU Memory: 439 MiB
[2022-09-19 23:20:26,928][PROCESS_MONITOR][INFO]python3(223072), Memory: 805 MiB, GPU Memory: 439 MiB
[2022-09-19 23:20:27,942][PROCESS_MONITOR][INFO]python3(223072), Memory: 805 MiB, GPU Memory: 439 MiB
[2022-09-19 23:20:28,958][PROCESS_MONITOR][INFO]python3(223072), Memory: 805 MiB, GPU Memory: 439 MiB
[2022-09-19 23:20:29,972][PROCESS_MONITOR][INFO]python3(223072), Memory: 805 MiB, GPU Memory: 439 MiB
[2022-09-19 23:20:30,988][PROCESS_MONITOR][INFO]python3(223072), Memory: 805 MiB, GPU Memory: 439 MiB
[2022-09-19 23:20:32,001][PROCESS_MONITOR][INFO]python3(223072), Memory: 805 MiB, GPU Memory: 439 MiB
[2022-09-19 23:20:33,016][PROCESS_MONITOR][INFO]python3(223072), Memory: 805 MiB, GPU Memory: 439 MiB
[2022-09-19 23:20:34,031][PROCESS_MONITOR][INFO]python3(223072), Memory: 805 MiB, GPU Memory: 439 MiB
[2022-09-19 23:20:35,046][PROCESS_MONITOR][INFO]python3(223072), Memory: 805 MiB, GPU Memory: 439 MiB
[2022-09-19 23:20:36,060][PROCESS_MONITOR][INFO]python3(223072), Memory: 805 MiB, GPU Memory: 439 MiB
[2022-09-19 23:20:37,075][PROCESS_MONITOR][INFO]python3(223072), Memory: 805 MiB, GPU Memory: 439 MiB
[2022-09-19 23:20:38,088][PROCESS_MONITOR][INFO]python3(223072), Memory: 805 MiB, GPU Memory: 439 MiB
[2022-09-19 23:20:39,102][PROCESS_MONITOR][INFO]python3(223072), Memory: 805 MiB, GPU Memory: 439 MiB
[2022-09-19 23:20:40,116][PROCESS_MONITOR][INFO]python3(223072), Memory: 805 MiB, GPU Memory: 439 MiB
[2022-09-19 23:20:41,132][PROCESS_MONITOR][INFO]python3(223072), Memory: 805 MiB, GPU Memory: 439 MiB
[2022-09-19 23:20:42,147][PROCESS_MONITOR][INFO]python3(223072), Memory: 805 MiB, GPU Memory: 439 MiB
[2022-09-19 23:20:43,160][PROCESS_MONITOR][INFO]python3(223072), Memory: 805 MiB, GPU Memory: 439 MiB
[2022-09-19 23:20:44,176][PROCESS_MONITOR][INFO]python3(223072), Memory: 805 MiB, GPU Memory: 439 MiB
[2022-09-19 23:20:45,191][PROCESS_MONITOR][INFO]python3(223072), Memory: 805 MiB, GPU Memory: 439 MiB
[2022-09-19 23:20:46,205][PROCESS_MONITOR][INFO]python3(223072), Memory: 805 MiB, GPU Memory: 439 MiB
[2022-09-19 23:20:47,221][PROCESS_MONITOR][INFO]python3(223072), Memory: 805 MiB, GPU Memory: 439 MiB
[2022-09-19 23:20:48,237][PROCESS_MONITOR][INFO]python3(223072), Memory: 805 MiB, GPU Memory: 439 MiB
