[2022-09-06 13:46:04,884][PROCESS_MONITOR][INFO]python(106202), Memory: 3828 MiB, GPU Memory: 1941 MiB
[2022-09-06 13:46:05,900][PROCESS_MONITOR][INFO]python(106202), Memory: 3828 MiB, GPU Memory: 1941 MiB
[2022-09-06 13:46:06,916][PROCESS_MONITOR][INFO]python(106202), Memory: 3828 MiB, GPU Memory: 1941 MiB
[2022-09-06 13:46:07,933][PROCESS_MONITOR][INFO]python(106202), Memory: 3828 MiB, GPU Memory: 1941 MiB
[2022-09-06 13:46:08,950][PROCESS_MONITOR][INFO]python(106202), Memory: 3828 MiB, GPU Memory: 1941 MiB
[2022-09-06 13:46:09,965][PROCESS_MONITOR][INFO]python(106202), Memory: 3828 MiB, GPU Memory: 1941 MiB
[2022-09-06 13:46:10,981][PROCESS_MONITOR][INFO]python(106202), Memory: 3828 MiB, GPU Memory: 1941 MiB
[2022-09-06 13:46:11,997][PROCESS_MONITOR][INFO]python(106202), Memory: 3828 MiB, GPU Memory: 1941 MiB
[2022-09-06 13:46:13,013][PROCESS_MONITOR][INFO]python(106202), Memory: 3828 MiB, GPU Memory: 1941 MiB
[2022-09-06 13:46:14,028][PROCESS_MONITOR][INFO]python(106202), Memory: 3828 MiB, GPU Memory: 1941 MiB
[2022-09-06 13:46:15,043][PROCESS_MONITOR][INFO]python(106202), Memory: 4124 MiB, GPU Memory: 2063 MiB
[2022-09-06 13:46:16,058][PROCESS_MONITOR][INFO]python(106202), Memory: 4682 MiB, GPU Memory: 2457 MiB
[2022-09-06 13:46:17,073][PROCESS_MONITOR][INFO]python(106202), Memory: 4682 MiB, GPU Memory: 2457 MiB
[2022-09-06 13:46:18,088][PROCESS_MONITOR][INFO]python(106202), Memory: 4683 MiB, GPU Memory: 2457 MiB
[2022-09-06 13:46:19,101][PROCESS_MONITOR][INFO]python(106202), Memory: 4683 MiB, GPU Memory: 2457 MiB
[2022-09-06 13:46:20,116][PROCESS_MONITOR][INFO]python(106202), Memory: 4683 MiB, GPU Memory: 2457 MiB
[2022-09-06 13:46:21,132][PROCESS_MONITOR][INFO]python(106202), Memory: 4683 MiB, GPU Memory: 2457 MiB
[2022-09-06 13:46:22,146][PROCESS_MONITOR][INFO]python(106202), Memory: 4683 MiB, GPU Memory: 2457 MiB
[2022-09-06 13:46:23,160][PROCESS_MONITOR][INFO]python(106202), Memory: 4683 MiB, GPU Memory: 2457 MiB
[2022-09-06 13:46:24,175][PROCESS_MONITOR][INFO]python(106202), Memory: 4683 MiB, GPU Memory: 2457 MiB
[2022-09-06 13:46:25,191][PROCESS_MONITOR][INFO]python(106202), Memory: 4683 MiB, GPU Memory: 2457 MiB
[2022-09-06 13:46:26,207][PROCESS_MONITOR][INFO]python(106202), Memory: 4683 MiB, GPU Memory: 2457 MiB
[2022-09-06 13:46:27,223][PROCESS_MONITOR][INFO]python(106202), Memory: 4683 MiB, GPU Memory: 2457 MiB
[2022-09-06 13:46:28,238][PROCESS_MONITOR][INFO]python(106202), Memory: 4683 MiB, GPU Memory: 2457 MiB
[2022-09-06 13:46:29,254][PROCESS_MONITOR][INFO]python(106202), Memory: 4683 MiB, GPU Memory: 2457 MiB
[2022-09-06 13:46:30,270][PROCESS_MONITOR][INFO]python(106202), Memory: 4683 MiB, GPU Memory: 2457 MiB
[2022-09-06 13:46:31,284][PROCESS_MONITOR][INFO]python(106202), Memory: 4683 MiB, GPU Memory: 2457 MiB
[2022-09-06 13:46:32,300][PROCESS_MONITOR][INFO]python(106202), Memory: 4683 MiB, GPU Memory: 2457 MiB
[2022-09-06 13:46:33,316][PROCESS_MONITOR][INFO]python(106202), Memory: 4683 MiB, GPU Memory: 2457 MiB
[2022-09-06 13:46:34,332][PROCESS_MONITOR][INFO]python(106202), Memory: 4683 MiB, GPU Memory: 2457 MiB
[2022-09-06 13:46:35,346][PROCESS_MONITOR][INFO]python(106202), Memory: 4683 MiB, GPU Memory: 2457 MiB
[2022-09-06 13:46:36,362][PROCESS_MONITOR][INFO]python(106202), Memory: 4683 MiB, GPU Memory: 2457 MiB
[2022-09-06 13:46:37,378][PROCESS_MONITOR][INFO]python(106202), Memory: 4683 MiB, GPU Memory: 2457 MiB
[2022-09-06 13:46:38,394][PROCESS_MONITOR][INFO]python(106202), Memory: 4683 MiB, GPU Memory: 2457 MiB
[2022-09-06 13:46:39,410][PROCESS_MONITOR][INFO]python(106202), Memory: 4683 MiB, GPU Memory: 2457 MiB
[2022-09-06 13:46:40,426][PROCESS_MONITOR][INFO]python(106202), Memory: 4683 MiB, GPU Memory: 2457 MiB
[2022-09-06 13:46:41,441][PROCESS_MONITOR][INFO]python(106202), Memory: 4683 MiB, GPU Memory: 2457 MiB
[2022-09-06 13:46:42,457][PROCESS_MONITOR][INFO]python(106202), Memory: 4683 MiB, GPU Memory: 2457 MiB
[2022-09-06 13:46:43,472][PROCESS_MONITOR][INFO]python(106202), Memory: 4683 MiB, GPU Memory: 2457 MiB
[2022-09-06 13:46:44,488][PROCESS_MONITOR][INFO]python(106202), Memory: 4683 MiB, GPU Memory: 2457 MiB
[2022-09-06 13:46:45,505][PROCESS_MONITOR][INFO]python(106202), Memory: 4683 MiB, GPU Memory: 2457 MiB
[2022-09-06 13:46:46,520][PROCESS_MONITOR][INFO]python(106202), Memory: 4683 MiB, GPU Memory: 2457 MiB
[2022-09-06 13:46:47,537][PROCESS_MONITOR][INFO]python(106202), Memory: 4683 MiB, GPU Memory: 2457 MiB
[2022-09-06 13:46:48,554][PROCESS_MONITOR][INFO]python(106202), Memory: 4683 MiB, GPU Memory: 2457 MiB
[2022-09-06 13:46:49,569][PROCESS_MONITOR][INFO]python(106202), Memory: 4683 MiB, GPU Memory: 2457 MiB
[2022-09-06 13:46:50,585][PROCESS_MONITOR][INFO]python(106202), Memory: 4683 MiB, GPU Memory: 2457 MiB
[2022-09-06 13:46:51,601][PROCESS_MONITOR][INFO]python(106202), Memory: 4683 MiB, GPU Memory: 2457 MiB
[2022-09-06 13:46:52,617][PROCESS_MONITOR][INFO]python(106202), Memory: 4683 MiB, GPU Memory: 2457 MiB
[2022-09-06 13:46:53,632][PROCESS_MONITOR][INFO]python(106202), Memory: 4683 MiB, GPU Memory: 2457 MiB
[2022-09-06 13:46:54,649][PROCESS_MONITOR][INFO]python(106202), Memory: 4683 MiB, GPU Memory: 2457 MiB
[2022-09-06 13:46:55,664][PROCESS_MONITOR][INFO]python(106202), Memory: 4683 MiB, GPU Memory: 2457 MiB
[2022-09-06 13:46:56,680][PROCESS_MONITOR][INFO]python(106202), Memory: 4683 MiB, GPU Memory: 2457 MiB
[2022-09-06 13:46:57,695][PROCESS_MONITOR][INFO]python(106202), Memory: 4683 MiB, GPU Memory: 2457 MiB
