[2022-09-22 19:11:50,378][PROCESS_MONITOR][INFO]python3(377400), Memory: 1936 MiB, GPU Memory: 445 MiB
[2022-09-22 19:11:51,394][PROCESS_MONITOR][INFO]python3(377400), Memory: 1936 MiB, GPU Memory: 445 MiB
[2022-09-22 19:11:52,409][PROCESS_MONITOR][INFO]python3(377400), Memory: 1936 MiB, GPU Memory: 445 MiB
[2022-09-22 19:11:53,423][PROCESS_MONITOR][INFO]python3(377400), Memory: 1936 MiB, GPU Memory: 445 MiB
[2022-09-22 19:11:54,439][PROCESS_MONITOR][INFO]python3(377400), Memory: 1936 MiB, GPU Memory: 445 MiB
[2022-09-22 19:11:55,453][PROCESS_MONITOR][INFO]python3(377400), Memory: 1936 MiB, GPU Memory: 445 MiB
[2022-09-22 19:11:56,468][PROCESS_MONITOR][INFO]python3(377400), Memory: 1936 MiB, GPU Memory: 445 MiB
[2022-09-22 19:11:57,484][PROCESS_MONITOR][INFO]python3(377400), Memory: 1936 MiB, GPU Memory: 445 MiB
[2022-09-22 19:11:58,499][PROCESS_MONITOR][INFO]python3(377400), Memory: 1936 MiB, GPU Memory: 445 MiB
[2022-09-22 19:11:59,515][PROCESS_MONITOR][INFO]python3(377400), Memory: 1936 MiB, GPU Memory: 445 MiB
[2022-09-22 19:12:00,530][PROCESS_MONITOR][INFO]python3(377400), Memory: 1936 MiB, GPU Memory: 445 MiB
[2022-09-22 19:12:01,544][PROCESS_MONITOR][INFO]python3(377400), Memory: 1936 MiB, GPU Memory: 445 MiB
[2022-09-22 19:12:02,557][PROCESS_MONITOR][INFO]python3(377400), Memory: 1936 MiB, GPU Memory: 445 MiB
[2022-09-22 19:12:03,572][PROCESS_MONITOR][INFO]python3(377400), Memory: 1936 MiB, GPU Memory: 445 MiB
[2022-09-22 19:12:04,586][PROCESS_MONITOR][INFO]python3(377400), Memory: 1936 MiB, GPU Memory: 445 MiB
[2022-09-22 19:12:05,601][PROCESS_MONITOR][INFO]python3(377400), Memory: 1936 MiB, GPU Memory: 445 MiB
[2022-09-22 19:12:06,618][PROCESS_MONITOR][INFO]python3(377400), Memory: 1936 MiB, GPU Memory: 445 MiB
[2022-09-22 19:12:07,633][PROCESS_MONITOR][INFO]python3(377400), Memory: 1936 MiB, GPU Memory: 445 MiB
[2022-09-22 19:12:08,649][PROCESS_MONITOR][INFO]python3(377400), Memory: 1936 MiB, GPU Memory: 445 MiB
[2022-09-22 19:12:09,663][PROCESS_MONITOR][INFO]python3(377400), Memory: 1936 MiB, GPU Memory: 445 MiB
[2022-09-22 19:12:10,678][PROCESS_MONITOR][INFO]python3(377400), Memory: 1936 MiB, GPU Memory: 445 MiB
[2022-09-22 19:12:11,694][PROCESS_MONITOR][INFO]python3(377400), Memory: 1936 MiB, GPU Memory: 445 MiB
[2022-09-22 19:12:12,710][PROCESS_MONITOR][INFO]python3(377400), Memory: 1936 MiB, GPU Memory: 445 MiB
[2022-09-22 19:12:13,724][PROCESS_MONITOR][INFO]python3(377400), Memory: 1936 MiB, GPU Memory: 445 MiB
[2022-09-22 19:12:14,741][PROCESS_MONITOR][INFO]python3(377400), Memory: 1936 MiB, GPU Memory: 445 MiB
[2022-09-22 19:12:15,757][PROCESS_MONITOR][INFO]python3(377400), Memory: 1936 MiB, GPU Memory: 445 MiB
[2022-09-22 19:12:16,773][PROCESS_MONITOR][INFO]python3(377400), Memory: 1936 MiB, GPU Memory: 445 MiB
[2022-09-22 19:12:17,789][PROCESS_MONITOR][INFO]python3(377400), Memory: 1936 MiB, GPU Memory: 445 MiB
[2022-09-22 19:12:18,804][PROCESS_MONITOR][INFO]python3(377400), Memory: 1936 MiB, GPU Memory: 445 MiB
[2022-09-22 19:12:19,820][PROCESS_MONITOR][INFO]python3(377400), Memory: 1936 MiB, GPU Memory: 445 MiB
[2022-09-22 19:12:20,835][PROCESS_MONITOR][INFO]python3(377400), Memory: 1936 MiB, GPU Memory: 445 MiB
[2022-09-22 19:12:21,850][PROCESS_MONITOR][INFO]python3(377400), Memory: 1936 MiB, GPU Memory: 445 MiB
[2022-09-22 19:12:22,864][PROCESS_MONITOR][INFO]python3(377400), Memory: 1936 MiB, GPU Memory: 445 MiB
