[2022-11-03 18:14:03,870][PROCESS_MONITOR][INFO]python3(247389), Memory: 1729 MiB, GPU Memory: 561 MiB
[2022-11-03 18:14:04,890][PROCESS_MONITOR][INFO]python3(247389), Memory: 1729 MiB, GPU Memory: 561 MiB
[2022-11-03 18:14:05,904][PROCESS_MONITOR][INFO]python3(247389), Memory: 1729 MiB, GPU Memory: 561 MiB
[2022-11-03 18:14:06,919][PROCESS_MONITOR][INFO]python3(247389), Memory: 1729 MiB, GPU Memory: 561 MiB
[2022-11-03 18:14:07,933][PROCESS_MONITOR][INFO]python3(247389), Memory: 1729 MiB, GPU Memory: 561 MiB
[2022-11-03 18:14:08,948][PROCESS_MONITOR][INFO]python3(247389), Memory: 1729 MiB, GPU Memory: 561 MiB
[2022-11-03 18:14:09,963][PROCESS_MONITOR][INFO]python3(247389), Memory: 1729 MiB, GPU Memory: 561 MiB
[2022-11-03 18:14:10,979][PROCESS_MONITOR][INFO]python3(247389), Memory: 1729 MiB, GPU Memory: 561 MiB
[2022-11-03 18:14:11,994][PROCESS_MONITOR][INFO]python3(247389), Memory: 1729 MiB, GPU Memory: 561 MiB
[2022-11-03 18:14:13,006][PROCESS_MONITOR][INFO]python3(247389), Memory: 1729 MiB, GPU Memory: 561 MiB
[2022-11-03 18:14:14,021][PROCESS_MONITOR][INFO]python3(247389), Memory: 2137 MiB, GPU Memory: 561 MiB
[2022-11-03 18:14:15,033][PROCESS_MONITOR][INFO]python3(247389), Memory: 2138 MiB, GPU Memory: 561 MiB
[2022-11-03 18:14:16,046][PROCESS_MONITOR][INFO]python3(247389), Memory: 2139 MiB, GPU Memory: 561 MiB
[2022-11-03 18:14:17,062][PROCESS_MONITOR][INFO]python3(247389), Memory: 2139 MiB, GPU Memory: 561 MiB
[2022-11-03 18:14:18,075][PROCESS_MONITOR][INFO]python3(247389), Memory: 2139 MiB, GPU Memory: 561 MiB
[2022-11-03 18:14:19,090][PROCESS_MONITOR][INFO]python3(247389), Memory: 2139 MiB, GPU Memory: 561 MiB
[2022-11-03 18:14:20,105][PROCESS_MONITOR][INFO]python3(247389), Memory: 2139 MiB, GPU Memory: 561 MiB
[2022-11-03 18:14:21,120][PROCESS_MONITOR][INFO]python3(247389), Memory: 2139 MiB, GPU Memory: 561 MiB
[2022-11-03 18:14:22,135][PROCESS_MONITOR][INFO]python3(247389), Memory: 2139 MiB, GPU Memory: 561 MiB
[2022-11-03 18:14:23,150][PROCESS_MONITOR][INFO]python3(247389), Memory: 2139 MiB, GPU Memory: 561 MiB
[2022-11-03 18:14:24,164][PROCESS_MONITOR][INFO]python3(247389), Memory: 2139 MiB, GPU Memory: 561 MiB
[2022-11-03 18:14:25,179][PROCESS_MONITOR][INFO]python3(247389), Memory: 2139 MiB, GPU Memory: 561 MiB
