[2022-09-15 18:24:09,126][PROCESS_MONITOR][INFO]python3(512014), Memory: 3771 MiB, GPU Memory: 1805 MiB
[2022-09-15 18:24:10,141][PROCESS_MONITOR][INFO]python3(512014), Memory: 3771 MiB, GPU Memory: 1805 MiB
[2022-09-15 18:24:11,158][PROCESS_MONITOR][INFO]python3(512014), Memory: 3771 MiB, GPU Memory: 1805 MiB
[2022-09-15 18:24:12,175][PROCESS_MONITOR][INFO]python3(512014), Memory: 3771 MiB, GPU Memory: 1805 MiB
[2022-09-15 18:24:13,192][PROCESS_MONITOR][INFO]python3(512014), Memory: 3771 MiB, GPU Memory: 1805 MiB
[2022-09-15 18:24:14,207][PROCESS_MONITOR][INFO]python3(512014), Memory: 3771 MiB, GPU Memory: 1805 MiB
[2022-09-15 18:24:15,223][PROCESS_MONITOR][INFO]python3(512014), Memory: 3771 MiB, GPU Memory: 1805 MiB
[2022-09-15 18:24:16,239][PROCESS_MONITOR][INFO]python3(512014), Memory: 3771 MiB, GPU Memory: 1805 MiB
[2022-09-15 18:24:17,254][PROCESS_MONITOR][INFO]python3(512014), Memory: 3771 MiB, GPU Memory: 1805 MiB
[2022-09-15 18:24:18,270][PROCESS_MONITOR][INFO]python3(512014), Memory: 3771 MiB, GPU Memory: 1805 MiB
[2022-09-15 18:24:19,285][PROCESS_MONITOR][INFO]python3(512014), Memory: 3771 MiB, GPU Memory: 1805 MiB
[2022-09-15 18:24:20,297][PROCESS_MONITOR][INFO]python3(512014), Memory: 3771 MiB, GPU Memory: 1805 MiB
[2022-09-15 18:24:21,312][PROCESS_MONITOR][INFO]python3(512014), Memory: 4271 MiB, GPU Memory: 2003 MiB
[2022-09-15 18:24:22,327][PROCESS_MONITOR][INFO]python3(512014), Memory: 4647 MiB, GPU Memory: 2169 MiB
[2022-09-15 18:24:23,339][PROCESS_MONITOR][INFO]python3(512014), Memory: 4647 MiB, GPU Memory: 2169 MiB
[2022-09-15 18:24:24,353][PROCESS_MONITOR][INFO]python3(512014), Memory: 4647 MiB, GPU Memory: 2169 MiB
[2022-09-15 18:24:25,367][PROCESS_MONITOR][INFO]python3(512014), Memory: 4647 MiB, GPU Memory: 2169 MiB
[2022-09-15 18:24:26,382][PROCESS_MONITOR][INFO]python3(512014), Memory: 4647 MiB, GPU Memory: 2169 MiB
[2022-09-15 18:24:27,397][PROCESS_MONITOR][INFO]python3(512014), Memory: 4647 MiB, GPU Memory: 2169 MiB
[2022-09-15 18:24:28,414][PROCESS_MONITOR][INFO]python3(512014), Memory: 4647 MiB, GPU Memory: 2169 MiB
