[2022-11-02 15:25:55,219][PROCESS_MONITOR][INFO]python3(14571), Memory: 1729 MiB, GPU Memory: 561 MiB
[2022-11-02 15:25:56,234][PROCESS_MONITOR][INFO]python3(14571), Memory: 1729 MiB, GPU Memory: 561 MiB
[2022-11-02 15:25:57,250][PROCESS_MONITOR][INFO]python3(14571), Memory: 1729 MiB, GPU Memory: 561 MiB
[2022-11-02 15:25:58,265][PROCESS_MONITOR][INFO]python3(14571), Memory: 1729 MiB, GPU Memory: 561 MiB
[2022-11-02 15:25:59,281][PROCESS_MONITOR][INFO]python3(14571), Memory: 1729 MiB, GPU Memory: 561 MiB
[2022-11-02 15:26:00,295][PROCESS_MONITOR][INFO]python3(14571), Memory: 1729 MiB, GPU Memory: 561 MiB
[2022-11-02 15:26:01,310][PROCESS_MONITOR][INFO]python3(14571), Memory: 1729 MiB, GPU Memory: 561 MiB
[2022-11-02 15:26:02,324][PROCESS_MONITOR][INFO]python3(14571), Memory: 1729 MiB, GPU Memory: 561 MiB
[2022-11-02 15:26:03,338][PROCESS_MONITOR][INFO]python3(14571), Memory: 1729 MiB, GPU Memory: 561 MiB
[2022-11-02 15:26:04,354][PROCESS_MONITOR][INFO]python3(14571), Memory: 1729 MiB, GPU Memory: 561 MiB
[2022-11-02 15:26:05,369][PROCESS_MONITOR][INFO]python3(14571), Memory: 1729 MiB, GPU Memory: 561 MiB
[2022-11-02 15:26:06,383][PROCESS_MONITOR][INFO]python3(14571), Memory: 1729 MiB, GPU Memory: 561 MiB
[2022-11-02 15:26:07,398][PROCESS_MONITOR][INFO]python3(14571), Memory: 1729 MiB, GPU Memory: 561 MiB
[2022-11-02 15:26:08,414][PROCESS_MONITOR][INFO]python3(14571), Memory: 1729 MiB, GPU Memory: 561 MiB
[2022-11-02 15:26:09,431][PROCESS_MONITOR][INFO]python3(14571), Memory: 1729 MiB, GPU Memory: 561 MiB
[2022-11-02 15:26:10,446][PROCESS_MONITOR][INFO]python3(14571), Memory: 1729 MiB, GPU Memory: 561 MiB
[2022-11-02 15:26:11,462][PROCESS_MONITOR][INFO]python3(14571), Memory: 1729 MiB, GPU Memory: 561 MiB
[2022-11-02 15:26:12,478][PROCESS_MONITOR][INFO]python3(14571), Memory: 1729 MiB, GPU Memory: 561 MiB
[2022-11-02 15:26:13,494][PROCESS_MONITOR][INFO]python3(14571), Memory: 1729 MiB, GPU Memory: 561 MiB
[2022-11-02 15:26:14,508][PROCESS_MONITOR][INFO]python3(14571), Memory: 1729 MiB, GPU Memory: 561 MiB
[2022-11-02 15:26:15,525][PROCESS_MONITOR][INFO]python3(14571), Memory: 1729 MiB, GPU Memory: 561 MiB
[2022-11-02 15:26:17,127][PROCESS_MONITOR][INFO]python3(14571), Memory: 1729 MiB, GPU Memory: 561 MiB
[2022-11-02 15:26:18,140][PROCESS_MONITOR][INFO]python3(14571), Memory: 1729 MiB, GPU Memory: 561 MiB
[2022-11-02 15:26:19,153][PROCESS_MONITOR][INFO]python3(14571), Memory: 1827 MiB, GPU Memory: 561 MiB
[2022-11-02 15:26:20,166][PROCESS_MONITOR][INFO]python3(14571), Memory: 2137 MiB, GPU Memory: 561 MiB
[2022-11-02 15:26:21,181][PROCESS_MONITOR][INFO]python3(14571), Memory: 2138 MiB, GPU Memory: 561 MiB
[2022-11-02 15:26:22,194][PROCESS_MONITOR][INFO]python3(14571), Memory: 2138 MiB, GPU Memory: 561 MiB
[2022-11-02 15:26:23,210][PROCESS_MONITOR][INFO]python3(14571), Memory: 2138 MiB, GPU Memory: 561 MiB
[2022-11-02 15:26:24,223][PROCESS_MONITOR][INFO]python3(14571), Memory: 2138 MiB, GPU Memory: 561 MiB
