[2022-09-19 22:29:40,203][PROCESS_MONITOR][INFO]python3(214093), Memory: 811 MiB, GPU Memory: 455 MiB
[2022-09-19 22:29:41,219][PROCESS_MONITOR][INFO]python3(214093), Memory: 811 MiB, GPU Memory: 455 MiB
[2022-09-19 22:29:42,235][PROCESS_MONITOR][INFO]python3(214093), Memory: 811 MiB, GPU Memory: 455 MiB
[2022-09-19 22:29:43,250][PROCESS_MONITOR][INFO]python3(214093), Memory: 811 MiB, GPU Memory: 455 MiB
[2022-09-19 22:29:44,265][PROCESS_MONITOR][INFO]python3(214093), Memory: 811 MiB, GPU Memory: 455 MiB
[2022-09-19 22:29:45,281][PROCESS_MONITOR][INFO]python3(214093), Memory: 811 MiB, GPU Memory: 455 MiB
[2022-09-19 22:29:46,296][PROCESS_MONITOR][INFO]python3(214093), Memory: 811 MiB, GPU Memory: 455 MiB
[2022-09-19 22:29:47,313][PROCESS_MONITOR][INFO]python3(214093), Memory: 811 MiB, GPU Memory: 455 MiB
[2022-09-19 22:29:48,329][PROCESS_MONITOR][INFO]python3(214093), Memory: 811 MiB, GPU Memory: 455 MiB
[2022-09-19 22:29:49,345][PROCESS_MONITOR][INFO]python3(214093), Memory: 811 MiB, GPU Memory: 455 MiB
[2022-09-19 22:29:50,362][PROCESS_MONITOR][INFO]python3(214093), Memory: 811 MiB, GPU Memory: 455 MiB
[2022-09-19 22:29:51,377][PROCESS_MONITOR][INFO]python3(214093), Memory: 811 MiB, GPU Memory: 455 MiB
[2022-09-19 22:29:52,394][PROCESS_MONITOR][INFO]python3(214093), Memory: 811 MiB, GPU Memory: 455 MiB
[2022-09-19 22:29:53,411][PROCESS_MONITOR][INFO]python3(214093), Memory: 811 MiB, GPU Memory: 455 MiB
[2022-09-19 22:29:54,425][PROCESS_MONITOR][INFO]python3(214093), Memory: 811 MiB, GPU Memory: 455 MiB
[2022-09-19 22:29:55,442][PROCESS_MONITOR][INFO]python3(214093), Memory: 811 MiB, GPU Memory: 455 MiB
[2022-09-19 22:29:56,457][PROCESS_MONITOR][INFO]python3(214093), Memory: 811 MiB, GPU Memory: 455 MiB
[2022-09-19 22:29:57,473][PROCESS_MONITOR][INFO]python3(214093), Memory: 811 MiB, GPU Memory: 455 MiB
[2022-09-19 22:29:58,489][PROCESS_MONITOR][INFO]python3(214093), Memory: 811 MiB, GPU Memory: 455 MiB
[2022-09-19 22:29:59,504][PROCESS_MONITOR][INFO]python3(214093), Memory: 811 MiB, GPU Memory: 455 MiB
[2022-09-19 22:30:00,520][PROCESS_MONITOR][INFO]python3(214093), Memory: 811 MiB, GPU Memory: 455 MiB
[2022-09-19 22:30:01,535][PROCESS_MONITOR][INFO]python3(214093), Memory: 811 MiB, GPU Memory: 455 MiB
[2022-09-19 22:30:02,551][PROCESS_MONITOR][INFO]python3(214093), Memory: 811 MiB, GPU Memory: 455 MiB
[2022-09-19 22:30:03,567][PROCESS_MONITOR][INFO]python3(214093), Memory: 811 MiB, GPU Memory: 455 MiB
[2022-09-19 22:30:04,582][PROCESS_MONITOR][INFO]python3(214093), Memory: 811 MiB, GPU Memory: 455 MiB
[2022-09-19 22:30:05,598][PROCESS_MONITOR][INFO]python3(214093), Memory: 811 MiB, GPU Memory: 455 MiB
[2022-09-19 22:30:06,613][PROCESS_MONITOR][INFO]python3(214093), Memory: 811 MiB, GPU Memory: 455 MiB
[2022-09-19 22:30:07,626][PROCESS_MONITOR][INFO]python3(214093), Memory: 811 MiB, GPU Memory: 455 MiB
