[2022-09-19 22:38:53,367][PROCESS_MONITOR][INFO]python3(215929), Memory: 833 MiB, GPU Memory: 481 MiB
[2022-09-19 22:38:54,383][PROCESS_MONITOR][INFO]python3(215929), Memory: 833 MiB, GPU Memory: 481 MiB
[2022-09-19 22:38:55,399][PROCESS_MONITOR][INFO]python3(215929), Memory: 833 MiB, GPU Memory: 481 MiB
[2022-09-19 22:38:56,414][PROCESS_MONITOR][INFO]python3(215929), Memory: 833 MiB, GPU Memory: 481 MiB
[2022-09-19 22:38:57,431][PROCESS_MONITOR][INFO]python3(215929), Memory: 833 MiB, GPU Memory: 481 MiB
[2022-09-19 22:38:58,447][PROCESS_MONITOR][INFO]python3(215929), Memory: 833 MiB, GPU Memory: 481 MiB
[2022-09-19 22:38:59,463][PROCESS_MONITOR][INFO]python3(215929), Memory: 833 MiB, GPU Memory: 481 MiB
[2022-09-19 22:39:00,478][PROCESS_MONITOR][INFO]python3(215929), Memory: 833 MiB, GPU Memory: 481 MiB
[2022-09-19 22:39:01,493][PROCESS_MONITOR][INFO]python3(215929), Memory: 833 MiB, GPU Memory: 481 MiB
[2022-09-19 22:39:02,509][PROCESS_MONITOR][INFO]python3(215929), Memory: 833 MiB, GPU Memory: 481 MiB
[2022-09-19 22:39:03,525][PROCESS_MONITOR][INFO]python3(215929), Memory: 833 MiB, GPU Memory: 481 MiB
[2022-09-19 22:39:04,541][PROCESS_MONITOR][INFO]python3(215929), Memory: 833 MiB, GPU Memory: 481 MiB
[2022-09-19 22:39:05,557][PROCESS_MONITOR][INFO]python3(215929), Memory: 833 MiB, GPU Memory: 481 MiB
[2022-09-19 22:39:06,573][PROCESS_MONITOR][INFO]python3(215929), Memory: 833 MiB, GPU Memory: 481 MiB
[2022-09-19 22:39:07,588][PROCESS_MONITOR][INFO]python3(215929), Memory: 833 MiB, GPU Memory: 481 MiB
[2022-09-19 22:39:08,603][PROCESS_MONITOR][INFO]python3(215929), Memory: 833 MiB, GPU Memory: 481 MiB
[2022-09-19 22:39:09,619][PROCESS_MONITOR][INFO]python3(215929), Memory: 833 MiB, GPU Memory: 481 MiB
[2022-09-19 22:39:10,633][PROCESS_MONITOR][INFO]python3(215929), Memory: 833 MiB, GPU Memory: 481 MiB
[2022-09-19 22:39:11,646][PROCESS_MONITOR][INFO]python3(215929), Memory: 842 MiB, GPU Memory: 481 MiB
[2022-09-19 22:39:12,660][PROCESS_MONITOR][INFO]python3(215929), Memory: 842 MiB, GPU Memory: 481 MiB
[2022-09-19 22:39:13,672][PROCESS_MONITOR][INFO]python3(215929), Memory: 842 MiB, GPU Memory: 481 MiB
[2022-09-19 22:39:14,686][PROCESS_MONITOR][INFO]python3(215929), Memory: 842 MiB, GPU Memory: 481 MiB
[2022-09-19 22:39:15,701][PROCESS_MONITOR][INFO]python3(215929), Memory: 842 MiB, GPU Memory: 481 MiB
[2022-09-19 22:39:16,717][PROCESS_MONITOR][INFO]python3(215929), Memory: 842 MiB, GPU Memory: 481 MiB
[2022-09-19 22:39:17,730][PROCESS_MONITOR][INFO]python3(215929), Memory: 842 MiB, GPU Memory: 481 MiB
[2022-09-19 22:39:18,745][PROCESS_MONITOR][INFO]python3(215929), Memory: 842 MiB, GPU Memory: 481 MiB
[2022-09-19 22:39:19,759][PROCESS_MONITOR][INFO]python3(215929), Memory: 842 MiB, GPU Memory: 481 MiB
[2022-09-19 22:39:20,774][PROCESS_MONITOR][INFO]python3(215929), Memory: 842 MiB, GPU Memory: 481 MiB
[2022-09-19 22:39:21,789][PROCESS_MONITOR][INFO]python3(215929), Memory: 842 MiB, GPU Memory: 481 MiB
[2022-09-19 22:39:22,802][PROCESS_MONITOR][INFO]python3(215929), Memory: 842 MiB, GPU Memory: 481 MiB
[2022-09-19 22:39:23,817][PROCESS_MONITOR][INFO]python3(215929), Memory: 842 MiB, GPU Memory: 481 MiB
[2022-09-19 22:39:24,832][PROCESS_MONITOR][INFO]python3(215929), Memory: 842 MiB, GPU Memory: 481 MiB
[2022-09-19 22:39:25,846][PROCESS_MONITOR][INFO]python3(215929), Memory: 842 MiB, GPU Memory: 481 MiB
[2022-09-19 22:39:26,860][PROCESS_MONITOR][INFO]python3(215929), Memory: 842 MiB, GPU Memory: 481 MiB
[2022-09-19 22:39:27,876][PROCESS_MONITOR][INFO]python3(215929), Memory: 842 MiB, GPU Memory: 481 MiB
[2022-09-19 22:39:28,890][PROCESS_MONITOR][INFO]python3(215929), Memory: 842 MiB, GPU Memory: 481 MiB
[2022-09-19 22:39:29,903][PROCESS_MONITOR][INFO]python3(215929), Memory: 842 MiB, GPU Memory: 481 MiB
[2022-09-19 22:39:30,918][PROCESS_MONITOR][INFO]python3(215929), Memory: 842 MiB, GPU Memory: 481 MiB
[2022-09-19 22:39:31,931][PROCESS_MONITOR][INFO]python3(215929), Memory: 842 MiB, GPU Memory: 481 MiB
