[2022-09-19 22:52:18,663][PROCESS_MONITOR][INFO]python3(217757), Memory: 812 MiB, GPU Memory: 455 MiB
[2022-09-19 22:52:19,679][PROCESS_MONITOR][INFO]python3(217757), Memory: 812 MiB, GPU Memory: 455 MiB
[2022-09-19 22:52:20,694][PROCESS_MONITOR][INFO]python3(217757), Memory: 812 MiB, GPU Memory: 455 MiB
[2022-09-19 22:52:21,711][PROCESS_MONITOR][INFO]python3(217757), Memory: 812 MiB, GPU Memory: 455 MiB
[2022-09-19 22:52:22,727][PROCESS_MONITOR][INFO]python3(217757), Memory: 812 MiB, GPU Memory: 455 MiB
[2022-09-19 22:52:23,743][PROCESS_MONITOR][INFO]python3(217757), Memory: 812 MiB, GPU Memory: 455 MiB
[2022-09-19 22:52:24,759][PROCESS_MONITOR][INFO]python3(217757), Memory: 812 MiB, GPU Memory: 455 MiB
[2022-09-19 22:52:25,775][PROCESS_MONITOR][INFO]python3(217757), Memory: 812 MiB, GPU Memory: 455 MiB
[2022-09-19 22:52:26,791][PROCESS_MONITOR][INFO]python3(217757), Memory: 812 MiB, GPU Memory: 455 MiB
[2022-09-19 22:52:27,807][PROCESS_MONITOR][INFO]python3(217757), Memory: 812 MiB, GPU Memory: 455 MiB
[2022-09-19 22:52:28,823][PROCESS_MONITOR][INFO]python3(217757), Memory: 812 MiB, GPU Memory: 455 MiB
[2022-09-19 22:52:29,839][PROCESS_MONITOR][INFO]python3(217757), Memory: 812 MiB, GPU Memory: 455 MiB
[2022-09-19 22:52:30,855][PROCESS_MONITOR][INFO]python3(217757), Memory: 812 MiB, GPU Memory: 455 MiB
[2022-09-19 22:52:31,871][PROCESS_MONITOR][INFO]python3(217757), Memory: 812 MiB, GPU Memory: 455 MiB
[2022-09-19 22:52:32,885][PROCESS_MONITOR][INFO]python3(217757), Memory: 812 MiB, GPU Memory: 455 MiB
[2022-09-19 22:52:33,898][PROCESS_MONITOR][INFO]python3(217757), Memory: 819 MiB, GPU Memory: 455 MiB
[2022-09-19 22:52:34,912][PROCESS_MONITOR][INFO]python3(217757), Memory: 820 MiB, GPU Memory: 455 MiB
[2022-09-19 22:52:35,926][PROCESS_MONITOR][INFO]python3(217757), Memory: 820 MiB, GPU Memory: 455 MiB
[2022-09-19 22:52:36,939][PROCESS_MONITOR][INFO]python3(217757), Memory: 820 MiB, GPU Memory: 455 MiB
[2022-09-19 22:52:37,953][PROCESS_MONITOR][INFO]python3(217757), Memory: 820 MiB, GPU Memory: 455 MiB
[2022-09-19 22:52:38,968][PROCESS_MONITOR][INFO]python3(217757), Memory: 820 MiB, GPU Memory: 455 MiB
[2022-09-19 22:52:39,982][PROCESS_MONITOR][INFO]python3(217757), Memory: 820 MiB, GPU Memory: 455 MiB
[2022-09-19 22:52:40,997][PROCESS_MONITOR][INFO]python3(217757), Memory: 820 MiB, GPU Memory: 455 MiB
[2022-09-19 22:52:42,012][PROCESS_MONITOR][INFO]python3(217757), Memory: 820 MiB, GPU Memory: 455 MiB
[2022-09-19 22:52:43,026][PROCESS_MONITOR][INFO]python3(217757), Memory: 820 MiB, GPU Memory: 455 MiB
[2022-09-19 22:52:44,041][PROCESS_MONITOR][INFO]python3(217757), Memory: 820 MiB, GPU Memory: 455 MiB
[2022-09-19 22:52:45,054][PROCESS_MONITOR][INFO]python3(217757), Memory: 820 MiB, GPU Memory: 455 MiB
[2022-09-19 22:52:46,067][PROCESS_MONITOR][INFO]python3(217757), Memory: 820 MiB, GPU Memory: 455 MiB
[2022-09-19 22:52:47,082][PROCESS_MONITOR][INFO]python3(217757), Memory: 820 MiB, GPU Memory: 455 MiB
[2022-09-19 22:52:48,096][PROCESS_MONITOR][INFO]python3(217757), Memory: 820 MiB, GPU Memory: 455 MiB
[2022-09-19 22:52:49,111][PROCESS_MONITOR][INFO]python3(217757), Memory: 820 MiB, GPU Memory: 455 MiB
[2022-09-19 22:52:50,124][PROCESS_MONITOR][INFO]python3(217757), Memory: 820 MiB, GPU Memory: 455 MiB
[2022-09-19 22:52:51,137][PROCESS_MONITOR][INFO]python3(217757), Memory: 820 MiB, GPU Memory: 455 MiB
[2022-09-19 22:52:52,152][PROCESS_MONITOR][INFO]python3(217757), Memory: 820 MiB, GPU Memory: 455 MiB
[2022-09-19 22:52:53,167][PROCESS_MONITOR][INFO]python3(217757), Memory: 820 MiB, GPU Memory: 455 MiB
[2022-09-19 22:52:54,182][PROCESS_MONITOR][INFO]python3(217757), Memory: 820 MiB, GPU Memory: 455 MiB
[2022-09-19 22:52:55,197][PROCESS_MONITOR][INFO]python3(217757), Memory: 820 MiB, GPU Memory: 455 MiB
[2022-09-19 22:52:56,212][PROCESS_MONITOR][INFO]python3(217757), Memory: 820 MiB, GPU Memory: 455 MiB
[2022-09-19 22:52:57,227][PROCESS_MONITOR][INFO]python3(217757), Memory: 820 MiB, GPU Memory: 455 MiB
[2022-09-19 22:52:58,242][PROCESS_MONITOR][INFO]python3(217757), Memory: 820 MiB, GPU Memory: 455 MiB
[2022-09-19 22:52:59,258][PROCESS_MONITOR][INFO]python3(217757), Memory: 820 MiB, GPU Memory: 455 MiB
[2022-09-19 22:53:00,272][PROCESS_MONITOR][INFO]python3(217757), Memory: 820 MiB, GPU Memory: 455 MiB
[2022-09-19 22:53:01,286][PROCESS_MONITOR][INFO]python3(217757), Memory: 820 MiB, GPU Memory: 455 MiB
[2022-09-19 22:53:02,301][PROCESS_MONITOR][INFO]python3(217757), Memory: 820 MiB, GPU Memory: 455 MiB
