[2022-09-28 10:28:43,041][JTOP_MONITOR][INFO]Memory: 2581 MiB, GPU Memory: 557 MiB
[2022-09-28 10:28:44,043][JTOP_MONITOR][INFO]Memory: 2577 MiB, GPU Memory: 557 MiB
[2022-09-28 10:28:45,044][JTOP_MONITOR][INFO]Memory: 2577 MiB, GPU Memory: 557 MiB
[2022-09-28 10:28:46,046][JTOP_MONITOR][INFO]Memory: 2577 MiB, GPU Memory: 557 MiB
[2022-09-28 10:28:47,047][JTOP_MONITOR][INFO]Memory: 2577 MiB, GPU Memory: 557 MiB
[2022-09-28 10:28:48,049][JTOP_MONITOR][INFO]Memory: 2577 MiB, GPU Memory: 557 MiB
[2022-09-28 10:28:49,050][JTOP_MONITOR][INFO]Memory: 2577 MiB, GPU Memory: 557 MiB
[2022-09-28 10:28:50,052][JTOP_MONITOR][INFO]Memory: 2577 MiB, GPU Memory: 557 MiB
[2022-09-28 10:28:51,052][JTOP_MONITOR][INFO]Memory: 2577 MiB, GPU Memory: 557 MiB
[2022-09-28 10:28:52,054][JTOP_MONITOR][INFO]Memory: 2578 MiB, GPU Memory: 557 MiB
[2022-09-28 10:28:53,056][JTOP_MONITOR][INFO]Memory: 2577 MiB, GPU Memory: 557 MiB
[2022-09-28 10:28:54,057][JTOP_MONITOR][INFO]Memory: 2577 MiB, GPU Memory: 557 MiB
[2022-09-28 10:28:55,059][JTOP_MONITOR][INFO]Memory: 2578 MiB, GPU Memory: 557 MiB
[2022-09-28 10:28:56,060][JTOP_MONITOR][INFO]Memory: 2578 MiB, GPU Memory: 557 MiB
[2022-09-28 10:28:57,062][JTOP_MONITOR][INFO]Memory: 2578 MiB, GPU Memory: 557 MiB
[2022-09-28 10:28:58,063][JTOP_MONITOR][INFO]Memory: 2600 MiB, GPU Memory: 557 MiB
[2022-09-28 10:28:59,065][JTOP_MONITOR][INFO]Memory: 2609 MiB, GPU Memory: 557 MiB
[2022-09-28 10:29:00,066][JTOP_MONITOR][INFO]Memory: 2602 MiB, GPU Memory: 557 MiB
[2022-09-28 10:29:01,068][JTOP_MONITOR][INFO]Memory: 2592 MiB, GPU Memory: 557 MiB
[2022-09-28 10:29:02,068][JTOP_MONITOR][INFO]Memory: 2583 MiB, GPU Memory: 557 MiB
[2022-09-28 10:29:03,070][JTOP_MONITOR][INFO]Memory: 2581 MiB, GPU Memory: 557 MiB
[2022-09-28 10:29:04,072][JTOP_MONITOR][INFO]Memory: 2580 MiB, GPU Memory: 557 MiB
[2022-09-28 10:29:05,072][JTOP_MONITOR][INFO]Memory: 2642 MiB, GPU Memory: 557 MiB
[2022-09-28 10:29:06,074][JTOP_MONITOR][INFO]Memory: 2574 MiB, GPU Memory: 557 MiB
[2022-09-28 10:29:07,076][JTOP_MONITOR][INFO]Memory: 2588 MiB, GPU Memory: 557 MiB
[2022-09-28 10:29:08,076][JTOP_MONITOR][INFO]Memory: 2593 MiB, GPU Memory: 557 MiB
[2022-09-28 10:29:09,078][JTOP_MONITOR][INFO]Memory: 2612 MiB, GPU Memory: 557 MiB
[2022-09-28 10:29:10,080][JTOP_MONITOR][INFO]Memory: 2628 MiB, GPU Memory: 557 MiB
[2022-09-28 10:29:11,082][JTOP_MONITOR][INFO]Memory: 2634 MiB, GPU Memory: 557 MiB
[2022-09-28 10:29:12,083][JTOP_MONITOR][INFO]Memory: 2634 MiB, GPU Memory: 557 MiB
[2022-09-28 10:29:13,637][JTOP_MONITOR][INFO]Memory: 2641 MiB, GPU Memory: 557 MiB
[2022-09-28 10:29:14,638][JTOP_MONITOR][INFO]Memory: 2641 MiB, GPU Memory: 557 MiB
[2022-09-28 10:29:15,640][JTOP_MONITOR][INFO]Memory: 2641 MiB, GPU Memory: 557 MiB
[2022-09-28 10:29:16,640][JTOP_MONITOR][INFO]Memory: 2650 MiB, GPU Memory: 557 MiB
[2022-09-28 10:29:17,642][JTOP_MONITOR][INFO]Memory: 2663 MiB, GPU Memory: 557 MiB
[2022-09-28 10:29:18,644][JTOP_MONITOR][INFO]Memory: 2663 MiB, GPU Memory: 557 MiB
[2022-09-28 10:29:19,645][JTOP_MONITOR][INFO]Memory: 2663 MiB, GPU Memory: 557 MiB
[2022-09-28 10:29:20,647][JTOP_MONITOR][INFO]Memory: 2664 MiB, GPU Memory: 557 MiB
[2022-09-28 10:29:21,648][JTOP_MONITOR][INFO]Memory: 2669 MiB, GPU Memory: 557 MiB
[2022-09-28 10:29:22,650][JTOP_MONITOR][INFO]Memory: 2672 MiB, GPU Memory: 557 MiB
[2022-09-28 10:29:23,651][JTOP_MONITOR][INFO]Memory: 2676 MiB, GPU Memory: 557 MiB
[2022-09-28 10:29:24,653][JTOP_MONITOR][INFO]Memory: 2682 MiB, GPU Memory: 591 MiB
[2022-09-28 10:29:25,654][JTOP_MONITOR][INFO]Memory: 2729 MiB, GPU Memory: 607 MiB
[2022-09-28 10:29:26,656][JTOP_MONITOR][INFO]Memory: 2731 MiB, GPU Memory: 613 MiB
[2022-09-28 10:29:28,338][JTOP_MONITOR][INFO]Memory: 2725 MiB, GPU Memory: 618 MiB
[2022-09-28 10:29:29,339][JTOP_MONITOR][INFO]Memory: 2737 MiB, GPU Memory: 624 MiB
[2022-09-28 10:29:30,341][JTOP_MONITOR][INFO]Memory: 2734 MiB, GPU Memory: 636 MiB
[2022-09-28 10:29:31,343][JTOP_MONITOR][INFO]Memory: 2751 MiB, GPU Memory: 644 MiB
[2022-09-28 10:29:32,364][JTOP_MONITOR][INFO]Memory: 2741 MiB, GPU Memory: 651 MiB
[2022-09-28 10:29:33,367][JTOP_MONITOR][INFO]Memory: 2731 MiB, GPU Memory: 651 MiB
[2022-09-28 10:29:34,369][JTOP_MONITOR][INFO]Memory: 2711 MiB, GPU Memory: 682 MiB
[2022-09-28 10:29:35,370][JTOP_MONITOR][INFO]Memory: 2699 MiB, GPU Memory: 682 MiB
[2022-09-28 10:29:36,372][JTOP_MONITOR][INFO]Memory: 2697 MiB, GPU Memory: 682 MiB
[2022-09-28 10:29:37,374][JTOP_MONITOR][INFO]Memory: 2689 MiB, GPU Memory: 682 MiB
[2022-09-28 10:29:38,375][JTOP_MONITOR][INFO]Memory: 2688 MiB, GPU Memory: 682 MiB
