[2022-09-19 13:00:03,247][JTOP_MONITOR][INFO]Memory: 506 MiB, GPU Memory: 23 MiB
[2022-09-19 13:00:04,248][JTOP_MONITOR][INFO]Memory: 1997 MiB, GPU Memory: 403 MiB
[2022-09-19 13:00:05,250][JTOP_MONITOR][INFO]Memory: 2039 MiB, GPU Memory: 449 MiB
[2022-09-19 13:00:06,251][JTOP_MONITOR][INFO]Memory: 2041 MiB, GPU Memory: 449 MiB
[2022-09-19 13:00:07,253][JTOP_MONITOR][INFO]Memory: 2041 MiB, GPU Memory: 449 MiB
[2022-09-19 13:00:08,254][JTOP_MONITOR][INFO]Memory: 2040 MiB, GPU Memory: 449 MiB
[2022-09-19 13:00:09,256][JTOP_MONITOR][INFO]Memory: 2037 MiB, GPU Memory: 449 MiB
[2022-09-19 13:00:10,258][JTOP_MONITOR][INFO]Memory: 2039 MiB, GPU Memory: 449 MiB
[2022-09-19 13:00:11,259][JTOP_MONITOR][INFO]Memory: 2039 MiB, GPU Memory: 449 MiB
[2022-09-19 13:00:12,261][JTOP_MONITOR][INFO]Memory: 2038 MiB, GPU Memory: 449 MiB
[2022-09-19 13:00:13,262][JTOP_MONITOR][INFO]Memory: 2039 MiB, GPU Memory: 449 MiB
[2022-09-19 13:00:14,264][JTOP_MONITOR][INFO]Memory: 2038 MiB, GPU Memory: 449 MiB
[2022-09-19 13:00:15,265][JTOP_MONITOR][INFO]Memory: 2039 MiB, GPU Memory: 449 MiB
[2022-09-19 13:00:16,266][JTOP_MONITOR][INFO]Memory: 2064 MiB, GPU Memory: 449 MiB
[2022-09-19 13:00:17,267][JTOP_MONITOR][INFO]Memory: 2074 MiB, GPU Memory: 449 MiB
[2022-09-19 13:00:18,269][JTOP_MONITOR][INFO]Memory: 2074 MiB, GPU Memory: 449 MiB
[2022-09-19 13:00:19,271][JTOP_MONITOR][INFO]Memory: 2076 MiB, GPU Memory: 449 MiB
[2022-09-19 13:00:20,272][JTOP_MONITOR][INFO]Memory: 2073 MiB, GPU Memory: 449 MiB
[2022-09-19 13:00:21,274][JTOP_MONITOR][INFO]Memory: 2090 MiB, GPU Memory: 449 MiB
[2022-09-19 13:00:22,275][JTOP_MONITOR][INFO]Memory: 2141 MiB, GPU Memory: 449 MiB
[2022-09-19 13:00:23,277][JTOP_MONITOR][INFO]Memory: 2156 MiB, GPU Memory: 449 MiB
[2022-09-19 13:00:24,278][JTOP_MONITOR][INFO]Memory: 2166 MiB, GPU Memory: 449 MiB
[2022-09-19 13:00:25,280][JTOP_MONITOR][INFO]Memory: 2171 MiB, GPU Memory: 449 MiB
[2022-09-19 13:00:26,282][JTOP_MONITOR][INFO]Memory: 2176 MiB, GPU Memory: 449 MiB
