[2022-11-03 12:26:22,687][JTOP_MONITOR][INFO]Memory: 1488 MiB, GPU Memory: 227 MiB
[2022-11-03 12:26:23,689][JTOP_MONITOR][INFO]Memory: 1480 MiB, GPU Memory: 227 MiB
[2022-11-03 12:26:24,690][JTOP_MONITOR][INFO]Memory: 1481 MiB, GPU Memory: 227 MiB
[2022-11-03 12:26:25,692][JTOP_MONITOR][INFO]Memory: 1480 MiB, GPU Memory: 227 MiB
[2022-11-03 12:26:26,694][JTOP_MONITOR][INFO]Memory: 1509 MiB, GPU Memory: 227 MiB
[2022-11-03 12:26:27,695][JTOP_MONITOR][INFO]Memory: 1513 MiB, GPU Memory: 227 MiB
[2022-11-03 12:26:28,696][JTOP_MONITOR][INFO]Memory: 1559 MiB, GPU Memory: 227 MiB
[2022-11-03 12:26:29,698][JTOP_MONITOR][INFO]Memory: 1532 MiB, GPU Memory: 227 MiB
[2022-11-03 12:26:30,699][JTOP_MONITOR][INFO]Memory: 1582 MiB, GPU Memory: 227 MiB
[2022-11-03 12:26:31,701][JTOP_MONITOR][INFO]Memory: 1603 MiB, GPU Memory: 227 MiB
[2022-11-03 12:26:32,702][JTOP_MONITOR][INFO]Memory: 1615 MiB, GPU Memory: 227 MiB
[2022-11-03 12:26:33,704][JTOP_MONITOR][INFO]Memory: 1624 MiB, GPU Memory: 227 MiB
[2022-11-03 12:26:34,706][JTOP_MONITOR][INFO]Memory: 1627 MiB, GPU Memory: 227 MiB
[2022-11-03 12:26:35,707][JTOP_MONITOR][INFO]Memory: 1843 MiB, GPU Memory: 282 MiB
[2022-11-03 12:26:36,708][JTOP_MONITOR][INFO]Memory: 1871 MiB, GPU Memory: 288 MiB
[2022-11-03 12:26:37,710][JTOP_MONITOR][INFO]Memory: 1872 MiB, GPU Memory: 288 MiB
[2022-11-03 12:26:38,711][JTOP_MONITOR][INFO]Memory: 1874 MiB, GPU Memory: 288 MiB
[2022-11-03 12:26:39,712][JTOP_MONITOR][INFO]Memory: 1874 MiB, GPU Memory: 288 MiB
[2022-11-03 12:26:40,714][JTOP_MONITOR][INFO]Memory: 1873 MiB, GPU Memory: 288 MiB
[2022-11-03 12:26:41,715][JTOP_MONITOR][INFO]Memory: 1875 MiB, GPU Memory: 288 MiB
[2022-11-03 12:26:42,716][JTOP_MONITOR][INFO]Memory: 1875 MiB, GPU Memory: 288 MiB
[2022-11-03 12:26:43,718][JTOP_MONITOR][INFO]Memory: 1875 MiB, GPU Memory: 288 MiB
[2022-11-03 12:26:44,719][JTOP_MONITOR][INFO]Memory: 1875 MiB, GPU Memory: 288 MiB
[2022-11-03 12:26:45,720][JTOP_MONITOR][INFO]Memory: 1878 MiB, GPU Memory: 288 MiB
[2022-11-03 12:26:46,722][JTOP_MONITOR][INFO]Memory: 1873 MiB, GPU Memory: 288 MiB
[2022-11-03 12:26:47,723][JTOP_MONITOR][INFO]Memory: 1876 MiB, GPU Memory: 288 MiB
[2022-11-03 12:26:48,724][JTOP_MONITOR][INFO]Memory: 1888 MiB, GPU Memory: 288 MiB
[2022-11-03 12:26:49,726][JTOP_MONITOR][INFO]Memory: 1888 MiB, GPU Memory: 288 MiB
[2022-11-03 12:26:50,727][JTOP_MONITOR][INFO]Memory: 1894 MiB, GPU Memory: 288 MiB
[2022-11-03 12:26:51,728][JTOP_MONITOR][INFO]Memory: 1893 MiB, GPU Memory: 288 MiB
[2022-11-03 12:26:52,730][JTOP_MONITOR][INFO]Memory: 1895 MiB, GPU Memory: 288 MiB
[2022-11-03 12:26:53,731][JTOP_MONITOR][INFO]Memory: 1895 MiB, GPU Memory: 288 MiB
[2022-11-03 12:26:54,732][JTOP_MONITOR][INFO]Memory: 1895 MiB, GPU Memory: 288 MiB
[2022-11-03 12:26:55,734][JTOP_MONITOR][INFO]Memory: 1895 MiB, GPU Memory: 288 MiB
[2022-11-03 12:26:56,735][JTOP_MONITOR][INFO]Memory: 1896 MiB, GPU Memory: 288 MiB
[2022-11-03 12:26:57,737][JTOP_MONITOR][INFO]Memory: 1896 MiB, GPU Memory: 288 MiB
[2022-11-03 12:26:58,739][JTOP_MONITOR][INFO]Memory: 1896 MiB, GPU Memory: 288 MiB
[2022-11-03 12:26:59,740][JTOP_MONITOR][INFO]Memory: 1896 MiB, GPU Memory: 288 MiB
[2022-11-03 12:27:00,742][JTOP_MONITOR][INFO]Memory: 1905 MiB, GPU Memory: 288 MiB
[2022-11-03 12:27:01,743][JTOP_MONITOR][INFO]Memory: 1904 MiB, GPU Memory: 288 MiB
[2022-11-03 12:27:02,745][JTOP_MONITOR][INFO]Memory: 1905 MiB, GPU Memory: 288 MiB
[2022-11-03 12:27:03,747][JTOP_MONITOR][INFO]Memory: 1905 MiB, GPU Memory: 288 MiB
[2022-11-03 12:27:04,748][JTOP_MONITOR][INFO]Memory: 1904 MiB, GPU Memory: 288 MiB
[2022-11-03 12:27:05,750][JTOP_MONITOR][INFO]Memory: 1904 MiB, GPU Memory: 288 MiB
[2022-11-03 12:27:06,751][JTOP_MONITOR][INFO]Memory: 1905 MiB, GPU Memory: 288 MiB
[2022-11-03 12:27:07,753][JTOP_MONITOR][INFO]Memory: 1904 MiB, GPU Memory: 288 MiB
[2022-11-03 12:27:08,754][JTOP_MONITOR][INFO]Memory: 1904 MiB, GPU Memory: 288 MiB
[2022-11-03 12:27:09,756][JTOP_MONITOR][INFO]Memory: 1904 MiB, GPU Memory: 288 MiB
[2022-11-03 12:27:10,758][JTOP_MONITOR][INFO]Memory: 1904 MiB, GPU Memory: 288 MiB
[2022-11-03 12:27:11,759][JTOP_MONITOR][INFO]Memory: 1904 MiB, GPU Memory: 288 MiB
[2022-11-03 12:27:12,760][JTOP_MONITOR][INFO]Memory: 1904 MiB, GPU Memory: 288 MiB
[2022-11-03 12:27:13,761][JTOP_MONITOR][INFO]Memory: 1905 MiB, GPU Memory: 288 MiB
[2022-11-03 12:27:14,763][JTOP_MONITOR][INFO]Memory: 1904 MiB, GPU Memory: 288 MiB
[2022-11-03 12:27:15,764][JTOP_MONITOR][INFO]Memory: 1904 MiB, GPU Memory: 288 MiB
[2022-11-03 12:27:16,766][JTOP_MONITOR][INFO]Memory: 1905 MiB, GPU Memory: 288 MiB
[2022-11-03 12:27:17,768][JTOP_MONITOR][INFO]Memory: 1906 MiB, GPU Memory: 288 MiB
[2022-11-03 12:27:18,769][JTOP_MONITOR][INFO]Memory: 1905 MiB, GPU Memory: 288 MiB
[2022-11-03 12:27:19,771][JTOP_MONITOR][INFO]Memory: 1905 MiB, GPU Memory: 288 MiB
[2022-11-03 12:27:20,772][JTOP_MONITOR][INFO]Memory: 1905 MiB, GPU Memory: 288 MiB
[2022-11-03 12:27:21,774][JTOP_MONITOR][INFO]Memory: 1905 MiB, GPU Memory: 288 MiB
[2022-11-03 12:27:22,775][JTOP_MONITOR][INFO]Memory: 1905 MiB, GPU Memory: 288 MiB
[2022-11-03 12:27:23,776][JTOP_MONITOR][INFO]Memory: 1905 MiB, GPU Memory: 288 MiB
[2022-11-03 12:27:24,778][JTOP_MONITOR][INFO]Memory: 1905 MiB, GPU Memory: 288 MiB
[2022-11-03 12:27:25,779][JTOP_MONITOR][INFO]Memory: 1905 MiB, GPU Memory: 288 MiB
[2022-11-03 12:27:26,780][JTOP_MONITOR][INFO]Memory: 1907 MiB, GPU Memory: 288 MiB
[2022-11-03 12:27:27,782][JTOP_MONITOR][INFO]Memory: 1905 MiB, GPU Memory: 288 MiB
[2022-11-03 12:27:28,783][JTOP_MONITOR][INFO]Memory: 1905 MiB, GPU Memory: 288 MiB
[2022-11-03 12:27:29,784][JTOP_MONITOR][INFO]Memory: 1905 MiB, GPU Memory: 288 MiB
[2022-11-03 12:27:30,786][JTOP_MONITOR][INFO]Memory: 1905 MiB, GPU Memory: 288 MiB
[2022-11-03 12:27:31,787][JTOP_MONITOR][INFO]Memory: 1905 MiB, GPU Memory: 288 MiB
[2022-11-03 12:27:32,789][JTOP_MONITOR][INFO]Memory: 1905 MiB, GPU Memory: 288 MiB
[2022-11-03 12:27:33,790][JTOP_MONITOR][INFO]Memory: 1905 MiB, GPU Memory: 288 MiB
[2022-11-03 12:27:34,792][JTOP_MONITOR][INFO]Memory: 1906 MiB, GPU Memory: 288 MiB
[2022-11-03 12:27:35,794][JTOP_MONITOR][INFO]Memory: 1906 MiB, GPU Memory: 288 MiB
[2022-11-03 12:27:36,795][JTOP_MONITOR][INFO]Memory: 1906 MiB, GPU Memory: 288 MiB
[2022-11-03 12:27:37,796][JTOP_MONITOR][INFO]Memory: 1906 MiB, GPU Memory: 288 MiB
[2022-11-03 12:27:38,798][JTOP_MONITOR][INFO]Memory: 1906 MiB, GPU Memory: 288 MiB
[2022-11-03 12:27:39,799][JTOP_MONITOR][INFO]Memory: 1905 MiB, GPU Memory: 288 MiB
[2022-11-03 12:27:40,801][JTOP_MONITOR][INFO]Memory: 1905 MiB, GPU Memory: 288 MiB
[2022-11-03 12:27:41,802][JTOP_MONITOR][INFO]Memory: 1905 MiB, GPU Memory: 288 MiB
[2022-11-03 12:27:42,804][JTOP_MONITOR][INFO]Memory: 1906 MiB, GPU Memory: 288 MiB
[2022-11-03 12:27:43,806][JTOP_MONITOR][INFO]Memory: 1905 MiB, GPU Memory: 288 MiB
[2022-11-03 12:27:44,807][JTOP_MONITOR][INFO]Memory: 1907 MiB, GPU Memory: 288 MiB
[2022-11-03 12:27:45,808][JTOP_MONITOR][INFO]Memory: 1907 MiB, GPU Memory: 288 MiB
[2022-11-03 12:27:46,810][JTOP_MONITOR][INFO]Memory: 1909 MiB, GPU Memory: 288 MiB
[2022-11-03 12:27:47,811][JTOP_MONITOR][INFO]Memory: 1908 MiB, GPU Memory: 288 MiB
[2022-11-03 12:27:48,812][JTOP_MONITOR][INFO]Memory: 1908 MiB, GPU Memory: 288 MiB
[2022-11-03 12:27:49,814][JTOP_MONITOR][INFO]Memory: 1908 MiB, GPU Memory: 288 MiB
[2022-11-03 12:27:50,815][JTOP_MONITOR][INFO]Memory: 1908 MiB, GPU Memory: 288 MiB
[2022-11-03 12:27:51,816][JTOP_MONITOR][INFO]Memory: 1908 MiB, GPU Memory: 288 MiB
[2022-11-03 12:27:52,819][JTOP_MONITOR][INFO]Memory: 1908 MiB, GPU Memory: 288 MiB
[2022-11-03 12:27:53,820][JTOP_MONITOR][INFO]Memory: 1909 MiB, GPU Memory: 288 MiB
[2022-11-03 12:27:54,822][JTOP_MONITOR][INFO]Memory: 1909 MiB, GPU Memory: 288 MiB
[2022-11-03 12:27:55,823][JTOP_MONITOR][INFO]Memory: 1909 MiB, GPU Memory: 288 MiB
[2022-11-03 12:27:56,824][JTOP_MONITOR][INFO]Memory: 1909 MiB, GPU Memory: 288 MiB
[2022-11-03 12:27:57,826][JTOP_MONITOR][INFO]Memory: 1908 MiB, GPU Memory: 288 MiB
[2022-11-03 12:27:58,828][JTOP_MONITOR][INFO]Memory: 1909 MiB, GPU Memory: 288 MiB
[2022-11-03 12:27:59,829][JTOP_MONITOR][INFO]Memory: 1909 MiB, GPU Memory: 288 MiB
[2022-11-03 12:28:00,831][JTOP_MONITOR][INFO]Memory: 1909 MiB, GPU Memory: 288 MiB
[2022-11-03 12:28:01,832][JTOP_MONITOR][INFO]Memory: 1908 MiB, GPU Memory: 288 MiB
[2022-11-03 12:28:02,834][JTOP_MONITOR][INFO]Memory: 1909 MiB, GPU Memory: 288 MiB
[2022-11-03 12:28:03,835][JTOP_MONITOR][INFO]Memory: 1910 MiB, GPU Memory: 288 MiB
[2022-11-03 12:28:04,836][JTOP_MONITOR][INFO]Memory: 1910 MiB, GPU Memory: 288 MiB
[2022-11-03 12:28:05,838][JTOP_MONITOR][INFO]Memory: 1909 MiB, GPU Memory: 288 MiB
[2022-11-03 12:28:06,840][JTOP_MONITOR][INFO]Memory: 1909 MiB, GPU Memory: 288 MiB
[2022-11-03 12:28:07,841][JTOP_MONITOR][INFO]Memory: 1909 MiB, GPU Memory: 288 MiB
[2022-11-03 12:28:08,843][JTOP_MONITOR][INFO]Memory: 1909 MiB, GPU Memory: 288 MiB
[2022-11-03 12:28:09,844][JTOP_MONITOR][INFO]Memory: 1909 MiB, GPU Memory: 288 MiB
[2022-11-03 12:28:10,845][JTOP_MONITOR][INFO]Memory: 1908 MiB, GPU Memory: 288 MiB
[2022-11-03 12:28:11,847][JTOP_MONITOR][INFO]Memory: 1908 MiB, GPU Memory: 288 MiB
[2022-11-03 12:28:12,849][JTOP_MONITOR][INFO]Memory: 1910 MiB, GPU Memory: 288 MiB
[2022-11-03 12:28:13,850][JTOP_MONITOR][INFO]Memory: 1911 MiB, GPU Memory: 288 MiB
[2022-11-03 12:28:14,852][JTOP_MONITOR][INFO]Memory: 1910 MiB, GPU Memory: 288 MiB
[2022-11-03 12:28:15,854][JTOP_MONITOR][INFO]Memory: 1910 MiB, GPU Memory: 288 MiB
[2022-11-03 12:28:16,855][JTOP_MONITOR][INFO]Memory: 1909 MiB, GPU Memory: 288 MiB
[2022-11-03 12:28:17,857][JTOP_MONITOR][INFO]Memory: 1910 MiB, GPU Memory: 288 MiB
[2022-11-03 12:28:18,859][JTOP_MONITOR][INFO]Memory: 1909 MiB, GPU Memory: 288 MiB
[2022-11-03 12:28:19,860][JTOP_MONITOR][INFO]Memory: 1910 MiB, GPU Memory: 288 MiB
[2022-11-03 12:28:20,862][JTOP_MONITOR][INFO]Memory: 1910 MiB, GPU Memory: 288 MiB
[2022-11-03 12:28:21,863][JTOP_MONITOR][INFO]Memory: 1911 MiB, GPU Memory: 288 MiB
[2022-11-03 12:28:22,865][JTOP_MONITOR][INFO]Memory: 1882 MiB, GPU Memory: 288 MiB
[2022-11-03 12:28:23,868][JTOP_MONITOR][INFO]Memory: 1882 MiB, GPU Memory: 288 MiB
[2022-11-03 12:28:24,869][JTOP_MONITOR][INFO]Memory: 1882 MiB, GPU Memory: 288 MiB
[2022-11-03 12:28:25,871][JTOP_MONITOR][INFO]Memory: 1895 MiB, GPU Memory: 288 MiB
[2022-11-03 12:28:26,872][JTOP_MONITOR][INFO]Memory: 1896 MiB, GPU Memory: 288 MiB
[2022-11-03 12:28:27,874][JTOP_MONITOR][INFO]Memory: 1894 MiB, GPU Memory: 288 MiB
[2022-11-03 12:28:28,875][JTOP_MONITOR][INFO]Memory: 1895 MiB, GPU Memory: 288 MiB
[2022-11-03 12:28:29,876][JTOP_MONITOR][INFO]Memory: 1931 MiB, GPU Memory: 288 MiB
[2022-11-03 12:28:30,878][JTOP_MONITOR][INFO]Memory: 1887 MiB, GPU Memory: 288 MiB
[2022-11-03 12:28:31,879][JTOP_MONITOR][INFO]Memory: 1887 MiB, GPU Memory: 288 MiB
[2022-11-03 12:28:32,880][JTOP_MONITOR][INFO]Memory: 1887 MiB, GPU Memory: 288 MiB
[2022-11-03 12:28:33,882][JTOP_MONITOR][INFO]Memory: 1887 MiB, GPU Memory: 288 MiB
[2022-11-03 12:28:34,883][JTOP_MONITOR][INFO]Memory: 1886 MiB, GPU Memory: 288 MiB
[2022-11-03 12:28:35,885][JTOP_MONITOR][INFO]Memory: 1887 MiB, GPU Memory: 288 MiB
[2022-11-03 12:28:36,887][JTOP_MONITOR][INFO]Memory: 1887 MiB, GPU Memory: 288 MiB
[2022-11-03 12:28:37,888][JTOP_MONITOR][INFO]Memory: 1888 MiB, GPU Memory: 288 MiB
[2022-11-03 12:28:38,890][JTOP_MONITOR][INFO]Memory: 1888 MiB, GPU Memory: 288 MiB
[2022-11-03 12:28:39,890][JTOP_MONITOR][INFO]Memory: 1888 MiB, GPU Memory: 288 MiB
[2022-11-03 12:28:40,892][JTOP_MONITOR][INFO]Memory: 1887 MiB, GPU Memory: 288 MiB
[2022-11-03 12:28:41,894][JTOP_MONITOR][INFO]Memory: 1887 MiB, GPU Memory: 288 MiB
[2022-11-03 12:28:42,895][JTOP_MONITOR][INFO]Memory: 1888 MiB, GPU Memory: 288 MiB
[2022-11-03 12:28:43,896][JTOP_MONITOR][INFO]Memory: 1888 MiB, GPU Memory: 288 MiB
[2022-11-03 12:28:44,898][JTOP_MONITOR][INFO]Memory: 1887 MiB, GPU Memory: 288 MiB
[2022-11-03 12:28:45,899][JTOP_MONITOR][INFO]Memory: 1888 MiB, GPU Memory: 288 MiB
[2022-11-03 12:28:46,900][JTOP_MONITOR][INFO]Memory: 1890 MiB, GPU Memory: 288 MiB
[2022-11-03 12:28:47,902][JTOP_MONITOR][INFO]Memory: 1890 MiB, GPU Memory: 288 MiB
[2022-11-03 12:28:48,903][JTOP_MONITOR][INFO]Memory: 1889 MiB, GPU Memory: 288 MiB
[2022-11-03 12:28:49,905][JTOP_MONITOR][INFO]Memory: 1888 MiB, GPU Memory: 288 MiB
[2022-11-03 12:28:50,907][JTOP_MONITOR][INFO]Memory: 1888 MiB, GPU Memory: 288 MiB
[2022-11-03 12:28:51,908][JTOP_MONITOR][INFO]Memory: 1888 MiB, GPU Memory: 288 MiB
[2022-11-03 12:28:52,910][JTOP_MONITOR][INFO]Memory: 1888 MiB, GPU Memory: 288 MiB
[2022-11-03 12:28:53,911][JTOP_MONITOR][INFO]Memory: 1903 MiB, GPU Memory: 288 MiB
[2022-11-03 12:28:54,913][JTOP_MONITOR][INFO]Memory: 1904 MiB, GPU Memory: 288 MiB
[2022-11-03 12:28:55,917][JTOP_MONITOR][INFO]Memory: 1905 MiB, GPU Memory: 288 MiB
[2022-11-03 12:28:56,919][JTOP_MONITOR][INFO]Memory: 1905 MiB, GPU Memory: 288 MiB
[2022-11-03 12:28:57,920][JTOP_MONITOR][INFO]Memory: 1904 MiB, GPU Memory: 288 MiB
[2022-11-03 12:28:58,922][JTOP_MONITOR][INFO]Memory: 1904 MiB, GPU Memory: 288 MiB
[2022-11-03 12:28:59,923][JTOP_MONITOR][INFO]Memory: 1904 MiB, GPU Memory: 288 MiB
[2022-11-03 12:29:00,925][JTOP_MONITOR][INFO]Memory: 1905 MiB, GPU Memory: 288 MiB
[2022-11-03 12:29:01,927][JTOP_MONITOR][INFO]Memory: 1904 MiB, GPU Memory: 288 MiB
[2022-11-03 12:29:02,928][JTOP_MONITOR][INFO]Memory: 1904 MiB, GPU Memory: 288 MiB
[2022-11-03 12:29:03,930][JTOP_MONITOR][INFO]Memory: 1904 MiB, GPU Memory: 288 MiB
[2022-11-03 12:29:04,932][JTOP_MONITOR][INFO]Memory: 1904 MiB, GPU Memory: 288 MiB
[2022-11-03 12:29:05,932][JTOP_MONITOR][INFO]Memory: 1905 MiB, GPU Memory: 288 MiB
[2022-11-03 12:29:06,934][JTOP_MONITOR][INFO]Memory: 1919 MiB, GPU Memory: 288 MiB
[2022-11-03 12:29:07,936][JTOP_MONITOR][INFO]Memory: 1895 MiB, GPU Memory: 288 MiB
[2022-11-03 12:29:08,937][JTOP_MONITOR][INFO]Memory: 1895 MiB, GPU Memory: 288 MiB
[2022-11-03 12:29:09,939][JTOP_MONITOR][INFO]Memory: 1895 MiB, GPU Memory: 288 MiB
[2022-11-03 12:29:10,940][JTOP_MONITOR][INFO]Memory: 1912 MiB, GPU Memory: 288 MiB
[2022-11-03 12:29:11,942][JTOP_MONITOR][INFO]Memory: 1912 MiB, GPU Memory: 288 MiB
[2022-11-03 12:29:12,943][JTOP_MONITOR][INFO]Memory: 1912 MiB, GPU Memory: 288 MiB
[2022-11-03 12:29:13,944][JTOP_MONITOR][INFO]Memory: 1911 MiB, GPU Memory: 288 MiB
[2022-11-03 12:29:14,946][JTOP_MONITOR][INFO]Memory: 1913 MiB, GPU Memory: 288 MiB
[2022-11-03 12:29:15,947][JTOP_MONITOR][INFO]Memory: 1912 MiB, GPU Memory: 288 MiB
[2022-11-03 12:29:18,060][JTOP_MONITOR][INFO]Memory: 1913 MiB, GPU Memory: 288 MiB
[2022-11-03 12:29:19,062][JTOP_MONITOR][INFO]Memory: 1913 MiB, GPU Memory: 288 MiB
[2022-11-03 12:29:20,063][JTOP_MONITOR][INFO]Memory: 1913 MiB, GPU Memory: 288 MiB
[2022-11-03 12:29:21,064][JTOP_MONITOR][INFO]Memory: 1911 MiB, GPU Memory: 288 MiB
[2022-11-03 12:29:22,066][JTOP_MONITOR][INFO]Memory: 1912 MiB, GPU Memory: 288 MiB
[2022-11-03 12:29:23,067][JTOP_MONITOR][INFO]Memory: 1912 MiB, GPU Memory: 288 MiB
[2022-11-03 12:29:24,068][JTOP_MONITOR][INFO]Memory: 1912 MiB, GPU Memory: 288 MiB
[2022-11-03 12:29:25,070][JTOP_MONITOR][INFO]Memory: 1912 MiB, GPU Memory: 288 MiB
