[2022-09-29 09:09:57,618][JTOP_MONITOR][INFO]Memory: 1346 MiB, GPU Memory: 212 MiB
[2022-09-29 09:09:58,620][JTOP_MONITOR][INFO]Memory: 1345 MiB, GPU Memory: 212 MiB
[2022-09-29 09:09:59,621][JTOP_MONITOR][INFO]Memory: 1346 MiB, GPU Memory: 212 MiB
[2022-09-29 09:10:00,623][JTOP_MONITOR][INFO]Memory: 1345 MiB, GPU Memory: 212 MiB
[2022-09-29 09:10:01,624][JTOP_MONITOR][INFO]Memory: 1346 MiB, GPU Memory: 212 MiB
[2022-09-29 09:10:02,626][JTOP_MONITOR][INFO]Memory: 1346 MiB, GPU Memory: 212 MiB
[2022-09-29 09:10:03,627][JTOP_MONITOR][INFO]Memory: 1374 MiB, GPU Memory: 212 MiB
[2022-09-29 09:10:04,629][JTOP_MONITOR][INFO]Memory: 1374 MiB, GPU Memory: 212 MiB
[2022-09-29 09:10:05,630][JTOP_MONITOR][INFO]Memory: 1375 MiB, GPU Memory: 212 MiB
[2022-09-29 09:10:06,632][JTOP_MONITOR][INFO]Memory: 1385 MiB, GPU Memory: 212 MiB
[2022-09-29 09:10:07,634][JTOP_MONITOR][INFO]Memory: 1422 MiB, GPU Memory: 212 MiB
[2022-09-29 09:10:08,635][JTOP_MONITOR][INFO]Memory: 1451 MiB, GPU Memory: 212 MiB
[2022-09-29 09:10:09,636][JTOP_MONITOR][INFO]Memory: 1482 MiB, GPU Memory: 212 MiB
[2022-09-29 09:10:10,638][JTOP_MONITOR][INFO]Memory: 1486 MiB, GPU Memory: 212 MiB
[2022-09-29 09:10:11,640][JTOP_MONITOR][INFO]Memory: 1490 MiB, GPU Memory: 212 MiB
[2022-09-29 09:10:12,641][JTOP_MONITOR][INFO]Memory: 1523 MiB, GPU Memory: 217 MiB
[2022-09-29 09:10:13,643][JTOP_MONITOR][INFO]Memory: 1553 MiB, GPU Memory: 225 MiB
[2022-09-29 09:10:14,644][JTOP_MONITOR][INFO]Memory: 1635 MiB, GPU Memory: 242 MiB
[2022-09-29 09:10:15,646][JTOP_MONITOR][INFO]Memory: 1724 MiB, GPU Memory: 272 MiB
[2022-09-29 09:10:16,647][JTOP_MONITOR][INFO]Memory: 1734 MiB, GPU Memory: 273 MiB
[2022-09-29 09:10:17,648][JTOP_MONITOR][INFO]Memory: 1735 MiB, GPU Memory: 273 MiB
[2022-09-29 09:10:19,112][JTOP_MONITOR][INFO]Memory: 1736 MiB, GPU Memory: 273 MiB
[2022-09-29 09:10:20,114][JTOP_MONITOR][INFO]Memory: 1738 MiB, GPU Memory: 273 MiB
[2022-09-29 09:10:21,116][JTOP_MONITOR][INFO]Memory: 1739 MiB, GPU Memory: 273 MiB
[2022-09-29 09:10:22,116][JTOP_MONITOR][INFO]Memory: 1738 MiB, GPU Memory: 273 MiB
[2022-09-29 09:10:23,118][JTOP_MONITOR][INFO]Memory: 1739 MiB, GPU Memory: 273 MiB
[2022-09-29 09:10:24,120][JTOP_MONITOR][INFO]Memory: 1738 MiB, GPU Memory: 273 MiB
[2022-09-29 09:10:25,122][JTOP_MONITOR][INFO]Memory: 1738 MiB, GPU Memory: 273 MiB
[2022-09-29 09:10:26,123][JTOP_MONITOR][INFO]Memory: 1739 MiB, GPU Memory: 273 MiB
[2022-09-29 09:10:27,125][JTOP_MONITOR][INFO]Memory: 1744 MiB, GPU Memory: 273 MiB
[2022-09-29 09:10:28,126][JTOP_MONITOR][INFO]Memory: 1738 MiB, GPU Memory: 273 MiB
[2022-09-29 09:10:29,128][JTOP_MONITOR][INFO]Memory: 1730 MiB, GPU Memory: 273 MiB
[2022-09-29 09:10:30,129][JTOP_MONITOR][INFO]Memory: 1742 MiB, GPU Memory: 273 MiB
[2022-09-29 09:10:31,131][JTOP_MONITOR][INFO]Memory: 1742 MiB, GPU Memory: 273 MiB
[2022-09-29 09:10:32,132][JTOP_MONITOR][INFO]Memory: 1749 MiB, GPU Memory: 273 MiB
[2022-09-29 09:10:33,134][JTOP_MONITOR][INFO]Memory: 1750 MiB, GPU Memory: 273 MiB
[2022-09-29 09:10:34,136][JTOP_MONITOR][INFO]Memory: 1750 MiB, GPU Memory: 273 MiB
[2022-09-29 09:10:35,137][JTOP_MONITOR][INFO]Memory: 1750 MiB, GPU Memory: 273 MiB
[2022-09-29 09:10:36,139][JTOP_MONITOR][INFO]Memory: 1750 MiB, GPU Memory: 273 MiB
[2022-09-29 09:10:37,140][JTOP_MONITOR][INFO]Memory: 1750 MiB, GPU Memory: 273 MiB
[2022-09-29 09:10:38,142][JTOP_MONITOR][INFO]Memory: 1750 MiB, GPU Memory: 273 MiB
[2022-09-29 09:10:39,144][JTOP_MONITOR][INFO]Memory: 1750 MiB, GPU Memory: 273 MiB
[2022-09-29 09:10:40,144][JTOP_MONITOR][INFO]Memory: 1750 MiB, GPU Memory: 273 MiB
[2022-09-29 09:10:41,146][JTOP_MONITOR][INFO]Memory: 1750 MiB, GPU Memory: 273 MiB
[2022-09-29 09:10:42,148][JTOP_MONITOR][INFO]Memory: 1759 MiB, GPU Memory: 273 MiB
[2022-09-29 09:10:43,148][JTOP_MONITOR][INFO]Memory: 1758 MiB, GPU Memory: 273 MiB
[2022-09-29 09:10:44,150][JTOP_MONITOR][INFO]Memory: 1759 MiB, GPU Memory: 273 MiB
[2022-09-29 09:10:45,152][JTOP_MONITOR][INFO]Memory: 1760 MiB, GPU Memory: 273 MiB
[2022-09-29 09:10:46,152][JTOP_MONITOR][INFO]Memory: 1759 MiB, GPU Memory: 273 MiB
[2022-09-29 09:10:47,154][JTOP_MONITOR][INFO]Memory: 1758 MiB, GPU Memory: 273 MiB
[2022-09-29 09:10:48,156][JTOP_MONITOR][INFO]Memory: 1759 MiB, GPU Memory: 273 MiB
[2022-09-29 09:10:49,157][JTOP_MONITOR][INFO]Memory: 1758 MiB, GPU Memory: 273 MiB
[2022-09-29 09:10:50,159][JTOP_MONITOR][INFO]Memory: 1758 MiB, GPU Memory: 273 MiB
[2022-09-29 09:10:51,160][JTOP_MONITOR][INFO]Memory: 1758 MiB, GPU Memory: 273 MiB
[2022-09-29 09:10:52,162][JTOP_MONITOR][INFO]Memory: 1758 MiB, GPU Memory: 273 MiB
[2022-09-29 09:10:53,164][JTOP_MONITOR][INFO]Memory: 1759 MiB, GPU Memory: 273 MiB
[2022-09-29 09:10:54,164][JTOP_MONITOR][INFO]Memory: 1760 MiB, GPU Memory: 273 MiB
