[2022-09-29 11:42:52,994][JTOP_MONITOR][INFO]Memory: 1331 MiB, GPU Memory: 212 MiB
[2022-09-29 11:42:53,995][JTOP_MONITOR][INFO]Memory: 1328 MiB, GPU Memory: 212 MiB
[2022-09-29 11:42:54,997][JTOP_MONITOR][INFO]Memory: 1330 MiB, GPU Memory: 212 MiB
[2022-09-29 11:42:55,998][JTOP_MONITOR][INFO]Memory: 1329 MiB, GPU Memory: 212 MiB
[2022-09-29 11:42:57,000][JTOP_MONITOR][INFO]Memory: 1329 MiB, GPU Memory: 212 MiB
[2022-09-29 11:42:58,001][JTOP_MONITOR][INFO]Memory: 1372 MiB, GPU Memory: 212 MiB
[2022-09-29 11:42:59,002][JTOP_MONITOR][INFO]Memory: 1372 MiB, GPU Memory: 212 MiB
[2022-09-29 11:43:00,004][JTOP_MONITOR][INFO]Memory: 1422 MiB, GPU Memory: 212 MiB
[2022-09-29 11:43:01,005][JTOP_MONITOR][INFO]Memory: 1446 MiB, GPU Memory: 212 MiB
[2022-09-29 11:43:02,007][JTOP_MONITOR][INFO]Memory: 1458 MiB, GPU Memory: 212 MiB
[2022-09-29 11:43:03,008][JTOP_MONITOR][INFO]Memory: 1462 MiB, GPU Memory: 212 MiB
[2022-09-29 11:43:04,010][JTOP_MONITOR][INFO]Memory: 1468 MiB, GPU Memory: 212 MiB
[2022-09-29 11:43:05,012][JTOP_MONITOR][INFO]Memory: 1468 MiB, GPU Memory: 212 MiB
[2022-09-29 11:43:06,012][JTOP_MONITOR][INFO]Memory: 1519 MiB, GPU Memory: 222 MiB
[2022-09-29 11:43:07,014][JTOP_MONITOR][INFO]Memory: 1591 MiB, GPU Memory: 239 MiB
[2022-09-29 11:43:08,015][JTOP_MONITOR][INFO]Memory: 1658 MiB, GPU Memory: 258 MiB
[2022-09-29 11:43:09,017][JTOP_MONITOR][INFO]Memory: 1691 MiB, GPU Memory: 267 MiB
[2022-09-29 11:43:10,019][JTOP_MONITOR][INFO]Memory: 1720 MiB, GPU Memory: 273 MiB
