[2022-09-29 13:00:47,958][JTOP_MONITOR][INFO]Memory: 1342 MiB, GPU Memory: 225 MiB
[2022-09-29 13:00:48,960][JTOP_MONITOR][INFO]Memory: 1336 MiB, GPU Memory: 225 MiB
[2022-09-29 13:00:49,961][JTOP_MONITOR][INFO]Memory: 1336 MiB, GPU Memory: 225 MiB
[2022-09-29 13:00:50,963][JTOP_MONITOR][INFO]Memory: 1336 MiB, GPU Memory: 225 MiB
[2022-09-29 13:00:51,964][JTOP_MONITOR][INFO]Memory: 1336 MiB, GPU Memory: 225 MiB
[2022-09-29 13:00:52,966][JTOP_MONITOR][INFO]Memory: 1336 MiB, GPU Memory: 225 MiB
[2022-09-29 13:00:53,967][JTOP_MONITOR][INFO]Memory: 1336 MiB, GPU Memory: 225 MiB
[2022-09-29 13:00:54,969][JTOP_MONITOR][INFO]Memory: 1337 MiB, GPU Memory: 225 MiB
[2022-09-29 13:00:55,970][JTOP_MONITOR][INFO]Memory: 1337 MiB, GPU Memory: 225 MiB
[2022-09-29 13:00:56,972][JTOP_MONITOR][INFO]Memory: 1337 MiB, GPU Memory: 225 MiB
[2022-09-29 13:00:57,973][JTOP_MONITOR][INFO]Memory: 1336 MiB, GPU Memory: 225 MiB
[2022-09-29 13:00:58,975][JTOP_MONITOR][INFO]Memory: 1336 MiB, GPU Memory: 225 MiB
[2022-09-29 13:00:59,976][JTOP_MONITOR][INFO]Memory: 1336 MiB, GPU Memory: 225 MiB
[2022-09-29 13:01:00,978][JTOP_MONITOR][INFO]Memory: 1337 MiB, GPU Memory: 225 MiB
[2022-09-29 13:01:01,979][JTOP_MONITOR][INFO]Memory: 1337 MiB, GPU Memory: 225 MiB
[2022-09-29 13:01:02,981][JTOP_MONITOR][INFO]Memory: 1337 MiB, GPU Memory: 225 MiB
[2022-09-29 13:01:03,982][JTOP_MONITOR][INFO]Memory: 1418 MiB, GPU Memory: 225 MiB
[2022-09-29 13:01:04,984][JTOP_MONITOR][INFO]Memory: 1386 MiB, GPU Memory: 225 MiB
[2022-09-29 13:01:05,986][JTOP_MONITOR][INFO]Memory: 1409 MiB, GPU Memory: 225 MiB
[2022-09-29 13:01:06,987][JTOP_MONITOR][INFO]Memory: 1458 MiB, GPU Memory: 225 MiB
[2022-09-29 13:01:07,988][JTOP_MONITOR][INFO]Memory: 1466 MiB, GPU Memory: 225 MiB
[2022-09-29 13:01:08,990][JTOP_MONITOR][INFO]Memory: 1473 MiB, GPU Memory: 225 MiB
[2022-09-29 13:01:09,992][JTOP_MONITOR][INFO]Memory: 1481 MiB, GPU Memory: 225 MiB
[2022-09-29 13:01:10,993][JTOP_MONITOR][INFO]Memory: 1591 MiB, GPU Memory: 251 MiB
[2022-09-29 13:01:11,995][JTOP_MONITOR][INFO]Memory: 1725 MiB, GPU Memory: 287 MiB
[2022-09-29 13:01:12,996][JTOP_MONITOR][INFO]Memory: 1726 MiB, GPU Memory: 287 MiB
[2022-09-29 13:01:13,996][JTOP_MONITOR][INFO]Memory: 1739 MiB, GPU Memory: 287 MiB
[2022-09-29 13:01:14,998][JTOP_MONITOR][INFO]Memory: 1735 MiB, GPU Memory: 287 MiB
[2022-09-29 13:01:16,000][JTOP_MONITOR][INFO]Memory: 1737 MiB, GPU Memory: 287 MiB
[2022-09-29 13:01:17,001][JTOP_MONITOR][INFO]Memory: 1738 MiB, GPU Memory: 287 MiB
[2022-09-29 13:01:18,003][JTOP_MONITOR][INFO]Memory: 1729 MiB, GPU Memory: 287 MiB
[2022-09-29 13:01:19,004][JTOP_MONITOR][INFO]Memory: 1729 MiB, GPU Memory: 287 MiB
[2022-09-29 13:01:20,006][JTOP_MONITOR][INFO]Memory: 1729 MiB, GPU Memory: 287 MiB
[2022-09-29 13:01:21,007][JTOP_MONITOR][INFO]Memory: 1729 MiB, GPU Memory: 287 MiB
[2022-09-29 13:01:28,332][JTOP_MONITOR][INFO]Memory: 1727 MiB, GPU Memory: 287 MiB
[2022-09-29 13:01:29,332][JTOP_MONITOR][INFO]Memory: 1729 MiB, GPU Memory: 287 MiB
[2022-09-29 13:01:30,334][JTOP_MONITOR][INFO]Memory: 1732 MiB, GPU Memory: 287 MiB
[2022-09-29 13:01:31,336][JTOP_MONITOR][INFO]Memory: 1742 MiB, GPU Memory: 287 MiB
[2022-09-29 13:01:32,337][JTOP_MONITOR][INFO]Memory: 1728 MiB, GPU Memory: 287 MiB
[2022-09-29 13:01:33,339][JTOP_MONITOR][INFO]Memory: 1741 MiB, GPU Memory: 287 MiB
[2022-09-29 13:01:34,340][JTOP_MONITOR][INFO]Memory: 1741 MiB, GPU Memory: 287 MiB
[2022-09-29 13:01:35,342][JTOP_MONITOR][INFO]Memory: 1741 MiB, GPU Memory: 287 MiB
[2022-09-29 13:01:36,343][JTOP_MONITOR][INFO]Memory: 1742 MiB, GPU Memory: 287 MiB
[2022-09-29 13:01:37,344][JTOP_MONITOR][INFO]Memory: 1749 MiB, GPU Memory: 287 MiB
[2022-09-29 13:01:38,346][JTOP_MONITOR][INFO]Memory: 1749 MiB, GPU Memory: 287 MiB
