[2022-09-28 11:48:54,404][JTOP_MONITOR][INFO]Memory: 1175 MiB, GPU Memory: 183 MiB
[2022-09-28 11:48:55,414][JTOP_MONITOR][INFO]Memory: 1248 MiB, GPU Memory: 200 MiB
[2022-09-28 11:48:56,416][JTOP_MONITOR][INFO]Memory: 1343 MiB, GPU Memory: 229 MiB
[2022-09-28 11:48:57,417][JTOP_MONITOR][INFO]Memory: 1453 MiB, GPU Memory: 257 MiB
[2022-09-28 11:48:58,419][JTOP_MONITOR][INFO]Memory: 1667 MiB, GPU Memory: 319 MiB
[2022-09-28 11:48:59,420][JTOP_MONITOR][INFO]Memory: 1773 MiB, GPU Memory: 345 MiB
[2022-09-28 11:49:00,422][JTOP_MONITOR][INFO]Memory: 1969 MiB, GPU Memory: 399 MiB
[2022-09-28 11:49:01,424][JTOP_MONITOR][INFO]Memory: 2056 MiB, GPU Memory: 422 MiB
[2022-09-28 11:49:02,425][JTOP_MONITOR][INFO]Memory: 2136 MiB, GPU Memory: 445 MiB
[2022-09-28 11:49:03,427][JTOP_MONITOR][INFO]Memory: 2227 MiB, GPU Memory: 465 MiB
[2022-09-28 11:49:04,428][JTOP_MONITOR][INFO]Memory: 2308 MiB, GPU Memory: 479 MiB
[2022-09-28 11:49:05,430][JTOP_MONITOR][INFO]Memory: 2378 MiB, GPU Memory: 496 MiB
[2022-09-28 11:49:06,432][JTOP_MONITOR][INFO]Memory: 2480 MiB, GPU Memory: 555 MiB
[2022-09-28 11:49:07,432][JTOP_MONITOR][INFO]Memory: 2482 MiB, GPU Memory: 555 MiB
[2022-09-28 11:49:08,434][JTOP_MONITOR][INFO]Memory: 2482 MiB, GPU Memory: 555 MiB
[2022-09-28 11:49:09,436][JTOP_MONITOR][INFO]Memory: 2481 MiB, GPU Memory: 555 MiB
[2022-09-28 11:49:10,437][JTOP_MONITOR][INFO]Memory: 2481 MiB, GPU Memory: 555 MiB
[2022-09-28 11:49:11,439][JTOP_MONITOR][INFO]Memory: 2482 MiB, GPU Memory: 555 MiB
[2022-09-28 11:49:12,440][JTOP_MONITOR][INFO]Memory: 2481 MiB, GPU Memory: 555 MiB
[2022-09-28 11:49:13,442][JTOP_MONITOR][INFO]Memory: 2482 MiB, GPU Memory: 555 MiB
[2022-09-28 11:49:14,443][JTOP_MONITOR][INFO]Memory: 2481 MiB, GPU Memory: 555 MiB
[2022-09-28 11:49:15,445][JTOP_MONITOR][INFO]Memory: 2481 MiB, GPU Memory: 555 MiB
[2022-09-28 11:49:16,446][JTOP_MONITOR][INFO]Memory: 2481 MiB, GPU Memory: 555 MiB
