[2022-09-19 14:39:19,204][JTOP_MONITOR][INFO]Memory: 478 MiB, GPU Memory: 23 MiB
[2022-09-19 14:39:20,206][JTOP_MONITOR][INFO]Memory: 2031 MiB, GPU Memory: 443 MiB
[2022-09-19 14:39:21,208][JTOP_MONITOR][INFO]Memory: 2031 MiB, GPU Memory: 443 MiB
[2022-09-19 14:39:22,209][JTOP_MONITOR][INFO]Memory: 2031 MiB, GPU Memory: 443 MiB
[2022-09-19 14:39:23,210][JTOP_MONITOR][INFO]Memory: 2030 MiB, GPU Memory: 443 MiB
[2022-09-19 14:39:24,212][JTOP_MONITOR][INFO]Memory: 2029 MiB, GPU Memory: 443 MiB
[2022-09-19 14:39:25,214][JTOP_MONITOR][INFO]Memory: 2030 MiB, GPU Memory: 443 MiB
[2022-09-19 14:39:26,215][JTOP_MONITOR][INFO]Memory: 2029 MiB, GPU Memory: 443 MiB
[2022-09-19 14:39:27,217][JTOP_MONITOR][INFO]Memory: 2029 MiB, GPU Memory: 443 MiB
[2022-09-19 14:39:28,218][JTOP_MONITOR][INFO]Memory: 2029 MiB, GPU Memory: 443 MiB
[2022-09-19 14:39:29,220][JTOP_MONITOR][INFO]Memory: 2031 MiB, GPU Memory: 443 MiB
[2022-09-19 14:39:30,221][JTOP_MONITOR][INFO]Memory: 2030 MiB, GPU Memory: 443 MiB
[2022-09-19 14:39:31,223][JTOP_MONITOR][INFO]Memory: 2030 MiB, GPU Memory: 443 MiB
[2022-09-19 14:39:32,224][JTOP_MONITOR][INFO]Memory: 2031 MiB, GPU Memory: 443 MiB
[2022-09-19 14:39:33,226][JTOP_MONITOR][INFO]Memory: 2031 MiB, GPU Memory: 443 MiB
[2022-09-19 14:39:34,226][JTOP_MONITOR][INFO]Memory: 2031 MiB, GPU Memory: 443 MiB
[2022-09-19 14:39:35,228][JTOP_MONITOR][INFO]Memory: 2031 MiB, GPU Memory: 443 MiB
[2022-09-19 14:39:36,230][JTOP_MONITOR][INFO]Memory: 2031 MiB, GPU Memory: 443 MiB
[2022-09-19 14:39:37,231][JTOP_MONITOR][INFO]Memory: 2031 MiB, GPU Memory: 443 MiB
[2022-09-19 14:39:38,232][JTOP_MONITOR][INFO]Memory: 2030 MiB, GPU Memory: 443 MiB
[2022-09-19 14:39:39,234][JTOP_MONITOR][INFO]Memory: 2031 MiB, GPU Memory: 443 MiB
[2022-09-19 14:39:40,234][JTOP_MONITOR][INFO]Memory: 2058 MiB, GPU Memory: 443 MiB
[2022-09-19 14:39:41,254][JTOP_MONITOR][INFO]Memory: 2058 MiB, GPU Memory: 443 MiB
[2022-09-19 14:39:42,256][JTOP_MONITOR][INFO]Memory: 2058 MiB, GPU Memory: 443 MiB
