[2022-11-03 11:26:38,946][JTOP_MONITOR][INFO]Memory: 1481 MiB, GPU Memory: 213 MiB
[2022-11-03 11:26:39,948][JTOP_MONITOR][INFO]Memory: 1479 MiB, GPU Memory: 213 MiB
[2022-11-03 11:26:40,949][JTOP_MONITOR][INFO]Memory: 1479 MiB, GPU Memory: 213 MiB
[2022-11-03 11:26:41,951][JTOP_MONITOR][INFO]Memory: 1480 MiB, GPU Memory: 213 MiB
[2022-11-03 11:26:42,952][JTOP_MONITOR][INFO]Memory: 1479 MiB, GPU Memory: 213 MiB
[2022-11-03 11:26:43,954][JTOP_MONITOR][INFO]Memory: 1478 MiB, GPU Memory: 213 MiB
[2022-11-03 11:26:44,955][JTOP_MONITOR][INFO]Memory: 1479 MiB, GPU Memory: 213 MiB
[2022-11-03 11:26:45,957][JTOP_MONITOR][INFO]Memory: 1478 MiB, GPU Memory: 213 MiB
[2022-11-03 11:26:46,958][JTOP_MONITOR][INFO]Memory: 1479 MiB, GPU Memory: 213 MiB
[2022-11-03 11:26:47,960][JTOP_MONITOR][INFO]Memory: 1480 MiB, GPU Memory: 213 MiB
[2022-11-03 11:26:48,961][JTOP_MONITOR][INFO]Memory: 1479 MiB, GPU Memory: 213 MiB
[2022-11-03 11:26:49,963][JTOP_MONITOR][INFO]Memory: 1480 MiB, GPU Memory: 213 MiB
[2022-11-03 11:26:50,964][JTOP_MONITOR][INFO]Memory: 1479 MiB, GPU Memory: 213 MiB
[2022-11-03 11:26:51,966][JTOP_MONITOR][INFO]Memory: 1479 MiB, GPU Memory: 213 MiB
[2022-11-03 11:26:52,967][JTOP_MONITOR][INFO]Memory: 1479 MiB, GPU Memory: 213 MiB
[2022-11-03 11:26:53,969][JTOP_MONITOR][INFO]Memory: 1479 MiB, GPU Memory: 213 MiB
[2022-11-03 11:26:54,970][JTOP_MONITOR][INFO]Memory: 1479 MiB, GPU Memory: 213 MiB
[2022-11-03 11:26:55,972][JTOP_MONITOR][INFO]Memory: 1479 MiB, GPU Memory: 213 MiB
[2022-11-03 11:26:56,974][JTOP_MONITOR][INFO]Memory: 1479 MiB, GPU Memory: 213 MiB
[2022-11-03 11:26:57,975][JTOP_MONITOR][INFO]Memory: 1479 MiB, GPU Memory: 213 MiB
[2022-11-03 11:26:58,976][JTOP_MONITOR][INFO]Memory: 1478 MiB, GPU Memory: 213 MiB
[2022-11-03 11:26:59,978][JTOP_MONITOR][INFO]Memory: 1479 MiB, GPU Memory: 213 MiB
[2022-11-03 11:27:00,979][JTOP_MONITOR][INFO]Memory: 1478 MiB, GPU Memory: 213 MiB
[2022-11-03 11:27:01,981][JTOP_MONITOR][INFO]Memory: 1478 MiB, GPU Memory: 213 MiB
[2022-11-03 11:27:02,982][JTOP_MONITOR][INFO]Memory: 1479 MiB, GPU Memory: 213 MiB
[2022-11-03 11:27:03,984][JTOP_MONITOR][INFO]Memory: 1479 MiB, GPU Memory: 213 MiB
[2022-11-03 11:27:04,985][JTOP_MONITOR][INFO]Memory: 1479 MiB, GPU Memory: 213 MiB
[2022-11-03 11:27:05,987][JTOP_MONITOR][INFO]Memory: 1479 MiB, GPU Memory: 213 MiB
[2022-11-03 11:27:06,988][JTOP_MONITOR][INFO]Memory: 1479 MiB, GPU Memory: 213 MiB
[2022-11-03 11:27:07,990][JTOP_MONITOR][INFO]Memory: 1479 MiB, GPU Memory: 213 MiB
[2022-11-03 11:27:08,991][JTOP_MONITOR][INFO]Memory: 1479 MiB, GPU Memory: 213 MiB
[2022-11-03 11:27:09,993][JTOP_MONITOR][INFO]Memory: 1479 MiB, GPU Memory: 213 MiB
[2022-11-03 11:27:10,994][JTOP_MONITOR][INFO]Memory: 1479 MiB, GPU Memory: 213 MiB
[2022-11-03 11:27:11,996][JTOP_MONITOR][INFO]Memory: 1478 MiB, GPU Memory: 213 MiB
[2022-11-03 11:27:12,998][JTOP_MONITOR][INFO]Memory: 1479 MiB, GPU Memory: 213 MiB
[2022-11-03 11:27:13,999][JTOP_MONITOR][INFO]Memory: 1479 MiB, GPU Memory: 213 MiB
[2022-11-03 11:27:15,001][JTOP_MONITOR][INFO]Memory: 1479 MiB, GPU Memory: 213 MiB
[2022-11-03 11:27:16,002][JTOP_MONITOR][INFO]Memory: 1479 MiB, GPU Memory: 213 MiB
[2022-11-03 11:27:17,004][JTOP_MONITOR][INFO]Memory: 1510 MiB, GPU Memory: 213 MiB
[2022-11-03 11:27:18,005][JTOP_MONITOR][INFO]Memory: 1509 MiB, GPU Memory: 213 MiB
[2022-11-03 11:27:19,007][JTOP_MONITOR][INFO]Memory: 1510 MiB, GPU Memory: 213 MiB
[2022-11-03 11:27:20,008][JTOP_MONITOR][INFO]Memory: 1529 MiB, GPU Memory: 213 MiB
[2022-11-03 11:27:21,010][JTOP_MONITOR][INFO]Memory: 1534 MiB, GPU Memory: 213 MiB
[2022-11-03 11:27:22,011][JTOP_MONITOR][INFO]Memory: 1581 MiB, GPU Memory: 213 MiB
[2022-11-03 11:27:23,012][JTOP_MONITOR][INFO]Memory: 1601 MiB, GPU Memory: 213 MiB
[2022-11-03 11:27:24,014][JTOP_MONITOR][INFO]Memory: 1614 MiB, GPU Memory: 213 MiB
[2022-11-03 11:27:25,015][JTOP_MONITOR][INFO]Memory: 1619 MiB, GPU Memory: 213 MiB
[2022-11-03 11:27:26,017][JTOP_MONITOR][INFO]Memory: 1622 MiB, GPU Memory: 213 MiB
