[2022-09-29 15:30:54,308][JTOP_MONITOR][INFO]Memory: 1317 MiB, GPU Memory: 204 MiB
[2022-09-29 15:30:55,310][JTOP_MONITOR][INFO]Memory: 1317 MiB, GPU Memory: 204 MiB
[2022-09-29 15:30:56,311][JTOP_MONITOR][INFO]Memory: 1317 MiB, GPU Memory: 204 MiB
[2022-09-29 15:30:57,313][JTOP_MONITOR][INFO]Memory: 1317 MiB, GPU Memory: 204 MiB
[2022-09-29 15:30:58,314][JTOP_MONITOR][INFO]Memory: 1318 MiB, GPU Memory: 204 MiB
[2022-09-29 15:30:59,316][JTOP_MONITOR][INFO]Memory: 1318 MiB, GPU Memory: 204 MiB
[2022-09-29 15:31:00,317][JTOP_MONITOR][INFO]Memory: 1318 MiB, GPU Memory: 204 MiB
[2022-09-29 15:31:01,319][JTOP_MONITOR][INFO]Memory: 1318 MiB, GPU Memory: 204 MiB
[2022-09-29 15:31:02,320][JTOP_MONITOR][INFO]Memory: 1318 MiB, GPU Memory: 204 MiB
[2022-09-29 15:31:03,322][JTOP_MONITOR][INFO]Memory: 1318 MiB, GPU Memory: 204 MiB
[2022-09-29 15:31:04,323][JTOP_MONITOR][INFO]Memory: 1318 MiB, GPU Memory: 204 MiB
[2022-09-29 15:31:05,324][JTOP_MONITOR][INFO]Memory: 1318 MiB, GPU Memory: 204 MiB
[2022-09-29 15:31:06,326][JTOP_MONITOR][INFO]Memory: 1319 MiB, GPU Memory: 204 MiB
[2022-09-29 15:31:07,327][JTOP_MONITOR][INFO]Memory: 1318 MiB, GPU Memory: 204 MiB
[2022-09-29 15:31:08,328][JTOP_MONITOR][INFO]Memory: 1317 MiB, GPU Memory: 204 MiB
[2022-09-29 15:31:09,330][JTOP_MONITOR][INFO]Memory: 1319 MiB, GPU Memory: 204 MiB
[2022-09-29 15:31:10,331][JTOP_MONITOR][INFO]Memory: 1318 MiB, GPU Memory: 204 MiB
[2022-09-29 15:31:11,332][JTOP_MONITOR][INFO]Memory: 1319 MiB, GPU Memory: 204 MiB
[2022-09-29 15:31:12,334][JTOP_MONITOR][INFO]Memory: 1436 MiB, GPU Memory: 204 MiB
[2022-09-29 15:31:13,336][JTOP_MONITOR][INFO]Memory: 1370 MiB, GPU Memory: 204 MiB
[2022-09-29 15:31:14,336][JTOP_MONITOR][INFO]Memory: 1393 MiB, GPU Memory: 204 MiB
[2022-09-29 15:31:15,338][JTOP_MONITOR][INFO]Memory: 1438 MiB, GPU Memory: 204 MiB
[2022-09-29 15:31:16,340][JTOP_MONITOR][INFO]Memory: 1444 MiB, GPU Memory: 204 MiB
[2022-09-29 15:31:17,341][JTOP_MONITOR][INFO]Memory: 1452 MiB, GPU Memory: 204 MiB
[2022-09-29 15:31:18,343][JTOP_MONITOR][INFO]Memory: 1462 MiB, GPU Memory: 204 MiB
[2022-09-29 15:31:19,344][JTOP_MONITOR][INFO]Memory: 1596 MiB, GPU Memory: 234 MiB
[2022-09-29 15:31:20,346][JTOP_MONITOR][INFO]Memory: 1707 MiB, GPU Memory: 266 MiB
[2022-09-29 15:31:21,347][JTOP_MONITOR][INFO]Memory: 1708 MiB, GPU Memory: 266 MiB
[2022-09-29 15:31:22,348][JTOP_MONITOR][INFO]Memory: 1709 MiB, GPU Memory: 266 MiB
[2022-09-29 15:31:23,350][JTOP_MONITOR][INFO]Memory: 1709 MiB, GPU Memory: 266 MiB
[2022-09-29 15:31:24,352][JTOP_MONITOR][INFO]Memory: 1709 MiB, GPU Memory: 266 MiB
[2022-09-29 15:31:25,352][JTOP_MONITOR][INFO]Memory: 1710 MiB, GPU Memory: 266 MiB
[2022-09-29 15:31:26,354][JTOP_MONITOR][INFO]Memory: 1711 MiB, GPU Memory: 266 MiB
[2022-09-29 15:31:27,356][JTOP_MONITOR][INFO]Memory: 1713 MiB, GPU Memory: 266 MiB
[2022-09-29 15:31:28,356][JTOP_MONITOR][INFO]Memory: 1715 MiB, GPU Memory: 266 MiB
[2022-09-29 15:31:29,358][JTOP_MONITOR][INFO]Memory: 1722 MiB, GPU Memory: 266 MiB
