[2022-09-29 16:35:33,452][JTOP_MONITOR][INFO]Memory: 1571 MiB, GPU Memory: 266 MiB
[2022-09-29 16:35:34,454][JTOP_MONITOR][INFO]Memory: 1326 MiB, GPU Memory: 204 MiB
[2022-09-29 16:35:35,455][JTOP_MONITOR][INFO]Memory: 1326 MiB, GPU Memory: 204 MiB
[2022-09-29 16:35:36,457][JTOP_MONITOR][INFO]Memory: 1326 MiB, GPU Memory: 204 MiB
[2022-09-29 16:35:37,458][JTOP_MONITOR][INFO]Memory: 1326 MiB, GPU Memory: 204 MiB
[2022-09-29 16:35:38,460][JTOP_MONITOR][INFO]Memory: 1326 MiB, GPU Memory: 204 MiB
[2022-09-29 16:35:39,462][JTOP_MONITOR][INFO]Memory: 1326 MiB, GPU Memory: 204 MiB
[2022-09-29 16:35:40,463][JTOP_MONITOR][INFO]Memory: 1326 MiB, GPU Memory: 204 MiB
[2022-09-29 16:35:41,465][JTOP_MONITOR][INFO]Memory: 1327 MiB, GPU Memory: 204 MiB
[2022-09-29 16:35:42,466][JTOP_MONITOR][INFO]Memory: 1327 MiB, GPU Memory: 204 MiB
[2022-09-29 16:35:43,468][JTOP_MONITOR][INFO]Memory: 1326 MiB, GPU Memory: 204 MiB
[2022-09-29 16:35:44,468][JTOP_MONITOR][INFO]Memory: 1326 MiB, GPU Memory: 204 MiB
[2022-09-29 16:35:45,470][JTOP_MONITOR][INFO]Memory: 1327 MiB, GPU Memory: 204 MiB
[2022-09-29 16:35:46,471][JTOP_MONITOR][INFO]Memory: 1326 MiB, GPU Memory: 204 MiB
[2022-09-29 16:35:47,473][JTOP_MONITOR][INFO]Memory: 1327 MiB, GPU Memory: 204 MiB
[2022-09-29 16:35:48,475][JTOP_MONITOR][INFO]Memory: 1327 MiB, GPU Memory: 204 MiB
[2022-09-29 16:35:49,476][JTOP_MONITOR][INFO]Memory: 1375 MiB, GPU Memory: 204 MiB
[2022-09-29 16:35:50,476][JTOP_MONITOR][INFO]Memory: 1372 MiB, GPU Memory: 204 MiB
[2022-09-29 16:35:51,478][JTOP_MONITOR][INFO]Memory: 1382 MiB, GPU Memory: 204 MiB
[2022-09-29 16:35:52,480][JTOP_MONITOR][INFO]Memory: 1437 MiB, GPU Memory: 204 MiB
[2022-09-29 16:35:53,480][JTOP_MONITOR][INFO]Memory: 1455 MiB, GPU Memory: 204 MiB
[2022-09-29 16:35:54,482][JTOP_MONITOR][INFO]Memory: 1461 MiB, GPU Memory: 204 MiB
[2022-09-29 16:35:55,484][JTOP_MONITOR][INFO]Memory: 1468 MiB, GPU Memory: 204 MiB
[2022-09-29 16:35:56,485][JTOP_MONITOR][INFO]Memory: 1563 MiB, GPU Memory: 226 MiB
[2022-09-29 16:35:57,486][JTOP_MONITOR][INFO]Memory: 1717 MiB, GPU Memory: 266 MiB
[2022-09-29 16:35:58,488][JTOP_MONITOR][INFO]Memory: 1721 MiB, GPU Memory: 266 MiB
[2022-09-29 16:35:59,488][JTOP_MONITOR][INFO]Memory: 1720 MiB, GPU Memory: 266 MiB
[2022-09-29 16:36:00,491][JTOP_MONITOR][INFO]Memory: 1720 MiB, GPU Memory: 266 MiB
[2022-09-29 16:36:01,492][JTOP_MONITOR][INFO]Memory: 1719 MiB, GPU Memory: 266 MiB
[2022-09-29 16:36:02,494][JTOP_MONITOR][INFO]Memory: 1720 MiB, GPU Memory: 266 MiB
[2022-09-29 16:36:03,496][JTOP_MONITOR][INFO]Memory: 1720 MiB, GPU Memory: 266 MiB
[2022-09-29 16:36:04,497][JTOP_MONITOR][INFO]Memory: 1720 MiB, GPU Memory: 266 MiB
[2022-09-29 16:36:05,500][JTOP_MONITOR][INFO]Memory: 1717 MiB, GPU Memory: 266 MiB
[2022-09-29 16:36:06,502][JTOP_MONITOR][INFO]Memory: 1720 MiB, GPU Memory: 266 MiB
[2022-09-29 16:36:07,503][JTOP_MONITOR][INFO]Memory: 1743 MiB, GPU Memory: 266 MiB
[2022-09-29 16:36:08,505][JTOP_MONITOR][INFO]Memory: 1748 MiB, GPU Memory: 266 MiB
[2022-09-29 16:36:09,506][JTOP_MONITOR][INFO]Memory: 1739 MiB, GPU Memory: 266 MiB
[2022-09-29 16:36:10,508][JTOP_MONITOR][INFO]Memory: 1739 MiB, GPU Memory: 266 MiB
[2022-09-29 16:36:11,510][JTOP_MONITOR][INFO]Memory: 1740 MiB, GPU Memory: 266 MiB
[2022-09-29 16:36:12,511][JTOP_MONITOR][INFO]Memory: 1739 MiB, GPU Memory: 266 MiB
[2022-09-29 16:36:13,512][JTOP_MONITOR][INFO]Memory: 1739 MiB, GPU Memory: 266 MiB
[2022-09-29 16:36:14,514][JTOP_MONITOR][INFO]Memory: 1740 MiB, GPU Memory: 266 MiB
[2022-09-29 16:36:15,516][JTOP_MONITOR][INFO]Memory: 1740 MiB, GPU Memory: 266 MiB
[2022-09-29 16:36:16,517][JTOP_MONITOR][INFO]Memory: 1741 MiB, GPU Memory: 266 MiB
[2022-09-29 16:36:17,519][JTOP_MONITOR][INFO]Memory: 1748 MiB, GPU Memory: 266 MiB
[2022-09-29 16:36:18,520][JTOP_MONITOR][INFO]Memory: 1748 MiB, GPU Memory: 266 MiB
[2022-09-29 16:36:19,522][JTOP_MONITOR][INFO]Memory: 1748 MiB, GPU Memory: 266 MiB
[2022-09-29 16:36:20,524][JTOP_MONITOR][INFO]Memory: 1748 MiB, GPU Memory: 266 MiB
[2022-09-29 16:36:21,524][JTOP_MONITOR][INFO]Memory: 1748 MiB, GPU Memory: 266 MiB
[2022-09-29 16:36:22,526][JTOP_MONITOR][INFO]Memory: 1748 MiB, GPU Memory: 266 MiB
[2022-09-29 16:36:23,528][JTOP_MONITOR][INFO]Memory: 1748 MiB, GPU Memory: 266 MiB
[2022-09-29 16:36:24,528][JTOP_MONITOR][INFO]Memory: 1749 MiB, GPU Memory: 266 MiB
[2022-09-29 16:36:25,530][JTOP_MONITOR][INFO]Memory: 1749 MiB, GPU Memory: 266 MiB
[2022-09-29 16:36:26,532][JTOP_MONITOR][INFO]Memory: 1749 MiB, GPU Memory: 266 MiB
[2022-09-29 16:36:27,534][JTOP_MONITOR][INFO]Memory: 1748 MiB, GPU Memory: 266 MiB
[2022-09-29 16:36:28,535][JTOP_MONITOR][INFO]Memory: 1749 MiB, GPU Memory: 266 MiB
[2022-09-29 16:36:29,537][JTOP_MONITOR][INFO]Memory: 1748 MiB, GPU Memory: 266 MiB
[2022-09-29 16:36:30,538][JTOP_MONITOR][INFO]Memory: 1749 MiB, GPU Memory: 266 MiB
[2022-09-29 16:36:31,540][JTOP_MONITOR][INFO]Memory: 1749 MiB, GPU Memory: 266 MiB
[2022-09-29 16:36:32,540][JTOP_MONITOR][INFO]Memory: 1748 MiB, GPU Memory: 266 MiB
[2022-09-29 16:36:33,542][JTOP_MONITOR][INFO]Memory: 1749 MiB, GPU Memory: 266 MiB
[2022-09-29 16:36:34,544][JTOP_MONITOR][INFO]Memory: 1750 MiB, GPU Memory: 266 MiB
[2022-09-29 16:36:35,544][JTOP_MONITOR][INFO]Memory: 1750 MiB, GPU Memory: 266 MiB
[2022-09-29 16:36:36,546][JTOP_MONITOR][INFO]Memory: 1749 MiB, GPU Memory: 266 MiB
[2022-09-29 16:36:37,548][JTOP_MONITOR][INFO]Memory: 1749 MiB, GPU Memory: 266 MiB
[2022-09-29 16:36:38,548][JTOP_MONITOR][INFO]Memory: 1749 MiB, GPU Memory: 266 MiB
[2022-09-29 16:36:39,550][JTOP_MONITOR][INFO]Memory: 1749 MiB, GPU Memory: 266 MiB
[2022-09-29 16:36:40,552][JTOP_MONITOR][INFO]Memory: 1750 MiB, GPU Memory: 266 MiB
[2022-09-29 16:36:41,552][JTOP_MONITOR][INFO]Memory: 1748 MiB, GPU Memory: 266 MiB
[2022-09-29 16:36:42,554][JTOP_MONITOR][INFO]Memory: 1749 MiB, GPU Memory: 266 MiB
[2022-09-29 16:36:43,556][JTOP_MONITOR][INFO]Memory: 1750 MiB, GPU Memory: 266 MiB
[2022-09-29 16:36:44,556][JTOP_MONITOR][INFO]Memory: 1750 MiB, GPU Memory: 266 MiB
[2022-09-29 16:36:45,558][JTOP_MONITOR][INFO]Memory: 1750 MiB, GPU Memory: 266 MiB
[2022-09-29 16:36:46,560][JTOP_MONITOR][INFO]Memory: 1750 MiB, GPU Memory: 266 MiB
[2022-09-29 16:36:47,560][JTOP_MONITOR][INFO]Memory: 1749 MiB, GPU Memory: 266 MiB
[2022-09-29 16:36:48,562][JTOP_MONITOR][INFO]Memory: 1750 MiB, GPU Memory: 266 MiB
[2022-09-29 16:36:49,564][JTOP_MONITOR][INFO]Memory: 1750 MiB, GPU Memory: 266 MiB
[2022-09-29 16:36:50,564][JTOP_MONITOR][INFO]Memory: 1751 MiB, GPU Memory: 266 MiB
[2022-09-29 16:36:51,566][JTOP_MONITOR][INFO]Memory: 1750 MiB, GPU Memory: 266 MiB
[2022-09-29 16:36:52,568][JTOP_MONITOR][INFO]Memory: 1751 MiB, GPU Memory: 266 MiB
[2022-09-29 16:36:53,568][JTOP_MONITOR][INFO]Memory: 1752 MiB, GPU Memory: 266 MiB
[2022-09-29 16:36:54,570][JTOP_MONITOR][INFO]Memory: 1751 MiB, GPU Memory: 266 MiB
[2022-09-29 16:36:55,572][JTOP_MONITOR][INFO]Memory: 1751 MiB, GPU Memory: 266 MiB
[2022-09-29 16:36:56,572][JTOP_MONITOR][INFO]Memory: 1751 MiB, GPU Memory: 266 MiB
[2022-09-29 16:36:57,574][JTOP_MONITOR][INFO]Memory: 1751 MiB, GPU Memory: 266 MiB
[2022-09-29 16:36:58,576][JTOP_MONITOR][INFO]Memory: 1751 MiB, GPU Memory: 266 MiB
[2022-09-29 16:36:59,576][JTOP_MONITOR][INFO]Memory: 1751 MiB, GPU Memory: 266 MiB
[2022-09-29 16:37:00,578][JTOP_MONITOR][INFO]Memory: 1751 MiB, GPU Memory: 266 MiB
[2022-09-29 16:37:01,580][JTOP_MONITOR][INFO]Memory: 1752 MiB, GPU Memory: 266 MiB
[2022-09-29 16:37:02,582][JTOP_MONITOR][INFO]Memory: 1753 MiB, GPU Memory: 266 MiB
[2022-09-29 16:37:03,584][JTOP_MONITOR][INFO]Memory: 1752 MiB, GPU Memory: 266 MiB
[2022-09-29 16:37:04,584][JTOP_MONITOR][INFO]Memory: 1752 MiB, GPU Memory: 266 MiB
[2022-09-29 16:37:05,586][JTOP_MONITOR][INFO]Memory: 1752 MiB, GPU Memory: 266 MiB
[2022-09-29 16:37:06,588][JTOP_MONITOR][INFO]Memory: 1753 MiB, GPU Memory: 266 MiB
[2022-09-29 16:37:07,588][JTOP_MONITOR][INFO]Memory: 1753 MiB, GPU Memory: 266 MiB
[2022-09-29 16:37:08,590][JTOP_MONITOR][INFO]Memory: 1754 MiB, GPU Memory: 266 MiB
[2022-09-29 16:37:09,592][JTOP_MONITOR][INFO]Memory: 1753 MiB, GPU Memory: 266 MiB
[2022-09-29 16:37:10,592][JTOP_MONITOR][INFO]Memory: 1755 MiB, GPU Memory: 266 MiB
[2022-09-29 16:37:11,594][JTOP_MONITOR][INFO]Memory: 1755 MiB, GPU Memory: 266 MiB
[2022-09-29 16:37:12,596][JTOP_MONITOR][INFO]Memory: 1755 MiB, GPU Memory: 266 MiB
[2022-09-29 16:37:13,596][JTOP_MONITOR][INFO]Memory: 1754 MiB, GPU Memory: 266 MiB
[2022-09-29 16:37:14,598][JTOP_MONITOR][INFO]Memory: 1755 MiB, GPU Memory: 266 MiB
[2022-09-29 16:37:15,599][JTOP_MONITOR][INFO]Memory: 1754 MiB, GPU Memory: 266 MiB
[2022-09-29 16:37:16,600][JTOP_MONITOR][INFO]Memory: 1754 MiB, GPU Memory: 266 MiB
[2022-09-29 16:37:17,602][JTOP_MONITOR][INFO]Memory: 1754 MiB, GPU Memory: 266 MiB
[2022-09-29 16:37:18,604][JTOP_MONITOR][INFO]Memory: 1754 MiB, GPU Memory: 266 MiB
[2022-09-29 16:37:19,604][JTOP_MONITOR][INFO]Memory: 1755 MiB, GPU Memory: 266 MiB
[2022-09-29 16:37:20,606][JTOP_MONITOR][INFO]Memory: 1755 MiB, GPU Memory: 266 MiB
[2022-09-29 16:37:21,608][JTOP_MONITOR][INFO]Memory: 1756 MiB, GPU Memory: 266 MiB
[2022-09-29 16:37:22,608][JTOP_MONITOR][INFO]Memory: 1756 MiB, GPU Memory: 266 MiB
[2022-09-29 16:37:23,610][JTOP_MONITOR][INFO]Memory: 1729 MiB, GPU Memory: 266 MiB
[2022-09-29 16:37:24,612][JTOP_MONITOR][INFO]Memory: 1742 MiB, GPU Memory: 266 MiB
[2022-09-29 16:37:25,613][JTOP_MONITOR][INFO]Memory: 1742 MiB, GPU Memory: 266 MiB
[2022-09-29 16:37:26,615][JTOP_MONITOR][INFO]Memory: 1742 MiB, GPU Memory: 266 MiB
[2022-09-29 16:37:27,616][JTOP_MONITOR][INFO]Memory: 1742 MiB, GPU Memory: 266 MiB
[2022-09-29 16:37:28,618][JTOP_MONITOR][INFO]Memory: 1733 MiB, GPU Memory: 266 MiB
[2022-09-29 16:37:29,620][JTOP_MONITOR][INFO]Memory: 1733 MiB, GPU Memory: 266 MiB
[2022-09-29 16:37:30,620][JTOP_MONITOR][INFO]Memory: 1733 MiB, GPU Memory: 266 MiB
[2022-09-29 16:37:31,622][JTOP_MONITOR][INFO]Memory: 1733 MiB, GPU Memory: 266 MiB
[2022-09-29 16:37:32,624][JTOP_MONITOR][INFO]Memory: 1733 MiB, GPU Memory: 266 MiB
[2022-09-29 16:37:33,625][JTOP_MONITOR][INFO]Memory: 1734 MiB, GPU Memory: 266 MiB
[2022-09-29 16:37:34,627][JTOP_MONITOR][INFO]Memory: 1735 MiB, GPU Memory: 266 MiB
[2022-09-29 16:37:35,628][JTOP_MONITOR][INFO]Memory: 1734 MiB, GPU Memory: 266 MiB
[2022-09-29 16:37:36,630][JTOP_MONITOR][INFO]Memory: 1734 MiB, GPU Memory: 266 MiB
[2022-09-29 16:37:37,632][JTOP_MONITOR][INFO]Memory: 1734 MiB, GPU Memory: 266 MiB
[2022-09-29 16:37:38,632][JTOP_MONITOR][INFO]Memory: 1733 MiB, GPU Memory: 266 MiB
[2022-09-29 16:37:39,634][JTOP_MONITOR][INFO]Memory: 1734 MiB, GPU Memory: 266 MiB
[2022-09-29 16:37:40,636][JTOP_MONITOR][INFO]Memory: 1734 MiB, GPU Memory: 266 MiB
[2022-09-29 16:37:41,636][JTOP_MONITOR][INFO]Memory: 1734 MiB, GPU Memory: 266 MiB
[2022-09-29 16:37:42,638][JTOP_MONITOR][INFO]Memory: 1736 MiB, GPU Memory: 266 MiB
[2022-09-29 16:37:43,640][JTOP_MONITOR][INFO]Memory: 1735 MiB, GPU Memory: 266 MiB
[2022-09-29 16:37:44,640][JTOP_MONITOR][INFO]Memory: 1734 MiB, GPU Memory: 266 MiB
[2022-09-29 16:37:45,642][JTOP_MONITOR][INFO]Memory: 1735 MiB, GPU Memory: 266 MiB
[2022-09-29 16:37:46,644][JTOP_MONITOR][INFO]Memory: 1734 MiB, GPU Memory: 266 MiB
[2022-09-29 16:37:47,644][JTOP_MONITOR][INFO]Memory: 1735 MiB, GPU Memory: 266 MiB
[2022-09-29 16:37:48,646][JTOP_MONITOR][INFO]Memory: 1748 MiB, GPU Memory: 266 MiB
[2022-09-29 16:37:49,648][JTOP_MONITOR][INFO]Memory: 1749 MiB, GPU Memory: 266 MiB
[2022-09-29 16:37:50,648][JTOP_MONITOR][INFO]Memory: 1749 MiB, GPU Memory: 266 MiB
[2022-09-29 16:37:51,650][JTOP_MONITOR][INFO]Memory: 1749 MiB, GPU Memory: 266 MiB
[2022-09-29 16:37:52,652][JTOP_MONITOR][INFO]Memory: 1750 MiB, GPU Memory: 266 MiB
