[2022-09-29 17:38:13,367][JTOP_MONITOR][INFO]Memory: 1334 MiB, GPU Memory: 212 MiB
[2022-09-29 17:38:14,368][JTOP_MONITOR][INFO]Memory: 1334 MiB, GPU Memory: 212 MiB
[2022-09-29 17:38:15,370][JTOP_MONITOR][INFO]Memory: 1334 MiB, GPU Memory: 212 MiB
[2022-09-29 17:38:16,372][JTOP_MONITOR][INFO]Memory: 1334 MiB, GPU Memory: 212 MiB
[2022-09-29 17:38:17,372][JTOP_MONITOR][INFO]Memory: 1334 MiB, GPU Memory: 212 MiB
[2022-09-29 17:38:18,374][JTOP_MONITOR][INFO]Memory: 1334 MiB, GPU Memory: 212 MiB
[2022-09-29 17:38:19,376][JTOP_MONITOR][INFO]Memory: 1334 MiB, GPU Memory: 212 MiB
[2022-09-29 17:38:20,377][JTOP_MONITOR][INFO]Memory: 1335 MiB, GPU Memory: 212 MiB
[2022-09-29 17:38:21,379][JTOP_MONITOR][INFO]Memory: 1334 MiB, GPU Memory: 212 MiB
[2022-09-29 17:38:22,380][JTOP_MONITOR][INFO]Memory: 1334 MiB, GPU Memory: 212 MiB
[2022-09-29 17:38:23,382][JTOP_MONITOR][INFO]Memory: 1335 MiB, GPU Memory: 212 MiB
[2022-09-29 17:38:24,383][JTOP_MONITOR][INFO]Memory: 1334 MiB, GPU Memory: 212 MiB
[2022-09-29 17:38:25,385][JTOP_MONITOR][INFO]Memory: 1334 MiB, GPU Memory: 212 MiB
[2022-09-29 17:38:26,386][JTOP_MONITOR][INFO]Memory: 1363 MiB, GPU Memory: 212 MiB
[2022-09-29 17:38:27,388][JTOP_MONITOR][INFO]Memory: 1377 MiB, GPU Memory: 212 MiB
[2022-09-29 17:38:28,390][JTOP_MONITOR][INFO]Memory: 1406 MiB, GPU Memory: 212 MiB
[2022-09-29 17:38:29,391][JTOP_MONITOR][INFO]Memory: 1447 MiB, GPU Memory: 212 MiB
[2022-09-29 17:38:30,393][JTOP_MONITOR][INFO]Memory: 1466 MiB, GPU Memory: 212 MiB
[2022-09-29 17:38:31,394][JTOP_MONITOR][INFO]Memory: 1471 MiB, GPU Memory: 212 MiB
[2022-09-29 17:38:32,396][JTOP_MONITOR][INFO]Memory: 1476 MiB, GPU Memory: 212 MiB
[2022-09-29 17:38:33,396][JTOP_MONITOR][INFO]Memory: 1556 MiB, GPU Memory: 230 MiB
[2022-09-29 17:38:34,398][JTOP_MONITOR][INFO]Memory: 1721 MiB, GPU Memory: 274 MiB
[2022-09-29 17:38:35,400][JTOP_MONITOR][INFO]Memory: 1726 MiB, GPU Memory: 274 MiB
[2022-09-29 17:38:36,401][JTOP_MONITOR][INFO]Memory: 1726 MiB, GPU Memory: 274 MiB
[2022-09-29 17:38:37,403][JTOP_MONITOR][INFO]Memory: 1727 MiB, GPU Memory: 274 MiB
[2022-09-29 17:38:38,404][JTOP_MONITOR][INFO]Memory: 1727 MiB, GPU Memory: 274 MiB
[2022-09-29 17:38:39,406][JTOP_MONITOR][INFO]Memory: 1728 MiB, GPU Memory: 274 MiB
[2022-09-29 17:38:40,408][JTOP_MONITOR][INFO]Memory: 1727 MiB, GPU Memory: 274 MiB
[2022-09-29 17:38:41,408][JTOP_MONITOR][INFO]Memory: 1727 MiB, GPU Memory: 274 MiB
[2022-09-29 17:38:42,410][JTOP_MONITOR][INFO]Memory: 1731 MiB, GPU Memory: 274 MiB
[2022-09-29 17:38:43,412][JTOP_MONITOR][INFO]Memory: 1727 MiB, GPU Memory: 274 MiB
[2022-09-29 17:38:44,413][JTOP_MONITOR][INFO]Memory: 1739 MiB, GPU Memory: 274 MiB
[2022-09-29 17:38:45,415][JTOP_MONITOR][INFO]Memory: 1741 MiB, GPU Memory: 274 MiB
[2022-09-29 17:38:46,416][JTOP_MONITOR][INFO]Memory: 1741 MiB, GPU Memory: 274 MiB
[2022-09-29 17:38:47,418][JTOP_MONITOR][INFO]Memory: 1741 MiB, GPU Memory: 274 MiB
[2022-09-29 17:38:48,419][JTOP_MONITOR][INFO]Memory: 1741 MiB, GPU Memory: 274 MiB
[2022-09-29 17:38:49,421][JTOP_MONITOR][INFO]Memory: 1747 MiB, GPU Memory: 274 MiB
[2022-09-29 17:38:50,422][JTOP_MONITOR][INFO]Memory: 1747 MiB, GPU Memory: 274 MiB
[2022-09-29 17:38:51,424][JTOP_MONITOR][INFO]Memory: 1748 MiB, GPU Memory: 274 MiB
[2022-09-29 17:38:52,424][JTOP_MONITOR][INFO]Memory: 1747 MiB, GPU Memory: 274 MiB
[2022-09-29 17:38:53,426][JTOP_MONITOR][INFO]Memory: 1748 MiB, GPU Memory: 274 MiB
[2022-09-29 17:38:54,428][JTOP_MONITOR][INFO]Memory: 1749 MiB, GPU Memory: 274 MiB
[2022-09-29 17:38:55,428][JTOP_MONITOR][INFO]Memory: 1749 MiB, GPU Memory: 274 MiB
[2022-09-29 17:38:56,430][JTOP_MONITOR][INFO]Memory: 1748 MiB, GPU Memory: 274 MiB
[2022-09-29 17:38:57,432][JTOP_MONITOR][INFO]Memory: 1748 MiB, GPU Memory: 274 MiB
[2022-09-29 17:38:58,432][JTOP_MONITOR][INFO]Memory: 1755 MiB, GPU Memory: 274 MiB
[2022-09-29 17:38:59,434][JTOP_MONITOR][INFO]Memory: 1755 MiB, GPU Memory: 274 MiB
[2022-09-29 17:39:00,436][JTOP_MONITOR][INFO]Memory: 1755 MiB, GPU Memory: 274 MiB
[2022-09-29 17:39:01,436][JTOP_MONITOR][INFO]Memory: 1755 MiB, GPU Memory: 274 MiB
[2022-09-29 17:39:02,438][JTOP_MONITOR][INFO]Memory: 1755 MiB, GPU Memory: 274 MiB
[2022-09-29 17:39:03,440][JTOP_MONITOR][INFO]Memory: 1756 MiB, GPU Memory: 274 MiB
[2022-09-29 17:39:04,440][JTOP_MONITOR][INFO]Memory: 1757 MiB, GPU Memory: 274 MiB
[2022-09-29 17:39:05,442][JTOP_MONITOR][INFO]Memory: 1755 MiB, GPU Memory: 274 MiB
[2022-09-29 17:39:06,444][JTOP_MONITOR][INFO]Memory: 1755 MiB, GPU Memory: 274 MiB
[2022-09-29 17:39:07,444][JTOP_MONITOR][INFO]Memory: 1756 MiB, GPU Memory: 274 MiB
[2022-09-29 17:39:08,446][JTOP_MONITOR][INFO]Memory: 1755 MiB, GPU Memory: 274 MiB
[2022-09-29 17:39:09,448][JTOP_MONITOR][INFO]Memory: 1755 MiB, GPU Memory: 274 MiB
[2022-09-29 17:39:10,448][JTOP_MONITOR][INFO]Memory: 1756 MiB, GPU Memory: 274 MiB
[2022-09-29 17:39:11,450][JTOP_MONITOR][INFO]Memory: 1756 MiB, GPU Memory: 274 MiB
[2022-09-29 17:39:12,451][JTOP_MONITOR][INFO]Memory: 1757 MiB, GPU Memory: 274 MiB
[2022-09-29 17:39:13,452][JTOP_MONITOR][INFO]Memory: 1758 MiB, GPU Memory: 274 MiB
[2022-09-29 17:39:14,454][JTOP_MONITOR][INFO]Memory: 1756 MiB, GPU Memory: 274 MiB
[2022-09-29 17:39:15,456][JTOP_MONITOR][INFO]Memory: 1756 MiB, GPU Memory: 274 MiB
[2022-09-29 17:39:16,456][JTOP_MONITOR][INFO]Memory: 1756 MiB, GPU Memory: 274 MiB
[2022-09-29 17:39:17,458][JTOP_MONITOR][INFO]Memory: 1756 MiB, GPU Memory: 274 MiB
[2022-09-29 17:39:18,460][JTOP_MONITOR][INFO]Memory: 1757 MiB, GPU Memory: 274 MiB
[2022-09-29 17:39:19,460][JTOP_MONITOR][INFO]Memory: 1757 MiB, GPU Memory: 274 MiB
[2022-09-29 17:39:20,462][JTOP_MONITOR][INFO]Memory: 1756 MiB, GPU Memory: 274 MiB
[2022-09-29 17:39:21,464][JTOP_MONITOR][INFO]Memory: 1757 MiB, GPU Memory: 274 MiB
[2022-09-29 17:39:22,464][JTOP_MONITOR][INFO]Memory: 1758 MiB, GPU Memory: 274 MiB
