[2022-09-27 13:19:11,575][JTOP_MONITOR][INFO]Memory: 2619 MiB, GPU Memory: 743 MiB
[2022-09-27 13:19:12,577][JTOP_MONITOR][INFO]Memory: 2615 MiB, GPU Memory: 743 MiB
[2022-09-27 13:19:13,578][JTOP_MONITOR][INFO]Memory: 2614 MiB, GPU Memory: 743 MiB
[2022-09-27 13:19:14,580][JTOP_MONITOR][INFO]Memory: 2615 MiB, GPU Memory: 743 MiB
[2022-09-27 13:19:15,581][JTOP_MONITOR][INFO]Memory: 2614 MiB, GPU Memory: 743 MiB
[2022-09-27 13:19:16,583][JTOP_MONITOR][INFO]Memory: 2615 MiB, GPU Memory: 743 MiB
[2022-09-27 13:19:17,584][JTOP_MONITOR][INFO]Memory: 2614 MiB, GPU Memory: 743 MiB
[2022-09-27 13:19:18,586][JTOP_MONITOR][INFO]Memory: 2614 MiB, GPU Memory: 743 MiB
[2022-09-27 13:19:19,587][JTOP_MONITOR][INFO]Memory: 2614 MiB, GPU Memory: 743 MiB
[2022-09-27 13:19:20,589][JTOP_MONITOR][INFO]Memory: 2614 MiB, GPU Memory: 743 MiB
[2022-09-27 13:19:21,590][JTOP_MONITOR][INFO]Memory: 2615 MiB, GPU Memory: 743 MiB
[2022-09-27 13:19:22,591][JTOP_MONITOR][INFO]Memory: 2615 MiB, GPU Memory: 743 MiB
[2022-09-27 13:19:23,593][JTOP_MONITOR][INFO]Memory: 2614 MiB, GPU Memory: 743 MiB
[2022-09-27 13:19:24,594][JTOP_MONITOR][INFO]Memory: 2614 MiB, GPU Memory: 743 MiB
[2022-09-27 13:19:25,596][JTOP_MONITOR][INFO]Memory: 2615 MiB, GPU Memory: 743 MiB
[2022-09-27 13:19:26,612][JTOP_MONITOR][INFO]Memory: 2614 MiB, GPU Memory: 743 MiB
[2022-09-27 13:19:27,613][JTOP_MONITOR][INFO]Memory: 2614 MiB, GPU Memory: 743 MiB
[2022-09-27 13:19:28,615][JTOP_MONITOR][INFO]Memory: 2614 MiB, GPU Memory: 743 MiB
[2022-09-27 13:19:29,615][JTOP_MONITOR][INFO]Memory: 2615 MiB, GPU Memory: 743 MiB
[2022-09-27 13:19:30,617][JTOP_MONITOR][INFO]Memory: 2616 MiB, GPU Memory: 743 MiB
[2022-09-27 13:19:31,618][JTOP_MONITOR][INFO]Memory: 2616 MiB, GPU Memory: 743 MiB
[2022-09-27 13:19:32,620][JTOP_MONITOR][INFO]Memory: 2614 MiB, GPU Memory: 743 MiB
[2022-09-27 13:19:33,621][JTOP_MONITOR][INFO]Memory: 2614 MiB, GPU Memory: 743 MiB
[2022-09-27 13:19:34,623][JTOP_MONITOR][INFO]Memory: 2614 MiB, GPU Memory: 743 MiB
[2022-09-27 13:19:35,624][JTOP_MONITOR][INFO]Memory: 2614 MiB, GPU Memory: 743 MiB
[2022-09-27 13:19:36,626][JTOP_MONITOR][INFO]Memory: 2615 MiB, GPU Memory: 743 MiB
[2022-09-27 13:19:37,627][JTOP_MONITOR][INFO]Memory: 2615 MiB, GPU Memory: 743 MiB
[2022-09-27 13:19:38,629][JTOP_MONITOR][INFO]Memory: 2614 MiB, GPU Memory: 743 MiB
[2022-09-27 13:19:39,630][JTOP_MONITOR][INFO]Memory: 2615 MiB, GPU Memory: 743 MiB
[2022-09-27 13:19:40,632][JTOP_MONITOR][INFO]Memory: 2615 MiB, GPU Memory: 743 MiB
[2022-09-27 13:19:41,633][JTOP_MONITOR][INFO]Memory: 2615 MiB, GPU Memory: 743 MiB
[2022-09-27 13:19:42,635][JTOP_MONITOR][INFO]Memory: 2614 MiB, GPU Memory: 743 MiB
