[2022-09-16 18:57:10,880][JTOP_MONITOR][INFO]Memory: 1006 MiB, GPU Memory: 324 MiB
[2022-09-16 18:57:11,881][JTOP_MONITOR][INFO]Memory: 2531 MiB, GPU Memory: 823 MiB
[2022-09-16 18:57:12,883][JTOP_MONITOR][INFO]Memory: 2532 MiB, GPU Memory: 823 MiB
[2022-09-16 18:57:13,884][JTOP_MONITOR][INFO]Memory: 2531 MiB, GPU Memory: 823 MiB
[2022-09-16 18:57:14,886][JTOP_MONITOR][INFO]Memory: 2530 MiB, GPU Memory: 823 MiB
[2022-09-16 18:57:15,888][JTOP_MONITOR][INFO]Memory: 2531 MiB, GPU Memory: 823 MiB
[2022-09-16 18:57:16,889][JTOP_MONITOR][INFO]Memory: 2531 MiB, GPU Memory: 823 MiB
[2022-09-16 18:57:17,891][JTOP_MONITOR][INFO]Memory: 2531 MiB, GPU Memory: 823 MiB
[2022-09-16 18:57:18,892][JTOP_MONITOR][INFO]Memory: 2531 MiB, GPU Memory: 823 MiB
[2022-09-16 18:57:19,894][JTOP_MONITOR][INFO]Memory: 2531 MiB, GPU Memory: 823 MiB
[2022-09-16 18:57:20,895][JTOP_MONITOR][INFO]Memory: 2531 MiB, GPU Memory: 823 MiB
[2022-09-16 18:57:21,896][JTOP_MONITOR][INFO]Memory: 2531 MiB, GPU Memory: 823 MiB
[2022-09-16 18:57:22,897][JTOP_MONITOR][INFO]Memory: 2531 MiB, GPU Memory: 823 MiB
[2022-09-16 18:57:23,899][JTOP_MONITOR][INFO]Memory: 2531 MiB, GPU Memory: 823 MiB
[2022-09-16 18:57:24,901][JTOP_MONITOR][INFO]Memory: 2531 MiB, GPU Memory: 823 MiB
[2022-09-16 18:57:25,902][JTOP_MONITOR][INFO]Memory: 2531 MiB, GPU Memory: 823 MiB
[2022-09-16 18:57:26,904][JTOP_MONITOR][INFO]Memory: 2530 MiB, GPU Memory: 823 MiB
[2022-09-16 18:57:27,905][JTOP_MONITOR][INFO]Memory: 2532 MiB, GPU Memory: 823 MiB
[2022-09-16 18:57:28,907][JTOP_MONITOR][INFO]Memory: 2531 MiB, GPU Memory: 823 MiB
[2022-09-16 18:57:29,908][JTOP_MONITOR][INFO]Memory: 2531 MiB, GPU Memory: 823 MiB
[2022-09-16 18:57:30,910][JTOP_MONITOR][INFO]Memory: 2531 MiB, GPU Memory: 823 MiB
[2022-09-16 18:57:31,911][JTOP_MONITOR][INFO]Memory: 2531 MiB, GPU Memory: 823 MiB
[2022-09-16 18:57:32,913][JTOP_MONITOR][INFO]Memory: 2531 MiB, GPU Memory: 823 MiB
[2022-09-16 18:57:33,914][JTOP_MONITOR][INFO]Memory: 2531 MiB, GPU Memory: 823 MiB
[2022-09-16 18:57:34,916][JTOP_MONITOR][INFO]Memory: 2531 MiB, GPU Memory: 823 MiB
[2022-09-16 18:57:35,917][JTOP_MONITOR][INFO]Memory: 2530 MiB, GPU Memory: 823 MiB
[2022-09-16 18:57:36,919][JTOP_MONITOR][INFO]Memory: 2531 MiB, GPU Memory: 823 MiB
[2022-09-16 18:57:37,920][JTOP_MONITOR][INFO]Memory: 2531 MiB, GPU Memory: 823 MiB
[2022-09-16 18:57:38,921][JTOP_MONITOR][INFO]Memory: 2531 MiB, GPU Memory: 823 MiB
[2022-09-16 18:57:39,923][JTOP_MONITOR][INFO]Memory: 2531 MiB, GPU Memory: 823 MiB
[2022-09-16 18:57:40,924][JTOP_MONITOR][INFO]Memory: 2531 MiB, GPU Memory: 823 MiB
