[2022-10-12 14:51:07,905][JTOP_MONITOR][INFO]Memory: 2797 MiB, GPU Memory: 968 MiB
[2022-10-12 14:51:08,907][JTOP_MONITOR][INFO]Memory: 2780 MiB, GPU Memory: 966 MiB
[2022-10-12 14:51:09,908][JTOP_MONITOR][INFO]Memory: 2780 MiB, GPU Memory: 966 MiB
[2022-10-12 14:51:10,910][JTOP_MONITOR][INFO]Memory: 2780 MiB, GPU Memory: 966 MiB
[2022-10-12 14:51:11,911][JTOP_MONITOR][INFO]Memory: 2780 MiB, GPU Memory: 966 MiB
[2022-10-12 14:51:12,913][JTOP_MONITOR][INFO]Memory: 2780 MiB, GPU Memory: 966 MiB
[2022-10-12 14:51:13,914][JTOP_MONITOR][INFO]Memory: 2780 MiB, GPU Memory: 966 MiB
[2022-10-12 14:51:14,916][JTOP_MONITOR][INFO]Memory: 2780 MiB, GPU Memory: 966 MiB
[2022-10-12 14:51:15,918][JTOP_MONITOR][INFO]Memory: 2780 MiB, GPU Memory: 966 MiB
[2022-10-12 14:51:16,919][JTOP_MONITOR][INFO]Memory: 2780 MiB, GPU Memory: 966 MiB
[2022-10-12 14:51:17,920][JTOP_MONITOR][INFO]Memory: 2782 MiB, GPU Memory: 966 MiB
[2022-10-12 14:51:18,922][JTOP_MONITOR][INFO]Memory: 2780 MiB, GPU Memory: 966 MiB
[2022-10-12 14:51:19,923][JTOP_MONITOR][INFO]Memory: 2780 MiB, GPU Memory: 966 MiB
[2022-10-12 14:51:20,924][JTOP_MONITOR][INFO]Memory: 2783 MiB, GPU Memory: 966 MiB
[2022-10-12 14:51:21,926][JTOP_MONITOR][INFO]Memory: 2784 MiB, GPU Memory: 966 MiB
[2022-10-12 14:51:22,927][JTOP_MONITOR][INFO]Memory: 2784 MiB, GPU Memory: 966 MiB
[2022-10-12 14:51:23,929][JTOP_MONITOR][INFO]Memory: 2783 MiB, GPU Memory: 966 MiB
[2022-10-12 14:51:24,930][JTOP_MONITOR][INFO]Memory: 2783 MiB, GPU Memory: 966 MiB
[2022-10-12 14:51:25,932][JTOP_MONITOR][INFO]Memory: 2783 MiB, GPU Memory: 966 MiB
[2022-10-12 14:51:26,933][JTOP_MONITOR][INFO]Memory: 2784 MiB, GPU Memory: 966 MiB
[2022-10-12 14:51:27,935][JTOP_MONITOR][INFO]Memory: 2783 MiB, GPU Memory: 966 MiB
[2022-10-12 14:51:28,936][JTOP_MONITOR][INFO]Memory: 2783 MiB, GPU Memory: 966 MiB
[2022-10-12 14:51:29,938][JTOP_MONITOR][INFO]Memory: 2785 MiB, GPU Memory: 966 MiB
[2022-10-12 14:51:30,940][JTOP_MONITOR][INFO]Memory: 2786 MiB, GPU Memory: 966 MiB
[2022-10-12 14:51:31,941][JTOP_MONITOR][INFO]Memory: 2787 MiB, GPU Memory: 966 MiB
[2022-10-12 14:51:32,943][JTOP_MONITOR][INFO]Memory: 2786 MiB, GPU Memory: 966 MiB
[2022-10-12 14:51:33,944][JTOP_MONITOR][INFO]Memory: 2791 MiB, GPU Memory: 966 MiB
[2022-10-12 14:51:34,946][JTOP_MONITOR][INFO]Memory: 2791 MiB, GPU Memory: 966 MiB
[2022-10-12 14:51:35,947][JTOP_MONITOR][INFO]Memory: 2791 MiB, GPU Memory: 966 MiB
[2022-10-12 14:51:36,948][JTOP_MONITOR][INFO]Memory: 2791 MiB, GPU Memory: 966 MiB
[2022-10-12 14:51:37,950][JTOP_MONITOR][INFO]Memory: 2791 MiB, GPU Memory: 966 MiB
[2022-10-12 14:51:38,951][JTOP_MONITOR][INFO]Memory: 2791 MiB, GPU Memory: 966 MiB
[2022-10-12 14:51:39,953][JTOP_MONITOR][INFO]Memory: 2792 MiB, GPU Memory: 966 MiB
[2022-10-12 14:51:40,954][JTOP_MONITOR][INFO]Memory: 2791 MiB, GPU Memory: 966 MiB
[2022-10-12 14:51:41,999][JTOP_MONITOR][INFO]Memory: 2791 MiB, GPU Memory: 966 MiB
[2022-10-12 14:51:43,001][JTOP_MONITOR][INFO]Memory: 2792 MiB, GPU Memory: 966 MiB
[2022-10-12 14:51:44,002][JTOP_MONITOR][INFO]Memory: 2791 MiB, GPU Memory: 966 MiB
[2022-10-12 14:51:45,004][JTOP_MONITOR][INFO]Memory: 2791 MiB, GPU Memory: 966 MiB
[2022-10-12 14:51:46,005][JTOP_MONITOR][INFO]Memory: 2792 MiB, GPU Memory: 966 MiB
[2022-10-12 14:51:47,007][JTOP_MONITOR][INFO]Memory: 2791 MiB, GPU Memory: 966 MiB
[2022-10-12 14:51:48,008][JTOP_MONITOR][INFO]Memory: 2791 MiB, GPU Memory: 966 MiB
[2022-10-12 14:51:49,010][JTOP_MONITOR][INFO]Memory: 2792 MiB, GPU Memory: 966 MiB
[2022-10-12 14:51:50,011][JTOP_MONITOR][INFO]Memory: 2792 MiB, GPU Memory: 966 MiB
[2022-10-12 14:51:51,012][JTOP_MONITOR][INFO]Memory: 2792 MiB, GPU Memory: 966 MiB
[2022-10-12 14:51:52,014][JTOP_MONITOR][INFO]Memory: 2791 MiB, GPU Memory: 966 MiB
[2022-10-12 14:51:53,015][JTOP_MONITOR][INFO]Memory: 2791 MiB, GPU Memory: 966 MiB
[2022-10-12 14:51:54,017][JTOP_MONITOR][INFO]Memory: 2792 MiB, GPU Memory: 966 MiB
[2022-10-12 14:51:55,018][JTOP_MONITOR][INFO]Memory: 2791 MiB, GPU Memory: 966 MiB
[2022-10-12 14:51:56,020][JTOP_MONITOR][INFO]Memory: 2791 MiB, GPU Memory: 966 MiB
[2022-10-12 14:51:57,021][JTOP_MONITOR][INFO]Memory: 2791 MiB, GPU Memory: 966 MiB
[2022-10-12 14:51:58,032][JTOP_MONITOR][INFO]Memory: 2792 MiB, GPU Memory: 966 MiB
[2022-10-12 14:51:59,033][JTOP_MONITOR][INFO]Memory: 2791 MiB, GPU Memory: 966 MiB
[2022-10-12 14:52:00,035][JTOP_MONITOR][INFO]Memory: 2792 MiB, GPU Memory: 966 MiB
[2022-10-12 14:52:01,036][JTOP_MONITOR][INFO]Memory: 2793 MiB, GPU Memory: 966 MiB
[2022-10-12 14:52:02,038][JTOP_MONITOR][INFO]Memory: 2794 MiB, GPU Memory: 966 MiB
[2022-10-12 14:52:03,039][JTOP_MONITOR][INFO]Memory: 2793 MiB, GPU Memory: 966 MiB
[2022-10-12 14:52:04,041][JTOP_MONITOR][INFO]Memory: 2793 MiB, GPU Memory: 966 MiB
[2022-10-12 14:52:05,043][JTOP_MONITOR][INFO]Memory: 2793 MiB, GPU Memory: 966 MiB
[2022-10-12 14:52:06,044][JTOP_MONITOR][INFO]Memory: 2793 MiB, GPU Memory: 966 MiB
[2022-10-12 14:52:07,046][JTOP_MONITOR][INFO]Memory: 2793 MiB, GPU Memory: 966 MiB
[2022-10-12 14:52:08,047][JTOP_MONITOR][INFO]Memory: 2793 MiB, GPU Memory: 966 MiB
