[2022-11-02 17:16:35,712][JTOP_MONITOR][INFO]Memory: 648 MiB, GPU Memory: 23 MiB
[2022-11-02 17:16:36,713][JTOP_MONITOR][INFO]Memory: 1617 MiB, GPU Memory: 486 MiB
[2022-11-02 17:16:37,715][JTOP_MONITOR][INFO]Memory: 1617 MiB, GPU Memory: 486 MiB
[2022-11-02 17:16:38,716][JTOP_MONITOR][INFO]Memory: 1617 MiB, GPU Memory: 486 MiB
[2022-11-02 17:16:39,718][JTOP_MONITOR][INFO]Memory: 1617 MiB, GPU Memory: 486 MiB
[2022-11-02 17:16:40,719][JTOP_MONITOR][INFO]Memory: 1617 MiB, GPU Memory: 486 MiB
[2022-11-02 17:16:41,720][JTOP_MONITOR][INFO]Memory: 1617 MiB, GPU Memory: 486 MiB
[2022-11-02 17:16:42,722][JTOP_MONITOR][INFO]Memory: 1618 MiB, GPU Memory: 486 MiB
[2022-11-02 17:16:43,723][JTOP_MONITOR][INFO]Memory: 1617 MiB, GPU Memory: 486 MiB
[2022-11-02 17:16:44,725][JTOP_MONITOR][INFO]Memory: 1618 MiB, GPU Memory: 486 MiB
[2022-11-02 17:16:45,726][JTOP_MONITOR][INFO]Memory: 1618 MiB, GPU Memory: 486 MiB
[2022-11-02 17:16:46,728][JTOP_MONITOR][INFO]Memory: 1617 MiB, GPU Memory: 486 MiB
[2022-11-02 17:16:47,729][JTOP_MONITOR][INFO]Memory: 1618 MiB, GPU Memory: 486 MiB
[2022-11-02 17:16:48,731][JTOP_MONITOR][INFO]Memory: 1617 MiB, GPU Memory: 486 MiB
[2022-11-02 17:16:49,732][JTOP_MONITOR][INFO]Memory: 1617 MiB, GPU Memory: 486 MiB
[2022-11-02 17:16:50,734][JTOP_MONITOR][INFO]Memory: 1617 MiB, GPU Memory: 486 MiB
[2022-11-02 17:16:51,735][JTOP_MONITOR][INFO]Memory: 1617 MiB, GPU Memory: 486 MiB
[2022-11-02 17:16:52,737][JTOP_MONITOR][INFO]Memory: 1617 MiB, GPU Memory: 486 MiB
[2022-11-02 17:16:53,738][JTOP_MONITOR][INFO]Memory: 1617 MiB, GPU Memory: 486 MiB
[2022-11-02 17:16:54,740][JTOP_MONITOR][INFO]Memory: 1617 MiB, GPU Memory: 486 MiB
[2022-11-02 17:16:55,742][JTOP_MONITOR][INFO]Memory: 1617 MiB, GPU Memory: 486 MiB
[2022-11-02 17:16:56,743][JTOP_MONITOR][INFO]Memory: 1618 MiB, GPU Memory: 486 MiB
[2022-11-02 17:16:57,745][JTOP_MONITOR][INFO]Memory: 1618 MiB, GPU Memory: 486 MiB
[2022-11-02 17:16:58,746][JTOP_MONITOR][INFO]Memory: 1618 MiB, GPU Memory: 486 MiB
[2022-11-02 17:16:59,748][JTOP_MONITOR][INFO]Memory: 1618 MiB, GPU Memory: 486 MiB
[2022-11-02 17:17:00,749][JTOP_MONITOR][INFO]Memory: 1654 MiB, GPU Memory: 486 MiB
[2022-11-02 17:17:01,751][JTOP_MONITOR][INFO]Memory: 1672 MiB, GPU Memory: 486 MiB
