[2022-09-28 13:24:07,202][JTOP_MONITOR][INFO]Memory: 1415 MiB, GPU Memory: 338 MiB
[2022-09-28 13:24:08,204][JTOP_MONITOR][INFO]Memory: 1415 MiB, GPU Memory: 338 MiB
[2022-09-28 13:24:09,205][JTOP_MONITOR][INFO]Memory: 1416 MiB, GPU Memory: 338 MiB
[2022-09-28 13:24:10,207][JTOP_MONITOR][INFO]Memory: 1415 MiB, GPU Memory: 338 MiB
[2022-09-28 13:24:11,208][JTOP_MONITOR][INFO]Memory: 1414 MiB, GPU Memory: 338 MiB
[2022-09-28 13:24:12,210][JTOP_MONITOR][INFO]Memory: 1457 MiB, GPU Memory: 338 MiB
[2022-09-28 13:24:13,211][JTOP_MONITOR][INFO]Memory: 1461 MiB, GPU Memory: 338 MiB
[2022-09-28 13:24:14,212][JTOP_MONITOR][INFO]Memory: 1507 MiB, GPU Memory: 338 MiB
[2022-09-28 13:24:15,214][JTOP_MONITOR][INFO]Memory: 1530 MiB, GPU Memory: 338 MiB
[2022-09-28 13:24:16,216][JTOP_MONITOR][INFO]Memory: 1545 MiB, GPU Memory: 338 MiB
[2022-09-28 13:24:17,216][JTOP_MONITOR][INFO]Memory: 1548 MiB, GPU Memory: 338 MiB
[2022-09-28 13:24:18,218][JTOP_MONITOR][INFO]Memory: 1552 MiB, GPU Memory: 338 MiB
[2022-09-28 13:24:19,220][JTOP_MONITOR][INFO]Memory: 1567 MiB, GPU Memory: 338 MiB
[2022-09-28 13:24:20,220][JTOP_MONITOR][INFO]Memory: 1568 MiB, GPU Memory: 338 MiB
[2022-09-28 13:24:21,222][JTOP_MONITOR][INFO]Memory: 1567 MiB, GPU Memory: 338 MiB
[2022-09-28 13:24:22,224][JTOP_MONITOR][INFO]Memory: 1567 MiB, GPU Memory: 338 MiB
[2022-09-28 13:24:23,224][JTOP_MONITOR][INFO]Memory: 1585 MiB, GPU Memory: 338 MiB
[2022-09-28 13:24:24,226][JTOP_MONITOR][INFO]Memory: 1577 MiB, GPU Memory: 338 MiB
[2022-09-28 13:24:25,228][JTOP_MONITOR][INFO]Memory: 1577 MiB, GPU Memory: 338 MiB
[2022-09-28 13:24:26,229][JTOP_MONITOR][INFO]Memory: 1577 MiB, GPU Memory: 338 MiB
[2022-09-28 13:24:27,231][JTOP_MONITOR][INFO]Memory: 1583 MiB, GPU Memory: 338 MiB
[2022-09-28 13:24:28,232][JTOP_MONITOR][INFO]Memory: 1581 MiB, GPU Memory: 338 MiB
[2022-09-28 13:24:29,234][JTOP_MONITOR][INFO]Memory: 1588 MiB, GPU Memory: 338 MiB
[2022-09-28 13:24:30,235][JTOP_MONITOR][INFO]Memory: 1581 MiB, GPU Memory: 338 MiB
[2022-09-28 13:24:31,237][JTOP_MONITOR][INFO]Memory: 1581 MiB, GPU Memory: 338 MiB
[2022-09-28 13:24:32,238][JTOP_MONITOR][INFO]Memory: 1588 MiB, GPU Memory: 338 MiB
[2022-09-28 13:24:33,240][JTOP_MONITOR][INFO]Memory: 1589 MiB, GPU Memory: 338 MiB
[2022-09-28 13:24:34,242][JTOP_MONITOR][INFO]Memory: 1589 MiB, GPU Memory: 338 MiB
[2022-09-28 13:24:35,243][JTOP_MONITOR][INFO]Memory: 1588 MiB, GPU Memory: 338 MiB
[2022-09-28 13:24:36,244][JTOP_MONITOR][INFO]Memory: 1587 MiB, GPU Memory: 338 MiB
[2022-09-28 13:24:37,246][JTOP_MONITOR][INFO]Memory: 1588 MiB, GPU Memory: 338 MiB
[2022-09-28 13:24:38,248][JTOP_MONITOR][INFO]Memory: 1588 MiB, GPU Memory: 338 MiB
[2022-09-28 13:24:39,248][JTOP_MONITOR][INFO]Memory: 1588 MiB, GPU Memory: 338 MiB
[2022-09-28 13:24:40,249][JTOP_MONITOR][INFO]Memory: 1588 MiB, GPU Memory: 338 MiB
[2022-09-28 13:24:41,251][JTOP_MONITOR][INFO]Memory: 1587 MiB, GPU Memory: 338 MiB
[2022-09-28 13:24:42,252][JTOP_MONITOR][INFO]Memory: 1596 MiB, GPU Memory: 338 MiB
[2022-09-28 13:24:43,254][JTOP_MONITOR][INFO]Memory: 1596 MiB, GPU Memory: 338 MiB
[2022-09-28 13:24:44,256][JTOP_MONITOR][INFO]Memory: 1596 MiB, GPU Memory: 338 MiB
[2022-09-28 13:24:45,257][JTOP_MONITOR][INFO]Memory: 1595 MiB, GPU Memory: 338 MiB
[2022-09-28 13:24:46,259][JTOP_MONITOR][INFO]Memory: 1595 MiB, GPU Memory: 338 MiB
[2022-09-28 13:24:47,260][JTOP_MONITOR][INFO]Memory: 1596 MiB, GPU Memory: 338 MiB
[2022-09-28 13:24:48,262][JTOP_MONITOR][INFO]Memory: 1595 MiB, GPU Memory: 338 MiB
