[2022-09-28 14:52:16,899][JTOP_MONITOR][INFO]Memory: 1383 MiB, GPU Memory: 338 MiB
[2022-09-28 14:52:17,900][JTOP_MONITOR][INFO]Memory: 1383 MiB, GPU Memory: 338 MiB
[2022-09-28 14:52:18,902][JTOP_MONITOR][INFO]Memory: 1384 MiB, GPU Memory: 338 MiB
[2022-09-28 14:52:19,904][JTOP_MONITOR][INFO]Memory: 1383 MiB, GPU Memory: 338 MiB
[2022-09-28 14:52:20,904][JTOP_MONITOR][INFO]Memory: 1414 MiB, GPU Memory: 338 MiB
[2022-09-28 14:52:21,906][JTOP_MONITOR][INFO]Memory: 1429 MiB, GPU Memory: 338 MiB
[2022-09-28 14:52:22,908][JTOP_MONITOR][INFO]Memory: 1437 MiB, GPU Memory: 338 MiB
[2022-09-28 14:52:23,908][JTOP_MONITOR][INFO]Memory: 1486 MiB, GPU Memory: 338 MiB
[2022-09-28 14:52:24,910][JTOP_MONITOR][INFO]Memory: 1504 MiB, GPU Memory: 338 MiB
[2022-09-28 14:52:25,912][JTOP_MONITOR][INFO]Memory: 1516 MiB, GPU Memory: 338 MiB
[2022-09-28 14:52:26,912][JTOP_MONITOR][INFO]Memory: 1522 MiB, GPU Memory: 338 MiB
[2022-09-28 14:52:27,913][JTOP_MONITOR][INFO]Memory: 1526 MiB, GPU Memory: 338 MiB
[2022-09-28 14:52:28,915][JTOP_MONITOR][INFO]Memory: 1537 MiB, GPU Memory: 338 MiB
[2022-09-28 14:52:29,916][JTOP_MONITOR][INFO]Memory: 1538 MiB, GPU Memory: 338 MiB
[2022-09-28 14:52:30,918][JTOP_MONITOR][INFO]Memory: 1538 MiB, GPU Memory: 338 MiB
[2022-09-28 14:52:31,919][JTOP_MONITOR][INFO]Memory: 1538 MiB, GPU Memory: 338 MiB
[2022-09-28 14:52:32,920][JTOP_MONITOR][INFO]Memory: 1539 MiB, GPU Memory: 338 MiB
[2022-09-28 14:52:33,922][JTOP_MONITOR][INFO]Memory: 1541 MiB, GPU Memory: 338 MiB
[2022-09-28 14:52:34,924][JTOP_MONITOR][INFO]Memory: 1540 MiB, GPU Memory: 338 MiB
[2022-09-28 14:52:35,924][JTOP_MONITOR][INFO]Memory: 1540 MiB, GPU Memory: 338 MiB
[2022-09-28 14:52:36,926][JTOP_MONITOR][INFO]Memory: 1543 MiB, GPU Memory: 338 MiB
[2022-09-28 14:52:37,928][JTOP_MONITOR][INFO]Memory: 1538 MiB, GPU Memory: 338 MiB
[2022-09-28 14:52:38,929][JTOP_MONITOR][INFO]Memory: 1551 MiB, GPU Memory: 338 MiB
[2022-09-28 14:52:39,931][JTOP_MONITOR][INFO]Memory: 1551 MiB, GPU Memory: 338 MiB
[2022-09-28 14:52:40,932][JTOP_MONITOR][INFO]Memory: 1558 MiB, GPU Memory: 338 MiB
[2022-09-28 14:52:41,934][JTOP_MONITOR][INFO]Memory: 1559 MiB, GPU Memory: 338 MiB
[2022-09-28 14:52:42,936][JTOP_MONITOR][INFO]Memory: 1558 MiB, GPU Memory: 338 MiB
[2022-09-28 14:52:43,936][JTOP_MONITOR][INFO]Memory: 1559 MiB, GPU Memory: 338 MiB
[2022-09-28 14:52:44,938][JTOP_MONITOR][INFO]Memory: 1559 MiB, GPU Memory: 338 MiB
[2022-09-28 14:52:45,939][JTOP_MONITOR][INFO]Memory: 1558 MiB, GPU Memory: 338 MiB
[2022-09-28 14:52:46,940][JTOP_MONITOR][INFO]Memory: 1560 MiB, GPU Memory: 338 MiB
[2022-09-28 14:52:47,942][JTOP_MONITOR][INFO]Memory: 1560 MiB, GPU Memory: 338 MiB
[2022-09-28 14:52:48,944][JTOP_MONITOR][INFO]Memory: 1559 MiB, GPU Memory: 338 MiB
[2022-09-28 14:52:49,944][JTOP_MONITOR][INFO]Memory: 1559 MiB, GPU Memory: 338 MiB
[2022-09-28 14:52:50,946][JTOP_MONITOR][INFO]Memory: 1567 MiB, GPU Memory: 338 MiB
[2022-09-28 14:52:51,948][JTOP_MONITOR][INFO]Memory: 1567 MiB, GPU Memory: 338 MiB
[2022-09-28 14:52:52,948][JTOP_MONITOR][INFO]Memory: 1567 MiB, GPU Memory: 338 MiB
[2022-09-28 14:52:53,950][JTOP_MONITOR][INFO]Memory: 1567 MiB, GPU Memory: 338 MiB
[2022-09-28 14:52:54,952][JTOP_MONITOR][INFO]Memory: 1567 MiB, GPU Memory: 338 MiB
[2022-09-28 14:52:55,953][JTOP_MONITOR][INFO]Memory: 1568 MiB, GPU Memory: 338 MiB
[2022-09-28 14:52:56,954][JTOP_MONITOR][INFO]Memory: 1569 MiB, GPU Memory: 338 MiB
[2022-09-28 14:52:57,956][JTOP_MONITOR][INFO]Memory: 1569 MiB, GPU Memory: 338 MiB
[2022-09-28 14:52:58,957][JTOP_MONITOR][INFO]Memory: 1568 MiB, GPU Memory: 338 MiB
[2022-09-28 14:52:59,959][JTOP_MONITOR][INFO]Memory: 1567 MiB, GPU Memory: 338 MiB
[2022-09-28 14:53:00,960][JTOP_MONITOR][INFO]Memory: 1567 MiB, GPU Memory: 338 MiB
[2022-09-28 14:53:01,962][JTOP_MONITOR][INFO]Memory: 1568 MiB, GPU Memory: 338 MiB
[2022-09-28 14:53:02,964][JTOP_MONITOR][INFO]Memory: 1567 MiB, GPU Memory: 338 MiB
[2022-09-28 14:53:03,964][JTOP_MONITOR][INFO]Memory: 1568 MiB, GPU Memory: 338 MiB
[2022-09-28 14:53:04,966][JTOP_MONITOR][INFO]Memory: 1568 MiB, GPU Memory: 338 MiB
[2022-09-28 14:53:05,968][JTOP_MONITOR][INFO]Memory: 1569 MiB, GPU Memory: 338 MiB
[2022-09-28 14:53:06,968][JTOP_MONITOR][INFO]Memory: 1569 MiB, GPU Memory: 338 MiB
[2022-09-28 14:53:07,970][JTOP_MONITOR][INFO]Memory: 1569 MiB, GPU Memory: 338 MiB
[2022-09-28 14:53:08,972][JTOP_MONITOR][INFO]Memory: 1568 MiB, GPU Memory: 338 MiB
[2022-09-28 14:53:09,972][JTOP_MONITOR][INFO]Memory: 1568 MiB, GPU Memory: 338 MiB
[2022-09-28 14:53:10,974][JTOP_MONITOR][INFO]Memory: 1568 MiB, GPU Memory: 338 MiB
[2022-09-28 14:53:11,975][JTOP_MONITOR][INFO]Memory: 1568 MiB, GPU Memory: 338 MiB
[2022-09-28 14:53:12,976][JTOP_MONITOR][INFO]Memory: 1569 MiB, GPU Memory: 338 MiB
[2022-09-28 14:53:13,978][JTOP_MONITOR][INFO]Memory: 1568 MiB, GPU Memory: 338 MiB
[2022-09-28 14:53:14,979][JTOP_MONITOR][INFO]Memory: 1570 MiB, GPU Memory: 338 MiB
[2022-09-28 14:53:15,980][JTOP_MONITOR][INFO]Memory: 1570 MiB, GPU Memory: 338 MiB
[2022-09-28 14:53:16,982][JTOP_MONITOR][INFO]Memory: 1570 MiB, GPU Memory: 338 MiB
[2022-09-28 14:53:17,983][JTOP_MONITOR][INFO]Memory: 1569 MiB, GPU Memory: 338 MiB
[2022-09-28 14:53:18,984][JTOP_MONITOR][INFO]Memory: 1569 MiB, GPU Memory: 338 MiB
[2022-09-28 14:53:19,986][JTOP_MONITOR][INFO]Memory: 1569 MiB, GPU Memory: 338 MiB
[2022-09-28 14:53:20,988][JTOP_MONITOR][INFO]Memory: 1569 MiB, GPU Memory: 338 MiB
[2022-09-28 14:53:21,989][JTOP_MONITOR][INFO]Memory: 1569 MiB, GPU Memory: 338 MiB
[2022-09-28 14:53:22,991][JTOP_MONITOR][INFO]Memory: 1570 MiB, GPU Memory: 338 MiB
[2022-09-28 14:53:23,992][JTOP_MONITOR][INFO]Memory: 1571 MiB, GPU Memory: 338 MiB
[2022-09-28 14:53:24,994][JTOP_MONITOR][INFO]Memory: 1571 MiB, GPU Memory: 338 MiB
[2022-09-28 14:53:25,996][JTOP_MONITOR][INFO]Memory: 1571 MiB, GPU Memory: 338 MiB
[2022-09-28 14:53:26,996][JTOP_MONITOR][INFO]Memory: 1570 MiB, GPU Memory: 338 MiB
[2022-09-28 14:53:27,998][JTOP_MONITOR][INFO]Memory: 1570 MiB, GPU Memory: 338 MiB
[2022-09-28 14:53:29,000][JTOP_MONITOR][INFO]Memory: 1570 MiB, GPU Memory: 338 MiB
[2022-09-28 14:53:30,001][JTOP_MONITOR][INFO]Memory: 1569 MiB, GPU Memory: 338 MiB
[2022-09-28 14:53:31,003][JTOP_MONITOR][INFO]Memory: 1570 MiB, GPU Memory: 338 MiB
[2022-09-28 14:53:32,004][JTOP_MONITOR][INFO]Memory: 1572 MiB, GPU Memory: 338 MiB
[2022-09-28 14:53:33,006][JTOP_MONITOR][INFO]Memory: 1573 MiB, GPU Memory: 338 MiB
[2022-09-28 14:53:34,008][JTOP_MONITOR][INFO]Memory: 1573 MiB, GPU Memory: 338 MiB
[2022-09-28 14:53:35,008][JTOP_MONITOR][INFO]Memory: 1573 MiB, GPU Memory: 338 MiB
[2022-09-28 14:53:36,010][JTOP_MONITOR][INFO]Memory: 1573 MiB, GPU Memory: 338 MiB
[2022-09-28 14:53:37,011][JTOP_MONITOR][INFO]Memory: 1572 MiB, GPU Memory: 338 MiB
[2022-09-28 14:53:38,012][JTOP_MONITOR][INFO]Memory: 1572 MiB, GPU Memory: 338 MiB
[2022-09-28 14:53:39,014][JTOP_MONITOR][INFO]Memory: 1572 MiB, GPU Memory: 338 MiB
[2022-09-28 14:53:40,016][JTOP_MONITOR][INFO]Memory: 1573 MiB, GPU Memory: 338 MiB
[2022-09-28 14:53:41,016][JTOP_MONITOR][INFO]Memory: 1572 MiB, GPU Memory: 338 MiB
[2022-09-28 14:53:42,017][JTOP_MONITOR][INFO]Memory: 1572 MiB, GPU Memory: 338 MiB
[2022-09-28 14:53:43,019][JTOP_MONITOR][INFO]Memory: 1574 MiB, GPU Memory: 338 MiB
[2022-09-28 14:53:44,020][JTOP_MONITOR][INFO]Memory: 1573 MiB, GPU Memory: 338 MiB
[2022-09-28 14:53:45,022][JTOP_MONITOR][INFO]Memory: 1573 MiB, GPU Memory: 338 MiB
[2022-09-28 14:53:46,023][JTOP_MONITOR][INFO]Memory: 1573 MiB, GPU Memory: 338 MiB
[2022-09-28 14:53:47,024][JTOP_MONITOR][INFO]Memory: 1572 MiB, GPU Memory: 338 MiB
[2022-09-28 14:53:48,026][JTOP_MONITOR][INFO]Memory: 1573 MiB, GPU Memory: 338 MiB
[2022-09-28 14:53:49,028][JTOP_MONITOR][INFO]Memory: 1574 MiB, GPU Memory: 338 MiB
[2022-09-28 14:53:50,028][JTOP_MONITOR][INFO]Memory: 1573 MiB, GPU Memory: 338 MiB
[2022-09-28 14:53:51,030][JTOP_MONITOR][INFO]Memory: 1573 MiB, GPU Memory: 338 MiB
[2022-09-28 14:53:52,032][JTOP_MONITOR][INFO]Memory: 1574 MiB, GPU Memory: 338 MiB
[2022-09-28 14:53:53,033][JTOP_MONITOR][INFO]Memory: 1574 MiB, GPU Memory: 338 MiB
[2022-09-28 14:53:54,035][JTOP_MONITOR][INFO]Memory: 1574 MiB, GPU Memory: 338 MiB
[2022-09-28 14:53:55,036][JTOP_MONITOR][INFO]Memory: 1574 MiB, GPU Memory: 338 MiB
[2022-09-28 14:53:56,038][JTOP_MONITOR][INFO]Memory: 1574 MiB, GPU Memory: 338 MiB
[2022-09-28 14:53:57,040][JTOP_MONITOR][INFO]Memory: 1573 MiB, GPU Memory: 338 MiB
[2022-09-28 14:53:58,041][JTOP_MONITOR][INFO]Memory: 1574 MiB, GPU Memory: 338 MiB
[2022-09-28 14:53:59,043][JTOP_MONITOR][INFO]Memory: 1574 MiB, GPU Memory: 338 MiB
[2022-09-28 14:54:00,044][JTOP_MONITOR][INFO]Memory: 1574 MiB, GPU Memory: 338 MiB
[2022-09-28 14:54:01,046][JTOP_MONITOR][INFO]Memory: 1574 MiB, GPU Memory: 338 MiB
[2022-09-28 14:54:02,048][JTOP_MONITOR][INFO]Memory: 1575 MiB, GPU Memory: 338 MiB
[2022-09-28 14:54:03,048][JTOP_MONITOR][INFO]Memory: 1546 MiB, GPU Memory: 338 MiB
[2022-09-28 14:54:04,050][JTOP_MONITOR][INFO]Memory: 1546 MiB, GPU Memory: 338 MiB
[2022-09-28 14:54:05,052][JTOP_MONITOR][INFO]Memory: 1546 MiB, GPU Memory: 338 MiB
[2022-09-28 14:54:06,053][JTOP_MONITOR][INFO]Memory: 1560 MiB, GPU Memory: 338 MiB
[2022-09-28 14:54:07,054][JTOP_MONITOR][INFO]Memory: 1559 MiB, GPU Memory: 338 MiB
[2022-09-28 14:54:08,056][JTOP_MONITOR][INFO]Memory: 1559 MiB, GPU Memory: 338 MiB
[2022-09-28 14:54:09,057][JTOP_MONITOR][INFO]Memory: 1559 MiB, GPU Memory: 338 MiB
[2022-09-28 14:54:10,059][JTOP_MONITOR][INFO]Memory: 1595 MiB, GPU Memory: 338 MiB
[2022-09-28 14:54:11,060][JTOP_MONITOR][INFO]Memory: 1552 MiB, GPU Memory: 338 MiB
[2022-09-28 14:54:12,062][JTOP_MONITOR][INFO]Memory: 1552 MiB, GPU Memory: 338 MiB
[2022-09-28 14:54:13,064][JTOP_MONITOR][INFO]Memory: 1551 MiB, GPU Memory: 338 MiB
[2022-09-28 14:54:14,064][JTOP_MONITOR][INFO]Memory: 1551 MiB, GPU Memory: 338 MiB
[2022-09-28 14:54:15,066][JTOP_MONITOR][INFO]Memory: 1551 MiB, GPU Memory: 338 MiB
[2022-09-28 14:54:16,068][JTOP_MONITOR][INFO]Memory: 1551 MiB, GPU Memory: 338 MiB
[2022-09-28 14:54:17,069][JTOP_MONITOR][INFO]Memory: 1551 MiB, GPU Memory: 338 MiB
[2022-09-28 14:54:18,071][JTOP_MONITOR][INFO]Memory: 1551 MiB, GPU Memory: 338 MiB
[2022-09-28 14:54:19,072][JTOP_MONITOR][INFO]Memory: 1550 MiB, GPU Memory: 338 MiB
[2022-09-28 14:54:20,074][JTOP_MONITOR][INFO]Memory: 1552 MiB, GPU Memory: 338 MiB
[2022-09-28 14:54:21,075][JTOP_MONITOR][INFO]Memory: 1553 MiB, GPU Memory: 338 MiB
[2022-09-28 14:54:22,076][JTOP_MONITOR][INFO]Memory: 1553 MiB, GPU Memory: 338 MiB
[2022-09-28 14:54:23,078][JTOP_MONITOR][INFO]Memory: 1553 MiB, GPU Memory: 338 MiB
[2022-09-28 14:54:24,080][JTOP_MONITOR][INFO]Memory: 1552 MiB, GPU Memory: 338 MiB
[2022-09-28 14:54:25,080][JTOP_MONITOR][INFO]Memory: 1553 MiB, GPU Memory: 338 MiB
[2022-09-28 14:54:26,082][JTOP_MONITOR][INFO]Memory: 1553 MiB, GPU Memory: 338 MiB
[2022-09-28 14:54:27,084][JTOP_MONITOR][INFO]Memory: 1552 MiB, GPU Memory: 338 MiB
[2022-09-28 14:54:28,084][JTOP_MONITOR][INFO]Memory: 1553 MiB, GPU Memory: 338 MiB
[2022-09-28 14:54:29,086][JTOP_MONITOR][INFO]Memory: 1553 MiB, GPU Memory: 338 MiB
[2022-09-28 14:54:30,088][JTOP_MONITOR][INFO]Memory: 1554 MiB, GPU Memory: 338 MiB
