[2022-09-28 15:55:47,045][JTOP_MONITOR][INFO]Memory: 1394 MiB, GPU Memory: 338 MiB
[2022-09-28 15:55:48,047][JTOP_MONITOR][INFO]Memory: 1156 MiB, GPU Memory: 278 MiB
[2022-09-28 15:55:49,048][JTOP_MONITOR][INFO]Memory: 1285 MiB, GPU Memory: 305 MiB
[2022-09-28 15:55:50,050][JTOP_MONITOR][INFO]Memory: 1437 MiB, GPU Memory: 338 MiB
[2022-09-28 15:55:51,051][JTOP_MONITOR][INFO]Memory: 1472 MiB, GPU Memory: 486 MiB
[2022-09-28 15:55:52,053][JTOP_MONITOR][INFO]Memory: 1472 MiB, GPU Memory: 486 MiB
[2022-09-28 15:55:53,054][JTOP_MONITOR][INFO]Memory: 1472 MiB, GPU Memory: 486 MiB
[2022-09-28 15:55:54,056][JTOP_MONITOR][INFO]Memory: 1474 MiB, GPU Memory: 486 MiB
[2022-09-28 15:55:55,057][JTOP_MONITOR][INFO]Memory: 1472 MiB, GPU Memory: 486 MiB
[2022-09-28 15:55:56,059][JTOP_MONITOR][INFO]Memory: 1472 MiB, GPU Memory: 486 MiB
[2022-09-28 15:55:57,060][JTOP_MONITOR][INFO]Memory: 1473 MiB, GPU Memory: 486 MiB
[2022-09-28 15:55:58,062][JTOP_MONITOR][INFO]Memory: 1472 MiB, GPU Memory: 486 MiB
[2022-09-28 15:55:59,063][JTOP_MONITOR][INFO]Memory: 1473 MiB, GPU Memory: 486 MiB
[2022-09-28 15:56:00,064][JTOP_MONITOR][INFO]Memory: 1501 MiB, GPU Memory: 486 MiB
[2022-09-28 15:56:01,066][JTOP_MONITOR][INFO]Memory: 1514 MiB, GPU Memory: 486 MiB
[2022-09-28 15:56:02,068][JTOP_MONITOR][INFO]Memory: 1534 MiB, GPU Memory: 486 MiB
[2022-09-28 15:56:03,068][JTOP_MONITOR][INFO]Memory: 1575 MiB, GPU Memory: 486 MiB
[2022-09-28 15:56:04,070][JTOP_MONITOR][INFO]Memory: 1597 MiB, GPU Memory: 486 MiB
[2022-09-28 15:56:05,072][JTOP_MONITOR][INFO]Memory: 1606 MiB, GPU Memory: 486 MiB
[2022-09-28 15:56:06,073][JTOP_MONITOR][INFO]Memory: 1613 MiB, GPU Memory: 486 MiB
[2022-09-28 15:56:07,075][JTOP_MONITOR][INFO]Memory: 1626 MiB, GPU Memory: 486 MiB
[2022-09-28 15:56:08,076][JTOP_MONITOR][INFO]Memory: 1628 MiB, GPU Memory: 486 MiB
[2022-09-28 15:56:09,078][JTOP_MONITOR][INFO]Memory: 1629 MiB, GPU Memory: 486 MiB
[2022-09-28 15:56:10,080][JTOP_MONITOR][INFO]Memory: 1629 MiB, GPU Memory: 486 MiB
[2022-09-28 15:56:11,080][JTOP_MONITOR][INFO]Memory: 1629 MiB, GPU Memory: 486 MiB
[2022-09-28 15:56:12,082][JTOP_MONITOR][INFO]Memory: 1631 MiB, GPU Memory: 486 MiB
[2022-09-28 15:56:13,084][JTOP_MONITOR][INFO]Memory: 1631 MiB, GPU Memory: 486 MiB
[2022-09-28 15:56:14,084][JTOP_MONITOR][INFO]Memory: 1630 MiB, GPU Memory: 486 MiB
[2022-09-28 15:56:15,086][JTOP_MONITOR][INFO]Memory: 1630 MiB, GPU Memory: 486 MiB
[2022-09-28 15:56:16,088][JTOP_MONITOR][INFO]Memory: 1630 MiB, GPU Memory: 486 MiB
[2022-09-28 15:56:17,089][JTOP_MONITOR][INFO]Memory: 1631 MiB, GPU Memory: 486 MiB
[2022-09-28 15:56:18,091][JTOP_MONITOR][INFO]Memory: 1641 MiB, GPU Memory: 486 MiB
[2022-09-28 15:56:19,093][JTOP_MONITOR][INFO]Memory: 1642 MiB, GPU Memory: 486 MiB
[2022-09-28 15:56:20,094][JTOP_MONITOR][INFO]Memory: 1642 MiB, GPU Memory: 486 MiB
[2022-09-28 15:56:21,096][JTOP_MONITOR][INFO]Memory: 1643 MiB, GPU Memory: 486 MiB
[2022-09-28 15:56:22,097][JTOP_MONITOR][INFO]Memory: 1643 MiB, GPU Memory: 486 MiB
[2022-09-28 15:56:23,099][JTOP_MONITOR][INFO]Memory: 1630 MiB, GPU Memory: 486 MiB
[2022-09-28 15:56:24,100][JTOP_MONITOR][INFO]Memory: 1637 MiB, GPU Memory: 486 MiB
[2022-09-28 15:56:25,102][JTOP_MONITOR][INFO]Memory: 1637 MiB, GPU Memory: 486 MiB
[2022-09-28 15:56:26,104][JTOP_MONITOR][INFO]Memory: 1637 MiB, GPU Memory: 486 MiB
[2022-09-28 15:56:27,105][JTOP_MONITOR][INFO]Memory: 1637 MiB, GPU Memory: 486 MiB
[2022-09-28 15:56:28,107][JTOP_MONITOR][INFO]Memory: 1638 MiB, GPU Memory: 486 MiB
[2022-09-28 15:56:29,109][JTOP_MONITOR][INFO]Memory: 1639 MiB, GPU Memory: 486 MiB
[2022-09-28 15:56:30,109][JTOP_MONITOR][INFO]Memory: 1638 MiB, GPU Memory: 486 MiB
[2022-09-28 15:56:31,111][JTOP_MONITOR][INFO]Memory: 1638 MiB, GPU Memory: 486 MiB
[2022-09-28 15:56:32,112][JTOP_MONITOR][INFO]Memory: 1638 MiB, GPU Memory: 486 MiB
[2022-09-28 15:56:33,114][JTOP_MONITOR][INFO]Memory: 1637 MiB, GPU Memory: 486 MiB
[2022-09-28 15:56:34,116][JTOP_MONITOR][INFO]Memory: 1658 MiB, GPU Memory: 486 MiB
[2022-09-28 15:56:35,116][JTOP_MONITOR][INFO]Memory: 1659 MiB, GPU Memory: 486 MiB
[2022-09-28 15:56:36,118][JTOP_MONITOR][INFO]Memory: 1658 MiB, GPU Memory: 486 MiB
[2022-09-28 15:56:37,120][JTOP_MONITOR][INFO]Memory: 1659 MiB, GPU Memory: 486 MiB
[2022-09-28 15:56:38,120][JTOP_MONITOR][INFO]Memory: 1658 MiB, GPU Memory: 486 MiB
[2022-09-28 15:56:39,122][JTOP_MONITOR][INFO]Memory: 1659 MiB, GPU Memory: 486 MiB
[2022-09-28 15:56:40,124][JTOP_MONITOR][INFO]Memory: 1658 MiB, GPU Memory: 486 MiB
[2022-09-28 15:56:41,125][JTOP_MONITOR][INFO]Memory: 1658 MiB, GPU Memory: 486 MiB
[2022-09-28 15:56:42,127][JTOP_MONITOR][INFO]Memory: 1658 MiB, GPU Memory: 486 MiB
[2022-09-28 15:56:43,128][JTOP_MONITOR][INFO]Memory: 1659 MiB, GPU Memory: 486 MiB
[2022-09-28 15:56:44,130][JTOP_MONITOR][INFO]Memory: 1659 MiB, GPU Memory: 486 MiB
[2022-09-28 15:56:45,131][JTOP_MONITOR][INFO]Memory: 1659 MiB, GPU Memory: 486 MiB
[2022-09-28 15:56:46,133][JTOP_MONITOR][INFO]Memory: 1658 MiB, GPU Memory: 486 MiB
[2022-09-28 15:56:47,135][JTOP_MONITOR][INFO]Memory: 1659 MiB, GPU Memory: 486 MiB
[2022-09-28 15:56:48,136][JTOP_MONITOR][INFO]Memory: 1658 MiB, GPU Memory: 486 MiB
