[2022-10-18 11:26:46,490][JTOP_MONITOR][INFO]Memory: 2372 MiB, GPU Memory: 573 MiB
[2022-10-18 11:26:47,491][JTOP_MONITOR][INFO]Memory: 2372 MiB, GPU Memory: 573 MiB
[2022-10-18 11:26:48,492][JTOP_MONITOR][INFO]Memory: 2372 MiB, GPU Memory: 573 MiB
[2022-10-18 11:26:49,494][JTOP_MONITOR][INFO]Memory: 2372 MiB, GPU Memory: 573 MiB
[2022-10-18 11:26:50,495][JTOP_MONITOR][INFO]Memory: 2372 MiB, GPU Memory: 573 MiB
[2022-10-18 11:26:51,496][JTOP_MONITOR][INFO]Memory: 2373 MiB, GPU Memory: 573 MiB
[2022-10-18 11:26:52,498][JTOP_MONITOR][INFO]Memory: 2372 MiB, GPU Memory: 573 MiB
[2022-10-18 11:26:53,499][JTOP_MONITOR][INFO]Memory: 2372 MiB, GPU Memory: 573 MiB
[2022-10-18 11:26:54,501][JTOP_MONITOR][INFO]Memory: 2372 MiB, GPU Memory: 573 MiB
[2022-10-18 11:26:55,502][JTOP_MONITOR][INFO]Memory: 2372 MiB, GPU Memory: 573 MiB
[2022-10-18 11:26:56,504][JTOP_MONITOR][INFO]Memory: 2373 MiB, GPU Memory: 573 MiB
[2022-10-18 11:26:57,506][JTOP_MONITOR][INFO]Memory: 2372 MiB, GPU Memory: 573 MiB
[2022-10-18 11:26:58,507][JTOP_MONITOR][INFO]Memory: 2372 MiB, GPU Memory: 573 MiB
[2022-10-18 11:26:59,509][JTOP_MONITOR][INFO]Memory: 2372 MiB, GPU Memory: 573 MiB
[2022-10-18 11:27:00,510][JTOP_MONITOR][INFO]Memory: 2373 MiB, GPU Memory: 573 MiB
[2022-10-18 11:27:01,512][JTOP_MONITOR][INFO]Memory: 2372 MiB, GPU Memory: 573 MiB
[2022-10-18 11:27:02,513][JTOP_MONITOR][INFO]Memory: 2372 MiB, GPU Memory: 573 MiB
[2022-10-18 11:27:03,515][JTOP_MONITOR][INFO]Memory: 2372 MiB, GPU Memory: 573 MiB
[2022-10-18 11:27:04,515][JTOP_MONITOR][INFO]Memory: 2372 MiB, GPU Memory: 573 MiB
[2022-10-18 11:27:05,517][JTOP_MONITOR][INFO]Memory: 2372 MiB, GPU Memory: 573 MiB
[2022-10-18 11:27:06,518][JTOP_MONITOR][INFO]Memory: 2372 MiB, GPU Memory: 573 MiB
[2022-10-18 11:27:07,520][JTOP_MONITOR][INFO]Memory: 2372 MiB, GPU Memory: 573 MiB
[2022-10-18 11:27:08,521][JTOP_MONITOR][INFO]Memory: 2372 MiB, GPU Memory: 573 MiB
[2022-10-18 11:27:09,523][JTOP_MONITOR][INFO]Memory: 2372 MiB, GPU Memory: 573 MiB
[2022-10-18 11:27:10,524][JTOP_MONITOR][INFO]Memory: 2372 MiB, GPU Memory: 573 MiB
[2022-10-18 11:27:11,526][JTOP_MONITOR][INFO]Memory: 2372 MiB, GPU Memory: 573 MiB
[2022-10-18 11:27:12,527][JTOP_MONITOR][INFO]Memory: 2372 MiB, GPU Memory: 573 MiB
[2022-10-18 11:27:13,529][JTOP_MONITOR][INFO]Memory: 2372 MiB, GPU Memory: 573 MiB
[2022-10-18 11:27:14,530][JTOP_MONITOR][INFO]Memory: 2372 MiB, GPU Memory: 573 MiB
[2022-10-18 11:27:15,532][JTOP_MONITOR][INFO]Memory: 2373 MiB, GPU Memory: 573 MiB
[2022-10-18 11:27:16,534][JTOP_MONITOR][INFO]Memory: 2373 MiB, GPU Memory: 573 MiB
[2022-10-18 11:27:17,535][JTOP_MONITOR][INFO]Memory: 2373 MiB, GPU Memory: 573 MiB
[2022-10-18 11:27:18,537][JTOP_MONITOR][INFO]Memory: 2373 MiB, GPU Memory: 573 MiB
[2022-10-18 11:27:19,538][JTOP_MONITOR][INFO]Memory: 2373 MiB, GPU Memory: 573 MiB
[2022-10-18 11:27:20,540][JTOP_MONITOR][INFO]Memory: 2375 MiB, GPU Memory: 573 MiB
[2022-10-18 11:27:21,541][JTOP_MONITOR][INFO]Memory: 2370 MiB, GPU Memory: 573 MiB
[2022-10-18 11:27:22,543][JTOP_MONITOR][INFO]Memory: 2371 MiB, GPU Memory: 573 MiB
[2022-10-18 11:27:23,545][JTOP_MONITOR][INFO]Memory: 2370 MiB, GPU Memory: 573 MiB
[2022-10-18 11:27:24,546][JTOP_MONITOR][INFO]Memory: 2371 MiB, GPU Memory: 573 MiB
[2022-10-18 11:27:25,547][JTOP_MONITOR][INFO]Memory: 2371 MiB, GPU Memory: 573 MiB
[2022-10-18 11:27:26,548][JTOP_MONITOR][INFO]Memory: 2372 MiB, GPU Memory: 573 MiB
[2022-10-18 11:27:27,550][JTOP_MONITOR][INFO]Memory: 2371 MiB, GPU Memory: 573 MiB
[2022-10-18 11:27:28,551][JTOP_MONITOR][INFO]Memory: 2370 MiB, GPU Memory: 573 MiB
[2022-10-18 11:27:29,553][JTOP_MONITOR][INFO]Memory: 2371 MiB, GPU Memory: 573 MiB
[2022-10-18 11:27:30,555][JTOP_MONITOR][INFO]Memory: 2373 MiB, GPU Memory: 573 MiB
[2022-10-18 11:27:31,556][JTOP_MONITOR][INFO]Memory: 2372 MiB, GPU Memory: 573 MiB
[2022-10-18 11:27:32,558][JTOP_MONITOR][INFO]Memory: 2372 MiB, GPU Memory: 573 MiB
[2022-10-18 11:27:33,559][JTOP_MONITOR][INFO]Memory: 2372 MiB, GPU Memory: 573 MiB
[2022-10-18 11:27:34,561][JTOP_MONITOR][INFO]Memory: 2372 MiB, GPU Memory: 573 MiB
[2022-10-18 11:27:35,562][JTOP_MONITOR][INFO]Memory: 2372 MiB, GPU Memory: 573 MiB
[2022-10-18 11:27:36,564][JTOP_MONITOR][INFO]Memory: 2372 MiB, GPU Memory: 573 MiB
[2022-10-18 11:27:37,565][JTOP_MONITOR][INFO]Memory: 2372 MiB, GPU Memory: 573 MiB
[2022-10-18 11:27:38,567][JTOP_MONITOR][INFO]Memory: 2372 MiB, GPU Memory: 573 MiB
[2022-10-18 11:27:39,569][JTOP_MONITOR][INFO]Memory: 2372 MiB, GPU Memory: 573 MiB
[2022-10-18 11:27:40,570][JTOP_MONITOR][INFO]Memory: 2372 MiB, GPU Memory: 573 MiB
[2022-10-18 11:27:41,572][JTOP_MONITOR][INFO]Memory: 2373 MiB, GPU Memory: 573 MiB
[2022-10-18 11:27:42,573][JTOP_MONITOR][INFO]Memory: 2372 MiB, GPU Memory: 573 MiB
[2022-10-18 11:27:43,575][JTOP_MONITOR][INFO]Memory: 2372 MiB, GPU Memory: 573 MiB
[2022-10-18 11:27:44,576][JTOP_MONITOR][INFO]Memory: 2372 MiB, GPU Memory: 573 MiB
[2022-10-18 11:27:45,578][JTOP_MONITOR][INFO]Memory: 2372 MiB, GPU Memory: 573 MiB
[2022-10-18 11:27:46,579][JTOP_MONITOR][INFO]Memory: 2372 MiB, GPU Memory: 573 MiB
[2022-10-18 11:27:47,580][JTOP_MONITOR][INFO]Memory: 2372 MiB, GPU Memory: 573 MiB
[2022-10-18 11:27:48,582][JTOP_MONITOR][INFO]Memory: 2372 MiB, GPU Memory: 573 MiB
[2022-10-18 11:27:49,583][JTOP_MONITOR][INFO]Memory: 2372 MiB, GPU Memory: 573 MiB
[2022-10-18 11:27:50,585][JTOP_MONITOR][INFO]Memory: 2372 MiB, GPU Memory: 573 MiB
[2022-10-18 11:27:51,586][JTOP_MONITOR][INFO]Memory: 2372 MiB, GPU Memory: 573 MiB
[2022-10-18 11:27:52,588][JTOP_MONITOR][INFO]Memory: 2372 MiB, GPU Memory: 573 MiB
[2022-10-18 11:27:53,590][JTOP_MONITOR][INFO]Memory: 2372 MiB, GPU Memory: 573 MiB
[2022-10-18 11:27:54,591][JTOP_MONITOR][INFO]Memory: 2372 MiB, GPU Memory: 573 MiB
[2022-10-18 11:27:55,592][JTOP_MONITOR][INFO]Memory: 2373 MiB, GPU Memory: 573 MiB
[2022-10-18 11:27:56,594][JTOP_MONITOR][INFO]Memory: 2373 MiB, GPU Memory: 573 MiB
[2022-10-18 11:27:57,595][JTOP_MONITOR][INFO]Memory: 2373 MiB, GPU Memory: 573 MiB
[2022-10-18 11:27:58,597][JTOP_MONITOR][INFO]Memory: 2373 MiB, GPU Memory: 573 MiB
[2022-10-18 11:27:59,599][JTOP_MONITOR][INFO]Memory: 2388 MiB, GPU Memory: 573 MiB
[2022-10-18 11:28:00,600][JTOP_MONITOR][INFO]Memory: 2401 MiB, GPU Memory: 573 MiB
[2022-10-18 11:28:01,602][JTOP_MONITOR][INFO]Memory: 2396 MiB, GPU Memory: 573 MiB
[2022-10-18 11:28:02,603][JTOP_MONITOR][INFO]Memory: 2396 MiB, GPU Memory: 573 MiB
