[2022-10-12 06:04:56,680][FLASK_CLIENT][INFO]BatchSize: 1, Progress: 1/500, InferTime: 1.6380, RespTime: 2.1687
[2022-10-12 06:05:06,063][FLASK_CLIENT][INFO]BatchSize: 1, Progress: 2/500, InferTime: 2.0944, RespTime: 3.0848
[2022-10-12 06:05:29,203][FLASK_CLIENT][INFO]BatchSize: 1, Progress: 3/500, InferTime: 4.1356, RespTime: 6.2080
[2022-10-12 06:05:41,793][FLASK_CLIENT][INFO]BatchSize: 1, Progress: 4/500, InferTime: 1.4047, RespTime: 2.2414
[2022-10-12 06:05:48,701][FLASK_CLIENT][INFO]BatchSize: 1, Progress: 5/500, InferTime: 1.2079, RespTime: 1.8643
[2022-10-12 06:05:54,717][FLASK_CLIENT][INFO]BatchSize: 1, Progress: 6/500, InferTime: 1.1076, RespTime: 1.7107
[2022-10-12 06:06:09,999][FLASK_CLIENT][INFO]BatchSize: 1, Progress: 7/500, InferTime: 5.2696, RespTime: 6.7143
[2022-10-12 06:06:34,310][FLASK_CLIENT][INFO]BatchSize: 1, Progress: 8/500, InferTime: 3.7765, RespTime: 6.5097
[2022-10-12 06:06:41,175][FLASK_CLIENT][INFO]BatchSize: 1, Progress: 9/500, InferTime: 1.5872, RespTime: 2.3761
[2022-10-12 06:06:52,513][FLASK_CLIENT][INFO]BatchSize: 1, Progress: 10/500, InferTime: 3.1725, RespTime: 4.7736
[2022-10-12 06:06:59,544][FLASK_CLIENT][INFO]BatchSize: 1, Progress: 11/500, InferTime: 1.1397, RespTime: 1.8882
[2022-10-12 06:07:12,205][FLASK_CLIENT][INFO]BatchSize: 1, Progress: 12/500, InferTime: 3.1840, RespTime: 5.9406
[2022-10-12 06:07:35,087][FLASK_CLIENT][INFO]BatchSize: 1, Progress: 13/500, InferTime: 3.9739, RespTime: 5.3229
[2022-10-12 06:07:41,194][FLASK_CLIENT][INFO]BatchSize: 1, Progress: 14/500, InferTime: 1.6332, RespTime: 2.3808
[2022-10-12 06:07:47,503][FLASK_CLIENT][INFO]BatchSize: 1, Progress: 15/500, InferTime: 1.3787, RespTime: 2.0823
[2022-10-12 06:07:54,776][FLASK_CLIENT][INFO]BatchSize: 1, Progress: 16/500, InferTime: 1.8685, RespTime: 2.6083
[2022-10-12 06:08:01,114][FLASK_CLIENT][INFO]BatchSize: 1, Progress: 17/500, InferTime: 1.7363, RespTime: 2.1774
