[2022-09-26 18:55:05,566][JTOP_MONITOR][INFO]Memory: 1626 MiB, GPU Memory: 671 MiB
[2022-09-26 18:55:06,567][JTOP_MONITOR][INFO]Memory: 1626 MiB, GPU Memory: 671 MiB
[2022-09-26 18:55:07,569][JTOP_MONITOR][INFO]Memory: 1626 MiB, GPU Memory: 671 MiB
[2022-09-26 18:55:08,570][JTOP_MONITOR][INFO]Memory: 1626 MiB, GPU Memory: 671 MiB
[2022-09-26 18:55:09,572][JTOP_MONITOR][INFO]Memory: 1625 MiB, GPU Memory: 671 MiB
[2022-09-26 18:55:10,573][JTOP_MONITOR][INFO]Memory: 1625 MiB, GPU Memory: 671 MiB
[2022-09-26 18:55:11,575][JTOP_MONITOR][INFO]Memory: 1624 MiB, GPU Memory: 671 MiB
[2022-09-26 18:55:12,576][JTOP_MONITOR][INFO]Memory: 1624 MiB, GPU Memory: 671 MiB
[2022-09-26 18:55:13,578][JTOP_MONITOR][INFO]Memory: 1624 MiB, GPU Memory: 671 MiB
[2022-09-26 18:55:14,579][JTOP_MONITOR][INFO]Memory: 1624 MiB, GPU Memory: 671 MiB
[2022-09-26 18:55:15,581][JTOP_MONITOR][INFO]Memory: 1624 MiB, GPU Memory: 671 MiB
[2022-09-26 18:55:16,582][JTOP_MONITOR][INFO]Memory: 1624 MiB, GPU Memory: 671 MiB
[2022-09-26 18:55:17,583][JTOP_MONITOR][INFO]Memory: 1624 MiB, GPU Memory: 671 MiB
[2022-09-26 18:55:18,585][JTOP_MONITOR][INFO]Memory: 1625 MiB, GPU Memory: 671 MiB
[2022-09-26 18:55:19,586][JTOP_MONITOR][INFO]Memory: 1625 MiB, GPU Memory: 671 MiB
[2022-09-26 18:55:20,588][JTOP_MONITOR][INFO]Memory: 1624 MiB, GPU Memory: 671 MiB
[2022-09-26 18:55:21,589][JTOP_MONITOR][INFO]Memory: 1624 MiB, GPU Memory: 671 MiB
[2022-09-26 18:55:22,591][JTOP_MONITOR][INFO]Memory: 1624 MiB, GPU Memory: 671 MiB
[2022-09-26 18:55:23,592][JTOP_MONITOR][INFO]Memory: 1624 MiB, GPU Memory: 671 MiB
[2022-09-26 18:55:24,594][JTOP_MONITOR][INFO]Memory: 1624 MiB, GPU Memory: 671 MiB
[2022-09-26 18:55:25,595][JTOP_MONITOR][INFO]Memory: 1624 MiB, GPU Memory: 671 MiB
[2022-09-26 18:55:26,597][JTOP_MONITOR][INFO]Memory: 1624 MiB, GPU Memory: 671 MiB
[2022-09-26 18:55:27,598][JTOP_MONITOR][INFO]Memory: 1625 MiB, GPU Memory: 671 MiB
[2022-09-26 18:55:28,600][JTOP_MONITOR][INFO]Memory: 1626 MiB, GPU Memory: 671 MiB
[2022-09-26 18:55:29,601][JTOP_MONITOR][INFO]Memory: 1653 MiB, GPU Memory: 671 MiB
[2022-09-26 18:55:30,603][JTOP_MONITOR][INFO]Memory: 1664 MiB, GPU Memory: 671 MiB
[2022-09-26 18:55:31,604][JTOP_MONITOR][INFO]Memory: 1663 MiB, GPU Memory: 671 MiB
[2022-09-26 18:55:32,605][JTOP_MONITOR][INFO]Memory: 1656 MiB, GPU Memory: 671 MiB
[2022-09-26 18:55:33,607][JTOP_MONITOR][INFO]Memory: 1666 MiB, GPU Memory: 671 MiB
[2022-09-26 18:55:34,609][JTOP_MONITOR][INFO]Memory: 1672 MiB, GPU Memory: 671 MiB
[2022-09-26 18:55:35,610][JTOP_MONITOR][INFO]Memory: 1703 MiB, GPU Memory: 671 MiB
[2022-09-26 18:55:36,611][JTOP_MONITOR][INFO]Memory: 1716 MiB, GPU Memory: 671 MiB
[2022-09-26 18:55:37,613][JTOP_MONITOR][INFO]Memory: 1729 MiB, GPU Memory: 671 MiB
[2022-09-26 18:55:38,614][JTOP_MONITOR][INFO]Memory: 1737 MiB, GPU Memory: 671 MiB
[2022-09-26 18:55:39,616][JTOP_MONITOR][INFO]Memory: 1749 MiB, GPU Memory: 671 MiB
[2022-09-26 18:55:40,617][JTOP_MONITOR][INFO]Memory: 1756 MiB, GPU Memory: 671 MiB
[2022-09-26 18:55:41,619][JTOP_MONITOR][INFO]Memory: 1760 MiB, GPU Memory: 671 MiB
[2022-09-26 18:55:42,621][JTOP_MONITOR][INFO]Memory: 1773 MiB, GPU Memory: 671 MiB
[2022-09-26 18:55:43,622][JTOP_MONITOR][INFO]Memory: 1792 MiB, GPU Memory: 710 MiB
[2022-09-26 18:55:44,624][JTOP_MONITOR][INFO]Memory: 1826 MiB, GPU Memory: 720 MiB
[2022-09-26 18:55:45,626][JTOP_MONITOR][INFO]Memory: 1939 MiB, GPU Memory: 749 MiB
[2022-09-26 18:55:46,627][JTOP_MONITOR][INFO]Memory: 1997 MiB, GPU Memory: 765 MiB
[2022-09-26 18:55:47,629][JTOP_MONITOR][INFO]Memory: 2008 MiB, GPU Memory: 772 MiB
[2022-09-26 18:55:48,631][JTOP_MONITOR][INFO]Memory: 2007 MiB, GPU Memory: 795 MiB
[2022-09-26 18:55:49,631][JTOP_MONITOR][INFO]Memory: 2007 MiB, GPU Memory: 795 MiB
[2022-09-26 18:55:50,633][JTOP_MONITOR][INFO]Memory: 2007 MiB, GPU Memory: 795 MiB
[2022-09-26 18:55:51,634][JTOP_MONITOR][INFO]Memory: 2038 MiB, GPU Memory: 764 MiB
[2022-09-26 18:55:52,635][JTOP_MONITOR][INFO]Memory: 2007 MiB, GPU Memory: 795 MiB
[2022-09-26 18:55:53,637][JTOP_MONITOR][INFO]Memory: 2007 MiB, GPU Memory: 795 MiB
[2022-09-26 18:55:54,638][JTOP_MONITOR][INFO]Memory: 2009 MiB, GPU Memory: 795 MiB
[2022-09-26 18:55:55,639][JTOP_MONITOR][INFO]Memory: 2007 MiB, GPU Memory: 795 MiB
[2022-09-26 18:55:56,641][JTOP_MONITOR][INFO]Memory: 2008 MiB, GPU Memory: 795 MiB
[2022-09-26 18:55:57,642][JTOP_MONITOR][INFO]Memory: 2005 MiB, GPU Memory: 764 MiB
[2022-09-26 18:55:58,644][JTOP_MONITOR][INFO]Memory: 2005 MiB, GPU Memory: 764 MiB
[2022-09-26 18:55:59,646][JTOP_MONITOR][INFO]Memory: 2005 MiB, GPU Memory: 764 MiB
[2022-09-26 18:56:00,647][JTOP_MONITOR][INFO]Memory: 2008 MiB, GPU Memory: 764 MiB
[2022-09-26 18:56:01,649][JTOP_MONITOR][INFO]Memory: 2006 MiB, GPU Memory: 764 MiB
[2022-09-26 18:56:02,650][JTOP_MONITOR][INFO]Memory: 2008 MiB, GPU Memory: 764 MiB
[2022-09-26 18:56:03,652][JTOP_MONITOR][INFO]Memory: 2008 MiB, GPU Memory: 764 MiB
[2022-09-26 18:56:04,654][JTOP_MONITOR][INFO]Memory: 2008 MiB, GPU Memory: 764 MiB
[2022-09-26 18:56:05,655][JTOP_MONITOR][INFO]Memory: 2006 MiB, GPU Memory: 764 MiB
[2022-09-26 18:56:06,657][JTOP_MONITOR][INFO]Memory: 2007 MiB, GPU Memory: 764 MiB
[2022-09-26 18:56:07,659][JTOP_MONITOR][INFO]Memory: 2019 MiB, GPU Memory: 764 MiB
[2022-09-26 18:56:08,660][JTOP_MONITOR][INFO]Memory: 2019 MiB, GPU Memory: 764 MiB
[2022-09-26 18:56:09,662][JTOP_MONITOR][INFO]Memory: 2026 MiB, GPU Memory: 764 MiB
[2022-09-26 18:56:10,663][JTOP_MONITOR][INFO]Memory: 2027 MiB, GPU Memory: 764 MiB
[2022-09-26 18:56:11,665][JTOP_MONITOR][INFO]Memory: 2027 MiB, GPU Memory: 764 MiB
[2022-09-26 18:56:12,667][JTOP_MONITOR][INFO]Memory: 2026 MiB, GPU Memory: 764 MiB
