[2022-11-03 15:54:30,548][JTOP_MONITOR][INFO]Memory: 1418 MiB, GPU Memory: 539 MiB
[2022-11-03 15:54:31,550][JTOP_MONITOR][INFO]Memory: 1419 MiB, GPU Memory: 539 MiB
[2022-11-03 15:54:32,551][JTOP_MONITOR][INFO]Memory: 1418 MiB, GPU Memory: 539 MiB
[2022-11-03 15:54:33,553][JTOP_MONITOR][INFO]Memory: 1419 MiB, GPU Memory: 539 MiB
[2022-11-03 15:54:34,554][JTOP_MONITOR][INFO]Memory: 1419 MiB, GPU Memory: 539 MiB
[2022-11-03 15:54:35,556][JTOP_MONITOR][INFO]Memory: 1466 MiB, GPU Memory: 539 MiB
[2022-11-03 15:54:36,557][JTOP_MONITOR][INFO]Memory: 1465 MiB, GPU Memory: 539 MiB
[2022-11-03 15:54:37,559][JTOP_MONITOR][INFO]Memory: 1473 MiB, GPU Memory: 539 MiB
[2022-11-03 15:54:38,560][JTOP_MONITOR][INFO]Memory: 1514 MiB, GPU Memory: 539 MiB
[2022-11-03 15:54:39,562][JTOP_MONITOR][INFO]Memory: 1534 MiB, GPU Memory: 539 MiB
[2022-11-03 15:54:40,563][JTOP_MONITOR][INFO]Memory: 1550 MiB, GPU Memory: 539 MiB
[2022-11-03 15:54:41,564][JTOP_MONITOR][INFO]Memory: 1560 MiB, GPU Memory: 539 MiB
[2022-11-03 15:54:42,566][JTOP_MONITOR][INFO]Memory: 1567 MiB, GPU Memory: 539 MiB
[2022-11-03 15:54:43,567][JTOP_MONITOR][INFO]Memory: 1640 MiB, GPU Memory: 554 MiB
[2022-11-03 15:54:44,568][JTOP_MONITOR][INFO]Memory: 1818 MiB, GPU Memory: 601 MiB
[2022-11-03 15:54:45,570][JTOP_MONITOR][INFO]Memory: 1820 MiB, GPU Memory: 601 MiB
[2022-11-03 15:54:46,571][JTOP_MONITOR][INFO]Memory: 1820 MiB, GPU Memory: 601 MiB
[2022-11-03 15:54:47,572][JTOP_MONITOR][INFO]Memory: 1823 MiB, GPU Memory: 601 MiB
[2022-11-03 15:54:48,574][JTOP_MONITOR][INFO]Memory: 1822 MiB, GPU Memory: 601 MiB
[2022-11-03 15:54:49,576][JTOP_MONITOR][INFO]Memory: 1823 MiB, GPU Memory: 601 MiB
[2022-11-03 15:54:50,577][JTOP_MONITOR][INFO]Memory: 1822 MiB, GPU Memory: 601 MiB
[2022-11-03 15:54:51,579][JTOP_MONITOR][INFO]Memory: 1835 MiB, GPU Memory: 601 MiB
[2022-11-03 15:54:52,580][JTOP_MONITOR][INFO]Memory: 1821 MiB, GPU Memory: 601 MiB
[2022-11-03 15:54:53,582][JTOP_MONITOR][INFO]Memory: 1833 MiB, GPU Memory: 601 MiB
[2022-11-03 15:54:54,583][JTOP_MONITOR][INFO]Memory: 1841 MiB, GPU Memory: 601 MiB
[2022-11-03 15:54:55,584][JTOP_MONITOR][INFO]Memory: 1841 MiB, GPU Memory: 601 MiB
[2022-11-03 15:54:56,586][JTOP_MONITOR][INFO]Memory: 1842 MiB, GPU Memory: 601 MiB
