[2022-09-26 23:23:02,718][JTOP_MONITOR][INFO]Memory: 1638 MiB, GPU Memory: 680 MiB
[2022-09-26 23:23:03,720][JTOP_MONITOR][INFO]Memory: 1403 MiB, GPU Memory: 618 MiB
[2022-09-26 23:23:04,721][JTOP_MONITOR][INFO]Memory: 1403 MiB, GPU Memory: 618 MiB
[2022-09-26 23:23:05,723][JTOP_MONITOR][INFO]Memory: 1434 MiB, GPU Memory: 618 MiB
[2022-09-26 23:23:06,724][JTOP_MONITOR][INFO]Memory: 1439 MiB, GPU Memory: 618 MiB
[2022-09-26 23:23:07,726][JTOP_MONITOR][INFO]Memory: 1453 MiB, GPU Memory: 618 MiB
[2022-09-26 23:23:08,727][JTOP_MONITOR][INFO]Memory: 1498 MiB, GPU Memory: 618 MiB
[2022-09-26 23:23:09,729][JTOP_MONITOR][INFO]Memory: 1513 MiB, GPU Memory: 618 MiB
[2022-09-26 23:23:10,730][JTOP_MONITOR][INFO]Memory: 1526 MiB, GPU Memory: 618 MiB
[2022-09-26 23:23:11,732][JTOP_MONITOR][INFO]Memory: 1537 MiB, GPU Memory: 618 MiB
[2022-09-26 23:23:12,733][JTOP_MONITOR][INFO]Memory: 1557 MiB, GPU Memory: 618 MiB
[2022-09-26 23:23:13,735][JTOP_MONITOR][INFO]Memory: 1558 MiB, GPU Memory: 618 MiB
[2022-09-26 23:23:14,737][JTOP_MONITOR][INFO]Memory: 1564 MiB, GPU Memory: 618 MiB
[2022-09-26 23:23:15,738][JTOP_MONITOR][INFO]Memory: 1745 MiB, GPU Memory: 663 MiB
[2022-09-26 23:23:16,739][JTOP_MONITOR][INFO]Memory: 1809 MiB, GPU Memory: 679 MiB
[2022-09-26 23:23:17,741][JTOP_MONITOR][INFO]Memory: 1811 MiB, GPU Memory: 679 MiB
[2022-09-26 23:23:18,743][JTOP_MONITOR][INFO]Memory: 1816 MiB, GPU Memory: 679 MiB
[2022-09-26 23:23:19,743][JTOP_MONITOR][INFO]Memory: 1815 MiB, GPU Memory: 679 MiB
[2022-09-26 23:23:20,745][JTOP_MONITOR][INFO]Memory: 1815 MiB, GPU Memory: 679 MiB
[2022-09-26 23:23:21,747][JTOP_MONITOR][INFO]Memory: 1816 MiB, GPU Memory: 679 MiB
[2022-09-26 23:23:22,748][JTOP_MONITOR][INFO]Memory: 1806 MiB, GPU Memory: 679 MiB
[2022-09-26 23:23:23,750][JTOP_MONITOR][INFO]Memory: 1817 MiB, GPU Memory: 679 MiB
[2022-09-26 23:23:24,751][JTOP_MONITOR][INFO]Memory: 1820 MiB, GPU Memory: 679 MiB
[2022-09-26 23:23:25,753][JTOP_MONITOR][INFO]Memory: 1807 MiB, GPU Memory: 679 MiB
[2022-09-26 23:23:26,754][JTOP_MONITOR][INFO]Memory: 1813 MiB, GPU Memory: 679 MiB
[2022-09-26 23:23:27,755][JTOP_MONITOR][INFO]Memory: 1812 MiB, GPU Memory: 679 MiB
[2022-09-26 23:23:28,757][JTOP_MONITOR][INFO]Memory: 1813 MiB, GPU Memory: 679 MiB
[2022-09-26 23:23:29,759][JTOP_MONITOR][INFO]Memory: 1813 MiB, GPU Memory: 679 MiB
[2022-09-26 23:23:30,759][JTOP_MONITOR][INFO]Memory: 1814 MiB, GPU Memory: 679 MiB
[2022-09-26 23:23:31,761][JTOP_MONITOR][INFO]Memory: 1833 MiB, GPU Memory: 679 MiB
[2022-09-26 23:23:32,763][JTOP_MONITOR][INFO]Memory: 1835 MiB, GPU Memory: 679 MiB
[2022-09-26 23:23:33,764][JTOP_MONITOR][INFO]Memory: 1834 MiB, GPU Memory: 679 MiB
[2022-09-26 23:23:34,766][JTOP_MONITOR][INFO]Memory: 1834 MiB, GPU Memory: 679 MiB
[2022-09-26 23:23:35,767][JTOP_MONITOR][INFO]Memory: 1833 MiB, GPU Memory: 679 MiB
[2022-09-26 23:23:36,769][JTOP_MONITOR][INFO]Memory: 1833 MiB, GPU Memory: 679 MiB
[2022-09-26 23:23:37,771][JTOP_MONITOR][INFO]Memory: 1834 MiB, GPU Memory: 679 MiB
[2022-09-26 23:23:38,772][JTOP_MONITOR][INFO]Memory: 1833 MiB, GPU Memory: 679 MiB
[2022-09-26 23:23:39,774][JTOP_MONITOR][INFO]Memory: 1834 MiB, GPU Memory: 679 MiB
[2022-09-26 23:23:40,775][JTOP_MONITOR][INFO]Memory: 1834 MiB, GPU Memory: 679 MiB
[2022-09-26 23:23:41,777][JTOP_MONITOR][INFO]Memory: 1834 MiB, GPU Memory: 679 MiB
[2022-09-26 23:23:42,778][JTOP_MONITOR][INFO]Memory: 1833 MiB, GPU Memory: 679 MiB
[2022-09-26 23:23:43,783][JTOP_MONITOR][INFO]Memory: 1834 MiB, GPU Memory: 679 MiB
[2022-09-26 23:23:44,783][JTOP_MONITOR][INFO]Memory: 1834 MiB, GPU Memory: 679 MiB
[2022-09-26 23:23:45,785][JTOP_MONITOR][INFO]Memory: 1834 MiB, GPU Memory: 679 MiB
[2022-09-26 23:23:46,786][JTOP_MONITOR][INFO]Memory: 1834 MiB, GPU Memory: 679 MiB
[2022-09-26 23:23:47,787][JTOP_MONITOR][INFO]Memory: 1835 MiB, GPU Memory: 679 MiB
[2022-09-26 23:23:48,789][JTOP_MONITOR][INFO]Memory: 1834 MiB, GPU Memory: 679 MiB
[2022-09-26 23:23:49,791][JTOP_MONITOR][INFO]Memory: 1834 MiB, GPU Memory: 679 MiB
[2022-09-26 23:23:50,791][JTOP_MONITOR][INFO]Memory: 1834 MiB, GPU Memory: 679 MiB
[2022-09-26 23:23:51,793][JTOP_MONITOR][INFO]Memory: 1835 MiB, GPU Memory: 679 MiB
[2022-09-26 23:23:52,794][JTOP_MONITOR][INFO]Memory: 1834 MiB, GPU Memory: 679 MiB
[2022-09-26 23:23:53,795][JTOP_MONITOR][INFO]Memory: 1835 MiB, GPU Memory: 679 MiB
[2022-09-26 23:23:54,797][JTOP_MONITOR][INFO]Memory: 1834 MiB, GPU Memory: 679 MiB
[2022-09-26 23:23:55,798][JTOP_MONITOR][INFO]Memory: 1834 MiB, GPU Memory: 679 MiB
[2022-09-26 23:23:56,800][JTOP_MONITOR][INFO]Memory: 1835 MiB, GPU Memory: 679 MiB
[2022-09-26 23:23:57,802][JTOP_MONITOR][INFO]Memory: 1836 MiB, GPU Memory: 679 MiB
[2022-09-26 23:23:58,803][JTOP_MONITOR][INFO]Memory: 1837 MiB, GPU Memory: 679 MiB
[2022-09-26 23:23:59,805][JTOP_MONITOR][INFO]Memory: 1837 MiB, GPU Memory: 679 MiB
[2022-09-26 23:24:00,807][JTOP_MONITOR][INFO]Memory: 1838 MiB, GPU Memory: 679 MiB
