[2022-09-27 00:07:34,466][JTOP_MONITOR][INFO]Memory: 1653 MiB, GPU Memory: 679 MiB
[2022-09-27 00:07:35,467][JTOP_MONITOR][INFO]Memory: 1398 MiB, GPU Memory: 618 MiB
[2022-09-27 00:07:36,469][JTOP_MONITOR][INFO]Memory: 1398 MiB, GPU Memory: 618 MiB
[2022-09-27 00:07:37,470][JTOP_MONITOR][INFO]Memory: 1398 MiB, GPU Memory: 618 MiB
[2022-09-27 00:07:38,471][JTOP_MONITOR][INFO]Memory: 1398 MiB, GPU Memory: 618 MiB
[2022-09-27 00:07:39,473][JTOP_MONITOR][INFO]Memory: 1398 MiB, GPU Memory: 618 MiB
[2022-09-27 00:07:40,474][JTOP_MONITOR][INFO]Memory: 1398 MiB, GPU Memory: 618 MiB
[2022-09-27 00:07:41,476][JTOP_MONITOR][INFO]Memory: 1398 MiB, GPU Memory: 618 MiB
[2022-09-27 00:07:42,477][JTOP_MONITOR][INFO]Memory: 1399 MiB, GPU Memory: 618 MiB
[2022-09-27 00:07:43,479][JTOP_MONITOR][INFO]Memory: 1399 MiB, GPU Memory: 618 MiB
[2022-09-27 00:07:44,480][JTOP_MONITOR][INFO]Memory: 1398 MiB, GPU Memory: 618 MiB
[2022-09-27 00:07:45,482][JTOP_MONITOR][INFO]Memory: 1398 MiB, GPU Memory: 618 MiB
[2022-09-27 00:07:46,483][JTOP_MONITOR][INFO]Memory: 1399 MiB, GPU Memory: 618 MiB
[2022-09-27 00:07:47,485][JTOP_MONITOR][INFO]Memory: 1399 MiB, GPU Memory: 618 MiB
[2022-09-27 00:07:48,486][JTOP_MONITOR][INFO]Memory: 1399 MiB, GPU Memory: 618 MiB
[2022-09-27 00:07:49,488][JTOP_MONITOR][INFO]Memory: 1398 MiB, GPU Memory: 618 MiB
[2022-09-27 00:07:50,489][JTOP_MONITOR][INFO]Memory: 1399 MiB, GPU Memory: 618 MiB
[2022-09-27 00:07:51,491][JTOP_MONITOR][INFO]Memory: 1399 MiB, GPU Memory: 618 MiB
[2022-09-27 00:07:52,493][JTOP_MONITOR][INFO]Memory: 1398 MiB, GPU Memory: 618 MiB
[2022-09-27 00:07:53,494][JTOP_MONITOR][INFO]Memory: 1399 MiB, GPU Memory: 618 MiB
[2022-09-27 00:07:54,495][JTOP_MONITOR][INFO]Memory: 1399 MiB, GPU Memory: 618 MiB
[2022-09-27 00:07:55,497][JTOP_MONITOR][INFO]Memory: 1399 MiB, GPU Memory: 618 MiB
[2022-09-27 00:07:56,498][JTOP_MONITOR][INFO]Memory: 1399 MiB, GPU Memory: 618 MiB
[2022-09-27 00:07:57,500][JTOP_MONITOR][INFO]Memory: 1399 MiB, GPU Memory: 618 MiB
