[2022-09-27 00:53:27,059][JTOP_MONITOR][INFO]Memory: 1404 MiB, GPU Memory: 631 MiB
[2022-09-27 00:53:28,061][JTOP_MONITOR][INFO]Memory: 1405 MiB, GPU Memory: 631 MiB
[2022-09-27 00:53:29,063][JTOP_MONITOR][INFO]Memory: 1404 MiB, GPU Memory: 631 MiB
[2022-09-27 00:53:30,064][JTOP_MONITOR][INFO]Memory: 1404 MiB, GPU Memory: 631 MiB
[2022-09-27 00:53:31,066][JTOP_MONITOR][INFO]Memory: 1404 MiB, GPU Memory: 631 MiB
[2022-09-27 00:53:32,067][JTOP_MONITOR][INFO]Memory: 1405 MiB, GPU Memory: 631 MiB
[2022-09-27 00:53:33,069][JTOP_MONITOR][INFO]Memory: 1404 MiB, GPU Memory: 631 MiB
[2022-09-27 00:53:34,070][JTOP_MONITOR][INFO]Memory: 1404 MiB, GPU Memory: 631 MiB
[2022-09-27 00:53:35,072][JTOP_MONITOR][INFO]Memory: 1404 MiB, GPU Memory: 631 MiB
[2022-09-27 00:53:36,073][JTOP_MONITOR][INFO]Memory: 1404 MiB, GPU Memory: 631 MiB
[2022-09-27 00:53:37,075][JTOP_MONITOR][INFO]Memory: 1405 MiB, GPU Memory: 631 MiB
[2022-09-27 00:53:38,076][JTOP_MONITOR][INFO]Memory: 1405 MiB, GPU Memory: 631 MiB
[2022-09-27 00:53:39,078][JTOP_MONITOR][INFO]Memory: 1405 MiB, GPU Memory: 631 MiB
[2022-09-27 00:53:40,079][JTOP_MONITOR][INFO]Memory: 1405 MiB, GPU Memory: 631 MiB
[2022-09-27 00:53:41,081][JTOP_MONITOR][INFO]Memory: 1405 MiB, GPU Memory: 631 MiB
[2022-09-27 00:53:42,082][JTOP_MONITOR][INFO]Memory: 1405 MiB, GPU Memory: 631 MiB
[2022-09-27 00:53:43,084][JTOP_MONITOR][INFO]Memory: 1405 MiB, GPU Memory: 631 MiB
[2022-09-27 00:53:44,085][JTOP_MONITOR][INFO]Memory: 1405 MiB, GPU Memory: 631 MiB
[2022-09-27 00:53:45,087][JTOP_MONITOR][INFO]Memory: 1406 MiB, GPU Memory: 631 MiB
[2022-09-27 00:53:46,090][JTOP_MONITOR][INFO]Memory: 1405 MiB, GPU Memory: 631 MiB
[2022-09-27 00:53:47,091][JTOP_MONITOR][INFO]Memory: 1405 MiB, GPU Memory: 631 MiB
[2022-09-27 00:53:48,093][JTOP_MONITOR][INFO]Memory: 1406 MiB, GPU Memory: 631 MiB
[2022-09-27 00:53:49,094][JTOP_MONITOR][INFO]Memory: 1405 MiB, GPU Memory: 631 MiB
[2022-09-27 00:53:50,096][JTOP_MONITOR][INFO]Memory: 1405 MiB, GPU Memory: 631 MiB
[2022-09-27 00:53:51,097][JTOP_MONITOR][INFO]Memory: 1405 MiB, GPU Memory: 631 MiB
[2022-09-27 00:53:52,098][JTOP_MONITOR][INFO]Memory: 1432 MiB, GPU Memory: 631 MiB
[2022-09-27 00:53:53,099][JTOP_MONITOR][INFO]Memory: 1484 MiB, GPU Memory: 631 MiB
[2022-09-27 00:53:54,101][JTOP_MONITOR][INFO]Memory: 1449 MiB, GPU Memory: 631 MiB
[2022-09-27 00:53:55,102][JTOP_MONITOR][INFO]Memory: 1475 MiB, GPU Memory: 631 MiB
[2022-09-27 00:53:56,104][JTOP_MONITOR][INFO]Memory: 1509 MiB, GPU Memory: 631 MiB
[2022-09-27 00:53:57,106][JTOP_MONITOR][INFO]Memory: 1523 MiB, GPU Memory: 631 MiB
[2022-09-27 00:53:58,107][JTOP_MONITOR][INFO]Memory: 1535 MiB, GPU Memory: 631 MiB
[2022-09-27 00:53:59,109][JTOP_MONITOR][INFO]Memory: 1543 MiB, GPU Memory: 631 MiB
[2022-09-27 00:54:00,110][JTOP_MONITOR][INFO]Memory: 1552 MiB, GPU Memory: 631 MiB
[2022-09-27 00:54:01,111][JTOP_MONITOR][INFO]Memory: 1560 MiB, GPU Memory: 631 MiB
[2022-09-27 00:54:02,113][JTOP_MONITOR][INFO]Memory: 1716 MiB, GPU Memory: 668 MiB
[2022-09-27 00:54:03,114][JTOP_MONITOR][INFO]Memory: 1805 MiB, GPU Memory: 693 MiB
[2022-09-27 00:54:04,115][JTOP_MONITOR][INFO]Memory: 1802 MiB, GPU Memory: 693 MiB
[2022-09-27 00:54:05,117][JTOP_MONITOR][INFO]Memory: 1804 MiB, GPU Memory: 693 MiB
