[2022-09-26 20:18:12,337][JTOP_MONITOR][INFO]Memory: 1606 MiB, GPU Memory: 670 MiB
[2022-09-26 20:18:13,338][JTOP_MONITOR][INFO]Memory: 1605 MiB, GPU Memory: 670 MiB
[2022-09-26 20:18:14,340][JTOP_MONITOR][INFO]Memory: 1605 MiB, GPU Memory: 670 MiB
[2022-09-26 20:18:15,341][JTOP_MONITOR][INFO]Memory: 1605 MiB, GPU Memory: 670 MiB
[2022-09-26 20:18:16,343][JTOP_MONITOR][INFO]Memory: 1605 MiB, GPU Memory: 670 MiB
[2022-09-26 20:18:17,345][JTOP_MONITOR][INFO]Memory: 1605 MiB, GPU Memory: 670 MiB
[2022-09-26 20:18:18,346][JTOP_MONITOR][INFO]Memory: 1606 MiB, GPU Memory: 670 MiB
[2022-09-26 20:18:19,348][JTOP_MONITOR][INFO]Memory: 1605 MiB, GPU Memory: 670 MiB
[2022-09-26 20:18:20,349][JTOP_MONITOR][INFO]Memory: 1605 MiB, GPU Memory: 670 MiB
[2022-09-26 20:18:21,351][JTOP_MONITOR][INFO]Memory: 1605 MiB, GPU Memory: 670 MiB
[2022-09-26 20:18:22,354][JTOP_MONITOR][INFO]Memory: 1605 MiB, GPU Memory: 670 MiB
[2022-09-26 20:18:23,355][JTOP_MONITOR][INFO]Memory: 1605 MiB, GPU Memory: 670 MiB
[2022-09-26 20:18:24,357][JTOP_MONITOR][INFO]Memory: 1605 MiB, GPU Memory: 670 MiB
[2022-09-26 20:18:25,358][JTOP_MONITOR][INFO]Memory: 1605 MiB, GPU Memory: 670 MiB
[2022-09-26 20:18:26,360][JTOP_MONITOR][INFO]Memory: 1605 MiB, GPU Memory: 670 MiB
[2022-09-26 20:18:27,361][JTOP_MONITOR][INFO]Memory: 1605 MiB, GPU Memory: 670 MiB
[2022-09-26 20:18:28,363][JTOP_MONITOR][INFO]Memory: 1605 MiB, GPU Memory: 670 MiB
[2022-09-26 20:18:29,363][JTOP_MONITOR][INFO]Memory: 1605 MiB, GPU Memory: 670 MiB
[2022-09-26 20:18:30,365][JTOP_MONITOR][INFO]Memory: 1605 MiB, GPU Memory: 670 MiB
[2022-09-26 20:18:31,366][JTOP_MONITOR][INFO]Memory: 1605 MiB, GPU Memory: 670 MiB
[2022-09-26 20:18:32,367][JTOP_MONITOR][INFO]Memory: 1606 MiB, GPU Memory: 670 MiB
[2022-09-26 20:18:33,369][JTOP_MONITOR][INFO]Memory: 1607 MiB, GPU Memory: 670 MiB
[2022-09-26 20:18:34,370][JTOP_MONITOR][INFO]Memory: 1639 MiB, GPU Memory: 670 MiB
[2022-09-26 20:18:35,372][JTOP_MONITOR][INFO]Memory: 1639 MiB, GPU Memory: 670 MiB
