[2022-11-03 15:04:25,845][JTOP_MONITOR][INFO]Memory: 1381 MiB, GPU Memory: 398 MiB
[2022-11-03 15:04:26,847][JTOP_MONITOR][INFO]Memory: 1425 MiB, GPU Memory: 525 MiB
[2022-11-03 15:04:27,848][JTOP_MONITOR][INFO]Memory: 1426 MiB, GPU Memory: 525 MiB
[2022-11-03 15:04:28,850][JTOP_MONITOR][INFO]Memory: 1425 MiB, GPU Memory: 525 MiB
[2022-11-03 15:04:29,851][JTOP_MONITOR][INFO]Memory: 1454 MiB, GPU Memory: 525 MiB
[2022-11-03 15:04:30,853][JTOP_MONITOR][INFO]Memory: 1469 MiB, GPU Memory: 525 MiB
[2022-11-03 15:04:31,854][JTOP_MONITOR][INFO]Memory: 1508 MiB, GPU Memory: 525 MiB
[2022-11-03 15:04:32,856][JTOP_MONITOR][INFO]Memory: 1539 MiB, GPU Memory: 525 MiB
[2022-11-03 15:04:33,857][JTOP_MONITOR][INFO]Memory: 1562 MiB, GPU Memory: 525 MiB
[2022-11-03 15:04:34,859][JTOP_MONITOR][INFO]Memory: 1567 MiB, GPU Memory: 525 MiB
[2022-11-03 15:04:35,860][JTOP_MONITOR][INFO]Memory: 1577 MiB, GPU Memory: 525 MiB
[2022-11-03 15:04:36,862][JTOP_MONITOR][INFO]Memory: 1702 MiB, GPU Memory: 557 MiB
[2022-11-03 15:04:37,863][JTOP_MONITOR][INFO]Memory: 1821 MiB, GPU Memory: 587 MiB
[2022-11-03 15:04:38,865][JTOP_MONITOR][INFO]Memory: 1828 MiB, GPU Memory: 587 MiB
[2022-11-03 15:04:39,867][JTOP_MONITOR][INFO]Memory: 1831 MiB, GPU Memory: 587 MiB
[2022-11-03 15:04:40,868][JTOP_MONITOR][INFO]Memory: 1832 MiB, GPU Memory: 587 MiB
[2022-11-03 15:04:41,870][JTOP_MONITOR][INFO]Memory: 1831 MiB, GPU Memory: 587 MiB
[2022-11-03 15:04:42,871][JTOP_MONITOR][INFO]Memory: 1830 MiB, GPU Memory: 587 MiB
[2022-11-03 15:04:43,872][JTOP_MONITOR][INFO]Memory: 1858 MiB, GPU Memory: 587 MiB
[2022-11-03 15:04:44,874][JTOP_MONITOR][INFO]Memory: 1842 MiB, GPU Memory: 587 MiB
[2022-11-03 15:04:45,875][JTOP_MONITOR][INFO]Memory: 1850 MiB, GPU Memory: 587 MiB
[2022-11-03 15:04:46,876][JTOP_MONITOR][INFO]Memory: 1849 MiB, GPU Memory: 587 MiB
[2022-11-03 15:04:47,878][JTOP_MONITOR][INFO]Memory: 1850 MiB, GPU Memory: 587 MiB
[2022-11-03 15:04:48,879][JTOP_MONITOR][INFO]Memory: 1850 MiB, GPU Memory: 587 MiB
[2022-11-03 15:04:49,881][JTOP_MONITOR][INFO]Memory: 1849 MiB, GPU Memory: 587 MiB
[2022-11-03 15:04:50,882][JTOP_MONITOR][INFO]Memory: 1849 MiB, GPU Memory: 587 MiB
[2022-11-03 15:04:51,884][JTOP_MONITOR][INFO]Memory: 1850 MiB, GPU Memory: 587 MiB
[2022-11-03 15:04:52,886][JTOP_MONITOR][INFO]Memory: 1856 MiB, GPU Memory: 587 MiB
[2022-11-03 15:04:53,887][JTOP_MONITOR][INFO]Memory: 1857 MiB, GPU Memory: 587 MiB
