[2022-09-26 21:03:35,976][JTOP_MONITOR][INFO]Memory: 1404 MiB, GPU Memory: 611 MiB
[2022-09-26 21:03:36,978][JTOP_MONITOR][INFO]Memory: 1403 MiB, GPU Memory: 611 MiB
[2022-09-26 21:03:37,979][JTOP_MONITOR][INFO]Memory: 1403 MiB, GPU Memory: 611 MiB
[2022-09-26 21:03:38,981][JTOP_MONITOR][INFO]Memory: 1403 MiB, GPU Memory: 611 MiB
[2022-09-26 21:03:39,982][JTOP_MONITOR][INFO]Memory: 1403 MiB, GPU Memory: 611 MiB
[2022-09-26 21:03:40,984][JTOP_MONITOR][INFO]Memory: 1403 MiB, GPU Memory: 611 MiB
[2022-09-26 21:03:41,985][JTOP_MONITOR][INFO]Memory: 1404 MiB, GPU Memory: 611 MiB
[2022-09-26 21:03:42,987][JTOP_MONITOR][INFO]Memory: 1403 MiB, GPU Memory: 611 MiB
[2022-09-26 21:03:43,988][JTOP_MONITOR][INFO]Memory: 1404 MiB, GPU Memory: 611 MiB
[2022-09-26 21:03:44,990][JTOP_MONITOR][INFO]Memory: 1404 MiB, GPU Memory: 611 MiB
[2022-09-26 21:03:45,991][JTOP_MONITOR][INFO]Memory: 1403 MiB, GPU Memory: 611 MiB
[2022-09-26 21:03:46,993][JTOP_MONITOR][INFO]Memory: 1405 MiB, GPU Memory: 611 MiB
[2022-09-26 21:03:47,994][JTOP_MONITOR][INFO]Memory: 1404 MiB, GPU Memory: 611 MiB
[2022-09-26 21:03:48,995][JTOP_MONITOR][INFO]Memory: 1431 MiB, GPU Memory: 611 MiB
[2022-09-26 21:03:49,997][JTOP_MONITOR][INFO]Memory: 1443 MiB, GPU Memory: 611 MiB
[2022-09-26 21:03:50,998][JTOP_MONITOR][INFO]Memory: 1506 MiB, GPU Memory: 611 MiB
[2022-09-26 21:03:52,000][JTOP_MONITOR][INFO]Memory: 1462 MiB, GPU Memory: 611 MiB
[2022-09-26 21:03:53,001][JTOP_MONITOR][INFO]Memory: 1470 MiB, GPU Memory: 611 MiB
[2022-09-26 21:03:54,003][JTOP_MONITOR][INFO]Memory: 1509 MiB, GPU Memory: 611 MiB
[2022-09-26 21:03:55,005][JTOP_MONITOR][INFO]Memory: 1521 MiB, GPU Memory: 611 MiB
[2022-09-26 21:03:56,006][JTOP_MONITOR][INFO]Memory: 1538 MiB, GPU Memory: 611 MiB
[2022-09-26 21:03:57,008][JTOP_MONITOR][INFO]Memory: 1544 MiB, GPU Memory: 611 MiB
[2022-09-26 21:03:58,009][JTOP_MONITOR][INFO]Memory: 1550 MiB, GPU Memory: 611 MiB
