[2022-09-26 21:40:27,553][JTOP_MONITOR][INFO]Memory: 1658 MiB, GPU Memory: 672 MiB
[2022-09-26 21:40:28,554][JTOP_MONITOR][INFO]Memory: 1399 MiB, GPU Memory: 611 MiB
[2022-09-26 21:40:29,556][JTOP_MONITOR][INFO]Memory: 1399 MiB, GPU Memory: 611 MiB
[2022-09-26 21:40:30,557][JTOP_MONITOR][INFO]Memory: 1400 MiB, GPU Memory: 611 MiB
[2022-09-26 21:40:31,559][JTOP_MONITOR][INFO]Memory: 1399 MiB, GPU Memory: 611 MiB
[2022-09-26 21:40:32,561][JTOP_MONITOR][INFO]Memory: 1399 MiB, GPU Memory: 611 MiB
[2022-09-26 21:40:33,562][JTOP_MONITOR][INFO]Memory: 1399 MiB, GPU Memory: 611 MiB
[2022-09-26 21:40:34,564][JTOP_MONITOR][INFO]Memory: 1399 MiB, GPU Memory: 611 MiB
[2022-09-26 21:40:35,565][JTOP_MONITOR][INFO]Memory: 1399 MiB, GPU Memory: 611 MiB
[2022-09-26 21:40:36,567][JTOP_MONITOR][INFO]Memory: 1399 MiB, GPU Memory: 611 MiB
[2022-09-26 21:40:37,568][JTOP_MONITOR][INFO]Memory: 1399 MiB, GPU Memory: 611 MiB
[2022-09-26 21:40:38,570][JTOP_MONITOR][INFO]Memory: 1399 MiB, GPU Memory: 611 MiB
[2022-09-26 21:40:39,571][JTOP_MONITOR][INFO]Memory: 1399 MiB, GPU Memory: 611 MiB
[2022-09-26 21:40:40,573][JTOP_MONITOR][INFO]Memory: 1399 MiB, GPU Memory: 611 MiB
[2022-09-26 21:40:41,574][JTOP_MONITOR][INFO]Memory: 1399 MiB, GPU Memory: 611 MiB
[2022-09-26 21:40:42,576][JTOP_MONITOR][INFO]Memory: 1399 MiB, GPU Memory: 611 MiB
[2022-09-26 21:40:43,577][JTOP_MONITOR][INFO]Memory: 1399 MiB, GPU Memory: 611 MiB
[2022-09-26 21:40:44,579][JTOP_MONITOR][INFO]Memory: 1399 MiB, GPU Memory: 611 MiB
[2022-09-26 21:40:45,580][JTOP_MONITOR][INFO]Memory: 1399 MiB, GPU Memory: 611 MiB
