[2022-09-26 22:37:20,014][JTOP_MONITOR][INFO]Memory: 1393 MiB, GPU Memory: 618 MiB
[2022-09-26 22:37:21,016][JTOP_MONITOR][INFO]Memory: 1393 MiB, GPU Memory: 618 MiB
[2022-09-26 22:37:22,018][JTOP_MONITOR][INFO]Memory: 1393 MiB, GPU Memory: 618 MiB
[2022-09-26 22:37:23,019][JTOP_MONITOR][INFO]Memory: 1393 MiB, GPU Memory: 618 MiB
[2022-09-26 22:37:24,021][JTOP_MONITOR][INFO]Memory: 1393 MiB, GPU Memory: 618 MiB
[2022-09-26 22:37:25,022][JTOP_MONITOR][INFO]Memory: 1393 MiB, GPU Memory: 618 MiB
[2022-09-26 22:37:26,023][JTOP_MONITOR][INFO]Memory: 1393 MiB, GPU Memory: 618 MiB
[2022-09-26 22:37:27,025][JTOP_MONITOR][INFO]Memory: 1394 MiB, GPU Memory: 618 MiB
[2022-09-26 22:37:28,026][JTOP_MONITOR][INFO]Memory: 1393 MiB, GPU Memory: 618 MiB
[2022-09-26 22:37:29,028][JTOP_MONITOR][INFO]Memory: 1393 MiB, GPU Memory: 618 MiB
[2022-09-26 22:37:30,029][JTOP_MONITOR][INFO]Memory: 1394 MiB, GPU Memory: 618 MiB
[2022-09-26 22:37:31,031][JTOP_MONITOR][INFO]Memory: 1419 MiB, GPU Memory: 618 MiB
[2022-09-26 22:37:32,033][JTOP_MONITOR][INFO]Memory: 1428 MiB, GPU Memory: 618 MiB
[2022-09-26 22:37:33,034][JTOP_MONITOR][INFO]Memory: 1438 MiB, GPU Memory: 618 MiB
[2022-09-26 22:37:34,035][JTOP_MONITOR][INFO]Memory: 1480 MiB, GPU Memory: 618 MiB
[2022-09-26 22:37:35,037][JTOP_MONITOR][INFO]Memory: 1497 MiB, GPU Memory: 618 MiB
[2022-09-26 22:37:36,038][JTOP_MONITOR][INFO]Memory: 1518 MiB, GPU Memory: 618 MiB
[2022-09-26 22:37:37,040][JTOP_MONITOR][INFO]Memory: 1528 MiB, GPU Memory: 618 MiB
[2022-09-26 22:37:38,042][JTOP_MONITOR][INFO]Memory: 1535 MiB, GPU Memory: 618 MiB
[2022-09-26 22:37:39,043][JTOP_MONITOR][INFO]Memory: 1547 MiB, GPU Memory: 618 MiB
[2022-09-26 22:37:40,045][JTOP_MONITOR][INFO]Memory: 1600 MiB, GPU Memory: 629 MiB
[2022-09-26 22:37:41,046][JTOP_MONITOR][INFO]Memory: 1718 MiB, GPU Memory: 658 MiB
[2022-09-26 22:37:42,047][JTOP_MONITOR][INFO]Memory: 1792 MiB, GPU Memory: 679 MiB
[2022-09-26 22:37:43,049][JTOP_MONITOR][INFO]Memory: 1787 MiB, GPU Memory: 679 MiB
[2022-09-26 22:37:44,050][JTOP_MONITOR][INFO]Memory: 1788 MiB, GPU Memory: 679 MiB
[2022-09-26 22:37:45,051][JTOP_MONITOR][INFO]Memory: 1788 MiB, GPU Memory: 679 MiB
[2022-09-26 22:37:46,053][JTOP_MONITOR][INFO]Memory: 1792 MiB, GPU Memory: 679 MiB
[2022-09-26 22:37:47,054][JTOP_MONITOR][INFO]Memory: 1801 MiB, GPU Memory: 679 MiB
[2022-09-26 22:37:48,055][JTOP_MONITOR][INFO]Memory: 1802 MiB, GPU Memory: 679 MiB
[2022-09-26 22:37:49,057][JTOP_MONITOR][INFO]Memory: 1788 MiB, GPU Memory: 679 MiB
[2022-09-26 22:37:50,059][JTOP_MONITOR][INFO]Memory: 1795 MiB, GPU Memory: 679 MiB
[2022-09-26 22:37:51,059][JTOP_MONITOR][INFO]Memory: 1795 MiB, GPU Memory: 679 MiB
[2022-09-26 22:37:52,061][JTOP_MONITOR][INFO]Memory: 1795 MiB, GPU Memory: 679 MiB
[2022-09-26 22:37:53,062][JTOP_MONITOR][INFO]Memory: 1796 MiB, GPU Memory: 679 MiB
[2022-09-26 22:37:54,065][JTOP_MONITOR][INFO]Memory: 1796 MiB, GPU Memory: 679 MiB
[2022-09-26 22:37:55,067][JTOP_MONITOR][INFO]Memory: 1814 MiB, GPU Memory: 679 MiB
[2022-09-26 22:37:56,068][JTOP_MONITOR][INFO]Memory: 1815 MiB, GPU Memory: 679 MiB
[2022-09-26 22:37:57,070][JTOP_MONITOR][INFO]Memory: 1815 MiB, GPU Memory: 679 MiB
[2022-09-26 22:37:58,071][JTOP_MONITOR][INFO]Memory: 1814 MiB, GPU Memory: 679 MiB
[2022-09-26 22:37:59,073][JTOP_MONITOR][INFO]Memory: 1815 MiB, GPU Memory: 679 MiB
[2022-09-26 22:38:00,075][JTOP_MONITOR][INFO]Memory: 1816 MiB, GPU Memory: 679 MiB
[2022-09-26 22:38:01,076][JTOP_MONITOR][INFO]Memory: 1815 MiB, GPU Memory: 679 MiB
[2022-09-26 22:38:02,078][JTOP_MONITOR][INFO]Memory: 1815 MiB, GPU Memory: 679 MiB
[2022-09-26 22:38:03,079][JTOP_MONITOR][INFO]Memory: 1815 MiB, GPU Memory: 679 MiB
[2022-09-26 22:38:04,081][JTOP_MONITOR][INFO]Memory: 1815 MiB, GPU Memory: 679 MiB
[2022-09-26 22:38:05,083][JTOP_MONITOR][INFO]Memory: 1816 MiB, GPU Memory: 679 MiB
[2022-09-26 22:38:06,084][JTOP_MONITOR][INFO]Memory: 1816 MiB, GPU Memory: 679 MiB
[2022-09-26 22:38:07,086][JTOP_MONITOR][INFO]Memory: 1817 MiB, GPU Memory: 679 MiB
[2022-09-26 22:38:08,087][JTOP_MONITOR][INFO]Memory: 1816 MiB, GPU Memory: 679 MiB
[2022-09-26 22:38:09,089][JTOP_MONITOR][INFO]Memory: 1817 MiB, GPU Memory: 679 MiB
[2022-09-26 22:38:10,091][JTOP_MONITOR][INFO]Memory: 1816 MiB, GPU Memory: 679 MiB
[2022-09-26 22:38:11,092][JTOP_MONITOR][INFO]Memory: 1816 MiB, GPU Memory: 679 MiB
[2022-09-26 22:38:12,094][JTOP_MONITOR][INFO]Memory: 1816 MiB, GPU Memory: 679 MiB
[2022-09-26 22:38:13,095][JTOP_MONITOR][INFO]Memory: 1816 MiB, GPU Memory: 679 MiB
[2022-09-26 22:38:14,097][JTOP_MONITOR][INFO]Memory: 1816 MiB, GPU Memory: 679 MiB
[2022-09-26 22:38:15,098][JTOP_MONITOR][INFO]Memory: 1816 MiB, GPU Memory: 679 MiB
[2022-09-26 22:38:16,099][JTOP_MONITOR][INFO]Memory: 1815 MiB, GPU Memory: 679 MiB
[2022-09-26 22:38:17,101][JTOP_MONITOR][INFO]Memory: 1816 MiB, GPU Memory: 679 MiB
[2022-09-26 22:38:18,102][JTOP_MONITOR][INFO]Memory: 1815 MiB, GPU Memory: 679 MiB
[2022-09-26 22:38:19,104][JTOP_MONITOR][INFO]Memory: 1817 MiB, GPU Memory: 679 MiB
[2022-09-26 22:38:20,106][JTOP_MONITOR][INFO]Memory: 1816 MiB, GPU Memory: 679 MiB
[2022-09-26 22:38:21,107][JTOP_MONITOR][INFO]Memory: 1815 MiB, GPU Memory: 679 MiB
[2022-09-26 22:38:22,109][JTOP_MONITOR][INFO]Memory: 1815 MiB, GPU Memory: 679 MiB
[2022-09-26 22:38:23,110][JTOP_MONITOR][INFO]Memory: 1816 MiB, GPU Memory: 679 MiB
[2022-09-26 22:38:24,112][JTOP_MONITOR][INFO]Memory: 1816 MiB, GPU Memory: 679 MiB
[2022-09-26 22:38:25,114][JTOP_MONITOR][INFO]Memory: 1817 MiB, GPU Memory: 679 MiB
[2022-09-26 22:38:26,115][JTOP_MONITOR][INFO]Memory: 1816 MiB, GPU Memory: 679 MiB
[2022-09-26 22:38:27,117][JTOP_MONITOR][INFO]Memory: 1816 MiB, GPU Memory: 679 MiB
[2022-09-26 22:38:28,119][JTOP_MONITOR][INFO]Memory: 1816 MiB, GPU Memory: 679 MiB
[2022-09-26 22:38:29,120][JTOP_MONITOR][INFO]Memory: 1816 MiB, GPU Memory: 679 MiB
[2022-09-26 22:38:30,122][JTOP_MONITOR][INFO]Memory: 1818 MiB, GPU Memory: 679 MiB
[2022-09-26 22:38:31,123][JTOP_MONITOR][INFO]Memory: 1817 MiB, GPU Memory: 679 MiB
[2022-09-26 22:38:32,125][JTOP_MONITOR][INFO]Memory: 1817 MiB, GPU Memory: 679 MiB
[2022-09-26 22:38:33,126][JTOP_MONITOR][INFO]Memory: 1816 MiB, GPU Memory: 679 MiB
[2022-09-26 22:38:34,127][JTOP_MONITOR][INFO]Memory: 1817 MiB, GPU Memory: 679 MiB
[2022-09-26 22:38:35,129][JTOP_MONITOR][INFO]Memory: 1818 MiB, GPU Memory: 679 MiB
[2022-09-26 22:38:36,130][JTOP_MONITOR][INFO]Memory: 1791 MiB, GPU Memory: 679 MiB
[2022-09-26 22:38:37,132][JTOP_MONITOR][INFO]Memory: 1803 MiB, GPU Memory: 679 MiB
[2022-09-26 22:38:38,134][JTOP_MONITOR][INFO]Memory: 1803 MiB, GPU Memory: 679 MiB
[2022-09-26 22:38:39,135][JTOP_MONITOR][INFO]Memory: 1816 MiB, GPU Memory: 679 MiB
[2022-09-26 22:38:40,137][JTOP_MONITOR][INFO]Memory: 1794 MiB, GPU Memory: 679 MiB
[2022-09-26 22:38:41,139][JTOP_MONITOR][INFO]Memory: 1793 MiB, GPU Memory: 679 MiB
[2022-09-26 22:38:42,140][JTOP_MONITOR][INFO]Memory: 1794 MiB, GPU Memory: 679 MiB
[2022-09-26 22:38:43,142][JTOP_MONITOR][INFO]Memory: 1795 MiB, GPU Memory: 679 MiB
[2022-09-26 22:38:44,144][JTOP_MONITOR][INFO]Memory: 1794 MiB, GPU Memory: 679 MiB
