[2022-09-26 13:48:04,012][JTOP_MONITOR][INFO]Memory: 1485 MiB, GPU Memory: 590 MiB
[2022-09-26 13:48:05,014][JTOP_MONITOR][INFO]Memory: 1696 MiB, GPU Memory: 764 MiB
[2022-09-26 13:48:06,015][JTOP_MONITOR][INFO]Memory: 1696 MiB, GPU Memory: 764 MiB
[2022-09-26 13:48:07,017][JTOP_MONITOR][INFO]Memory: 1696 MiB, GPU Memory: 764 MiB
[2022-09-26 13:48:08,018][JTOP_MONITOR][INFO]Memory: 1696 MiB, GPU Memory: 764 MiB
[2022-09-26 13:48:09,019][JTOP_MONITOR][INFO]Memory: 1695 MiB, GPU Memory: 764 MiB
[2022-09-26 13:48:10,021][JTOP_MONITOR][INFO]Memory: 1696 MiB, GPU Memory: 764 MiB
[2022-09-26 13:48:11,022][JTOP_MONITOR][INFO]Memory: 1696 MiB, GPU Memory: 764 MiB
[2022-09-26 13:48:12,024][JTOP_MONITOR][INFO]Memory: 1696 MiB, GPU Memory: 764 MiB
[2022-09-26 13:48:13,025][JTOP_MONITOR][INFO]Memory: 1695 MiB, GPU Memory: 764 MiB
[2022-09-26 13:48:14,027][JTOP_MONITOR][INFO]Memory: 1695 MiB, GPU Memory: 764 MiB
[2022-09-26 13:48:15,028][JTOP_MONITOR][INFO]Memory: 1696 MiB, GPU Memory: 764 MiB
[2022-09-26 13:48:16,030][JTOP_MONITOR][INFO]Memory: 1696 MiB, GPU Memory: 764 MiB
[2022-09-26 13:48:17,031][JTOP_MONITOR][INFO]Memory: 1696 MiB, GPU Memory: 764 MiB
[2022-09-26 13:48:18,033][JTOP_MONITOR][INFO]Memory: 1696 MiB, GPU Memory: 764 MiB
[2022-09-26 13:48:19,034][JTOP_MONITOR][INFO]Memory: 1696 MiB, GPU Memory: 764 MiB
[2022-09-26 13:48:20,036][JTOP_MONITOR][INFO]Memory: 1696 MiB, GPU Memory: 764 MiB
[2022-09-26 13:48:21,036][JTOP_MONITOR][INFO]Memory: 1696 MiB, GPU Memory: 764 MiB
[2022-09-26 13:48:22,038][JTOP_MONITOR][INFO]Memory: 1738 MiB, GPU Memory: 764 MiB
[2022-09-26 13:48:23,039][JTOP_MONITOR][INFO]Memory: 1799 MiB, GPU Memory: 764 MiB
[2022-09-26 13:48:24,041][JTOP_MONITOR][INFO]Memory: 1741 MiB, GPU Memory: 764 MiB
[2022-09-26 13:48:25,042][JTOP_MONITOR][INFO]Memory: 1750 MiB, GPU Memory: 764 MiB
[2022-09-26 13:48:26,044][JTOP_MONITOR][INFO]Memory: 1769 MiB, GPU Memory: 764 MiB
[2022-09-26 13:48:27,046][JTOP_MONITOR][INFO]Memory: 1785 MiB, GPU Memory: 764 MiB
[2022-09-26 13:48:28,047][JTOP_MONITOR][INFO]Memory: 1799 MiB, GPU Memory: 764 MiB
[2022-09-26 13:48:29,049][JTOP_MONITOR][INFO]Memory: 1810 MiB, GPU Memory: 764 MiB
[2022-09-26 13:48:30,050][JTOP_MONITOR][INFO]Memory: 1807 MiB, GPU Memory: 764 MiB
[2022-09-26 13:48:31,051][JTOP_MONITOR][INFO]Memory: 1814 MiB, GPU Memory: 764 MiB
[2022-09-26 13:48:32,053][JTOP_MONITOR][INFO]Memory: 1821 MiB, GPU Memory: 764 MiB
[2022-09-26 13:48:33,054][JTOP_MONITOR][INFO]Memory: 1832 MiB, GPU Memory: 769 MiB
[2022-09-26 13:48:34,056][JTOP_MONITOR][INFO]Memory: 1832 MiB, GPU Memory: 802 MiB
[2022-09-26 13:48:35,058][JTOP_MONITOR][INFO]Memory: 1869 MiB, GPU Memory: 812 MiB
[2022-09-26 13:48:36,059][JTOP_MONITOR][INFO]Memory: 1953 MiB, GPU Memory: 837 MiB
[2022-09-26 13:48:37,061][JTOP_MONITOR][INFO]Memory: 2028 MiB, GPU Memory: 855 MiB
