[2022-11-03 14:08:34,455][JTOP_MONITOR][INFO]Memory: 1431 MiB, GPU Memory: 798 MiB
[2022-11-03 14:08:35,457][JTOP_MONITOR][INFO]Memory: 1430 MiB, GPU Memory: 798 MiB
[2022-11-03 14:08:36,458][JTOP_MONITOR][INFO]Memory: 1430 MiB, GPU Memory: 798 MiB
[2022-11-03 14:08:37,460][JTOP_MONITOR][INFO]Memory: 1430 MiB, GPU Memory: 798 MiB
[2022-11-03 14:08:38,462][JTOP_MONITOR][INFO]Memory: 1430 MiB, GPU Memory: 798 MiB
[2022-11-03 14:08:39,463][JTOP_MONITOR][INFO]Memory: 1430 MiB, GPU Memory: 798 MiB
[2022-11-03 14:08:40,465][JTOP_MONITOR][INFO]Memory: 1430 MiB, GPU Memory: 798 MiB
[2022-11-03 14:08:41,466][JTOP_MONITOR][INFO]Memory: 1429 MiB, GPU Memory: 798 MiB
[2022-11-03 14:08:42,468][JTOP_MONITOR][INFO]Memory: 1430 MiB, GPU Memory: 798 MiB
[2022-11-03 14:08:43,469][JTOP_MONITOR][INFO]Memory: 1430 MiB, GPU Memory: 798 MiB
[2022-11-03 14:08:44,471][JTOP_MONITOR][INFO]Memory: 1430 MiB, GPU Memory: 798 MiB
[2022-11-03 14:08:45,472][JTOP_MONITOR][INFO]Memory: 1430 MiB, GPU Memory: 798 MiB
[2022-11-03 14:08:46,474][JTOP_MONITOR][INFO]Memory: 1430 MiB, GPU Memory: 798 MiB
[2022-11-03 14:08:47,475][JTOP_MONITOR][INFO]Memory: 1430 MiB, GPU Memory: 798 MiB
[2022-11-03 14:08:48,477][JTOP_MONITOR][INFO]Memory: 1430 MiB, GPU Memory: 798 MiB
[2022-11-03 14:08:49,478][JTOP_MONITOR][INFO]Memory: 1430 MiB, GPU Memory: 798 MiB
[2022-11-03 14:08:50,480][JTOP_MONITOR][INFO]Memory: 1430 MiB, GPU Memory: 798 MiB
[2022-11-03 14:08:51,481][JTOP_MONITOR][INFO]Memory: 1430 MiB, GPU Memory: 798 MiB
[2022-11-03 14:08:52,483][JTOP_MONITOR][INFO]Memory: 1430 MiB, GPU Memory: 798 MiB
[2022-11-03 14:08:53,484][JTOP_MONITOR][INFO]Memory: 1430 MiB, GPU Memory: 798 MiB
[2022-11-03 14:08:54,486][JTOP_MONITOR][INFO]Memory: 1430 MiB, GPU Memory: 798 MiB
[2022-11-03 14:08:55,488][JTOP_MONITOR][INFO]Memory: 1429 MiB, GPU Memory: 798 MiB
[2022-11-03 14:08:56,488][JTOP_MONITOR][INFO]Memory: 1430 MiB, GPU Memory: 798 MiB
[2022-11-03 14:08:57,490][JTOP_MONITOR][INFO]Memory: 1429 MiB, GPU Memory: 798 MiB
[2022-11-03 14:08:58,491][JTOP_MONITOR][INFO]Memory: 1430 MiB, GPU Memory: 798 MiB
[2022-11-03 14:08:59,492][JTOP_MONITOR][INFO]Memory: 1430 MiB, GPU Memory: 798 MiB
[2022-11-03 14:09:00,494][JTOP_MONITOR][INFO]Memory: 1458 MiB, GPU Memory: 798 MiB
[2022-11-03 14:09:01,495][JTOP_MONITOR][INFO]Memory: 1477 MiB, GPU Memory: 798 MiB
[2022-11-03 14:09:02,496][JTOP_MONITOR][INFO]Memory: 1473 MiB, GPU Memory: 798 MiB
[2022-11-03 14:09:03,498][JTOP_MONITOR][INFO]Memory: 1483 MiB, GPU Memory: 798 MiB
[2022-11-03 14:09:04,499][JTOP_MONITOR][INFO]Memory: 1505 MiB, GPU Memory: 798 MiB
[2022-11-03 14:09:05,501][JTOP_MONITOR][INFO]Memory: 1525 MiB, GPU Memory: 798 MiB
[2022-11-03 14:09:06,502][JTOP_MONITOR][INFO]Memory: 1530 MiB, GPU Memory: 798 MiB
[2022-11-03 14:09:07,504][JTOP_MONITOR][INFO]Memory: 1551 MiB, GPU Memory: 798 MiB
[2022-11-03 14:09:08,506][JTOP_MONITOR][INFO]Memory: 1563 MiB, GPU Memory: 798 MiB
[2022-11-03 14:09:09,507][JTOP_MONITOR][INFO]Memory: 1570 MiB, GPU Memory: 798 MiB
[2022-11-03 14:09:10,509][JTOP_MONITOR][INFO]Memory: 1576 MiB, GPU Memory: 798 MiB
[2022-11-03 14:09:11,510][JTOP_MONITOR][INFO]Memory: 1581 MiB, GPU Memory: 798 MiB
[2022-11-03 14:09:12,511][JTOP_MONITOR][INFO]Memory: 1596 MiB, GPU Memory: 798 MiB
[2022-11-03 14:09:13,512][JTOP_MONITOR][INFO]Memory: 1596 MiB, GPU Memory: 798 MiB
[2022-11-03 14:09:14,514][JTOP_MONITOR][INFO]Memory: 1598 MiB, GPU Memory: 798 MiB
[2022-11-03 14:09:15,515][JTOP_MONITOR][INFO]Memory: 1597 MiB, GPU Memory: 798 MiB
[2022-11-03 14:09:16,517][JTOP_MONITOR][INFO]Memory: 1597 MiB, GPU Memory: 798 MiB
[2022-11-03 14:09:17,518][JTOP_MONITOR][INFO]Memory: 1598 MiB, GPU Memory: 798 MiB
[2022-11-03 14:09:18,520][JTOP_MONITOR][INFO]Memory: 1598 MiB, GPU Memory: 798 MiB
[2022-11-03 14:09:19,522][JTOP_MONITOR][INFO]Memory: 1601 MiB, GPU Memory: 798 MiB
[2022-11-03 14:09:20,523][JTOP_MONITOR][INFO]Memory: 1598 MiB, GPU Memory: 798 MiB
[2022-11-03 14:09:21,524][JTOP_MONITOR][INFO]Memory: 1608 MiB, GPU Memory: 798 MiB
[2022-11-03 14:09:22,526][JTOP_MONITOR][INFO]Memory: 1608 MiB, GPU Memory: 798 MiB
[2022-11-03 14:09:23,527][JTOP_MONITOR][INFO]Memory: 1595 MiB, GPU Memory: 798 MiB
[2022-11-03 14:09:24,528][JTOP_MONITOR][INFO]Memory: 1601 MiB, GPU Memory: 798 MiB
[2022-11-03 14:09:25,530][JTOP_MONITOR][INFO]Memory: 1604 MiB, GPU Memory: 798 MiB
[2022-11-03 14:09:26,531][JTOP_MONITOR][INFO]Memory: 1603 MiB, GPU Memory: 798 MiB
