[2022-09-26 11:49:38,091][JTOP_MONITOR][INFO]Memory: 1473 MiB, GPU Memory: 744 MiB
[2022-09-26 11:49:39,093][JTOP_MONITOR][INFO]Memory: 1473 MiB, GPU Memory: 744 MiB
[2022-09-26 11:49:40,094][JTOP_MONITOR][INFO]Memory: 1473 MiB, GPU Memory: 744 MiB
[2022-09-26 11:49:41,096][JTOP_MONITOR][INFO]Memory: 1473 MiB, GPU Memory: 744 MiB
[2022-09-26 11:49:42,097][JTOP_MONITOR][INFO]Memory: 1472 MiB, GPU Memory: 744 MiB
[2022-09-26 11:49:43,099][JTOP_MONITOR][INFO]Memory: 1473 MiB, GPU Memory: 744 MiB
[2022-09-26 11:49:44,101][JTOP_MONITOR][INFO]Memory: 1472 MiB, GPU Memory: 744 MiB
[2022-09-26 11:49:45,102][JTOP_MONITOR][INFO]Memory: 1507 MiB, GPU Memory: 744 MiB
[2022-09-26 11:49:46,104][JTOP_MONITOR][INFO]Memory: 1509 MiB, GPU Memory: 744 MiB
[2022-09-26 11:49:47,105][JTOP_MONITOR][INFO]Memory: 1502 MiB, GPU Memory: 744 MiB
[2022-09-26 11:49:48,107][JTOP_MONITOR][INFO]Memory: 1520 MiB, GPU Memory: 744 MiB
[2022-09-26 11:49:49,107][JTOP_MONITOR][INFO]Memory: 1564 MiB, GPU Memory: 744 MiB
[2022-09-26 11:49:50,109][JTOP_MONITOR][INFO]Memory: 1579 MiB, GPU Memory: 744 MiB
[2022-09-26 11:49:51,110][JTOP_MONITOR][INFO]Memory: 1594 MiB, GPU Memory: 744 MiB
[2022-09-26 11:49:52,112][JTOP_MONITOR][INFO]Memory: 1602 MiB, GPU Memory: 744 MiB
[2022-09-26 11:49:53,114][JTOP_MONITOR][INFO]Memory: 1610 MiB, GPU Memory: 744 MiB
[2022-09-26 11:49:54,115][JTOP_MONITOR][INFO]Memory: 1618 MiB, GPU Memory: 744 MiB
[2022-09-26 11:49:55,117][JTOP_MONITOR][INFO]Memory: 1622 MiB, GPU Memory: 744 MiB
[2022-09-26 11:49:56,118][JTOP_MONITOR][INFO]Memory: 1632 MiB, GPU Memory: 744 MiB
[2022-09-26 11:49:57,119][JTOP_MONITOR][INFO]Memory: 1634 MiB, GPU Memory: 744 MiB
[2022-09-26 11:49:58,121][JTOP_MONITOR][INFO]Memory: 1633 MiB, GPU Memory: 744 MiB
[2022-09-26 11:49:59,122][JTOP_MONITOR][INFO]Memory: 1634 MiB, GPU Memory: 744 MiB
[2022-09-26 11:50:00,124][JTOP_MONITOR][INFO]Memory: 1634 MiB, GPU Memory: 744 MiB
[2022-09-26 11:50:01,126][JTOP_MONITOR][INFO]Memory: 1633 MiB, GPU Memory: 744 MiB
[2022-09-26 11:50:02,127][JTOP_MONITOR][INFO]Memory: 1647 MiB, GPU Memory: 744 MiB
[2022-09-26 11:50:03,129][JTOP_MONITOR][INFO]Memory: 1685 MiB, GPU Memory: 744 MiB
[2022-09-26 11:50:04,131][JTOP_MONITOR][INFO]Memory: 1634 MiB, GPU Memory: 744 MiB
[2022-09-26 11:50:05,131][JTOP_MONITOR][INFO]Memory: 1640 MiB, GPU Memory: 744 MiB
[2022-09-26 11:50:06,133][JTOP_MONITOR][INFO]Memory: 1641 MiB, GPU Memory: 744 MiB
[2022-09-26 11:50:07,134][JTOP_MONITOR][INFO]Memory: 1642 MiB, GPU Memory: 744 MiB
[2022-09-26 11:50:08,135][JTOP_MONITOR][INFO]Memory: 1642 MiB, GPU Memory: 744 MiB
[2022-09-26 11:50:09,137][JTOP_MONITOR][INFO]Memory: 1644 MiB, GPU Memory: 744 MiB
[2022-09-26 11:50:10,138][JTOP_MONITOR][INFO]Memory: 1663 MiB, GPU Memory: 744 MiB
