[2022-09-26 13:05:59,001][JTOP_MONITOR][INFO]Memory: 1471 MiB, GPU Memory: 744 MiB
[2022-09-26 13:06:00,003][JTOP_MONITOR][INFO]Memory: 1472 MiB, GPU Memory: 744 MiB
[2022-09-26 13:06:01,004][JTOP_MONITOR][INFO]Memory: 1472 MiB, GPU Memory: 745 MiB
[2022-09-26 13:06:02,006][JTOP_MONITOR][INFO]Memory: 1472 MiB, GPU Memory: 745 MiB
[2022-09-26 13:06:03,007][JTOP_MONITOR][INFO]Memory: 1471 MiB, GPU Memory: 745 MiB
[2022-09-26 13:06:04,009][JTOP_MONITOR][INFO]Memory: 1471 MiB, GPU Memory: 745 MiB
[2022-09-26 13:06:05,010][JTOP_MONITOR][INFO]Memory: 1471 MiB, GPU Memory: 745 MiB
[2022-09-26 13:06:06,012][JTOP_MONITOR][INFO]Memory: 1471 MiB, GPU Memory: 745 MiB
[2022-09-26 13:06:07,013][JTOP_MONITOR][INFO]Memory: 1472 MiB, GPU Memory: 745 MiB
[2022-09-26 13:06:08,015][JTOP_MONITOR][INFO]Memory: 1472 MiB, GPU Memory: 745 MiB
[2022-09-26 13:06:09,016][JTOP_MONITOR][INFO]Memory: 1471 MiB, GPU Memory: 745 MiB
[2022-09-26 13:06:10,018][JTOP_MONITOR][INFO]Memory: 1472 MiB, GPU Memory: 745 MiB
[2022-09-26 13:06:11,019][JTOP_MONITOR][INFO]Memory: 1472 MiB, GPU Memory: 745 MiB
[2022-09-26 13:06:12,021][JTOP_MONITOR][INFO]Memory: 1472 MiB, GPU Memory: 745 MiB
[2022-09-26 13:06:13,023][JTOP_MONITOR][INFO]Memory: 1472 MiB, GPU Memory: 745 MiB
[2022-09-26 13:06:14,024][JTOP_MONITOR][INFO]Memory: 1472 MiB, GPU Memory: 745 MiB
[2022-09-26 13:06:15,026][JTOP_MONITOR][INFO]Memory: 1472 MiB, GPU Memory: 745 MiB
[2022-09-26 13:06:16,027][JTOP_MONITOR][INFO]Memory: 1472 MiB, GPU Memory: 745 MiB
[2022-09-26 13:06:17,029][JTOP_MONITOR][INFO]Memory: 1497 MiB, GPU Memory: 745 MiB
[2022-09-26 13:06:18,030][JTOP_MONITOR][INFO]Memory: 1542 MiB, GPU Memory: 745 MiB
[2022-09-26 13:06:19,031][JTOP_MONITOR][INFO]Memory: 1514 MiB, GPU Memory: 745 MiB
[2022-09-26 13:06:20,033][JTOP_MONITOR][INFO]Memory: 1550 MiB, GPU Memory: 745 MiB
[2022-09-26 13:06:21,034][JTOP_MONITOR][INFO]Memory: 1572 MiB, GPU Memory: 745 MiB
[2022-09-26 13:06:22,036][JTOP_MONITOR][INFO]Memory: 1587 MiB, GPU Memory: 745 MiB
[2022-09-26 13:06:23,037][JTOP_MONITOR][INFO]Memory: 1597 MiB, GPU Memory: 745 MiB
[2022-09-26 13:06:24,039][JTOP_MONITOR][INFO]Memory: 1604 MiB, GPU Memory: 745 MiB
[2022-09-26 13:06:25,041][JTOP_MONITOR][INFO]Memory: 1611 MiB, GPU Memory: 745 MiB
[2022-09-26 13:06:26,042][JTOP_MONITOR][INFO]Memory: 1620 MiB, GPU Memory: 745 MiB
[2022-09-26 13:06:27,044][JTOP_MONITOR][INFO]Memory: 1630 MiB, GPU Memory: 745 MiB
[2022-09-26 13:06:28,045][JTOP_MONITOR][INFO]Memory: 1633 MiB, GPU Memory: 745 MiB
[2022-09-26 13:06:29,047][JTOP_MONITOR][INFO]Memory: 1633 MiB, GPU Memory: 745 MiB
[2022-09-26 13:06:30,049][JTOP_MONITOR][INFO]Memory: 1633 MiB, GPU Memory: 745 MiB
