[2022-09-26 17:55:54,138][JTOP_MONITOR][INFO]Memory: 1902 MiB, GPU Memory: 843 MiB
[2022-09-26 17:55:55,139][JTOP_MONITOR][INFO]Memory: 1410 MiB, GPU Memory: 892 MiB
[2022-09-26 17:55:56,141][JTOP_MONITOR][INFO]Memory: 1411 MiB, GPU Memory: 892 MiB
[2022-09-26 17:55:57,142][JTOP_MONITOR][INFO]Memory: 1410 MiB, GPU Memory: 892 MiB
[2022-09-26 17:55:58,143][JTOP_MONITOR][INFO]Memory: 1410 MiB, GPU Memory: 892 MiB
[2022-09-26 17:55:59,145][JTOP_MONITOR][INFO]Memory: 1410 MiB, GPU Memory: 892 MiB
[2022-09-26 17:56:00,146][JTOP_MONITOR][INFO]Memory: 1410 MiB, GPU Memory: 892 MiB
[2022-09-26 17:56:01,148][JTOP_MONITOR][INFO]Memory: 1410 MiB, GPU Memory: 891 MiB
[2022-09-26 17:56:02,149][JTOP_MONITOR][INFO]Memory: 1410 MiB, GPU Memory: 891 MiB
[2022-09-26 17:56:03,151][JTOP_MONITOR][INFO]Memory: 1410 MiB, GPU Memory: 891 MiB
[2022-09-26 17:56:04,152][JTOP_MONITOR][INFO]Memory: 1410 MiB, GPU Memory: 891 MiB
[2022-09-26 17:56:05,154][JTOP_MONITOR][INFO]Memory: 1410 MiB, GPU Memory: 891 MiB
[2022-09-26 17:56:06,156][JTOP_MONITOR][INFO]Memory: 1411 MiB, GPU Memory: 891 MiB
[2022-09-26 17:56:07,157][JTOP_MONITOR][INFO]Memory: 1410 MiB, GPU Memory: 891 MiB
[2022-09-26 17:56:08,159][JTOP_MONITOR][INFO]Memory: 1410 MiB, GPU Memory: 891 MiB
[2022-09-26 17:56:09,159][JTOP_MONITOR][INFO]Memory: 1410 MiB, GPU Memory: 891 MiB
[2022-09-26 17:56:10,161][JTOP_MONITOR][INFO]Memory: 1410 MiB, GPU Memory: 891 MiB
[2022-09-26 17:56:11,162][JTOP_MONITOR][INFO]Memory: 1410 MiB, GPU Memory: 891 MiB
[2022-09-26 17:56:12,163][JTOP_MONITOR][INFO]Memory: 1410 MiB, GPU Memory: 891 MiB
