[2022-10-18 12:02:53,369][JTOP_MONITOR][INFO]Memory: 2175 MiB, GPU Memory: 1032 MiB
[2022-10-18 12:02:54,371][JTOP_MONITOR][INFO]Memory: 2169 MiB, GPU Memory: 1030 MiB
[2022-10-18 12:02:55,372][JTOP_MONITOR][INFO]Memory: 2170 MiB, GPU Memory: 1030 MiB
[2022-10-18 12:02:56,374][JTOP_MONITOR][INFO]Memory: 2169 MiB, GPU Memory: 1030 MiB
[2022-10-18 12:02:57,376][JTOP_MONITOR][INFO]Memory: 2168 MiB, GPU Memory: 1030 MiB
[2022-10-18 12:02:58,377][JTOP_MONITOR][INFO]Memory: 2167 MiB, GPU Memory: 1016 MiB
[2022-10-18 12:02:59,379][JTOP_MONITOR][INFO]Memory: 2169 MiB, GPU Memory: 1016 MiB
[2022-10-18 12:03:00,380][JTOP_MONITOR][INFO]Memory: 2169 MiB, GPU Memory: 1016 MiB
[2022-10-18 12:03:01,382][JTOP_MONITOR][INFO]Memory: 2170 MiB, GPU Memory: 1016 MiB
[2022-10-18 12:03:02,383][JTOP_MONITOR][INFO]Memory: 2169 MiB, GPU Memory: 1016 MiB
[2022-10-18 12:03:03,385][JTOP_MONITOR][INFO]Memory: 2169 MiB, GPU Memory: 1016 MiB
[2022-10-18 12:03:04,386][JTOP_MONITOR][INFO]Memory: 2170 MiB, GPU Memory: 1016 MiB
[2022-10-18 12:03:05,388][JTOP_MONITOR][INFO]Memory: 2170 MiB, GPU Memory: 1016 MiB
[2022-10-18 12:03:06,389][JTOP_MONITOR][INFO]Memory: 2170 MiB, GPU Memory: 1016 MiB
[2022-10-18 12:03:07,391][JTOP_MONITOR][INFO]Memory: 2170 MiB, GPU Memory: 1016 MiB
[2022-10-18 12:03:08,392][JTOP_MONITOR][INFO]Memory: 2169 MiB, GPU Memory: 1016 MiB
[2022-10-18 12:03:09,394][JTOP_MONITOR][INFO]Memory: 2168 MiB, GPU Memory: 1016 MiB
[2022-10-18 12:03:10,395][JTOP_MONITOR][INFO]Memory: 2170 MiB, GPU Memory: 1016 MiB
[2022-10-18 12:03:11,397][JTOP_MONITOR][INFO]Memory: 2170 MiB, GPU Memory: 1016 MiB
[2022-10-18 12:03:12,398][JTOP_MONITOR][INFO]Memory: 2171 MiB, GPU Memory: 1016 MiB
[2022-10-18 12:03:13,400][JTOP_MONITOR][INFO]Memory: 2170 MiB, GPU Memory: 1016 MiB
[2022-10-18 12:03:14,402][JTOP_MONITOR][INFO]Memory: 2170 MiB, GPU Memory: 1016 MiB
[2022-10-18 12:03:15,403][JTOP_MONITOR][INFO]Memory: 2169 MiB, GPU Memory: 1016 MiB
[2022-10-18 12:03:16,404][JTOP_MONITOR][INFO]Memory: 2170 MiB, GPU Memory: 1016 MiB
[2022-10-18 12:03:17,406][JTOP_MONITOR][INFO]Memory: 2170 MiB, GPU Memory: 1016 MiB
[2022-10-18 12:03:18,407][JTOP_MONITOR][INFO]Memory: 2170 MiB, GPU Memory: 1016 MiB
[2022-10-18 12:03:19,409][JTOP_MONITOR][INFO]Memory: 2171 MiB, GPU Memory: 1016 MiB
[2022-10-18 12:03:20,410][JTOP_MONITOR][INFO]Memory: 2171 MiB, GPU Memory: 1016 MiB
[2022-10-18 12:03:21,412][JTOP_MONITOR][INFO]Memory: 2171 MiB, GPU Memory: 1016 MiB
[2022-10-18 12:03:22,413][JTOP_MONITOR][INFO]Memory: 2171 MiB, GPU Memory: 1016 MiB
[2022-10-18 12:03:23,415][JTOP_MONITOR][INFO]Memory: 2171 MiB, GPU Memory: 1016 MiB
[2022-10-18 12:03:24,417][JTOP_MONITOR][INFO]Memory: 2171 MiB, GPU Memory: 1016 MiB
[2022-10-18 12:03:25,418][JTOP_MONITOR][INFO]Memory: 2171 MiB, GPU Memory: 1016 MiB
[2022-10-18 12:03:26,419][JTOP_MONITOR][INFO]Memory: 2171 MiB, GPU Memory: 1016 MiB
[2022-10-18 12:03:27,420][JTOP_MONITOR][INFO]Memory: 2171 MiB, GPU Memory: 1016 MiB
[2022-10-18 12:03:28,422][JTOP_MONITOR][INFO]Memory: 2172 MiB, GPU Memory: 1016 MiB
[2022-10-18 12:03:29,424][JTOP_MONITOR][INFO]Memory: 2171 MiB, GPU Memory: 1016 MiB
[2022-10-18 12:03:30,425][JTOP_MONITOR][INFO]Memory: 2171 MiB, GPU Memory: 1016 MiB
[2022-10-18 12:03:31,427][JTOP_MONITOR][INFO]Memory: 2171 MiB, GPU Memory: 1016 MiB
[2022-10-18 12:03:32,428][JTOP_MONITOR][INFO]Memory: 2172 MiB, GPU Memory: 1016 MiB
[2022-10-18 12:03:33,430][JTOP_MONITOR][INFO]Memory: 2171 MiB, GPU Memory: 1016 MiB
[2022-10-18 12:03:34,431][JTOP_MONITOR][INFO]Memory: 2172 MiB, GPU Memory: 1016 MiB
[2022-10-18 12:03:35,433][JTOP_MONITOR][INFO]Memory: 2171 MiB, GPU Memory: 1016 MiB
[2022-10-18 12:03:36,434][JTOP_MONITOR][INFO]Memory: 2171 MiB, GPU Memory: 1016 MiB
[2022-10-18 12:03:37,436][JTOP_MONITOR][INFO]Memory: 2171 MiB, GPU Memory: 1016 MiB
[2022-10-18 12:03:38,437][JTOP_MONITOR][INFO]Memory: 2172 MiB, GPU Memory: 1016 MiB
[2022-10-18 12:03:39,439][JTOP_MONITOR][INFO]Memory: 2172 MiB, GPU Memory: 1016 MiB
[2022-10-18 12:03:40,441][JTOP_MONITOR][INFO]Memory: 2171 MiB, GPU Memory: 1016 MiB
[2022-10-18 12:03:41,442][JTOP_MONITOR][INFO]Memory: 2171 MiB, GPU Memory: 1016 MiB
[2022-10-18 12:03:42,444][JTOP_MONITOR][INFO]Memory: 2171 MiB, GPU Memory: 1016 MiB
[2022-10-18 12:03:43,445][JTOP_MONITOR][INFO]Memory: 2171 MiB, GPU Memory: 1016 MiB
[2022-10-18 12:03:44,447][JTOP_MONITOR][INFO]Memory: 2170 MiB, GPU Memory: 1016 MiB
[2022-10-18 12:03:45,448][JTOP_MONITOR][INFO]Memory: 2170 MiB, GPU Memory: 1016 MiB
[2022-10-18 12:03:46,450][JTOP_MONITOR][INFO]Memory: 2178 MiB, GPU Memory: 1016 MiB
[2022-10-18 12:03:47,451][JTOP_MONITOR][INFO]Memory: 2180 MiB, GPU Memory: 1016 MiB
[2022-10-18 12:03:48,452][JTOP_MONITOR][INFO]Memory: 2183 MiB, GPU Memory: 1016 MiB
[2022-10-18 12:03:49,454][JTOP_MONITOR][INFO]Memory: 2183 MiB, GPU Memory: 1016 MiB
[2022-10-18 12:03:50,455][JTOP_MONITOR][INFO]Memory: 2182 MiB, GPU Memory: 1016 MiB
[2022-10-18 12:03:51,457][JTOP_MONITOR][INFO]Memory: 2180 MiB, GPU Memory: 1016 MiB
[2022-10-18 12:03:52,458][JTOP_MONITOR][INFO]Memory: 2190 MiB, GPU Memory: 1032 MiB
[2022-10-18 12:03:53,460][JTOP_MONITOR][INFO]Memory: 2181 MiB, GPU Memory: 1032 MiB
[2022-10-18 12:03:54,462][JTOP_MONITOR][INFO]Memory: 2180 MiB, GPU Memory: 1030 MiB
[2022-10-18 12:03:55,463][JTOP_MONITOR][INFO]Memory: 2180 MiB, GPU Memory: 1030 MiB
[2022-10-18 12:03:56,465][JTOP_MONITOR][INFO]Memory: 2182 MiB, GPU Memory: 1030 MiB
[2022-10-18 12:03:57,466][JTOP_MONITOR][INFO]Memory: 2182 MiB, GPU Memory: 1016 MiB
[2022-10-18 12:03:58,468][JTOP_MONITOR][INFO]Memory: 2182 MiB, GPU Memory: 1016 MiB
[2022-10-18 12:03:59,469][JTOP_MONITOR][INFO]Memory: 2183 MiB, GPU Memory: 1016 MiB
[2022-10-18 12:04:00,471][JTOP_MONITOR][INFO]Memory: 2183 MiB, GPU Memory: 1016 MiB
[2022-10-18 12:04:01,472][JTOP_MONITOR][INFO]Memory: 2187 MiB, GPU Memory: 1016 MiB
[2022-10-18 12:04:02,474][JTOP_MONITOR][INFO]Memory: 2189 MiB, GPU Memory: 1016 MiB
[2022-10-18 12:04:03,475][JTOP_MONITOR][INFO]Memory: 2189 MiB, GPU Memory: 1016 MiB
[2022-10-18 12:04:04,476][JTOP_MONITOR][INFO]Memory: 2184 MiB, GPU Memory: 1016 MiB
[2022-10-18 12:04:05,497][JTOP_MONITOR][INFO]Memory: 2222 MiB, GPU Memory: 1016 MiB
[2022-10-18 12:04:06,499][JTOP_MONITOR][INFO]Memory: 2273 MiB, GPU Memory: 1016 MiB
[2022-10-18 12:04:07,500][JTOP_MONITOR][INFO]Memory: 2252 MiB, GPU Memory: 1016 MiB
[2022-10-18 12:04:08,502][JTOP_MONITOR][INFO]Memory: 2256 MiB, GPU Memory: 1016 MiB
[2022-10-18 12:04:09,504][JTOP_MONITOR][INFO]Memory: 2268 MiB, GPU Memory: 1016 MiB
[2022-10-18 12:04:10,505][JTOP_MONITOR][INFO]Memory: 2291 MiB, GPU Memory: 1016 MiB
[2022-10-18 12:04:11,507][JTOP_MONITOR][INFO]Memory: 2290 MiB, GPU Memory: 1016 MiB
