[2022-09-04 17:32:47,727][PROCESS_MONITOR][INFO]python(7025), Memory: 3753 MiB, GPU Memory: 1783 MiB
[2022-09-04 17:32:48,742][PROCESS_MONITOR][INFO]python(7025), Memory: 3753 MiB, GPU Memory: 1783 MiB
[2022-09-04 17:32:49,759][PROCESS_MONITOR][INFO]python(7025), Memory: 3753 MiB, GPU Memory: 1783 MiB
[2022-09-04 17:32:50,773][PROCESS_MONITOR][INFO]python(7025), Memory: 3753 MiB, GPU Memory: 1783 MiB
[2022-09-04 17:32:51,788][PROCESS_MONITOR][INFO]python(7025), Memory: 3753 MiB, GPU Memory: 1783 MiB
[2022-09-04 17:32:52,803][PROCESS_MONITOR][INFO]python(7025), Memory: 3753 MiB, GPU Memory: 1783 MiB
[2022-09-04 17:32:53,817][PROCESS_MONITOR][INFO]python(7025), Memory: 3753 MiB, GPU Memory: 1783 MiB
[2022-09-04 17:32:54,831][PROCESS_MONITOR][INFO]python(7025), Memory: 3753 MiB, GPU Memory: 1783 MiB
[2022-09-04 17:32:55,846][PROCESS_MONITOR][INFO]python(7025), Memory: 3753 MiB, GPU Memory: 1783 MiB
[2022-09-04 17:32:56,860][PROCESS_MONITOR][INFO]python(7025), Memory: 3753 MiB, GPU Memory: 1783 MiB
[2022-09-04 17:32:57,875][PROCESS_MONITOR][INFO]python(7025), Memory: 3753 MiB, GPU Memory: 1783 MiB
[2022-09-04 17:32:58,890][PROCESS_MONITOR][INFO]python(7025), Memory: 3753 MiB, GPU Memory: 1783 MiB
[2022-09-04 17:32:59,905][PROCESS_MONITOR][INFO]python(7025), Memory: 3753 MiB, GPU Memory: 1783 MiB
[2022-09-04 17:33:00,921][PROCESS_MONITOR][INFO]python(7025), Memory: 3753 MiB, GPU Memory: 1783 MiB
[2022-09-04 17:33:01,937][PROCESS_MONITOR][INFO]python(7025), Memory: 3753 MiB, GPU Memory: 1783 MiB
[2022-09-04 17:33:02,953][PROCESS_MONITOR][INFO]python(7025), Memory: 3753 MiB, GPU Memory: 1783 MiB
[2022-09-04 17:33:03,969][PROCESS_MONITOR][INFO]python(7025), Memory: 3753 MiB, GPU Memory: 1783 MiB
[2022-09-04 17:33:04,985][PROCESS_MONITOR][INFO]python(7025), Memory: 3753 MiB, GPU Memory: 1783 MiB
[2022-09-04 17:33:06,001][PROCESS_MONITOR][INFO]python(7025), Memory: 3753 MiB, GPU Memory: 1783 MiB
[2022-09-04 17:33:07,016][PROCESS_MONITOR][INFO]python(7025), Memory: 3753 MiB, GPU Memory: 1783 MiB
[2022-09-04 17:33:08,028][PROCESS_MONITOR][INFO]python(7025), Memory: 3903 MiB, GPU Memory: 1825 MiB
[2022-09-04 17:33:09,041][PROCESS_MONITOR][INFO]python(7025), Memory: 4725 MiB, GPU Memory: 2323 MiB
[2022-09-04 17:33:10,055][PROCESS_MONITOR][INFO]python(7025), Memory: 4780 MiB, GPU Memory: 2327 MiB
[2022-09-04 17:33:11,071][PROCESS_MONITOR][INFO]python(7025), Memory: 4791 MiB, GPU Memory: 2327 MiB
[2022-09-04 17:33:12,087][PROCESS_MONITOR][INFO]python(7025), Memory: 4791 MiB, GPU Memory: 2327 MiB
[2022-09-04 17:33:13,102][PROCESS_MONITOR][INFO]python(7025), Memory: 4791 MiB, GPU Memory: 2327 MiB
[2022-09-04 17:33:14,117][PROCESS_MONITOR][INFO]python(7025), Memory: 4791 MiB, GPU Memory: 2327 MiB
[2022-09-04 17:33:15,131][PROCESS_MONITOR][INFO]python(7025), Memory: 4791 MiB, GPU Memory: 2327 MiB
[2022-09-04 17:33:16,146][PROCESS_MONITOR][INFO]python(7025), Memory: 4791 MiB, GPU Memory: 2327 MiB
[2022-09-04 17:33:17,161][PROCESS_MONITOR][INFO]python(7025), Memory: 4791 MiB, GPU Memory: 2327 MiB
[2022-09-04 17:33:18,176][PROCESS_MONITOR][INFO]python(7025), Memory: 4791 MiB, GPU Memory: 2327 MiB
[2022-09-04 17:33:19,191][PROCESS_MONITOR][INFO]python(7025), Memory: 4791 MiB, GPU Memory: 2327 MiB
[2022-09-04 17:33:20,206][PROCESS_MONITOR][INFO]python(7025), Memory: 4791 MiB, GPU Memory: 2327 MiB
[2022-09-04 17:33:21,221][PROCESS_MONITOR][INFO]python(7025), Memory: 4791 MiB, GPU Memory: 2327 MiB
[2022-09-04 17:33:22,237][PROCESS_MONITOR][INFO]python(7025), Memory: 4791 MiB, GPU Memory: 2327 MiB
[2022-09-04 17:33:23,252][PROCESS_MONITOR][INFO]python(7025), Memory: 4791 MiB, GPU Memory: 2327 MiB
[2022-09-04 17:33:24,267][PROCESS_MONITOR][INFO]python(7025), Memory: 4791 MiB, GPU Memory: 2327 MiB
[2022-09-04 17:33:25,283][PROCESS_MONITOR][INFO]python(7025), Memory: 4791 MiB, GPU Memory: 2327 MiB
[2022-09-04 17:33:26,298][PROCESS_MONITOR][INFO]python(7025), Memory: 4791 MiB, GPU Memory: 2327 MiB
[2022-09-04 17:33:27,313][PROCESS_MONITOR][INFO]python(7025), Memory: 4791 MiB, GPU Memory: 2327 MiB
[2022-09-04 17:33:28,328][PROCESS_MONITOR][INFO]python(7025), Memory: 4791 MiB, GPU Memory: 2327 MiB
[2022-09-04 17:33:29,343][PROCESS_MONITOR][INFO]python(7025), Memory: 4791 MiB, GPU Memory: 2327 MiB
[2022-09-04 17:33:30,358][PROCESS_MONITOR][INFO]python(7025), Memory: 4791 MiB, GPU Memory: 2327 MiB
[2022-09-04 17:33:31,374][PROCESS_MONITOR][INFO]python(7025), Memory: 4791 MiB, GPU Memory: 2327 MiB
[2022-09-04 17:33:32,393][PROCESS_MONITOR][INFO]python(7025), Memory: 4791 MiB, GPU Memory: 2327 MiB
[2022-09-04 17:33:33,407][PROCESS_MONITOR][INFO]python(7025), Memory: 4791 MiB, GPU Memory: 2327 MiB
[2022-09-04 17:33:34,423][PROCESS_MONITOR][INFO]python(7025), Memory: 4791 MiB, GPU Memory: 2327 MiB
[2022-09-04 17:33:35,438][PROCESS_MONITOR][INFO]python(7025), Memory: 4791 MiB, GPU Memory: 2327 MiB
[2022-09-04 17:33:36,453][PROCESS_MONITOR][INFO]python(7025), Memory: 4791 MiB, GPU Memory: 2327 MiB
[2022-09-04 17:33:37,468][PROCESS_MONITOR][INFO]python(7025), Memory: 4791 MiB, GPU Memory: 2327 MiB
[2022-09-04 17:33:38,483][PROCESS_MONITOR][INFO]python(7025), Memory: 4791 MiB, GPU Memory: 2327 MiB
[2022-09-04 17:33:39,498][PROCESS_MONITOR][INFO]python(7025), Memory: 4791 MiB, GPU Memory: 2327 MiB
[2022-09-04 17:33:40,513][PROCESS_MONITOR][INFO]python(7025), Memory: 4791 MiB, GPU Memory: 2327 MiB
[2022-09-04 17:33:41,528][PROCESS_MONITOR][INFO]python(7025), Memory: 4791 MiB, GPU Memory: 2327 MiB
[2022-09-04 17:33:42,543][PROCESS_MONITOR][INFO]python(7025), Memory: 4791 MiB, GPU Memory: 2327 MiB
[2022-09-04 17:33:43,559][PROCESS_MONITOR][INFO]python(7025), Memory: 4791 MiB, GPU Memory: 2327 MiB
[2022-09-04 17:33:44,574][PROCESS_MONITOR][INFO]python(7025), Memory: 4791 MiB, GPU Memory: 2327 MiB
[2022-09-04 17:33:45,589][PROCESS_MONITOR][INFO]python(7025), Memory: 4791 MiB, GPU Memory: 2327 MiB
[2022-09-04 17:33:46,604][PROCESS_MONITOR][INFO]python(7025), Memory: 4791 MiB, GPU Memory: 2327 MiB
[2022-09-04 17:33:47,619][PROCESS_MONITOR][INFO]python(7025), Memory: 4791 MiB, GPU Memory: 2327 MiB
[2022-09-04 17:33:48,634][PROCESS_MONITOR][INFO]python(7025), Memory: 4791 MiB, GPU Memory: 2327 MiB
[2022-09-04 17:33:49,648][PROCESS_MONITOR][INFO]python(7025), Memory: 4791 MiB, GPU Memory: 2327 MiB
[2022-09-04 17:33:50,663][PROCESS_MONITOR][INFO]python(7025), Memory: 4791 MiB, GPU Memory: 2327 MiB
[2022-09-04 17:33:51,679][PROCESS_MONITOR][INFO]python(7025), Memory: 4791 MiB, GPU Memory: 2327 MiB
[2022-09-04 17:33:52,694][PROCESS_MONITOR][INFO]python(7025), Memory: 4791 MiB, GPU Memory: 2327 MiB
[2022-09-04 17:33:53,708][PROCESS_MONITOR][INFO]python(7025), Memory: 4791 MiB, GPU Memory: 2327 MiB
[2022-09-04 17:33:54,723][PROCESS_MONITOR][INFO]python(7025), Memory: 4791 MiB, GPU Memory: 2327 MiB
[2022-09-04 17:33:55,738][PROCESS_MONITOR][INFO]python(7025), Memory: 4791 MiB, GPU Memory: 2327 MiB
