[2022-09-02 11:10:34,957][PROCESS_MONITOR][INFO]python(2016745), Memory: 3913 MiB, GPU Memory: 1973 MiB
[2022-09-02 11:10:35,974][PROCESS_MONITOR][INFO]python(2016745), Memory: 3913 MiB, GPU Memory: 1973 MiB
[2022-09-02 11:10:36,990][PROCESS_MONITOR][INFO]python(2016745), Memory: 3913 MiB, GPU Memory: 1973 MiB
[2022-09-02 11:10:38,015][PROCESS_MONITOR][INFO]python(2016745), Memory: 3913 MiB, GPU Memory: 1973 MiB
[2022-09-02 11:10:39,031][PROCESS_MONITOR][INFO]python(2016745), Memory: 3913 MiB, GPU Memory: 1973 MiB
[2022-09-02 11:10:40,046][PROCESS_MONITOR][INFO]python(2016745), Memory: 3913 MiB, GPU Memory: 1973 MiB
[2022-09-02 11:10:41,060][PROCESS_MONITOR][INFO]python(2016745), Memory: 4315 MiB, GPU Memory: 2173 MiB
[2022-09-02 11:10:42,074][PROCESS_MONITOR][INFO]python(2016745), Memory: 4804 MiB, GPU Memory: 6227 MiB
[2022-09-02 11:10:43,090][PROCESS_MONITOR][INFO]python(2016745), Memory: 4812 MiB, GPU Memory: 6227 MiB
[2022-09-02 11:10:44,106][PROCESS_MONITOR][INFO]python(2016745), Memory: 4813 MiB, GPU Memory: 6227 MiB
[2022-09-02 11:10:45,122][PROCESS_MONITOR][INFO]python(2016745), Memory: 4814 MiB, GPU Memory: 6227 MiB
[2022-09-02 11:10:46,138][PROCESS_MONITOR][INFO]python(2016745), Memory: 4816 MiB, GPU Memory: 6227 MiB
[2022-09-02 11:10:47,155][PROCESS_MONITOR][INFO]python(2016745), Memory: 4817 MiB, GPU Memory: 6227 MiB
[2022-09-02 11:10:48,171][PROCESS_MONITOR][INFO]python(2016745), Memory: 4818 MiB, GPU Memory: 6227 MiB
[2022-09-02 11:10:49,186][PROCESS_MONITOR][INFO]python(2016745), Memory: 4821 MiB, GPU Memory: 6227 MiB
[2022-09-02 11:10:50,202][PROCESS_MONITOR][INFO]python(2016745), Memory: 4821 MiB, GPU Memory: 6227 MiB
