[2022-09-04 18:00:28,298][PROCESS_MONITOR][INFO]python(30997), Memory: 3717 MiB, GPU Memory: 1725 MiB
[2022-09-04 18:00:29,315][PROCESS_MONITOR][INFO]python(30997), Memory: 3717 MiB, GPU Memory: 1725 MiB
[2022-09-04 18:00:30,331][PROCESS_MONITOR][INFO]python(30997), Memory: 3717 MiB, GPU Memory: 1725 MiB
[2022-09-04 18:00:31,347][PROCESS_MONITOR][INFO]python(30997), Memory: 3717 MiB, GPU Memory: 1725 MiB
[2022-09-04 18:00:32,364][PROCESS_MONITOR][INFO]python(30997), Memory: 3717 MiB, GPU Memory: 1725 MiB
[2022-09-04 18:00:33,381][PROCESS_MONITOR][INFO]python(30997), Memory: 3717 MiB, GPU Memory: 1725 MiB
[2022-09-04 18:00:34,397][PROCESS_MONITOR][INFO]python(30997), Memory: 3717 MiB, GPU Memory: 1725 MiB
[2022-09-04 18:00:35,413][PROCESS_MONITOR][INFO]python(30997), Memory: 3717 MiB, GPU Memory: 1725 MiB
[2022-09-04 18:00:36,429][PROCESS_MONITOR][INFO]python(30997), Memory: 3717 MiB, GPU Memory: 1725 MiB
[2022-09-04 18:00:37,446][PROCESS_MONITOR][INFO]python(30997), Memory: 3717 MiB, GPU Memory: 1725 MiB
[2022-09-04 18:00:38,468][PROCESS_MONITOR][INFO]python(30997), Memory: 3717 MiB, GPU Memory: 1725 MiB
[2022-09-04 18:00:39,483][PROCESS_MONITOR][INFO]python(30997), Memory: 4669 MiB, GPU Memory: 2125 MiB
[2022-09-04 18:00:40,499][PROCESS_MONITOR][INFO]python(30997), Memory: 4669 MiB, GPU Memory: 2125 MiB
[2022-09-04 18:00:41,512][PROCESS_MONITOR][INFO]python(30997), Memory: 4669 MiB, GPU Memory: 2125 MiB
[2022-09-04 18:00:42,527][PROCESS_MONITOR][INFO]python(30997), Memory: 4670 MiB, GPU Memory: 2125 MiB
[2022-09-04 18:00:43,543][PROCESS_MONITOR][INFO]python(30997), Memory: 4670 MiB, GPU Memory: 2125 MiB
[2022-09-04 18:00:44,559][PROCESS_MONITOR][INFO]python(30997), Memory: 4670 MiB, GPU Memory: 2125 MiB
[2022-09-04 18:00:45,575][PROCESS_MONITOR][INFO]python(30997), Memory: 4670 MiB, GPU Memory: 2125 MiB
[2022-09-04 18:00:46,591][PROCESS_MONITOR][INFO]python(30997), Memory: 4670 MiB, GPU Memory: 2125 MiB
[2022-09-04 18:00:47,612][PROCESS_MONITOR][INFO]python(30997), Memory: 4670 MiB, GPU Memory: 2125 MiB
[2022-09-04 18:00:48,627][PROCESS_MONITOR][INFO]python(30997), Memory: 4670 MiB, GPU Memory: 2125 MiB
[2022-09-04 18:00:49,641][PROCESS_MONITOR][INFO]python(30997), Memory: 4670 MiB, GPU Memory: 2125 MiB
[2022-09-04 18:00:50,656][PROCESS_MONITOR][INFO]python(30997), Memory: 4670 MiB, GPU Memory: 2125 MiB
[2022-09-04 18:00:51,672][PROCESS_MONITOR][INFO]python(30997), Memory: 4670 MiB, GPU Memory: 2125 MiB
[2022-09-04 18:00:52,687][PROCESS_MONITOR][INFO]python(30997), Memory: 4670 MiB, GPU Memory: 2125 MiB
[2022-09-04 18:00:53,703][PROCESS_MONITOR][INFO]python(30997), Memory: 4670 MiB, GPU Memory: 2125 MiB
[2022-09-04 18:00:54,716][PROCESS_MONITOR][INFO]python(30997), Memory: 4670 MiB, GPU Memory: 2125 MiB
[2022-09-04 18:00:55,731][PROCESS_MONITOR][INFO]python(30997), Memory: 4670 MiB, GPU Memory: 2125 MiB
[2022-09-04 18:00:56,746][PROCESS_MONITOR][INFO]python(30997), Memory: 4670 MiB, GPU Memory: 2125 MiB
[2022-09-04 18:00:57,762][PROCESS_MONITOR][INFO]python(30997), Memory: 4670 MiB, GPU Memory: 2125 MiB
[2022-09-04 18:00:58,778][PROCESS_MONITOR][INFO]python(30997), Memory: 4670 MiB, GPU Memory: 2125 MiB
[2022-09-04 18:00:59,791][PROCESS_MONITOR][INFO]python(30997), Memory: 4670 MiB, GPU Memory: 2125 MiB
[2022-09-04 18:01:00,806][PROCESS_MONITOR][INFO]python(30997), Memory: 4670 MiB, GPU Memory: 2125 MiB
[2022-09-04 18:01:01,822][PROCESS_MONITOR][INFO]python(30997), Memory: 4670 MiB, GPU Memory: 2125 MiB
[2022-09-04 18:01:02,837][PROCESS_MONITOR][INFO]python(30997), Memory: 4670 MiB, GPU Memory: 2125 MiB
[2022-09-04 18:01:03,852][PROCESS_MONITOR][INFO]python(30997), Memory: 4670 MiB, GPU Memory: 2125 MiB
[2022-09-04 18:01:04,867][PROCESS_MONITOR][INFO]python(30997), Memory: 4670 MiB, GPU Memory: 2125 MiB
[2022-09-04 18:01:05,883][PROCESS_MONITOR][INFO]python(30997), Memory: 4670 MiB, GPU Memory: 2125 MiB
[2022-09-04 18:01:06,898][PROCESS_MONITOR][INFO]python(30997), Memory: 4670 MiB, GPU Memory: 2125 MiB
[2022-09-04 18:01:07,913][PROCESS_MONITOR][INFO]python(30997), Memory: 4670 MiB, GPU Memory: 2125 MiB
[2022-09-04 18:01:08,929][PROCESS_MONITOR][INFO]python(30997), Memory: 4670 MiB, GPU Memory: 2125 MiB
[2022-09-04 18:01:09,942][PROCESS_MONITOR][INFO]python(30997), Memory: 4670 MiB, GPU Memory: 2125 MiB
[2022-09-04 18:01:10,958][PROCESS_MONITOR][INFO]python(30997), Memory: 4670 MiB, GPU Memory: 2125 MiB
[2022-09-04 18:01:11,974][PROCESS_MONITOR][INFO]python(30997), Memory: 4670 MiB, GPU Memory: 2125 MiB
[2022-09-04 18:01:12,990][PROCESS_MONITOR][INFO]python(30997), Memory: 4670 MiB, GPU Memory: 2125 MiB
[2022-09-04 18:01:14,005][PROCESS_MONITOR][INFO]python(30997), Memory: 4670 MiB, GPU Memory: 2125 MiB
