[2022-09-02 10:46:45,798][PROCESS_MONITOR][INFO]python(2003736), Memory: 4697 MiB, GPU Memory: 2457 MiB
[2022-09-02 10:46:46,814][PROCESS_MONITOR][INFO]python(2003736), Memory: 4697 MiB, GPU Memory: 2457 MiB
[2022-09-02 10:46:47,832][PROCESS_MONITOR][INFO]python(2003736), Memory: 4697 MiB, GPU Memory: 2457 MiB
[2022-09-02 10:46:48,849][PROCESS_MONITOR][INFO]python(2003736), Memory: 4697 MiB, GPU Memory: 2457 MiB
[2022-09-02 10:46:49,865][PROCESS_MONITOR][INFO]python(2003736), Memory: 4697 MiB, GPU Memory: 2457 MiB
[2022-09-02 10:46:50,882][PROCESS_MONITOR][INFO]python(2003736), Memory: 4697 MiB, GPU Memory: 2457 MiB
[2022-09-02 10:46:51,901][PROCESS_MONITOR][INFO]python(2003736), Memory: 4697 MiB, GPU Memory: 2457 MiB
[2022-09-02 10:46:52,916][PROCESS_MONITOR][INFO]python(2003736), Memory: 4697 MiB, GPU Memory: 2457 MiB
[2022-09-02 10:46:53,931][PROCESS_MONITOR][INFO]python(2003736), Memory: 4697 MiB, GPU Memory: 2457 MiB
[2022-09-02 10:46:54,946][PROCESS_MONITOR][INFO]python(2003736), Memory: 4697 MiB, GPU Memory: 2457 MiB
[2022-09-02 10:46:55,961][PROCESS_MONITOR][INFO]python(2003736), Memory: 4697 MiB, GPU Memory: 2457 MiB
[2022-09-02 10:46:56,976][PROCESS_MONITOR][INFO]python(2003736), Memory: 4697 MiB, GPU Memory: 2457 MiB
[2022-09-02 10:46:57,992][PROCESS_MONITOR][INFO]python(2003736), Memory: 4697 MiB, GPU Memory: 2457 MiB
[2022-09-02 10:46:59,007][PROCESS_MONITOR][INFO]python(2003736), Memory: 4697 MiB, GPU Memory: 2457 MiB
[2022-09-02 10:47:00,022][PROCESS_MONITOR][INFO]python(2003736), Memory: 4697 MiB, GPU Memory: 2457 MiB
[2022-09-02 10:47:01,038][PROCESS_MONITOR][INFO]python(2003736), Memory: 4697 MiB, GPU Memory: 2457 MiB
[2022-09-02 10:47:02,054][PROCESS_MONITOR][INFO]python(2003736), Memory: 4697 MiB, GPU Memory: 2457 MiB
[2022-09-02 10:47:03,069][PROCESS_MONITOR][INFO]python(2003736), Memory: 4697 MiB, GPU Memory: 2457 MiB
[2022-09-02 10:47:04,085][PROCESS_MONITOR][INFO]python(2003736), Memory: 4697 MiB, GPU Memory: 2457 MiB
[2022-09-02 10:47:05,101][PROCESS_MONITOR][INFO]python(2003736), Memory: 4697 MiB, GPU Memory: 2457 MiB
[2022-09-02 10:47:06,116][PROCESS_MONITOR][INFO]python(2003736), Memory: 4697 MiB, GPU Memory: 2457 MiB
[2022-09-02 10:47:07,131][PROCESS_MONITOR][INFO]python(2003736), Memory: 4697 MiB, GPU Memory: 2457 MiB
[2022-09-02 10:47:08,147][PROCESS_MONITOR][INFO]python(2003736), Memory: 4697 MiB, GPU Memory: 2457 MiB
[2022-09-02 10:47:09,163][PROCESS_MONITOR][INFO]python(2003736), Memory: 4697 MiB, GPU Memory: 2457 MiB
[2022-09-02 10:47:10,179][PROCESS_MONITOR][INFO]python(2003736), Memory: 4697 MiB, GPU Memory: 2457 MiB
[2022-09-02 10:47:11,195][PROCESS_MONITOR][INFO]python(2003736), Memory: 4697 MiB, GPU Memory: 2457 MiB
[2022-09-02 10:47:12,216][PROCESS_MONITOR][INFO]python(2003736), Memory: 4697 MiB, GPU Memory: 2457 MiB
[2022-09-02 10:47:13,232][PROCESS_MONITOR][INFO]python(2003736), Memory: 4697 MiB, GPU Memory: 2457 MiB
[2022-09-02 10:47:14,249][PROCESS_MONITOR][INFO]python(2003736), Memory: 4697 MiB, GPU Memory: 2457 MiB
[2022-09-02 10:47:15,265][PROCESS_MONITOR][INFO]python(2003736), Memory: 4697 MiB, GPU Memory: 2457 MiB
[2022-09-02 10:47:16,280][PROCESS_MONITOR][INFO]python(2003736), Memory: 4697 MiB, GPU Memory: 2457 MiB
[2022-09-02 10:47:17,296][PROCESS_MONITOR][INFO]python(2003736), Memory: 4697 MiB, GPU Memory: 2457 MiB
[2022-09-02 10:47:18,311][PROCESS_MONITOR][INFO]python(2003736), Memory: 4697 MiB, GPU Memory: 2457 MiB
[2022-09-02 10:47:19,327][PROCESS_MONITOR][INFO]python(2003736), Memory: 4697 MiB, GPU Memory: 2457 MiB
[2022-09-02 10:47:20,343][PROCESS_MONITOR][INFO]python(2003736), Memory: 4697 MiB, GPU Memory: 2457 MiB
[2022-09-02 10:47:21,359][PROCESS_MONITOR][INFO]python(2003736), Memory: 4697 MiB, GPU Memory: 2457 MiB
[2022-09-02 10:47:22,375][PROCESS_MONITOR][INFO]python(2003736), Memory: 4697 MiB, GPU Memory: 2457 MiB
[2022-09-02 10:47:23,391][PROCESS_MONITOR][INFO]python(2003736), Memory: 4697 MiB, GPU Memory: 2457 MiB
[2022-09-02 10:47:24,407][PROCESS_MONITOR][INFO]python(2003736), Memory: 4697 MiB, GPU Memory: 2457 MiB
[2022-09-02 10:47:25,423][PROCESS_MONITOR][INFO]python(2003736), Memory: 4697 MiB, GPU Memory: 2457 MiB
[2022-09-02 10:47:26,439][PROCESS_MONITOR][INFO]python(2003736), Memory: 4697 MiB, GPU Memory: 2457 MiB
[2022-09-02 10:47:27,454][PROCESS_MONITOR][INFO]python(2003736), Memory: 4697 MiB, GPU Memory: 2457 MiB
[2022-09-02 10:47:28,468][PROCESS_MONITOR][INFO]python(2003736), Memory: 4697 MiB, GPU Memory: 2457 MiB
[2022-09-02 10:47:29,484][PROCESS_MONITOR][INFO]python(2003736), Memory: 4697 MiB, GPU Memory: 2457 MiB
[2022-09-02 10:47:30,500][PROCESS_MONITOR][INFO]python(2003736), Memory: 4697 MiB, GPU Memory: 2457 MiB
[2022-09-02 10:47:31,516][PROCESS_MONITOR][INFO]python(2003736), Memory: 4697 MiB, GPU Memory: 2457 MiB
[2022-09-02 10:47:32,532][PROCESS_MONITOR][INFO]python(2003736), Memory: 4697 MiB, GPU Memory: 2457 MiB
[2022-09-02 10:47:33,547][PROCESS_MONITOR][INFO]python(2003736), Memory: 4697 MiB, GPU Memory: 2457 MiB
[2022-09-02 10:47:34,563][PROCESS_MONITOR][INFO]python(2003736), Memory: 4697 MiB, GPU Memory: 2457 MiB
[2022-09-02 10:47:35,579][PROCESS_MONITOR][INFO]python(2003736), Memory: 4697 MiB, GPU Memory: 2457 MiB
