[2022-09-06 18:14:09,439][PROCESS_MONITOR][INFO]tritonserver(190495), Memory: 1619 MiB, GPU Memory: 769 MiB
[2022-09-06 18:14:10,455][PROCESS_MONITOR][INFO]tritonserver(190495), Memory: 1619 MiB, GPU Memory: 769 MiB
[2022-09-06 18:14:11,470][PROCESS_MONITOR][INFO]tritonserver(190495), Memory: 1619 MiB, GPU Memory: 769 MiB
[2022-09-06 18:14:12,487][PROCESS_MONITOR][INFO]tritonserver(190495), Memory: 1619 MiB, GPU Memory: 769 MiB
[2022-09-06 18:14:13,503][PROCESS_MONITOR][INFO]tritonserver(190495), Memory: 1619 MiB, GPU Memory: 769 MiB
[2022-09-06 18:14:14,520][PROCESS_MONITOR][INFO]tritonserver(190495), Memory: 1619 MiB, GPU Memory: 769 MiB
[2022-09-06 18:14:15,537][PROCESS_MONITOR][INFO]tritonserver(190495), Memory: 1619 MiB, GPU Memory: 769 MiB
[2022-09-06 18:14:16,554][PROCESS_MONITOR][INFO]tritonserver(190495), Memory: 1619 MiB, GPU Memory: 769 MiB
[2022-09-06 18:14:17,569][PROCESS_MONITOR][INFO]tritonserver(190495), Memory: 1619 MiB, GPU Memory: 769 MiB
[2022-09-06 18:14:18,587][PROCESS_MONITOR][INFO]tritonserver(190495), Memory: 1619 MiB, GPU Memory: 769 MiB
[2022-09-06 18:14:19,604][PROCESS_MONITOR][INFO]tritonserver(190495), Memory: 1619 MiB, GPU Memory: 769 MiB
[2022-09-06 18:14:20,620][PROCESS_MONITOR][INFO]tritonserver(190495), Memory: 1619 MiB, GPU Memory: 769 MiB
[2022-09-06 18:14:21,637][PROCESS_MONITOR][INFO]tritonserver(190495), Memory: 1619 MiB, GPU Memory: 769 MiB
[2022-09-06 18:14:22,652][PROCESS_MONITOR][INFO]tritonserver(190495), Memory: 1619 MiB, GPU Memory: 769 MiB
[2022-09-06 18:14:23,666][PROCESS_MONITOR][INFO]tritonserver(190495), Memory: 1619 MiB, GPU Memory: 769 MiB
[2022-09-06 18:14:24,680][PROCESS_MONITOR][INFO]tritonserver(190495), Memory: 1758 MiB, GPU Memory: 789 MiB
[2022-09-06 18:14:25,695][PROCESS_MONITOR][INFO]tritonserver(190495), Memory: 3452 MiB, GPU Memory: 1533 MiB
[2022-09-06 18:14:26,710][PROCESS_MONITOR][INFO]tritonserver(190495), Memory: 3482 MiB, GPU Memory: 1541 MiB
[2022-09-06 18:14:27,725][PROCESS_MONITOR][INFO]tritonserver(190495), Memory: 3482 MiB, GPU Memory: 1541 MiB
[2022-09-06 18:14:28,741][PROCESS_MONITOR][INFO]tritonserver(190495), Memory: 3482 MiB, GPU Memory: 1541 MiB
[2022-09-06 18:14:29,757][PROCESS_MONITOR][INFO]tritonserver(190495), Memory: 3482 MiB, GPU Memory: 1541 MiB
[2022-09-06 18:14:30,771][PROCESS_MONITOR][INFO]tritonserver(190495), Memory: 3482 MiB, GPU Memory: 1541 MiB
[2022-09-06 18:14:31,787][PROCESS_MONITOR][INFO]tritonserver(190495), Memory: 3482 MiB, GPU Memory: 1541 MiB
